NO_OF_FRAMES	241
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 13:00:48	10530.26477573
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
10081	56.31285	471.248	-4503.394	7669.275	458.683	-4563.975	7682.705	447.462	-4616.579	7689.458	478.040	-4653.074	7695.759	509.590	-4691.456	7697.900	517.161	-4752.382	7710.837	499.088	-4807.029	7731.818	468.376	-4846.431	7760.678	440.108	-4876.554	7799.114	420.576	-4902.943	7848.219	418.676	-4927.354	7916.415	422.719	-4943.473	7972.978	428.188	-4955.379	8042.250	433.101	-4964.820	8116.818	439.690	-4975.849	8193.643	447.290	-4999.508	8263.976	475.963	-5077.457	8319.346
10082	56.31844	473.330	-4503.133	7649.674	459.574	-4563.108	7663.809	446.972	-4615.219	7671.670	477.277	-4651.781	7679.717	509.406	-4689.192	7683.725	517.893	-4749.743	7698.107	499.546	-4804.363	7719.404	468.590	-4844.234	7747.198	440.159	-4875.483	7784.662	420.079	-4902.943	7832.976	417.021	-4927.518	7901.011	420.942	-4943.590	7957.871	426.689	-4952.456	8027.483	432.692	-4958.123	8102.257	440.902	-4966.701	8179.231	448.182	-4988.610	8250.324	460.646	-5053.264	8326.274
10083	56.32402	474.017	-4502.130	7624.583	460.530	-4562.401	7644.919	446.494	-4614.042	7653.764	476.407	-4650.435	7663.445	508.843	-4687.940	7671.696	518.457	-4747.084	7685.083	500.182	-4801.717	7706.663	468.919	-4841.965	7733.633	440.165	-4874.147	7770.032	419.550	-4902.679	7817.607	415.497	-4927.591	7885.405	419.087	-4943.011	7942.449	425.081	-4949.540	8012.271	432.194	-4951.625	8087.227	442.131	-4958.184	8164.150	448.712	-4977.878	8236.021	447.740	-5024.926	8324.806
10084	56.32961	475.736	-4502.232	7604.052	461.493	-4561.863	7626.128	446.044	-4612.927	7635.576	475.474	-4649.323	7646.867	508.494	-4685.910	7656.741	518.981	-4744.500	7671.654	500.862	-4799.148	7693.680	469.331	-4839.568	7719.926	440.134	-4872.580	7755.308	419.049	-4902.236	7802.014	413.965	-4927.599	7869.560	417.229	-4942.388	7926.745	423.519	-4946.396	7996.819	431.695	-4945.382	8071.612	443.237	-4950.035	8148.422	448.454	-4966.370	8221.262	437.967	-4995.164	8316.839
10085	56.33520	477.819	-4502.619	7584.309	462.461	-4561.428	7607.291	445.556	-4612.001	7617.331	474.466	-4648.479	7629.915	508.027	-4683.973	7641.540	519.453	-4741.945	7657.963	501.658	-4796.566	7680.428	469.813	-4837.181	7705.980	440.192	-4870.793	7740.417	418.571	-4901.544	7786.202	412.562	-4928.077	7853.427	415.294	-4940.643	7910.848	422.041	-4943.946	7981.038	431.230	-4939.563	8055.499	444.061	-4942.117	8132.204	447.473	-4954.300	8205.924	431.161	-4965.502	8303.880
10086	56.34078	479.895	-4503.180	7564.559	463.373	-4561.180	7588.305	445.090	-4611.212	7598.865	473.338	-4647.524	7612.809	507.512	-4682.141	7625.874	519.931	-4739.313	7643.902	502.507	-4793.941	7666.921	470.359	-4834.717	7691.833	440.281	-4869.569	7724.729	418.113	-4900.598	7770.160	411.106	-4927.087	7837.121	413.433	-4940.452	7896.159	420.394	-4940.627	7964.772	430.719	-4934.197	8039.018	444.299	-4933.999	8115.544	446.129	-4941.486	8189.944	426.826	-4936.993	8287.500
10087	56.34637	481.256	-4504.290	7545.278	464.214	-4561.049	7569.231	444.573	-4610.492	7580.279	472.137	-4646.891	7595.409	506.940	-4680.229	7609.937	520.344	-4736.654	7629.442	503.447	-4791.290	7653.169	470.980	-4832.191	7677.339	440.437	-4867.625	7709.267	417.660	-4899.107	7753.905	409.807	-4926.934	7820.521	411.784	-4939.425	7879.533	418.930	-4938.018	7948.271	430.119	-4929.175	8022.133	443.900	-4925.730	8098.576	444.540	-4928.440	8173.241	424.551	-4910.133	8268.198
10088	56.35196	483.894	-4504.936	7525.004	465.051	-4561.180	7550.086	443.966	-4609.961	7561.683	470.953	-4646.324	7577.843	506.346	-4678.585	7593.658	520.777	-4734.001	7614.696	504.262	-4788.590	7638.928	471.671	-4829.685	7662.526	440.623	-4865.522	7693.548	417.260	-4897.572	7737.466	408.429	-4925.906	7803.724	410.080	-4938.216	7862.854	417.532	-4935.670	7931.452	429.312	-4924.459	8004.934	443.075	-4917.146	8081.125	442.907	-4915.061	8155.807	423.221	-4884.886	8246.711
10089	56.35754	485.798	-4506.010	7505.247	465.836	-4561.505	7530.682	443.322	-4609.492	7542.975	469.685	-4645.717	7560.131	505.663	-4676.829	7577.015	521.150	-4731.327	7599.581	505.124	-4785.806	7624.391	472.474	-4827.175	7647.446	440.944	-4863.247	7677.628	416.877	-4895.787	7720.789	407.099	-4924.391	7786.727	408.361	-4936.688	7845.843	416.206	-4933.523	7914.400	428.322	-4919.875	7987.406	441.694	-4908.418	8063.104	441.473	-4901.426	8137.596	425.605	-4861.282	8222.226
10090	56.36313	487.590	-4507.190	7485.483	466.506	-4561.357	7511.643	442.636	-4609.092	7524.201	468.366	-4645.165	7542.292	505.037	-4675.086	7560.029	521.543	-4728.685	7584.043	506.001	-4783.048	7609.472	473.254	-4824.608	7631.968	441.170	-4860.121	7661.954	416.633	-4893.754	7703.957	404.520	-4923.156	7770.597	405.236	-4934.973	7830.360	414.847	-4931.615	7897.184	427.025	-4915.447	7969.603	440.044	-4899.776	8044.638	440.120	-4887.586	8118.458	424.512	-4839.593	8198.780
10091	56.36872	489.273	-4508.502	7465.672	467.262	-4562.012	7492.018	441.926	-4608.778	7505.264	467.043	-4644.806	7524.210	504.354	-4673.343	7542.811	521.923	-4725.995	7568.051	506.818	-4780.188	7594.100	474.077	-4822.000	7616.197	441.605	-4858.414	7644.815	416.408	-4891.489	7686.909	403.354	-4921.253	7753.195	403.807	-4933.558	7812.842	413.405	-4929.729	7879.730	425.506	-4911.049	7951.532	438.273	-4891.074	8025.528	438.788	-4873.874	8098.365	424.302	-4819.518	8174.776
10092	56.37430	490.792	-4509.877	7445.794	467.951	-4562.738	7472.333	441.183	-4608.542	7486.242	465.682	-4644.317	7506.013	503.604	-4671.718	7525.186	522.320	-4723.356	7551.709	507.662	-4777.279	7578.350	474.841	-4819.277	7600.050	441.962	-4855.032	7628.769	416.257	-4889.012	7669.717	402.324	-4918.875	7735.681	402.469	-4932.778	7794.731	411.921	-4928.024	7862.105	423.764	-4906.634	7933.093	436.328	-4882.455	8005.916	437.486	-4860.384	8077.339	424.497	-4800.637	8150.385
10093	56.37989	492.223	-4511.291	7425.889	468.644	-4563.563	7452.603	440.455	-4608.248	7467.076	464.318	-4644.001	7487.550	502.836	-4670.166	7507.298	522.753	-4720.712	7534.950	508.545	-4774.428	7562.263	475.645	-4816.471	7583.642	442.372	-4852.240	7611.838	416.164	-4886.388	7652.306	401.337	-4916.839	7717.802	401.092	-4931.226	7776.673	410.240	-4926.265	7844.124	421.936	-4902.302	7914.399	434.312	-4873.823	7985.635	436.245	-4847.036	8055.390	424.848	-4782.974	8125.702
10094	56.38547	493.577	-4512.695	7405.888	469.266	-4564.401	7432.864	439.670	-4608.064	7447.839	462.937	-4643.721	7468.879	502.082	-4668.793	7489.124	523.465	-4718.238	7518.642	509.483	-4771.548	7545.734	476.345	-4813.529	7566.884	442.781	-4849.276	7594.690	416.109	-4883.554	7634.799	400.677	-4915.265	7699.661	399.818	-4929.699	7758.433	406.546	-4925.368	7827.717	419.999	-4897.972	7895.330	432.348	-4865.403	7964.828	434.925	-4834.175	8032.683	425.333	-4766.401	8100.500
10095	56.39106	494.826	-4514.096	7385.870	469.849	-4565.281	7412.895	438.963	-4607.920	7428.348	461.537	-4643.455	7450.036	501.272	-4667.291	7470.671	523.993	-4715.703	7500.973	510.453	-4768.624	7528.780	477.181	-4810.501	7549.890	443.293	-4846.994	7576.679	416.127	-4880.690	7617.021	400.066	-4913.134	7681.405	398.582	-4928.192	7739.793	404.830	-4923.518	7809.051	418.006	-4893.663	7875.996	430.411	-4857.147	7943.375	433.564	-4821.687	8009.177	425.734	-4750.677	8074.875
10096	56.39665	496.992	-4516.926	7374.008	470.324	-4566.214	7393.344	438.196	-4607.921	7408.673	460.153	-4643.240	7430.978	500.436	-4666.027	7451.921	524.541	-4713.128	7482.920	511.456	-4765.740	7511.460	477.921	-4807.369	7532.696	443.762	-4843.749	7559.192	416.160	-4877.737	7599.085	399.354	-4910.998	7662.838	397.280	-4926.575	7721.002	403.050	-4921.405	7790.244	416.121	-4889.286	7856.310	428.625	-4848.985	7921.578	432.364	-4809.632	7984.920	426.186	-4735.889	8048.557
10097	56.40223	498.787	-4519.962	7362.858	470.806	-4567.119	7373.242	437.498	-4607.873	7388.760	458.828	-4643.124	7411.654	499.616	-4664.635	7432.892	525.130	-4710.584	7464.531	512.491	-4762.867	7493.808	478.672	-4804.154	7515.271	444.203	-4840.441	7541.521	416.241	-4874.618	7580.955	398.732	-4908.935	7644.047	396.094	-4925.002	7701.930	401.274	-4919.315	7771.174	414.247	-4884.814	7836.241	426.856	-4841.080	7899.148	432.889	-4797.884	7959.017	426.287	-4721.928	8021.785
