NO_OF_FRAMES	278
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:25:18	4800.73430173
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
4413	24.64804	NA	NA	NA	215.468	-4688.603	8169.964	225.677	-4736.172	8162.171	265.567	-4734.805	8116.669	306.771	-4757.222	8086.383	342.623	-4802.348	8079.301	374.224	-4868.273	8089.002	391.879	-4912.262	8104.581	413.905	-4958.351	8129.161	444.450	-4994.708	8151.443	477.340	-5037.037	8187.501	471.601	-5061.784	8241.572	507.289	-5091.029	8283.668	NA	NA	NA	NA	NA	NA
4414	24.65363	NA	NA	NA	212.073	-4681.463	8164.090	217.889	-4729.413	8156.283	259.792	-4727.001	8109.274	300.788	-4748.674	8078.342	336.764	-4793.422	8070.333	369.029	-4859.069	8079.075	385.666	-4902.920	8095.626	403.745	-4948.932	8123.048	431.079	-4986.302	8148.049	467.679	-5029.152	8181.257	483.596	-5056.056	8229.365	500.017	-5083.205	8282.704	NA	NA	NA	NA	NA	NA
4415	24.65922	NA	NA	NA	208.324	-4674.595	8157.596	212.457	-4722.838	8149.275	254.321	-4719.287	8101.715	295.118	-4740.252	8070.025	331.167	-4784.817	8061.367	363.399	-4850.240	8070.029	378.963	-4893.966	8087.554	394.362	-4939.847	8116.647	418.954	-4977.938	8143.520	456.807	-5021.573	8175.609	481.515	-5050.876	8222.161	493.272	-5073.849	8278.128	464.286	-5146.543	8232.774	NA	NA	NA
4416	24.66480	NA	NA	NA	205.981	-4667.354	8148.846	196.477	-4715.024	8140.162	249.060	-4711.864	8093.845	289.596	-4731.989	8061.361	325.680	-4776.297	8052.362	357.329	-4841.745	8061.521	372.201	-4885.442	8079.869	385.614	-4931.271	8109.929	408.004	-4969.556	8138.210	445.566	-5014.311	8170.313	474.481	-5045.674	8211.731	489.037	-5066.040	8271.314	496.476	-5133.471	8220.410	NA	NA	NA
4417	24.67039	NA	NA	NA	201.700	-4660.574	8141.651	192.456	-4708.715	8132.369	244.082	-4704.233	8085.833	284.210	-4723.183	8052.366	320.022	-4767.784	8043.417	350.899	-4833.412	8053.290	365.272	-4877.085	8072.182	377.459	-4922.963	8102.750	397.734	-4961.509	8132.100	434.568	-5005.500	8164.042	475.087	-5036.489	8198.776	484.328	-5057.873	8259.596	505.243	-5105.916	8234.839	NA	NA	NA
4418	24.67598	NA	NA	NA	196.373	-4654.269	8135.289	NA	NA	NA	239.192	-4696.595	8077.672	279.169	-4714.447	8043.373	314.322	-4759.271	8034.397	344.135	-4825.305	8045.194	358.392	-4868.960	8064.341	369.565	-4914.800	8095.082	388.071	-4953.508	8125.329	424.002	-4997.911	8158.064	466.484	-5031.607	8191.890	483.092	-5049.004	8249.451	514.639	-5109.969	8242.117	NA	NA	NA
4419	24.68156	NA	NA	NA	191.988	-4647.641	8127.837	NA	NA	NA	234.475	-4688.499	8069.399	277.051	-4707.362	8035.352	308.473	-4750.725	8025.460	337.185	-4817.327	8036.930	351.406	-4860.918	8056.267	361.900	-4906.950	8087.045	378.838	-4945.939	8117.900	413.985	-4990.397	8151.421	453.557	-5024.012	8185.163	479.818	-5040.374	8241.174	520.959	-5102.092	8247.318	NA	NA	NA
4420	24.68715	NA	NA	NA	188.193	-4640.944	8119.797	NA	NA	NA	229.960	-4680.577	8060.958	272.226	-4698.366	8026.204	302.554	-4742.205	8016.369	330.044	-4809.481	8028.510	344.345	-4853.129	8047.817	354.413	-4899.304	8078.484	370.066	-4938.306	8109.787	404.330	-4982.368	8144.406	445.335	-5016.207	8177.267	478.038	-5036.625	8227.021	527.591	-5094.055	8257.222	NA	NA	NA
4421	24.69274	NA	NA	NA	184.807	-4634.035	8111.143	NA	NA	NA	225.451	-4672.684	8052.539	267.627	-4689.268	8017.206	296.635	-4733.625	8006.577	322.860	-4801.718	8019.738	336.913	-4845.519	8039.100	346.975	-4891.856	8069.526	361.792	-4930.725	8101.222	395.352	-4974.225	8136.912	436.919	-5008.032	8169.511	474.757	-5029.548	8215.049	529.638	-5084.516	8261.543	NA	NA	NA
4422	24.69832	NA	NA	NA	181.263	-4627.298	8102.133	NA	NA	NA	220.929	-4664.726	8044.106	263.608	-4680.754	8010.050	290.872	-4725.448	7997.655	315.706	-4794.276	8010.803	329.425	-4838.290	8029.947	339.631	-4884.668	8060.218	354.145	-4923.182	8092.418	386.968	-4965.944	8129.332	428.576	-4998.434	8162.135	469.401	-5020.142	8206.214	519.873	-5077.203	8272.680	NA	NA	NA
