NO_OF_FRAMES	853
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 16:47:20	6986.18428335
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
3922	21.90503	380.329	-4957.057	7704.548	414.243	-4979.946	7689.484	459.705	-5023.550	7660.567	485.813	-5083.377	7732.108	478.218	-5091.691	7805.823	465.737	-5083.835	7880.522	458.690	-5077.060	7929.248	449.802	-5070.497	7985.054	443.303	-5064.806	8048.605	442.394	-5060.736	8103.981	450.489	-5058.776	8162.597	463.549	-5057.121	8228.969	442.123	-5119.971	8266.410	NA	NA	NA	NA	NA	NA
3923	21.91061	381.595	-4956.958	7711.979	414.962	-4979.463	7695.791	458.905	-5022.152	7663.555	485.896	-5083.968	7732.343	478.883	-5093.207	7805.943	466.511	-5085.034	7880.666	459.417	-5078.344	7929.262	450.339	-5071.178	7984.978	443.599	-5065.061	8048.480	442.392	-5060.782	8103.862	450.500	-5058.920	8162.462	463.538	-5057.214	8228.870	442.026	-5119.673	8266.261	NA	NA	NA	NA	NA	NA
3924	21.91620	382.894	-4956.906	7719.879	415.749	-4979.189	7702.644	458.075	-5020.494	7666.905	485.881	-5084.740	7732.615	479.372	-5094.378	7806.065	467.323	-5086.611	7880.750	460.189	-5079.491	7929.344	450.878	-5072.087	7984.931	443.923	-5065.266	8048.352	442.337	-5060.709	8103.650	450.405	-5058.984	8162.355	463.579	-5057.341	8228.737	441.960	-5119.682	8266.296	NA	NA	NA	NA	NA	NA
3925	21.92179	384.258	-4957.017	7728.434	416.525	-4978.970	7710.088	457.399	-5018.739	7670.757	485.818	-5085.135	7732.958	479.975	-5096.020	7806.244	468.233	-5088.071	7880.902	461.047	-5080.969	7929.418	451.568	-5072.817	7984.896	444.348	-5065.476	8048.222	442.396	-5060.635	8103.530	450.315	-5059.026	8162.284	463.612	-5057.405	8228.684	441.891	-5119.470	8266.241	NA	NA	NA	NA	NA	NA
3926	21.92737	385.703	-4957.302	7737.517	417.299	-4978.776	7717.939	456.601	-5016.750	7675.030	485.624	-5085.443	7733.383	480.634	-5097.443	7806.404	469.147	-5090.005	7881.114	461.975	-5082.208	7929.540	452.332	-5073.708	7984.966	444.826	-5065.724	8048.104	442.448	-5060.518	8103.334	450.190	-5059.077	8162.191	463.527	-5057.449	8228.518	441.789	-5119.325	8266.190	NA	NA	NA	NA	NA	NA
3927	21.93296	387.239	-4957.779	7747.160	418.283	-4978.675	7726.316	455.387	-5014.700	7679.653	485.296	-5085.701	7733.899	481.168	-5099.037	7806.533	470.089	-5092.008	7881.333	463.040	-5084.018	7929.724	453.208	-5074.826	7984.969	445.376	-5065.985	8048.026	442.480	-5060.512	8103.038	450.124	-5059.038	8162.093	463.445	-5057.689	8228.381	441.587	-5119.043	8266.259	NA	NA	NA	NA	NA	NA
3928	21.93855	388.793	-4958.382	7757.191	419.361	-4978.662	7735.178	453.689	-5012.641	7684.780	484.928	-5085.824	7734.535	481.760	-5100.653	7806.795	471.103	-5093.746	7881.598	464.080	-5085.748	7929.876	454.227	-5075.909	7985.120	446.108	-5066.405	8047.986	442.590	-5060.541	8102.776	450.138	-5059.069	8161.992	463.427	-5057.671	8228.293	441.463	-5119.084	8266.199	NA	NA	NA	NA	NA	NA
3929	21.94413	390.326	-4959.043	7767.383	420.396	-4978.826	7744.593	449.891	-5010.556	7690.220	484.371	-5085.797	7735.220	482.255	-5102.107	7806.976	472.050	-5095.787	7881.782	465.344	-5087.477	7930.179	455.461	-5077.218	7985.234	446.945	-5066.940	8047.934	442.755	-5060.750	8102.535	450.176	-5059.109	8161.899	463.417	-5057.880	8228.179	441.339	-5118.932	8266.135	NA	NA	NA	NA	NA	NA
3930	21.94972	391.712	-4959.582	7777.813	421.345	-4979.358	7754.486	448.264	-5008.402	7696.685	483.655	-5085.698	7736.037	482.854	-5103.778	7807.314	473.171	-5097.953	7882.136	466.518	-5089.378	7930.356	456.746	-5078.573	7985.386	447.978	-5067.509	8047.998	443.065	-5060.960	8102.371	450.201	-5059.226	8161.781	463.400	-5058.107	8228.195	441.316	-5119.069	8266.106	NA	NA	NA	NA	NA	NA
3931	21.95531	393.145	-4959.919	7788.537	422.224	-4979.976	7764.970	447.025	-5006.690	7704.742	482.696	-5085.398	7736.918	483.110	-5105.249	7807.487	474.070	-5100.084	7882.295	467.847	-5091.521	7930.629	458.192	-5080.314	7985.555	449.152	-5068.606	8048.051	443.593	-5061.337	8102.224	450.142	-5059.509	8161.598	463.352	-5058.102	8228.166	441.201	-5119.087	8266.094	NA	NA	NA	NA	NA	NA
