NO_OF_FRAMES	211
NO_OF_CAMERAS	23
NO_OF_MARKERS	12
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 17:51:17	5834.69910782
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	
6683	37.32961	331.938	-4521.373	7464.776	290.001	-4603.781	7546.784	317.928	-4657.563	7605.746	352.577	-4691.412	7654.961	367.911	-4728.733	7707.027	376.011	-4769.120	7784.038	377.964	-4812.266	7855.469	391.201	-4858.507	7927.679	396.028	-4893.125	7998.111	413.796	-4919.404	8078.500	443.938	-4967.864	8166.189	462.462	-5010.544	8271.571
6684	37.33520	334.530	-4518.265	7450.218	289.163	-4600.821	7529.988	315.594	-4654.110	7589.968	350.871	-4686.798	7639.632	367.051	-4723.004	7692.257	375.394	-4762.395	7769.642	377.284	-4805.197	7841.311	390.735	-4851.234	7913.684	395.579	-4884.899	7984.434	411.980	-4910.959	8065.279	443.081	-4960.137	8152.544	451.708	-4989.450	8262.838
6685	37.34078	335.603	-4516.238	7433.621	288.858	-4597.812	7512.404	313.338	-4650.648	7573.878	348.990	-4682.278	7624.129	366.124	-4717.389	7677.092	374.759	-4755.716	7754.868	376.642	-4798.193	7826.804	390.292	-4843.802	7899.447	395.045	-4876.632	7970.418	410.121	-4902.930	8051.593	441.988	-4950.988	8139.582	440.289	-4970.632	8251.145
6686	37.34637	336.530	-4513.890	7416.742	288.437	-4594.830	7494.909	311.065	-4647.201	7557.545	347.460	-4677.822	7607.928	365.062	-4711.902	7661.589	374.021	-4749.179	7739.761	376.110	-4791.215	7811.900	389.833	-4836.174	7884.994	394.301	-4868.438	7956.131	408.726	-4895.119	8037.417	440.517	-4940.813	8126.875	430.081	-4954.255	8238.108
6687	37.35196	337.348	-4511.557	7399.703	287.900	-4591.778	7477.332	308.882	-4643.790	7540.773	345.917	-4673.426	7591.467	363.967	-4706.477	7645.737	373.163	-4742.775	7724.245	375.591	-4784.321	7796.685	388.029	-4828.375	7871.435	393.333	-4860.334	7941.489	406.781	-4887.339	8023.479	438.559	-4929.975	8114.231	420.155	-4940.026	8225.029
6688	37.35754	337.839	-4508.460	7382.206	287.592	-4588.670	7459.408	306.667	-4640.428	7523.781	345.374	-4668.946	7573.494	362.734	-4701.135	7629.630	372.367	-4736.453	7708.383	375.227	-4777.360	7781.162	387.576	-4820.500	7856.390	392.304	-4852.523	7926.555	405.790	-4879.313	8008.642	436.184	-4918.708	8101.103	409.564	-4925.267	8210.487
6689	37.36313	338.436	-4505.640	7364.581	287.392	-4585.492	7441.298	304.600	-4637.101	7506.296	343.472	-4664.667	7556.657	361.542	-4695.801	7613.124	371.605	-4730.307	7692.123	374.847	-4770.298	7765.391	387.008	-4812.534	7841.152	391.582	-4844.867	7911.060	403.858	-4871.004	7994.293	433.487	-4907.235	8087.952	395.538	-4917.962	8194.364
6690	37.36872	338.805	-4502.780	7346.639	287.181	-4582.264	7423.052	302.568	-4633.819	7488.555	341.430	-4660.329	7539.570	360.249	-4690.577	7596.311	370.894	-4724.214	7675.578	374.541	-4763.146	7749.304	386.440	-4804.583	7825.473	390.891	-4837.213	7895.346	402.971	-4862.503	7978.866	430.193	-4895.387	8074.281	387.738	-4895.181	8181.374
6691	37.37430	339.219	-4499.928	7328.619	286.885	-4579.048	7404.760	300.668	-4630.592	7470.366	339.425	-4656.200	7522.183	360.446	-4685.484	7577.630	370.323	-4718.086	7658.723	374.225	-4755.919	7732.952	385.842	-4796.710	7809.450	386.872	-4829.480	7882.225	402.089	-4853.799	7963.144	426.981	-4883.501	8060.141	378.768	-4886.625	8163.318
6692	37.37989	339.724	-4497.125	7310.410	286.573	-4575.797	7386.458	298.726	-4627.369	7452.066	337.392	-4652.127	7504.462	359.115	-4680.428	7560.165	369.767	-4711.862	7641.629	373.778	-4748.717	7716.309	385.289	-4788.979	7793.029	386.510	-4821.660	7865.792	401.132	-4844.866	7947.188	423.102	-4871.591	8045.812	371.035	-4874.592	8146.269
