NO_OF_FRAMES	309
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 11:28:38	8412.93676671
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
4332	24.19553	NA	NA	NA	880.422	-4626.202	8495.938	906.114	-4655.783	8480.066	NA	NA	NA	880.901	-4702.414	8448.708	838.112	-4689.358	8403.357	NA	NA	NA	NA	NA	NA	NA	NA	NA	770.802	-4822.978	8316.212	756.500	-4879.740	8297.978	733.801	-4939.372	8278.874	698.507	-4989.714	8257.045	642.810	-5029.273	8237.186	588.743	-5060.767	8225.501	567.669	-5130.300	8219.129	567.968	-5198.774	8246.224	550.869	-5277.697	8304.500
4333	24.20112	NA	NA	NA	885.518	-4619.013	8489.033	907.885	-4648.207	8474.147	NA	NA	NA	887.815	-4687.975	8448.697	846.393	-4685.959	8399.434	NA	NA	NA	NA	NA	NA	NA	NA	NA	775.977	-4816.346	8312.255	762.712	-4873.646	8294.562	741.415	-4933.799	8275.712	707.081	-4984.675	8253.834	652.097	-5024.869	8233.213	597.678	-5055.750	8220.704	574.800	-5121.796	8210.962	566.707	-5192.100	8237.628	557.250	-5269.289	8298.120
4334	24.20670	NA	NA	NA	890.598	-4611.189	8481.899	909.842	-4641.693	8467.871	894.997	-4673.970	8447.102	NA	NA	NA	854.774	-4682.694	8395.268	NA	NA	NA	NA	NA	NA	NA	NA	NA	780.566	-4809.649	8308.199	769.048	-4867.645	8290.694	749.007	-4928.154	8272.124	715.602	-4979.662	8250.208	661.192	-5020.325	8229.074	606.639	-5050.670	8216.067	577.109	-5114.224	8203.741	566.450	-5185.146	8228.803	561.287	-5261.027	8290.747
4335	24.21229	NA	NA	NA	898.156	-4603.457	8473.158	912.225	-4634.782	8463.421	903.214	-4664.944	8441.461	NA	NA	NA	863.331	-4680.175	8390.766	NA	NA	NA	NA	NA	NA	NA	NA	NA	784.739	-4802.914	8303.975	775.270	-4861.509	8286.415	756.470	-4922.505	8268.094	723.932	-4974.529	8246.271	670.102	-5015.579	8224.570	615.414	-5045.537	8211.080	586.543	-5107.363	8196.840	566.633	-5178.014	8219.392	563.213	-5253.587	8282.138
4336	24.21788	NA	NA	NA	902.417	-4596.432	8465.837	914.839	-4627.571	8460.218	911.651	-4657.088	8436.919	NA	NA	NA	871.984	-4677.957	8385.986	NA	NA	NA	NA	NA	NA	NA	NA	NA	788.665	-4796.169	8299.518	781.762	-4855.502	8281.508	763.886	-4916.837	8263.659	732.323	-4969.400	8241.927	679.017	-5010.773	8219.800	623.854	-5040.276	8205.818	580.149	-5099.142	8196.528	567.829	-5171.067	8209.936	562.948	-5246.727	8272.419
4337	24.22346	NA	NA	NA	906.987	-4588.533	8458.209	917.488	-4620.154	8457.684	920.969	-4648.769	8434.151	NA	NA	NA	880.651	-4675.595	8380.986	NA	NA	NA	NA	NA	NA	NA	NA	NA	792.514	-4789.441	8294.761	787.364	-4849.330	8276.563	771.090	-4911.086	8258.879	740.560	-4964.097	8237.218	687.792	-5005.841	8214.789	632.573	-5035.938	8200.516	585.851	-5091.978	8189.748	569.546	-5163.452	8199.712	561.234	-5240.257	8261.657
4338	24.22905	NA	NA	NA	912.666	-4581.042	8450.665	919.978	-4612.628	8455.240	930.578	-4640.173	8432.369	NA	NA	NA	889.378	-4673.398	8375.802	NA	NA	NA	NA	NA	NA	NA	NA	NA	796.456	-4782.759	8289.638	793.355	-4843.203	8271.014	778.110	-4905.357	8253.772	748.975	-4958.789	8231.451	696.528	-5000.892	8209.528	640.853	-5030.283	8195.241	604.429	-5086.162	8177.367	580.203	-5156.575	8187.808	558.724	-5234.093	8249.636
4339	24.23464	NA	NA	NA	918.499	-4573.441	8442.995	922.112	-4605.088	8452.308	939.892	-4631.491	8430.781	NA	NA	NA	894.852	-4677.673	8372.764	NA	NA	NA	NA	NA	NA	NA	NA	NA	800.661	-4776.150	8284.081	798.714	-4837.081	8265.330	784.913	-4899.446	8248.254	756.839	-4953.500	8226.130	705.050	-4995.943	8203.980	649.147	-5025.354	8189.688	610.744	-5079.352	8170.480	583.133	-5149.135	8177.696	555.919	-5228.577	8236.351
4340	24.24022	NA	NA	NA	924.502	-4565.962	8434.649	923.695	-4597.629	8448.308	948.323	-4622.911	8428.600	NA	NA	NA	901.417	-4680.155	8368.642	NA	NA	NA	NA	NA	NA	NA	NA	NA	805.299	-4769.643	8278.024	804.395	-4830.870	8259.026	791.957	-4893.674	8242.152	763.473	-4948.048	8221.022	713.545	-4991.035	8198.231	657.440	-5020.455	8183.832	620.568	-5072.872	8163.815	586.322	-5141.846	8167.584	552.852	-5222.538	8221.995
4341	24.24581	NA	NA	NA	930.692	-4558.840	8425.078	924.532	-4590.348	8442.664	955.283	-4614.622	8425.034	NA	NA	NA	913.416	-4672.579	8360.203	NA	NA	NA	NA	NA	NA	NA	NA	NA	810.539	-4763.265	8271.401	809.926	-4824.696	8252.279	798.314	-4887.632	8235.824	769.849	-4943.311	8215.915	721.894	-4986.146	8192.204	665.643	-5015.646	8177.739	628.486	-5066.459	8156.724	589.685	-5134.241	8157.445	550.224	-5216.941	8206.896
