NO_OF_FRAMES	241
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 11:52:08	70685.37410805
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
4012	22.40782	836.705	-4848.526	7419.770	808.055	-4884.105	7456.747	748.976	-4869.356	7494.376	713.818	-4887.075	7513.766	727.974	-4938.719	7532.980	723.347	-4988.445	7567.810	682.368	-4996.815	7617.320	645.418	-4987.216	7665.435	632.449	-4977.857	7708.600	600.773	-4992.871	7769.223	548.413	-4988.483	7840.761	479.069	-4976.348	7867.946	406.693	-4963.459	7877.348	335.991	-4928.166	7863.675
4013	22.41341	840.138	-4848.539	7404.199	811.653	-4884.140	7441.151	753.303	-4867.731	7478.178	716.373	-4883.624	7496.977	730.807	-4934.966	7516.870	728.244	-4985.610	7550.422	687.621	-4995.771	7599.549	648.983	-4984.708	7645.994	635.273	-4972.464	7688.774	604.728	-4988.922	7750.229	553.626	-4984.959	7822.654	483.596	-4976.292	7849.725	408.806	-4966.351	7863.921	332.396	-4948.784	7836.137
4014	22.41899	843.544	-4848.578	7388.101	815.459	-4881.416	7423.640	757.503	-4866.059	7461.779	727.963	-4880.785	7499.848	733.509	-4931.198	7500.393	733.753	-4986.881	7532.412	692.909	-4994.639	7581.633	652.563	-4982.337	7626.181	638.288	-4968.934	7668.943	608.512	-4985.120	7730.700	558.767	-4981.316	7804.326	489.500	-4976.250	7831.238	408.977	-4970.027	7839.311	334.346	-4969.305	7808.792
4015	22.42458	846.849	-4848.688	7371.720	819.058	-4881.385	7407.311	761.685	-4864.539	7444.879	730.751	-4877.439	7482.417	732.253	-4927.543	7486.272	738.738	-4983.699	7514.967	698.297	-4993.664	7563.498	656.379	-4979.942	7606.258	641.432	-4966.656	7648.997	612.035	-4981.222	7710.712	563.603	-4977.964	7785.443	494.687	-4975.679	7812.891	406.344	-4976.535	7796.826	340.618	-4989.050	7781.967
4016	22.43017	850.265	-4848.563	7354.993	822.769	-4881.310	7390.704	766.155	-4863.129	7428.167	733.876	-4873.868	7465.295	735.021	-4923.875	7469.244	743.680	-4980.343	7497.414	703.883	-4992.650	7545.369	660.307	-4977.595	7586.134	644.643	-4965.017	7628.830	615.403	-4977.146	7690.395	566.444	-4974.261	7758.005	499.238	-4975.053	7793.612	416.641	-4983.072	7769.414	350.239	-5006.973	7756.247
4017	22.43575	853.536	-4848.380	7337.984	826.399	-4881.080	7373.912	769.559	-4860.769	7402.107	731.680	-4869.505	7441.320	737.782	-4920.179	7452.021	748.446	-4976.896	7479.553	709.431	-4991.594	7526.917	664.436	-4975.337	7565.786	647.859	-4963.407	7608.335	618.482	-4973.137	7669.607	571.212	-4971.136	7738.652	504.060	-4974.378	7773.954	422.878	-4989.667	7747.143	363.195	-5022.875	7730.502
4018	22.44134	857.238	-4848.106	7320.858	830.020	-4880.864	7356.658	774.174	-4859.226	7384.434	730.440	-4865.495	7414.627	740.576	-4916.372	7434.615	753.273	-4973.278	7461.473	715.083	-4990.472	7508.354	668.793	-4973.177	7545.345	651.018	-4961.212	7587.405	621.494	-4969.091	7648.351	572.436	-4968.847	7710.751	509.358	-4973.739	7754.313	429.955	-4996.230	7724.792	380.068	-5037.029	7701.458
4019	22.44693	860.984	-4848.027	7303.772	833.588	-4880.661	7339.061	778.812	-4857.631	7366.752	736.434	-4862.985	7389.351	746.990	-4912.595	7414.570	757.821	-4969.686	7443.039	720.802	-4989.276	7489.645	673.667	-4967.772	7523.690	654.057	-4957.823	7565.931	624.509	-4964.949	7626.838	576.988	-4965.592	7690.254	514.615	-4973.330	7734.250	438.044	-5002.638	7702.421	391.662	-5050.542	7680.002
4020	22.45251	864.363	-4847.887	7286.259	837.157	-4880.342	7321.008	783.493	-4855.897	7348.767	740.284	-4859.296	7371.304	749.817	-4908.666	7396.953	762.251	-4965.981	7424.316	726.614	-4987.969	7470.693	678.392	-4965.711	7503.119	657.224	-4954.339	7544.143	627.383	-4960.774	7604.787	581.367	-4962.390	7669.229	519.473	-4973.171	7713.402	447.128	-5010.458	7679.991	405.577	-5062.486	7656.526
4021	22.45810	867.580	-4847.513	7268.188	840.604	-4880.118	7302.635	788.458	-4854.080	7330.860	744.237	-4855.579	7352.980	753.050	-4904.748	7379.602	766.389	-4962.310	7405.321	732.387	-4986.622	7451.595	683.176	-4963.728	7482.506	660.265	-4950.954	7522.030	630.182	-4956.653	7582.306	585.612	-4959.212	7647.695	524.730	-4972.995	7692.657	456.775	-5016.596	7657.449	419.955	-5072.766	7633.787
