NO_OF_FRAMES	228
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 14:07:08	17922.82978921
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
8991	50.22346	NA	NA	NA	368.734	-5151.684	7455.065	370.802	-5115.435	7473.467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	439.465	-5042.343	7732.657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	475.938	-5131.359	7961.272
8992	50.22905	NA	NA	NA	384.269	-5158.103	7421.203	366.551	-5115.211	7460.706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	435.340	-5041.972	7718.436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	526.584	-5097.163	7953.848	472.186	-5133.325	7943.982
8993	50.23464	NA	NA	NA	382.257	-5157.968	7407.290	362.315	-5116.512	7447.808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	431.281	-5041.852	7704.391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	527.284	-5099.727	7933.996	467.927	-5133.246	7927.357
8994	50.24022	NA	NA	NA	380.119	-5158.717	7393.969	350.918	-5120.375	7440.528	401.010	-5101.398	7469.622	NA	NA	NA	NA	NA	NA	NA	NA	NA	427.458	-5044.334	7690.850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490.579	-5149.036	7926.340	525.486	-5102.798	7913.477	465.572	-5132.043	7909.712
8995	50.24581	NA	NA	NA	378.252	-5160.058	7380.604	347.548	-5121.331	7429.168	396.248	-5102.132	7455.678	NA	NA	NA	NA	NA	NA	NA	NA	NA	423.369	-5044.667	7677.056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490.682	-5150.347	7905.621	527.315	-5105.047	7891.825	461.656	-5129.865	7892.432
8996	50.25140	NA	NA	NA	376.768	-5161.524	7366.956	343.655	-5123.401	7414.077	391.221	-5102.797	7441.268	NA	NA	NA	NA	NA	NA	NA	NA	NA	419.002	-5044.996	7663.287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490.434	-5151.450	7884.332	530.576	-5107.506	7869.140	458.127	-5126.530	7874.837
8997	50.25698	NA	NA	NA	375.548	-5163.587	7353.500	340.195	-5127.208	7398.380	385.842	-5105.786	7426.842	NA	NA	NA	NA	NA	NA	NA	NA	NA	414.492	-5045.638	7649.487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	491.276	-5150.837	7855.729	515.521	-5109.580	7850.574	456.017	-5119.316	7854.186
8998	50.26257	NA	NA	NA	375.176	-5165.988	7339.488	342.551	-5127.157	7373.106	379.880	-5106.521	7411.388	NA	NA	NA	NA	NA	NA	NA	NA	NA	409.130	-5046.184	7636.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	519.545	-5109.295	7833.070	447.284	-5114.535	7841.733
8999	50.26816	NA	NA	NA	375.232	-5168.258	7325.446	339.406	-5131.516	7356.449	373.199	-5107.307	7395.778	NA	NA	NA	NA	NA	NA	NA	NA	NA	394.709	-5046.850	7626.042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	504.738	-5121.486	7838.322	474.401	-5157.301	7814.819	520.158	-5111.446	7808.983	445.309	-5109.646	7822.303
9000	50.27374	NA	NA	NA	376.193	-5170.870	7310.787	336.809	-5135.962	7339.521	365.427	-5107.728	7380.185	NA	NA	NA	NA	NA	NA	NA	NA	NA	391.804	-5046.893	7611.885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	465.465	-5119.492	7849.609	481.641	-5154.304	7795.895	518.893	-5113.594	7779.318	438.417	-5108.871	7809.969
9001	50.27933	NA	NA	NA	377.790	-5172.531	7295.872	334.962	-5141.204	7322.661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	388.949	-5046.024	7596.018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	463.002	-5122.112	7828.328	480.515	-5155.469	7773.112	518.357	-5117.065	7752.817	445.986	-5100.276	7782.077
9002	50.28492	NA	NA	NA	380.006	-5173.512	7280.769	334.156	-5145.758	7305.870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	385.584	-5046.237	7579.669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	454.539	-5125.866	7806.207	479.494	-5154.898	7751.596	514.360	-5120.271	7724.988	442.337	-5098.276	7768.571
9003	50.29050	NA	NA	NA	382.955	-5178.535	7266.887	334.478	-5151.697	7289.450	349.185	-5115.401	7320.828	NA	NA	NA	NA	NA	NA	NA	NA	NA	382.342	-5046.640	7563.774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	440.164	-5121.716	7793.004	478.211	-5154.030	7730.193	513.893	-5121.812	7699.051	443.466	-5095.022	7751.303
