NO_OF_FRAMES	212
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 14:36:24	19138.82463515
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
23909	133.56425	651.242	-4448.106	7651.824	631.039	-4526.415	7714.110	616.600	-4584.958	7782.126	624.916	-4636.546	7841.683	608.469	-4670.270	7901.765	562.822	-4720.032	7961.328	527.480	-4764.951	8010.992	506.163	-4808.960	8067.775	502.011	-4854.731	8140.776	507.130	-4879.436	8201.549	505.644	-4913.665	8254.438	493.051	-4986.818	8295.126	466.992	-5123.920	8280.014
23910	133.56983	653.044	-4443.665	7639.785	632.767	-4522.043	7701.867	616.920	-4580.590	7769.588	626.745	-4632.743	7828.502	611.682	-4666.481	7888.892	566.549	-4715.297	7949.733	530.543	-4758.210	8000.243	508.477	-4801.099	8057.846	503.954	-4846.392	8131.204	508.169	-4870.438	8192.438	508.306	-4902.266	8247.196	499.632	-4968.705	8298.850	475.451	-5104.123	8286.178
23911	133.57542	654.872	-4439.139	7627.545	634.534	-4517.692	7689.507	617.300	-4576.246	7756.933	628.564	-4628.797	7815.318	614.913	-4662.834	7875.741	569.207	-4710.524	7939.013	531.647	-4751.008	7990.999	511.073	-4793.395	8047.758	506.196	-4837.925	8121.294	508.991	-4861.259	8183.375	510.930	-4890.975	8239.436	506.541	-4949.908	8300.504	438.199	-5077.024	8329.605
23912	133.58101	656.746	-4434.759	7615.110	636.313	-4513.417	7676.938	617.800	-4571.857	7744.113	630.376	-4625.426	7802.034	617.280	-4659.459	7863.653	570.370	-4703.945	7930.516	534.516	-4744.545	7979.802	513.946	-4785.580	8037.382	508.343	-4829.262	8111.358	509.916	-4851.824	8173.996	513.323	-4879.734	8231.027	512.913	-4930.748	8300.313	443.989	-5052.385	8343.616
23913	133.58659	658.632	-4430.555	7602.455	638.144	-4509.206	7664.224	618.278	-4567.396	7731.234	632.036	-4622.061	7788.376	620.459	-4655.960	7850.009	573.796	-4699.151	7917.644	531.157	-4736.809	7973.916	517.063	-4777.915	8026.749	510.529	-4820.585	8101.150	510.716	-4842.316	8164.640	515.457	-4868.341	8222.073	519.166	-4911.464	8297.839	462.612	-5025.942	8352.634
23914	133.59218	660.653	-4426.369	7589.567	640.060	-4505.008	7651.297	618.846	-4562.873	7718.179	632.565	-4618.874	7775.889	623.564	-4652.425	7836.122	577.116	-4694.512	7904.574	534.560	-4730.679	7961.919	520.284	-4770.247	8015.689	512.752	-4811.732	8090.667	511.234	-4830.867	8155.430	517.211	-4856.881	8212.885	524.828	-4892.408	8293.579	472.622	-4994.415	8367.636
23915	133.59777	662.729	-4422.401	7576.594	641.264	-4501.218	7639.252	619.402	-4558.310	7705.003	633.810	-4615.593	7761.839	626.430	-4649.006	7822.003	579.405	-4689.860	7889.999	538.068	-4724.622	7949.712	523.472	-4762.568	8004.400	514.991	-4802.796	8080.030	512.904	-4821.130	8145.247	519.059	-4845.100	8203.211	502.634	-4871.439	8303.271	484.696	-4959.431	8380.264
23916	133.60335	664.656	-4418.535	7563.355	643.319	-4497.164	7625.892	619.996	-4553.660	7691.646	635.046	-4611.991	7747.384	627.193	-4643.988	7810.645	582.829	-4685.403	7876.488	541.649	-4718.552	7937.381	526.467	-4755.121	7992.887	517.422	-4793.888	8068.897	514.678	-4811.121	8134.731	520.880	-4833.107	8193.265	508.377	-4852.621	8295.431	485.637	-4922.630	8396.164
23917	133.60894	666.637	-4413.967	7550.091	645.460	-4493.130	7612.412	620.613	-4548.980	7678.079	636.014	-4608.660	7732.736	629.932	-4640.942	7795.800	586.389	-4680.784	7862.836	545.347	-4712.540	7924.889	529.568	-4747.628	7980.897	519.771	-4784.926	8057.554	516.685	-4800.846	8123.998	522.891	-4820.913	8182.844	513.862	-4833.706	8286.533	475.424	-4883.195	8413.416
23918	133.61453	668.451	-4409.963	7536.467	647.621	-4489.113	7598.560	621.307	-4544.280	7664.299	636.742	-4605.371	7718.019	632.548	-4637.925	7780.650	589.807	-4676.338	7848.717	549.559	-4707.022	7912.616	530.575	-4740.387	7969.870	522.192	-4775.930	8045.839	518.973	-4790.431	8112.882	525.013	-4808.333	8172.094	525.396	-4815.718	8271.476	493.118	-4846.979	8412.141
23919	133.62011	670.103	-4406.035	7522.496	649.714	-4485.220	7584.545	622.046	-4539.754	7650.354	637.327	-4601.824	7703.058	635.030	-4634.973	7765.301	593.150	-4672.253	7834.226	553.424	-4701.097	7899.628	533.444	-4733.270	7958.192	524.584	-4766.575	8033.884	521.370	-4779.750	8101.434	527.283	-4795.306	8160.953	530.192	-4796.381	8260.819	NA	NA	NA
23920	133.62570	671.718	-4401.974	7508.196	651.886	-4481.420	7570.392	622.676	-4535.075	7636.118	637.821	-4598.329	7687.968	637.378	-4632.042	7749.656	596.679	-4668.255	7819.667	557.261	-4695.292	7886.266	535.711	-4724.387	7946.434	527.267	-4757.403	8021.438	524.079	-4768.851	8089.623	529.949	-4781.820	8149.252	534.703	-4777.032	8249.352	NA	NA	NA
23921	133.63128	673.228	-4398.197	7493.715	654.032	-4477.624	7555.941	623.362	-4530.655	7621.612	638.029	-4594.767	7672.734	639.592	-4629.092	7733.850	601.045	-4666.319	7801.930	560.941	-4689.701	7872.351	538.944	-4716.946	7933.008	529.800	-4747.909	8008.778	527.059	-4757.618	8077.595	532.616	-4768.186	8137.159	534.037	-4756.844	8241.470	NA	NA	NA
23922	133.63687	674.703	-4394.403	7478.935	656.169	-4473.961	7541.259	624.020	-4526.199	7606.988	638.229	-4591.188	7657.395	641.722	-4626.052	7717.805	604.480	-4662.853	7786.659	564.471	-4684.080	7857.918	542.196	-4709.619	7919.174	531.234	-4738.399	7996.956	530.206	-4745.749	8065.332	535.255	-4754.302	8124.738	539.321	-4737.728	8228.146	555.855	-4713.721	8366.326
23923	133.64246	676.156	-4390.772	7464.032	658.337	-4470.324	7526.436	624.657	-4521.725	7591.991	638.420	-4587.556	7641.879	643.759	-4622.944	7701.555	607.788	-4659.707	7770.941	567.851	-4678.609	7843.019	545.573	-4702.228	7905.049	532.988	-4728.694	7984.199	533.319	-4733.838	8052.540	536.662	-4740.342	8112.862	544.705	-4718.955	8214.002	567.286	-4684.481	8348.628
23924	133.64804	677.657	-4387.217	7448.961	660.452	-4466.899	7511.382	625.253	-4517.507	7576.807	638.587	-4583.419	7626.290	645.681	-4619.753	7685.147	611.106	-4656.193	7755.070	572.483	-4673.176	7829.199	549.071	-4694.839	7890.804	535.957	-4718.547	7970.367	536.570	-4721.828	8039.338	539.862	-4726.205	8099.273	550.257	-4700.303	8199.181	577.013	-4656.808	8330.002
23925	133.65363	679.100	-4383.418	7433.638	662.551	-4463.584	7496.092	625.872	-4513.313	7561.295	638.736	-4579.441	7610.629	647.514	-4616.478	7668.490	614.258	-4653.074	7738.836	572.019	-4675.833	7804.723	552.776	-4687.321	7876.197	539.077	-4708.141	7956.053	534.914	-4718.854	8013.390	543.211	-4711.906	8085.259	555.950	-4681.895	8183.641	585.932	-4630.796	8311.531
23926	133.65922	680.632	-4379.940	7418.158	664.610	-4460.286	7480.630	626.416	-4509.231	7545.591	638.791	-4575.614	7594.848	649.310	-4613.161	7651.752	615.159	-4654.478	7719.897	575.438	-4670.506	7788.913	556.238	-4679.862	7861.033	542.251	-4697.632	7941.437	537.931	-4706.400	7998.779	546.850	-4697.377	8070.597	561.419	-4663.770	8167.400	593.416	-4605.384	8291.777
23927	133.66480	682.119	-4376.665	7402.525	666.742	-4457.266	7464.793	626.985	-4505.188	7529.574	638.941	-4571.368	7578.888	651.004	-4609.671	7634.769	618.419	-4651.033	7703.292	578.806	-4665.263	7772.738	559.589	-4672.460	7845.191	545.685	-4686.888	7926.236	541.167	-4693.821	7983.779	550.638	-4683.049	8055.425	566.793	-4645.850	8150.631	600.117	-4580.953	8270.963
23928	133.67039	683.663	-4373.271	7386.659	668.727	-4454.178	7448.900	627.545	-4501.094	7513.371	638.993	-4567.188	7562.775	652.686	-4606.135	7617.678	621.640	-4647.692	7686.476	582.252	-4660.097	7756.334	560.181	-4671.641	7821.764	549.097	-4676.077	7910.920	544.530	-4681.067	7968.171	554.643	-4668.459	8039.660	572.161	-4628.197	8133.240	606.379	-4557.267	8249.521
23929	133.67598	685.250	-4370.021	7370.587	670.749	-4451.306	7432.710	626.844	-4495.038	7499.677	638.950	-4563.230	7546.385	654.266	-4602.575	7600.414	624.854	-4644.420	7669.355	585.699	-4654.984	7739.737	563.579	-4664.105	7805.448	552.947	-4665.327	7895.075	546.164	-4666.779	7953.216	556.529	-4653.742	8024.541	577.318	-4610.670	8115.399	612.432	-4534.295	8227.500
23930	133.68156	686.854	-4366.802	7354.341	672.717	-4448.426	7416.341	627.627	-4491.201	7482.911	638.797	-4558.954	7529.945	655.795	-4598.924	7582.990	628.009	-4641.108	7651.913	588.964	-4649.901	7722.599	567.016	-4656.586	7788.625	557.063	-4654.337	7878.977	549.933	-4653.977	7936.629	560.822	-4638.976	8007.578	582.432	-4593.479	8096.967	618.332	-4511.810	8205.247
23931	133.68715	688.555	-4363.638	7337.874	674.741	-4445.634	7399.604	628.511	-4487.478	7465.970	638.566	-4555.151	7513.108	657.312	-4595.195	7565.358	631.309	-4637.748	7634.519	592.437	-4644.651	7705.357	570.417	-4649.032	7771.462	559.891	-4641.484	7863.995	553.846	-4641.101	7919.396	565.148	-4624.143	7990.094	587.463	-4576.391	8077.973	623.585	-4490.060	8182.227
23932	133.69274	690.222	-4360.574	7321.136	676.657	-4442.935	7382.681	629.451	-4483.792	7448.843	638.225	-4550.810	7496.106	658.620	-4591.490	7547.574	634.490	-4634.290	7616.700	595.846	-4639.363	7687.912	573.811	-4641.549	7753.986	560.045	-4637.891	7838.467	557.796	-4628.189	7901.616	569.437	-4609.179	7972.144	590.758	-4559.712	8059.681	628.445	-4469.012	8158.921
23933	133.69832	691.865	-4357.419	7304.196	678.560	-4440.311	7365.576	630.602	-4480.098	7431.639	637.781	-4546.396	7478.862	659.906	-4587.715	7529.545	637.730	-4630.739	7598.769	599.177	-4634.146	7670.024	577.210	-4633.918	7736.131	563.815	-4627.312	7820.538	561.864	-4615.367	7883.313	573.958	-4594.299	7953.453	593.212	-4543.309	8041.437	632.612	-4448.441	8135.313
23934	133.70391	693.573	-4354.435	7287.092	680.468	-4437.704	7348.161	632.103	-4476.295	7414.403	637.308	-4542.372	7461.569	661.077	-4583.952	7511.318	640.930	-4627.069	7580.546	602.563	-4628.750	7651.830	580.788	-4626.277	7718.027	567.614	-4616.711	7802.115	566.067	-4602.566	7864.641	578.607	-4579.272	7934.346	595.723	-4527.048	8022.587	636.255	-4428.186	8111.551
23935	133.70950	695.261	-4351.539	7269.748	682.371	-4435.057	7330.578	633.714	-4475.012	7394.230	634.847	-4532.870	7444.204	662.188	-4580.180	7492.800	644.001	-4623.337	7562.058	606.016	-4623.397	7633.683	584.207	-4618.652	7699.426	571.474	-4606.138	7783.322	570.388	-4589.825	7845.483	583.323	-4564.157	7914.728	599.187	-4510.796	8002.477	634.152	-4409.232	8090.826
23936	133.71508	696.901	-4348.506	7252.147	684.264	-4432.542	7312.725	633.196	-4477.563	7373.492	634.234	-4528.888	7426.383	663.163	-4576.358	7474.168	647.172	-4619.570	7543.553	609.392	-4618.046	7615.074	587.786	-4611.032	7680.741	575.244	-4595.616	7763.993	574.657	-4577.133	7825.734	588.218	-4549.140	7894.599	604.500	-4494.420	7980.453	636.785	-4389.533	8066.136
23937	133.72067	698.605	-4345.767	7234.313	686.139	-4430.161	7294.698	634.458	-4474.246	7355.241	633.627	-4524.745	7408.518	664.074	-4572.436	7455.322	650.184	-4615.691	7524.695	612.876	-4612.788	7596.346	591.303	-4603.414	7661.624	579.250	-4585.148	7744.483	579.006	-4564.518	7805.580	593.381	-4534.270	7873.948	609.813	-4478.104	7957.915	638.863	-4370.116	8041.010
