NO_OF_FRAMES	299
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-28, 12:50:35	8923.14412428
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
2277	12.71508	439.131	-4543.413	8243.846	416.699	-4591.442	8244.912	398.222	-4659.950	8228.188	421.462	-4709.854	8240.537	449.209	-4754.802	8252.667	461.342	-4815.971	8247.714	445.690	-4881.158	8243.102	428.719	-4944.270	8252.688	428.516	-4989.296	8266.932	443.366	-5049.976	8280.917	NA	NA	NA	470.127	-5197.881	8240.205	467.861	-5264.836	8279.805	468.648	-5261.992	8357.217
2278	12.72067	439.176	-4538.535	8236.801	420.380	-4586.563	8237.139	397.853	-4654.355	8220.811	418.364	-4704.490	8235.832	446.087	-4748.259	8252.084	NA	NA	NA	446.206	-4873.740	8240.086	426.813	-4936.336	8247.428	425.574	-4981.596	8261.211	439.423	-5041.882	8277.121	NA	NA	NA	477.652	-5187.823	8237.917	472.689	-5255.299	8273.672	NA	NA	NA
2279	12.72626	439.487	-4533.749	8229.455	419.576	-4582.053	8231.750	396.672	-4647.135	8213.988	415.323	-4699.291	8230.634	442.468	-4742.071	8250.619	NA	NA	NA	446.483	-4866.308	8237.637	425.615	-4928.798	8241.765	423.694	-4974.039	8254.468	437.333	-5034.630	8271.658	NA	NA	NA	484.683	-5177.811	8236.683	478.508	-5244.102	8269.197	510.284	-5266.350	8324.611
2280	12.73184	439.616	-4528.792	8221.321	421.336	-4577.444	8225.097	396.073	-4641.689	8207.045	412.166	-4693.889	8225.275	438.835	-4735.780	8248.236	NA	NA	NA	446.804	-4858.885	8235.408	424.748	-4921.145	8235.917	421.463	-4966.635	8248.222	435.740	-5027.099	8265.484	NA	NA	NA	490.014	-5167.366	8235.578	486.064	-5233.207	8265.721	522.094	-5254.834	8310.515
2281	12.73743	439.800	-4523.975	8212.516	425.464	-4572.612	8217.121	395.771	-4636.134	8200.126	408.962	-4688.336	8219.559	435.204	-4729.441	8244.984	NA	NA	NA	447.574	-4851.620	8233.033	423.932	-4912.956	8230.126	419.289	-4958.801	8240.897	432.177	-5019.533	8258.938	NA	NA	NA	494.165	-5156.689	8234.357	490.632	-5223.100	8264.340	529.563	-5260.147	8282.772
2282	12.74302	440.369	-4519.250	8203.453	425.687	-4567.997	8211.271	396.873	-4630.481	8193.227	405.672	-4682.693	8213.603	431.677	-4723.068	8240.932	454.445	-4780.482	8246.410	447.926	-4844.476	8230.952	423.560	-4904.177	8224.534	417.424	-4951.242	8233.309	428.541	-5012.059	8251.797	NA	NA	NA	496.113	-5146.096	8234.481	503.129	-5213.748	8259.470	534.815	-5254.941	8265.703
2283	12.74860	441.066	-4514.684	8193.979	429.799	-4562.919	8203.368	396.746	-4624.750	8186.582	402.358	-4676.954	8207.240	427.876	-4716.622	8236.424	452.312	-4773.192	8243.902	448.195	-4837.491	8228.748	424.075	-4896.650	8218.132	415.978	-4943.794	8225.468	424.726	-5004.927	8244.300	NA	NA	NA	494.640	-5136.987	8237.643	514.746	-5206.050	8253.229	542.107	-5246.518	8250.732
2284	12.75419	442.081	-4510.118	8184.407	432.070	-4557.850	8196.275	396.661	-4618.889	8179.996	399.080	-4671.082	8200.474	429.788	-4710.063	8227.862	449.824	-4765.891	8240.678	447.907	-4830.566	8226.519	424.822	-4889.470	8212.752	415.215	-4936.444	8217.281	420.500	-4997.886	8236.481	450.091	-5061.910	8263.109	494.148	-5129.185	8240.083	529.813	-5196.287	8246.602	552.774	-5238.195	8237.573
2285	12.75978	442.067	-4505.710	8175.898	434.081	-4552.761	8189.250	396.733	-4612.870	8173.295	395.839	-4665.167	8193.354	426.188	-4703.765	8221.680	446.695	-4758.708	8237.012	447.323	-4823.741	8223.923	425.935	-4882.576	8207.416	414.810	-4929.063	8208.661	416.239	-4990.983	8228.030	447.293	-5052.989	8258.105	492.635	-5120.812	8241.785	541.188	-5182.917	8239.373	565.238	-5228.941	8224.186
2286	12.76536	443.392	-4501.232	8166.151	436.245	-4547.620	8181.876	396.856	-4606.901	8166.732	392.617	-4659.089	8185.936	422.618	-4697.632	8214.803	443.884	-4751.641	8232.365	446.445	-4817.142	8220.846	427.123	-4875.853	8202.278	414.881	-4922.065	8200.908	412.725	-4984.089	8219.057	444.236	-5045.916	8251.809	NA	NA	NA	547.861	-5168.653	8233.804	578.245	-5219.609	8212.262
2287	12.77095	445.846	-4496.506	8155.160	438.409	-4542.433	8174.198	397.043	-4600.979	8160.122	389.408	-4652.977	8178.192	418.975	-4691.554	8207.401	440.584	-4744.643	8227.234	445.100	-4810.552	8217.508	427.975	-4869.206	8197.409	414.860	-4915.083	8193.445	410.125	-4977.174	8209.709	441.259	-5038.662	8244.372	486.718	-5105.143	8240.172	550.512	-5153.823	8228.386	592.480	-5207.766	8202.584
2288	12.77654	447.132	-4492.047	8145.357	440.539	-4537.380	8166.191	397.444	-4595.183	8153.483	386.139	-4646.698	8170.226	413.219	-4685.782	8201.879	437.353	-4737.726	8221.237	443.510	-4803.897	8213.829	428.377	-4862.572	8192.533	415.645	-4908.099	8185.619	408.570	-4970.251	8200.137	438.472	-5032.325	8236.942	485.807	-5097.407	8238.597	550.325	-5139.492	8222.710	605.275	-5189.483	8193.144
2289	12.78212	448.527	-4487.757	8135.706	442.735	-4532.479	8157.881	398.045	-4589.481	8146.682	382.911	-4640.192	8162.163	409.087	-4679.763	8193.878	434.051	-4730.835	8214.518	441.293	-4797.194	8209.995	428.296	-4855.905	8187.592	416.350	-4901.168	8177.721	407.243	-4963.119	8190.833	434.390	-5029.996	8222.001	486.288	-5089.517	8236.281	544.525	-5126.288	8223.147	NA	NA	NA
