NO_OF_FRAMES	235
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 12:25:37	11832.10388537
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
6360	35.52514	346.867	-4353.933	8037.053	366.550	-4392.505	8054.162	341.640	-4473.254	8063.996	332.378	-4541.161	8072.209	362.099	-4598.065	8081.050	400.175	-4664.959	8092.423	417.805	-4745.636	8112.570	427.194	-4812.043	8136.144	438.055	-4860.676	8159.227	449.266	-4908.633	8189.892	471.482	-4951.549	8220.397	496.958	-5003.056	8260.297	502.664	-5087.943	8297.222	475.779	-5197.938	8345.301	470.361	-5243.344	8408.572	456.953	-5277.564	8472.300
6361	35.53073	345.312	-4348.789	8028.688	364.924	-4389.059	8046.610	341.596	-4467.760	8055.793	328.958	-4535.034	8062.133	356.571	-4592.909	8071.583	396.555	-4658.564	8083.596	416.695	-4738.678	8103.319	425.734	-4805.174	8126.649	436.092	-4853.527	8150.266	446.164	-4901.273	8181.833	466.666	-4944.704	8212.783	491.841	-4995.944	8253.234	506.436	-5082.356	8296.160	474.887	-5181.996	8354.222	453.681	-5219.262	8418.976	426.559	-5246.191	8482.560
6362	35.53631	343.704	-4343.861	8020.146	363.142	-4383.906	8038.911	341.456	-4462.337	8047.586	325.742	-4529.016	8051.633	351.088	-4587.899	8061.631	392.898	-4652.515	8074.512	415.436	-4731.901	8093.966	424.310	-4798.268	8116.976	434.410	-4846.357	8141.175	443.640	-4893.729	8173.582	462.309	-4937.781	8204.761	486.876	-4988.970	8245.637	506.226	-5070.412	8296.590	474.271	-5164.224	8363.305	440.714	-5194.896	8425.833	399.874	-5212.550	8485.656
6363	35.54190	341.952	-4339.029	8011.491	361.304	-4378.779	8030.872	341.158	-4457.032	8039.146	322.666	-4522.984	8041.308	345.864	-4582.715	8051.264	389.086	-4646.607	8065.033	413.989	-4724.934	8084.535	422.943	-4791.396	8107.353	432.804	-4839.314	8132.105	441.571	-4886.252	8165.071	458.455	-4930.779	8196.228	482.264	-4982.205	8237.735	504.322	-5057.346	8296.285	472.945	-5144.342	8372.195	431.170	-5170.517	8431.598	378.912	-5174.839	8485.337
6364	35.54749	340.021	-4334.305	8002.830	359.319	-4370.692	8022.688	340.706	-4451.986	8030.443	319.378	-4517.127	8031.018	340.828	-4577.567	8040.657	385.248	-4640.914	8055.036	412.402	-4717.898	8074.938	421.648	-4784.407	8097.926	431.285	-4832.165	8122.939	439.616	-4879.208	8156.050	452.864	-4923.924	8187.989	477.696	-4975.101	8229.671	501.632	-5043.933	8295.534	470.846	-5122.717	8380.193	423.218	-5142.393	8436.752	363.440	-5136.097	8480.714
6365	35.55307	337.888	-4329.623	7994.160	357.516	-4365.837	8013.835	340.049	-4446.847	8021.411	316.038	-4511.220	8020.523	336.027	-4572.127	8029.866	381.320	-4635.097	8044.562	410.627	-4711.019	8065.049	420.283	-4777.397	8088.617	429.873	-4824.876	8113.563	437.765	-4872.490	8146.676	451.953	-4917.214	8177.908	473.195	-4967.949	8221.588	497.895	-5030.256	8293.789	468.297	-5099.641	8386.980	416.733	-5112.302	8441.370	352.421	-5098.180	8473.710
6366	35.55866	335.485	-4324.989	7985.369	355.812	-4361.210	8004.487	339.586	-4441.913	8011.911	312.936	-4505.384	8010.071	331.407	-4566.879	8018.885	377.191	-4629.688	8033.563	408.839	-4704.260	8054.953	418.865	-4770.453	8079.157	428.364	-4818.033	8103.775	435.944	-4865.801	8136.512	449.007	-4910.672	8168.074	468.683	-4960.438	8213.541	493.177	-5016.512	8290.975	465.839	-5080.609	8391.251	411.590	-5082.021	8445.527	344.816	-5062.946	8466.249
6367	35.56425	332.854	-4320.453	7976.409	354.153	-4356.645	7994.643	339.146	-4436.993	8001.976	309.890	-4499.439	7999.492	326.956	-4561.709	8007.723	372.839	-4624.412	8022.200	406.798	-4697.496	8044.650	417.436	-4763.531	8069.372	426.970	-4811.407	8093.641	434.141	-4859.492	8125.878	446.188	-4904.054	8157.978	464.178	-4952.539	8205.525	487.494	-5002.842	8287.296	463.361	-5060.266	8393.736	407.666	-5053.328	8449.296	339.588	-5032.250	8460.252
6368	35.56983	330.055	-4316.007	7967.147	352.513	-4352.810	7984.085	338.761	-4432.167	7991.993	307.414	-4493.625	7988.712	322.684	-4556.517	7996.364	368.431	-4619.402	8010.826	404.794	-4691.223	8034.055	416.116	-4756.674	8059.184	425.656	-4804.914	8082.983	432.425	-4853.071	8115.097	443.546	-4897.380	8147.722	459.576	-4944.176	8197.460	481.203	-4989.080	8282.835	460.750	-5033.257	8395.170	404.834	-5028.000	8452.752	335.697	-5007.951	8457.643
6369	35.57542	327.155	-4311.718	7957.480	350.790	-4348.558	7973.387	338.418	-4427.502	7981.821	305.062	-4487.840	7977.489	318.379	-4551.360	7984.779	363.774	-4614.444	7999.275	402.502	-4684.684	8023.218	414.912	-4750.095	8048.436	424.521	-4798.370	8072.023	430.924	-4846.463	8104.033	441.029	-4890.544	8137.486	455.005	-4935.695	8189.283	474.740	-4975.238	8277.825	457.616	-5007.981	8394.562	402.991	-5000.992	8454.661	331.921	-4993.793	8452.578
