NO_OF_FRAMES	272
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 16:26:55	772.95638958
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
4236	23.65922	612.118	-4550.357	8086.989	498.538	-4871.926	8111.172	458.021	-5062.334	8227.385
4237	23.66480	613.745	-4543.479	8077.681	501.265	-4863.083	8107.272	452.550	-5060.122	8216.067
4238	23.67039	615.656	-4536.662	8068.026	504.696	-4854.140	8102.566	453.315	-5056.888	8205.584
4239	23.67598	617.817	-4530.038	8058.110	507.637	-4845.353	8097.151	454.420	-5053.732	8195.256
4240	23.68156	620.062	-4523.491	8047.663	510.668	-4836.735	8091.238	454.346	-5049.288	8184.720
4241	23.68715	622.461	-4517.089	8036.917	514.013	-4828.385	8084.926	453.886	-5043.777	8174.324
4242	23.69274	624.938	-4510.763	8025.775	517.300	-4819.982	8078.044	453.241	-5037.728	8164.446
4243	23.69832	627.473	-4504.575	8014.321	520.432	-4811.796	8070.779	452.608	-5030.971	8154.833
4244	23.70391	630.277	-4498.403	8002.814	523.510	-4803.520	8063.065	452.014	-5023.701	8145.599
4245	23.70950	633.086	-4492.321	7991.031	526.621	-4795.255	8054.920	451.443	-5015.907	8136.605
4246	23.71508	636.001	-4486.312	7979.190	529.745	-4786.962	8046.272	450.897	-5007.707	8127.918
4247	23.72067	638.917	-4480.379	7967.063	532.845	-4778.845	8037.188	450.502	-4999.183	8119.376
4248	23.72626	643.343	-4476.194	7954.855	531.754	-4770.634	8028.731	450.341	-4990.481	8110.909
4249	23.73184	646.674	-4470.738	7942.667	535.477	-4762.579	8018.552	450.368	-4981.529	8102.508
4250	23.73743	649.949	-4465.217	7930.263	539.089	-4754.623	8007.903	450.659	-4972.386	8094.000
4251	23.74302	653.411	-4459.922	7917.977	542.548	-4746.726	7996.794	451.114	-4963.116	8085.507
4252	23.74860	656.779	-4454.388	7905.513	545.958	-4738.911	7985.343	451.659	-4953.611	8076.789
4253	23.75419	660.191	-4449.212	7893.182	549.432	-4731.121	7973.440	452.213	-4943.964	8067.913
4254	23.75978	663.662	-4443.810	7880.760	552.892	-4723.475	7961.340	452.734	-4934.018	8058.862
4255	23.76536	667.114	-4438.246	7868.076	556.459	-4715.804	7948.836	453.362	-4923.869	8049.527
4256	23.77095	670.480	-4432.833	7855.460	560.054	-4708.210	7936.084	453.973	-4913.660	8040.028
4257	23.77654	673.729	-4427.023	7842.499	563.710	-4700.549	7923.105	454.837	-4903.640	8030.461
4258	23.78212	676.802	-4420.790	7829.150	567.391	-4692.932	7909.860	455.564	-4892.679	8019.979
4259	23.78771	679.850	-4415.446	7815.535	571.083	-4685.388	7896.323	456.624	-4882.032	8009.461
4260	23.79330	682.871	-4409.900	7801.812	574.777	-4677.827	7882.494	457.753	-4871.240	7998.591
4261	23.79888	685.747	-4404.215	7787.723	578.541	-4670.220	7868.426	459.025	-4860.418	7987.482
4262	23.80447	688.558	-4399.034	7773.708	582.317	-4662.678	7854.124	460.326	-4849.498	7976.088
4263	23.81006	691.350	-4393.014	7758.959	586.087	-4655.085	7839.611	461.622	-4838.568	7964.431
4264	23.81564	694.104	-4387.727	7744.327	589.858	-4647.445	7824.785	463.078	-4827.377	7952.420
4265	23.82123	696.819	-4382.973	7729.778	593.563	-4639.846	7809.698	461.786	-4816.117	7940.936
4266	23.82682	699.655	-4378.175	7715.396	597.245	-4632.241	7794.351	463.365	-4804.850	7928.245
4267	23.83240	702.497	-4372.681	7700.389	600.890	-4624.617	7778.716	464.958	-4793.456	7915.238
4268	23.83799	705.329	-4367.349	7685.267	604.435	-4616.922	7762.798	466.574	-4782.139	7901.856
4269	23.84358	708.104	-4362.056	7669.896	607.975	-4609.289	7746.626	468.217	-4770.577	7888.070
4270	23.84916	710.998	-4356.273	7654.394	611.467	-4601.660	7730.137	469.858	-4759.190	7873.850
4271	23.85475	713.849	-4350.888	7638.846	614.935	-4593.973	7713.328	471.561	-4747.618	7859.228
4272	23.86034	716.697	-4345.402	7623.033	618.434	-4586.296	7696.297	473.268	-4736.214	7844.145
4273	23.86592	719.573	-4339.995	7607.110	621.917	-4578.708	7679.031	475.000	-4724.790	7828.649
4274	23.87151	722.520	-4334.509	7590.989	625.472	-4571.061	7661.493	476.789	-4713.267	7812.820
4275	23.87709	725.486	-4329.043	7574.553	629.069	-4563.417	7643.642	478.683	-4701.761	7796.532
4276	23.88268	728.520	-4323.567	7558.096	632.728	-4555.830	7625.608	480.608	-4690.291	7780.061
4277	23.88827	731.598	-4318.144	7541.346	636.392	-4548.217	7607.351	482.656	-4678.815	7763.145
4278	23.89385	734.646	-4312.614	7524.380	640.236	-4540.765	7589.412	484.765	-4667.183	7745.856
4279	23.89944	737.800	-4307.062	7507.203	644.053	-4533.066	7570.641	487.025	-4655.564	7728.261
4280	23.90503	740.923	-4301.567	7489.727	647.885	-4525.365	7551.661	489.468	-4644.061	7710.725
4281	23.91061	744.070	-4296.246	7472.120	651.785	-4517.856	7532.521	491.800	-4632.558	7692.458
4282	23.91620	747.237	-4290.783	7454.164	655.744	-4510.179	7513.114	494.209	-4620.965	7673.713
4283	23.92179	750.359	-4285.398	7435.975	659.774	-4502.536	7493.448	496.645	-4609.257	7654.510
4284	23.92737	753.467	-4280.027	7417.483	663.773	-4495.001	7473.660	499.204	-4597.509	7634.956
4285	23.93296	756.517	-4274.890	7398.834	667.879	-4487.335	7453.635	501.774	-4585.750	7615.071
4286	23.93855	759.627	-4269.601	7379.964	671.952	-4479.723	7433.375	504.470	-4573.843	7594.800
4287	23.94413	762.742	-4264.241	7360.747	676.070	-4471.951	7412.979	507.116	-4562.052	7574.073
4288	23.94972	765.889	-4259.004	7341.337	680.117	-4464.186	7392.311	509.637	-4550.186	7552.816
4289	23.95531	769.065	-4253.721	7321.662	684.162	-4456.416	7371.484	512.165	-4538.346	7531.233
4290	23.96089	772.348	-4248.095	7301.719	688.088	-4448.884	7350.371	514.495	-4526.501	7508.981
4291	23.96648	775.598	-4242.848	7281.687	692.069	-4441.101	7328.931	517.313	-4514.478	7486.707
4292	23.97207	779.035	-4237.426	7261.332	695.956	-4433.083	7307.354	520.145	-4502.350	7464.045
4293	23.97765	782.457	-4231.722	7240.792	699.955	-4425.004	7285.485	523.038	-4490.142	7440.981
4294	23.98324	785.895	-4226.372	7220.206	703.915	-4417.125	7263.415	525.955	-4477.810	7417.550
4295	23.98883	789.429	-4220.786	7199.417	708.075	-4408.584	7241.087	528.854	-4465.386	7393.713
4296	23.99441	793.165	-4215.143	7178.373	712.094	-4400.520	7218.599	531.842	-4452.894	7369.641
4297	24.00000	797.006	-4209.400	7157.312	716.112	-4392.258	7195.827	534.766	-4440.400	7345.070
4298	24.00559	800.945	-4203.735	7136.139	720.095	-4383.958	7172.780	537.790	-4427.887	7320.380
4299	24.01117	804.913	-4198.296	7114.882	724.023	-4375.736	7149.530	540.904	-4415.198	7295.225
4300	24.01676	808.834	-4192.768	7093.414	727.963	-4367.295	7126.072	544.097	-4402.433	7269.840
4301	24.02235	812.875	-4187.159	7071.776	731.885	-4358.889	7102.348	547.394	-4389.559	7244.104
4302	24.02793	817.015	-4181.586	7050.185	735.778	-4350.460	7078.357	550.884	-4376.568	7218.059
4303	24.03352	821.224	-4176.004	7028.318	739.651	-4342.004	7054.237	554.446	-4363.613	7191.688
4304	24.03911	825.510	-4170.413	7006.258	743.472	-4333.561	7029.936	558.151	-4350.603	7164.838
4305	24.04469	829.870	-4164.856	6984.093	747.290	-4324.912	7005.462	562.111	-4337.496	7137.656
4306	24.05028	834.342	-4159.222	6961.697	751.102	-4316.407	6980.913	566.285	-4324.228	7110.252
4307	24.05587	838.804	-4153.588	6939.161	754.890	-4307.731	6956.209	570.732	-4311.065	7082.644
4308	24.06145	843.335	-4147.998	6916.437	758.716	-4298.958	6931.407	575.553	-4297.649	7054.833
4309	24.06704	847.952	-4142.363	6893.548	762.557	-4290.325	6906.562	580.736	-4284.107	7026.909
4310	24.07263	852.477	-4136.797	6870.363	766.504	-4281.417	6881.582	586.206	-4270.296	6998.912
4311	24.07821	857.047	-4131.104	6847.099	770.496	-4272.479	6856.655	591.999	-4256.554	6970.701
4312	24.08380	861.691	-4125.456	6823.641	774.604	-4263.577	6831.578	598.071	-4242.574	6942.414
4313	24.08939	866.362	-4119.801	6799.873	778.771	-4254.547	6806.447	604.422	-4228.902	6913.862
4314	24.09497	870.993	-4114.149	6775.983	783.057	-4245.312	6781.174	611.020	-4214.939	6885.092
4315	24.10056	875.700	-4108.370	6751.983	787.569	-4236.094	6755.883	617.899	-4201.243	6856.112
4316	24.10615	880.426	-4102.634	6727.669	792.127	-4226.797	6730.370	625.008	-4187.607	6826.857
4317	24.11173	885.187	-4096.718	6703.256	796.750	-4217.552	6704.896	632.375	-4173.934	6797.509
4318	24.11732	890.133	-4090.882	6678.898	801.424	-4208.192	6679.247	640.193	-4160.497	6767.872
4319	24.12291	895.112	-4084.888	6654.348	806.091	-4198.369	6653.649	648.072	-4147.222	6737.863
4320	24.12849	900.224	-4078.856	6629.762	810.697	-4189.122	6627.693	655.958	-4134.019	6707.679
4321	24.13408	905.423	-4072.782	6605.039	815.164	-4179.413	6601.590	664.035	-4120.922	6677.288
4322	24.13966	910.685	-4066.655	6580.185	819.746	-4169.639	6575.446	672.324	-4108.004	6646.610
4323	24.14525	916.200	-4060.626	6555.389	824.313	-4159.804	6549.154	680.787	-4095.263	6615.775
4324	24.15084	921.854	-4054.545	6530.377	828.909	-4149.902	6522.834	689.447	-4082.780	6584.715
4325	24.15642	927.629	-4048.352	6505.202	833.418	-4139.973	6496.210	698.234	-4070.556	6553.519
4326	24.16201	933.550	-4042.333	6479.998	837.910	-4130.036	6469.411	707.124	-4058.658	6521.974
4327	24.16760	939.635	-4036.258	6454.681	842.200	-4119.989	6442.687	716.028	-4046.988	6490.229
4328	24.17318	945.889	-4030.015	6429.260	846.265	-4109.782	6415.745	725.019	-4035.489	6458.399
4329	24.17877	952.197	-4023.833	6403.663	850.763	-4099.597	6388.813	734.185	-4024.704	6426.362
4330	24.18436	958.702	-4017.561	6378.057	855.251	-4089.392	6362.021	743.155	-4013.961	6394.135
4331	24.18994	965.325	-4011.286	6352.277	859.860	-4079.137	6335.177	751.914	-4003.632	6361.587
4332	24.19553	971.912	-4004.927	6326.395	864.513	-4068.799	6308.282	760.599	-3993.542	6329.090
4333	24.20112	978.584	-3998.577	6300.382	869.207	-4058.393	6281.408	769.272	-3983.629	6296.578
4334	24.20670	985.364	-3992.195	6274.189	873.910	-4047.995	6254.306	777.758	-3974.438	6263.497
4335	24.21229	992.256	-3985.633	6247.749	878.692	-4037.556	6227.205	786.709	-3963.912	6230.855
4336	24.21788	999.158	-3979.151	6221.126	883.630	-4027.104	6200.111	795.240	-3954.765	6198.021
4337	24.22346	1006.129	-3972.645	6194.380	888.633	-4016.572	6172.630	803.768	-3945.813	6165.211
4338	24.22905	1013.225	-3966.125	6167.528	893.928	-4005.815	6145.256	812.429	-3939.070	6130.166
4339	24.23464	1020.270	-3959.529	6140.561	899.277	-3995.018	6117.710	820.792	-3929.339	6099.343
4340	24.24022	1027.406	-3952.917	6113.402	904.728	-3984.255	6089.988	829.391	-3920.712	6066.657
4341	24.24581	1034.338	-3946.483	6086.072	910.250	-3973.350	6062.201	838.178	-3912.167	6034.095
4342	24.25140	1041.271	-3940.061	6058.627	916.010	-3962.296	6034.332	846.953	-3903.594	6001.521
4343	24.25698	1048.752	-3931.724	6030.345	921.683	-3952.070	6005.275	855.496	-3894.979	5969.845
4344	24.26257	1055.739	-3925.235	6002.454	927.487	-3942.200	5975.417	864.548	-3886.802	5937.430
4345	24.26816	1061.520	-3920.238	5975.466	933.630	-3931.853	5944.119	873.504	-3878.615	5904.874
4346	24.27374	1068.524	-3913.884	5947.417	940.578	-3915.549	5924.161	882.589	-3870.593	5872.435
4347	24.27933	1075.234	-3907.440	5918.566	946.779	-3905.830	5894.848	891.606	-3862.652	5839.989
4348	24.28492	1082.146	-3901.178	5890.123	953.257	-3895.875	5865.134	900.632	-3854.859	5807.727
4349	24.29050	1088.687	-3894.888	5860.831	960.005	-3884.764	5836.678	909.738	-3847.235	5775.459
4350	24.29609	1095.292	-3888.589	5831.393	966.953	-3873.645	5808.054	918.894	-3839.480	5743.286
4351	24.30168	1102.058	-3882.345	5802.248	974.032	-3862.555	5779.370	928.183	-3831.879	5711.234
4352	24.30726	1108.596	-3876.065	5772.334	981.357	-3851.538	5750.565	937.596	-3824.067	5679.349
4353	24.31285	1115.172	-3869.708	5742.108	988.915	-3840.449	5721.696	947.147	-3816.551	5647.530
4354	24.31844	1121.855	-3863.417	5711.953	997.218	-3830.323	5692.369	956.761	-3808.992	5615.653
4355	24.32402	1128.766	-3857.034	5681.837	1006.629	-3820.522	5662.169	964.906	-3801.434	5585.062
4356	24.32961	1135.666	-3850.544	5651.152	1016.053	-3810.677	5630.868	974.521	-3793.556	5553.201
4357	24.33520	1142.652	-3844.171	5620.305	1016.720	-3799.729	5610.666	984.147	-3784.323	5522.557
4358	24.34078	1149.710	-3837.750	5589.403	1025.583	-3788.655	5580.643	993.697	-3776.384	5490.867
4359	24.34637	1156.904	-3831.295	5558.607	1039.942	-3772.848	5547.088	1003.102	-3768.356	5458.979
4360	24.35196	1164.085	-3824.907	5527.426	1048.805	-3762.843	5516.881	1012.509	-3760.269	5426.934
4361	24.35754	1171.406	-3818.442	5495.823	1058.572	-3753.303	5486.025	1021.825	-3752.238	5395.208
4362	24.36313	1178.796	-3811.599	5464.566	1068.523	-3743.103	5455.443	1031.173	-3746.158	5360.364
4363	24.36872	1186.049	-3805.103	5432.847	1078.340	-3732.643	5425.147	1040.168	-3737.784	5328.258
4364	24.37430	1193.511	-3798.426	5400.896	1087.597	-3721.829	5394.491	1049.581	-3729.127	5296.283
4365	24.37989	1201.082	-3791.725	5369.052	1097.774	-3711.509	5364.121	1058.538	-3720.296	5264.372
4366	24.38547	1208.634	-3785.126	5336.830	1108.187	-3701.177	5333.388	1067.343	-3711.366	5232.197
4367	24.39106	1216.420	-3778.225	5304.580	1118.734	-3690.868	5302.652	1076.270	-3702.101	5199.991
4368	24.39665	1224.067	-3771.563	5271.999	1129.471	-3680.680	5271.709	1085.092	-3692.871	5167.705
4369	24.40223	1231.883	-3764.618	5239.493	1140.507	-3670.323	5240.618	1094.061	-3683.620	5135.253
4370	24.40782	1239.631	-3757.766	5206.822	1151.797	-3660.112	5209.445	1103.123	-3674.386	5102.741
4371	24.41341	1247.403	-3750.649	5174.201	1163.483	-3649.880	5178.223	1112.236	-3665.320	5070.153
4372	24.41899	1255.047	-3743.512	5141.156	1175.546	-3639.638	5146.780	1121.445	-3656.516	5037.247
4373	24.42458	1262.774	-3735.941	5108.181	1187.795	-3629.693	5115.520	1130.702	-3647.933	5004.571
4374	24.43017	1270.288	-3728.685	5074.871	1200.306	-3619.792	5084.124	1139.934	-3639.573	4971.549
4375	24.43575	1278.064	-3720.946	5041.603	1213.191	-3610.327	5052.300	1149.290	-3631.428	4938.327
4376	24.44134	1285.989	-3713.038	5008.195	1226.285	-3600.860	5020.476	1158.357	-3622.759	4908.534
4377	24.44693	1293.618	-3706.083	4975.211	1239.446	-3591.494	4988.126	1169.576	-3613.906	4878.116
4378	24.45251	1301.724	-3698.311	4941.429	1251.493	-3581.710	4960.861	1176.866	-3606.835	4842.949
4379	24.45810	1310.120	-3690.370	4907.702	1265.143	-3572.354	4927.945	1184.983	-3601.417	4811.635
4380	24.46369	1318.646	-3682.611	4874.090	1279.122	-3563.742	4895.341	1194.234	-3593.725	4778.304
4381	24.46927	1327.352	-3674.809	4840.113	1293.432	-3555.258	4861.954	1203.484	-3586.305	4744.676
4382	24.47486	1336.306	-3667.111	4805.972	1307.735	-3547.045	4828.381	1212.460	-3579.067	4711.606
4383	24.48045	1345.270	-3659.521	4771.447	1322.218	-3539.078	4794.036	1221.710	-3571.926	4677.091
4384	24.48603	1354.517	-3651.993	4736.434	1336.834	-3531.398	4759.246	1230.855	-3564.921	4642.528
