NO_OF_FRAMES	248
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:03:30	7092.87717985
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
5879	32.83799	414.286	-4963.821	7551.768	433.292	-5024.698	7571.819	486.683	-5033.526	7586.621	526.602	-5037.954	7612.619	554.012	-5053.574	7650.902	562.715	-5081.270	7703.651	534.517	-5104.024	7756.708	501.354	-5108.994	7796.139	494.052	-5093.619	7852.521	508.739	-5091.174	7908.145	498.434	-5091.167	7980.422	502.005	-5075.610	8033.797	496.254	-5051.890	8097.183	504.754	-5032.838	8167.500	516.739	-5036.089	8242.711	490.345	-5086.840	8284.977	410.832	-5131.021	8314.300
5880	32.84358	413.635	-4961.409	7548.168	432.485	-5022.734	7567.360	485.908	-5032.225	7581.545	524.676	-5036.499	7608.177	553.820	-5052.669	7644.881	564.104	-5081.938	7696.329	536.510	-5105.318	7749.385	500.288	-5108.536	7790.680	493.304	-5095.543	7844.630	507.062	-5092.732	7900.511	498.625	-5091.737	7973.139	502.012	-5075.969	8026.777	497.027	-5051.374	8090.161	504.484	-5031.813	8160.476	517.809	-5032.549	8235.854	494.013	-5079.998	8282.783	421.358	-5133.249	8323.643
5881	32.84916	412.641	-4958.853	7543.120	431.697	-5020.805	7562.834	485.226	-5030.894	7576.287	524.204	-5035.689	7602.324	554.358	-5052.207	7638.085	565.396	-5082.350	7688.801	538.446	-5106.714	7741.702	501.803	-5110.347	7782.797	492.678	-5097.747	7836.451	505.410	-5093.576	7892.700	498.759	-5092.316	7965.566	502.062	-5076.526	8019.319	497.941	-5051.025	8082.739	504.359	-5030.790	8153.155	518.729	-5029.342	8228.447	497.839	-5073.040	8280.103	435.684	-5135.604	8326.410
5882	32.85475	412.150	-4956.577	7538.926	430.975	-5018.837	7558.001	482.750	-5029.856	7572.490	523.874	-5034.791	7596.033	554.808	-5051.730	7631.085	566.685	-5082.573	7680.973	540.382	-5108.077	7733.764	503.352	-5111.854	7774.779	491.134	-5099.996	7828.970	502.105	-5095.025	7885.642	498.832	-5092.978	7957.587	502.125	-5076.855	8011.608	498.905	-5050.357	8074.889	504.194	-5029.705	8145.322	519.371	-5026.441	8220.671	501.849	-5066.390	8275.468	451.514	-5130.764	8328.915
5883	32.86034	411.637	-4954.293	7534.201	430.239	-5016.822	7552.994	481.995	-5028.473	7566.739	523.505	-5031.309	7590.598	555.285	-5051.080	7623.915	567.805	-5083.035	7672.859	542.271	-5109.566	7725.504	505.252	-5113.033	7768.157	490.574	-5102.093	7820.518	500.608	-5096.885	7877.129	498.767	-5093.439	7949.257	502.002	-5077.170	8003.529	499.871	-5049.903	8066.675	504.250	-5028.496	8137.103	519.529	-5023.574	8212.390	506.316	-5060.368	8270.373	467.926	-5125.159	8328.767
5884	32.86592	411.330	-4951.962	7529.318	429.538	-5014.823	7547.792	481.244	-5027.068	7560.863	523.117	-5030.266	7584.060	555.669	-5050.320	7616.525	568.906	-5083.437	7664.547	544.027	-5111.086	7716.901	507.357	-5110.438	7762.107	490.311	-5104.004	7810.521	499.273	-5098.601	7868.369	498.693	-5094.279	7940.750	501.885	-5077.627	7994.976	500.842	-5049.469	8058.019	504.432	-5027.319	8128.364	519.485	-5020.551	8203.552	510.524	-5054.217	8263.837	483.766	-5117.228	8326.052
5885	32.87151	411.022	-4949.907	7523.877	428.829	-5012.760	7542.404	480.453	-5025.676	7554.936	522.693	-5029.154	7577.295	556.027	-5049.643	7608.946	569.830	-5083.685	7655.962	545.678	-5112.261	7708.120	508.910	-5112.392	7753.359	490.243	-5105.940	7801.278	497.900	-5100.443	7859.327	498.570	-5094.992	7931.684	501.699	-5077.336	7985.847	501.791	-5049.019	8048.975	504.620	-5026.058	8119.233	519.495	-5017.900	8194.256	514.967	-5048.513	8256.495	497.977	-5107.330	8321.646
5886	32.87709	410.826	-4947.947	7518.229	428.098	-5010.643	7536.812	479.615	-5024.293	7548.702	522.227	-5028.075	7570.389	556.300	-5048.892	7601.159	570.735	-5083.780	7647.221	547.262	-5113.677	7698.983	510.394	-5114.469	7744.231	490.498	-5108.178	7791.860	496.645	-5102.151	7849.999	498.262	-5095.757	7922.403	501.548	-5078.681	7976.911	502.841	-5048.643	8039.519	504.888	-5024.721	8109.590	519.497	-5015.099	8184.369	519.264	-5042.706	8248.313	510.640	-5096.559	8315.168
5887	32.88268	410.805	-4945.615	7512.258	427.387	-5008.529	7531.080	478.752	-5022.945	7542.445	521.725	-5026.942	7563.279	556.511	-5048.046	7593.203	571.559	-5084.035	7638.174	548.795	-5115.004	7689.594	511.748	-5117.835	7733.969	490.722	-5110.136	7782.159	495.521	-5103.946	7840.402	498.061	-5096.541	7912.712	501.330	-5079.354	7967.356	503.862	-5048.195	8029.721	505.115	-5023.218	8099.406	519.478	-5012.378	8174.033	523.806	-5036.354	8239.269	520.695	-5079.801	8307.006
5888	32.88827	410.820	-4943.782	7505.835	426.709	-5006.348	7525.148	477.919	-5021.493	7535.797	521.283	-5025.825	7555.935	556.691	-5047.124	7585.073	572.382	-5084.042	7628.931	550.216	-5116.254	7679.847	513.144	-5119.637	7724.282	491.156	-5111.554	7772.484	494.504	-5105.852	7830.418	497.698	-5097.546	7902.802	501.090	-5079.547	7957.253	504.741	-5047.894	8019.449	505.555	-5021.652	8088.823	519.666	-5009.820	8163.180	528.444	-5029.792	8229.430	529.090	-5066.076	8296.198
5889	32.89385	410.965	-4941.604	7499.148	425.963	-5004.159	7518.977	477.041	-5020.097	7529.171	520.793	-5024.667	7548.455	556.826	-5046.326	7576.664	573.076	-5084.150	7619.427	551.564	-5117.648	7669.777	514.390	-5121.975	7714.229	491.515	-5113.933	7762.227	493.447	-5107.522	7820.159	497.408	-5098.450	7892.507	500.927	-5080.482	7947.049	505.656	-5047.710	8008.858	506.136	-5019.921	8077.674	519.877	-5007.129	8151.870	533.042	-5023.092	8218.669	535.515	-5053.221	8284.727
5890	32.89944	411.235	-4939.755	7492.123	425.288	-5001.944	7512.644	476.166	-5018.725	7522.333	520.269	-5025.798	7539.947	556.850	-5045.517	7568.050	573.678	-5084.091	7609.684	552.839	-5118.199	7660.377	515.718	-5123.989	7703.956	491.844	-5116.324	7751.607	492.598	-5109.385	7809.552	497.036	-5099.662	7881.921	500.713	-5081.543	7936.424	506.617	-5047.523	7997.978	506.792	-5018.162	8066.062	520.218	-5004.381	8140.123	537.599	-5016.419	8207.112	540.107	-5040.932	8272.298
5891	32.90503	411.673	-4937.619	7484.866	424.581	-4999.754	7505.942	475.200	-5017.319	7515.212	519.720	-5024.581	7531.934	556.862	-5044.678	7559.122	574.269	-5084.172	7599.654	554.765	-5118.069	7652.166	516.982	-5125.965	7693.387	492.049	-5118.731	7740.566	491.838	-5111.391	7798.703	496.655	-5100.883	7871.029	500.437	-5082.341	7925.391	507.496	-5047.494	7986.676	507.645	-5016.622	8053.988	520.686	-5001.179	8127.888	541.981	-5009.821	8194.810	543.557	-5029.331	8259.422
