NO_OF_FRAMES	222
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 14:21:03	18217.41264957
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
38373	214.36872	NA	NA	NA	238.007	-5550.809	7704.504	296.900	-5525.446	7773.143	299.149	-5576.869	7796.287	317.969	-5616.141	7828.367	373.291	-5616.625	7849.903	439.195	-5602.373	7839.550	499.678	-5602.572	7858.015	527.324	-5593.712	7893.393	550.644	-5568.635	7948.067	543.798	-5534.640	8019.403	512.237	-5488.509	8055.051	NA	NA	NA	447.451	-5426.563	8148.749
38374	214.37430	NA	NA	NA	238.335	-5552.853	7686.781	297.101	-5526.255	7755.469	298.800	-5577.688	7778.471	315.757	-5618.463	7810.062	369.625	-5622.052	7835.078	435.475	-5606.535	7827.450	496.276	-5606.071	7845.341	524.843	-5596.865	7879.995	549.787	-5570.199	7933.335	NA	NA	NA	NA	NA	NA	474.169	-5434.223	8083.725	431.912	-5407.286	8134.820
38375	214.37989	NA	NA	NA	238.826	-5555.163	7668.708	297.336	-5527.131	7737.581	298.733	-5578.652	7760.526	313.690	-5620.605	7791.655	365.705	-5627.032	7819.554	431.712	-5610.708	7814.901	492.146	-5608.991	7831.819	522.091	-5599.870	7866.431	548.815	-5571.782	7918.094	NA	NA	NA	NA	NA	NA	480.864	-5427.952	8066.018	NA	NA	NA
38376	214.38547	NA	NA	NA	239.118	-5557.494	7650.685	297.643	-5528.096	7719.602	298.732	-5579.583	7742.435	311.963	-5622.652	7773.152	362.130	-5632.006	7803.632	427.899	-5614.864	7802.016	488.496	-5612.252	7818.910	519.179	-5602.799	7852.850	547.560	-5573.282	7903.159	NA	NA	NA	NA	NA	NA	487.023	-5423.142	8048.205	NA	NA	NA
38377	214.39106	NA	NA	NA	239.439	-5559.958	7632.564	297.867	-5529.063	7701.316	298.808	-5580.667	7724.157	310.361	-5624.504	7754.426	358.458	-5636.725	7787.139	424.096	-5618.911	7788.727	484.714	-5615.560	7805.835	516.035	-5605.611	7839.112	546.116	-5574.810	7887.532	NA	NA	NA	547.781	-5474.042	7985.999	494.375	-5417.823	8030.035	NA	NA	NA
38378	214.39665	NA	NA	NA	239.618	-5562.472	7614.350	298.279	-5530.163	7682.821	298.980	-5581.685	7705.788	308.913	-5626.229	7735.679	354.992	-5641.147	7770.268	420.274	-5622.971	7774.938	480.742	-5618.636	7792.464	512.631	-5608.241	7825.124	NA	NA	NA	NA	NA	NA	550.828	-5470.254	7966.127	503.505	-5412.046	8010.943	NA	NA	NA
38379	214.40223	NA	NA	NA	239.993	-5565.184	7595.830	298.606	-5531.282	7663.975	299.082	-5582.606	7687.305	307.673	-5627.920	7716.889	351.632	-5645.324	7752.992	416.436	-5626.943	7760.804	476.865	-5621.761	7778.827	509.136	-5610.845	7810.979	542.064	-5577.863	7856.229	NA	NA	NA	554.135	-5467.181	7945.743	NA	NA	NA	NA	NA	NA
38380	214.40782	NA	NA	NA	240.114	-5567.835	7577.466	298.962	-5532.464	7645.088	299.309	-5583.528	7668.752	306.451	-5629.541	7698.038	348.428	-5649.357	7735.492	412.686	-5630.978	7746.294	472.820	-5624.680	7764.967	505.499	-5613.294	7796.644	539.741	-5579.457	7840.031	NA	NA	NA	557.018	-5464.102	7924.910	539.291	-5401.646	7971.746	NA	NA	NA
38381	214.41341	NA	NA	NA	240.299	-5570.638	7558.826	299.354	-5533.715	7625.927	299.459	-5584.555	7650.069	305.283	-5631.029	7679.103	345.302	-5653.051	7717.569	408.917	-5634.908	7731.081	468.739	-5627.500	7750.758	501.723	-5615.648	7782.133	536.928	-5581.037	7824.294	NA	NA	NA	559.871	-5461.912	7903.787	548.518	-5397.497	7949.692	NA	NA	NA
38382	214.41899	NA	NA	NA	240.213	-5573.467	7540.015	299.698	-5534.982	7606.625	299.666	-5585.652	7631.181	304.084	-5632.293	7659.949	342.231	-5656.432	7699.197	405.296	-5638.821	7715.648	464.682	-5630.131	7736.348	497.848	-5617.745	7767.391	534.231	-5582.775	7808.029	NA	NA	NA	562.637	-5459.857	7882.032	557.492	-5393.450	7926.427	NA	NA	NA
