NO_OF_FRAMES	256
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 16:31:41	92447.35541803
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
5645	31.53073	NA	NA	NA	950.891	-4514.501	8245.882	897.012	-4553.574	8248.573	857.391	-4591.587	8238.723	NA	NA	NA	NA	NA	NA	723.295	-4680.976	8211.723	680.879	-4734.174	8211.313	653.121	-4791.784	8216.616	628.535	-4852.626	8235.004	603.598	-4903.545	8256.001	572.340	-4953.729	8284.067	525.961	-5007.884	8321.084	501.472	-5100.521	8345.759	NA	NA	NA
5646	31.53631	NA	NA	NA	956.766	-4507.445	8233.355	902.889	-4546.740	8237.303	863.098	-4584.832	8229.217	NA	NA	NA	NA	NA	NA	726.582	-4681.438	8206.250	686.218	-4727.830	8203.409	658.265	-4785.609	8207.886	633.528	-4846.471	8225.795	609.177	-4897.500	8247.143	578.504	-4947.496	8276.100	532.407	-4999.017	8313.361	496.201	-5093.021	8351.775	NA	NA	NA
5647	31.54190	NA	NA	NA	963.646	-4501.146	8220.221	908.836	-4539.252	8224.327	869.405	-4577.167	8218.877	NA	NA	NA	NA	NA	NA	732.717	-4673.996	8198.108	691.469	-4721.292	8195.404	663.349	-4779.394	8198.873	638.591	-4840.443	8216.290	614.673	-4891.348	8237.911	584.555	-4941.249	8267.829	539.165	-4992.688	8309.093	500.181	-5082.138	8351.059	NA	NA	NA
5648	31.54749	NA	NA	NA	969.497	-4494.279	8207.432	914.749	-4532.973	8212.381	875.115	-4570.726	8208.361	NA	NA	NA	NA	NA	NA	738.314	-4667.639	8190.097	696.755	-4714.710	8187.028	668.388	-4773.184	8189.585	643.610	-4834.253	8206.589	620.187	-4885.182	8228.463	590.495	-4934.905	8259.161	545.454	-4983.096	8300.361	500.368	-5071.027	8350.441	NA	NA	NA
5649	31.55307	NA	NA	NA	974.951	-4487.353	8194.328	920.698	-4526.843	8200.305	880.917	-4564.509	8197.619	NA	NA	NA	789.366	-4627.339	8186.664	743.866	-4661.306	8181.785	700.735	-4709.478	8180.033	673.509	-4766.903	8179.994	648.689	-4828.134	8196.716	625.561	-4878.984	8218.712	596.243	-4928.557	8250.198	552.283	-4977.966	8295.275	504.602	-5060.050	8348.646	NA	NA	NA
5650	31.55866	NA	NA	NA	981.131	-4479.523	8182.449	926.621	-4520.813	8188.184	886.749	-4558.369	8186.678	NA	NA	NA	794.932	-4621.187	8177.909	749.405	-4654.920	8173.239	706.229	-4703.043	8170.811	678.638	-4760.579	8170.182	653.582	-4821.811	8186.681	630.818	-4872.730	8208.682	601.995	-4922.137	8240.865	558.806	-4970.303	8287.440	509.424	-5048.912	8346.056	NA	NA	NA
5651	31.56425	NA	NA	NA	986.097	-4472.621	8168.809	932.538	-4514.712	8176.040	892.603	-4552.383	8175.561	NA	NA	NA	800.522	-4615.100	8168.704	754.946	-4648.572	8164.429	711.709	-4696.609	8161.427	683.786	-4754.353	8160.231	658.556	-4815.556	8176.374	636.170	-4866.563	8198.441	607.629	-4915.644	8231.237	565.125	-4962.694	8279.156	514.852	-5037.838	8342.674	NA	NA	NA
5652	31.56983	NA	NA	NA	990.883	-4465.801	8154.861	938.334	-4508.606	8163.741	898.555	-4546.487	8164.293	851.633	-4583.895	8166.359	806.723	-4607.175	8159.919	760.495	-4642.290	8155.217	717.169	-4690.164	8151.805	687.168	-4749.242	8151.335	663.591	-4809.177	8165.709	641.538	-4860.301	8187.956	613.278	-4909.053	8221.338	571.450	-4955.245	8270.321	520.569	-5026.568	8338.689	NA	NA	NA
5653	31.57542	NA	NA	NA	995.559	-4459.122	8140.619	943.970	-4502.536	8151.058	904.373	-4540.626	8152.632	858.680	-4578.256	8156.129	812.683	-4601.215	8149.940	765.998	-4635.980	8145.485	722.573	-4683.688	8141.896	692.582	-4742.729	8140.892	668.627	-4802.914	8154.843	646.847	-4853.948	8177.286	618.852	-4902.574	8211.247	577.629	-4948.030	8261.430	526.848	-5015.402	8334.091	NA	NA	NA
5654	31.58101	NA	NA	NA	999.971	-4452.562	8126.233	949.357	-4496.564	8137.938	910.080	-4534.779	8140.578	864.990	-4572.850	8145.229	818.728	-4595.514	8139.558	771.465	-4629.728	8135.303	727.901	-4677.210	8131.619	697.978	-4736.337	8130.235	673.656	-4796.393	8143.857	652.091	-4847.587	8166.332	624.383	-4895.991	8200.779	583.725	-4940.257	8251.869	533.436	-5004.162	8328.702	NA	NA	NA
5655	31.58659	NA	NA	NA	1004.401	-4446.057	8111.706	954.672	-4490.668	8124.536	915.579	-4529.998	8127.813	871.455	-4567.594	8134.095	824.867	-4590.041	8128.781	776.865	-4623.572	8124.682	733.126	-4670.716	8120.941	703.294	-4729.606	8119.409	677.852	-4790.855	8133.529	657.321	-4841.196	8155.174	629.934	-4889.381	8190.083	589.806	-4933.056	8242.217	540.130	-4992.917	8322.787	NA	NA	NA
