NO_OF_FRAMES	285
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 16:46:48	93354.73978522
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
4074	22.75419	NA	NA	NA	NA	NA	NA	354.508	-4588.778	8435.382	394.805	-4611.136	8408.533	445.488	-4689.149	8360.427	459.547	-4745.003	8346.558	NA	NA	NA	NA	NA	NA	455.720	-4876.028	8337.360	465.372	-4944.723	8330.259	477.246	-5005.608	8325.716	480.412	-5069.324	8331.364	424.782	-5111.469	8350.768	427.983	-5209.281	8364.769	NA	NA	NA
4075	22.75978	NA	NA	NA	NA	NA	NA	351.195	-4583.494	8428.628	391.581	-4603.688	8403.332	NA	NA	NA	458.204	-4736.784	8341.677	NA	NA	NA	NA	NA	NA	454.643	-4867.622	8333.303	461.248	-4936.624	8328.704	472.615	-4998.173	8324.831	478.974	-5062.192	8330.084	430.222	-5108.933	8348.906	422.095	-5204.169	8366.552	NA	NA	NA
4076	22.76536	NA	NA	NA	NA	NA	NA	347.414	-4575.918	8422.268	388.819	-4598.463	8397.351	NA	NA	NA	457.710	-4728.466	8336.239	NA	NA	NA	454.470	-4791.733	8331.824	452.966	-4859.848	8329.478	458.517	-4928.839	8326.150	468.426	-4990.455	8323.536	477.016	-5054.731	8329.862	435.339	-5105.973	8346.840	416.895	-5199.078	8367.977	NA	NA	NA
4077	22.77095	NA	NA	NA	NA	NA	NA	343.984	-4569.387	8415.198	385.691	-4575.429	8398.000	438.916	-4622.441	8360.007	457.123	-4720.384	8330.743	NA	NA	NA	454.016	-4783.669	8326.328	452.102	-4851.453	8324.502	456.113	-4920.728	8322.921	464.932	-4982.923	8322.426	478.761	-5047.143	8329.826	439.984	-5101.815	8344.575	410.318	-5195.445	8374.961	NA	NA	NA
4078	22.77654	NA	NA	NA	NA	NA	NA	340.581	-4563.331	8407.328	382.758	-4569.696	8391.281	436.493	-4615.202	8354.594	456.656	-4712.534	8324.996	NA	NA	NA	453.472	-4775.782	8320.604	450.927	-4843.454	8319.392	453.719	-4912.954	8319.461	461.917	-4974.920	8321.360	477.812	-5039.095	8329.111	444.859	-5096.796	8343.325	400.752	-5189.460	8377.756	NA	NA	NA
4079	22.78212	NA	NA	NA	NA	NA	NA	337.441	-4557.103	8398.727	380.018	-4563.678	8384.758	432.786	-4607.894	8349.009	454.369	-4704.916	8319.987	NA	NA	NA	451.505	-4768.747	8315.004	448.961	-4835.815	8314.187	450.550	-4905.272	8316.328	459.344	-4967.246	8319.896	475.087	-5031.289	8328.339	451.419	-5098.568	8342.099	397.764	-5182.998	8375.988	NA	NA	NA
4080	22.78771	NA	NA	NA	NA	NA	NA	333.962	-4550.840	8389.854	377.115	-4557.510	8377.613	428.230	-4600.796	8343.741	452.583	-4697.189	8314.537	NA	NA	NA	449.342	-4760.630	8309.439	446.595	-4828.648	8308.872	448.407	-4897.688	8312.860	456.511	-4959.609	8317.976	472.131	-5023.190	8327.170	457.216	-5092.557	8342.281	NA	NA	NA	NA	NA	NA
4081	22.79330	NA	NA	NA	NA	NA	NA	330.178	-4544.079	8378.828	374.196	-4570.374	8363.278	424.433	-4593.736	8338.134	451.118	-4689.291	8308.774	NA	NA	NA	447.847	-4752.744	8303.220	444.760	-4820.867	8303.126	446.532	-4890.020	8308.962	453.998	-4951.736	8315.299	468.984	-5015.405	8326.189	461.781	-5085.462	8342.210	NA	NA	NA	NA	NA	NA
4082	22.79888	NA	NA	NA	313.856	-4472.094	8377.688	NA	NA	NA	370.736	-4564.249	8355.231	421.630	-4586.516	8332.342	450.423	-4681.628	8302.289	NA	NA	NA	446.892	-4744.958	8296.616	443.589	-4813.014	8297.100	445.240	-4882.276	8304.406	451.578	-4943.706	8312.127	465.839	-5007.204	8324.410	465.290	-5077.783	8341.729	NA	NA	NA	NA	NA	NA
4083	22.80447	NA	NA	NA	313.304	-4465.476	8368.001	NA	NA	NA	367.177	-4558.498	8346.563	418.314	-4579.965	8326.350	449.949	-4673.902	8295.464	NA	NA	NA	446.905	-4737.005	8289.405	442.716	-4805.307	8290.907	444.198	-4874.381	8299.255	449.246	-4935.550	8308.425	462.484	-4998.849	8322.118	467.753	-5069.580	8340.676	NA	NA	NA	NA	NA	NA
4084	22.81006	NA	NA	NA	313.254	-4458.806	8357.781	NA	NA	NA	363.457	-4552.832	8337.256	416.966	-4572.826	8318.861	449.572	-4666.290	8288.408	NA	NA	NA	446.062	-4729.689	8282.662	442.277	-4797.618	8284.288	442.820	-4866.276	8293.786	446.817	-4927.326	8304.357	458.891	-4990.786	8319.449	469.328	-5060.865	8338.930	NA	NA	NA	NA	NA	NA
4085	22.81564	NA	NA	NA	313.394	-4452.058	8347.221	NA	NA	NA	359.647	-4547.184	8327.544	410.578	-4567.553	8313.424	449.498	-4658.512	8281.063	NA	NA	NA	446.502	-4721.720	8275.334	441.502	-4789.977	8277.616	441.345	-4858.410	8287.988	444.227	-4919.143	8299.896	455.204	-4982.458	8316.202	469.614	-5052.194	8336.916	NA	NA	NA	NA	NA	NA
4086	22.82123	NA	NA	NA	310.706	-4449.088	8339.504	NA	NA	NA	355.827	-4541.833	8317.433	408.921	-4561.079	8304.939	449.342	-4651.052	8273.648	NA	NA	NA	446.065	-4714.331	8268.458	441.229	-4782.193	8270.563	440.315	-4850.386	8281.640	442.077	-4910.936	8294.771	451.447	-4974.064	8312.499	469.080	-5043.546	8334.311	NA	NA	NA	NA	NA	NA
