NO_OF_FRAMES	287
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 16:17:12	86590.11869699
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
2713	15.15084	918.541	-4563.500	8349.516	909.356	-4630.185	8351.123	890.282	-4679.129	8307.437	NA	NA	NA	NA	NA	NA	758.970	-4857.174	8104.013	706.806	-4878.611	8085.167	650.497	-4911.630	8080.281	602.971	-4947.096	8087.114	548.179	-4991.531	8116.632	508.312	-5019.600	8155.737	476.945	-5037.407	8223.877	496.395	-5110.504	8259.082	NA	NA	NA	495.525	-5261.382	8329.262
2714	15.15642	927.486	-4558.072	8338.951	917.963	-4624.325	8342.278	898.698	-4674.432	8300.797	NA	NA	NA	NA	NA	NA	766.248	-4851.714	8098.623	713.979	-4872.896	8079.798	657.476	-4905.748	8075.424	610.158	-4941.391	8082.535	555.289	-4986.750	8110.976	514.762	-5016.747	8148.517	479.153	-5032.988	8215.113	494.526	-5101.543	8258.010	NA	NA	NA	507.297	-5257.303	8323.768
2715	15.16201	936.509	-4552.731	8328.048	926.565	-4618.400	8333.100	906.973	-4669.738	8293.392	860.673	-4707.023	8228.052	NA	NA	NA	773.409	-4846.426	8093.155	721.143	-4867.327	8074.153	664.433	-4899.992	8070.153	617.213	-4935.728	8077.377	562.315	-4981.629	8105.012	521.169	-5012.910	8140.981	483.542	-5027.464	8207.448	492.606	-5091.952	8256.442	NA	NA	NA	517.232	-5250.882	8315.771
2716	15.16760	945.489	-4547.482	8316.847	935.243	-4612.656	8323.764	915.243	-4664.945	8286.058	867.082	-4699.422	8220.226	NA	NA	NA	780.431	-4841.204	8087.613	728.227	-4861.879	8068.300	671.488	-4894.347	8064.441	624.254	-4930.186	8071.719	569.188	-4976.707	8098.510	527.671	-5009.063	8133.223	487.812	-5023.320	8198.624	489.775	-5082.048	8255.255	NA	NA	NA	524.376	-5241.860	8307.861
2717	15.17318	954.185	-4542.247	8304.587	943.805	-4606.936	8314.013	923.614	-4660.431	8278.373	873.299	-4691.802	8212.210	NA	NA	NA	787.547	-4836.153	8082.029	735.344	-4856.568	8062.261	678.399	-4888.712	8058.340	631.223	-4924.616	8065.601	575.989	-4971.400	8091.597	534.114	-5004.498	8125.229	492.473	-5018.997	8189.445	490.734	-5071.196	8250.736	NA	NA	NA	531.088	-5233.713	8298.217
2718	15.17877	963.128	-4537.159	8292.984	952.246	-4601.208	8303.861	932.001	-4655.624	8270.366	879.627	-4684.615	8203.988	NA	NA	NA	794.534	-4831.163	8076.190	742.315	-4851.333	8056.020	685.290	-4883.169	8051.875	637.982	-4919.038	8059.049	582.791	-4966.242	8084.388	540.913	-4996.579	8118.183	497.137	-5015.167	8179.818	490.811	-5060.832	8246.354	NA	NA	NA	536.799	-5224.794	8289.308
2719	15.18436	972.045	-4532.046	8281.319	966.746	-4594.414	8300.154	940.372	-4650.683	8261.948	885.879	-4676.916	8195.540	NA	NA	NA	801.458	-4826.259	8070.168	743.946	-4852.617	8054.567	689.749	-4884.736	8047.456	640.694	-4919.766	8056.253	589.521	-4960.899	8076.788	547.267	-4991.965	8109.715	502.133	-5011.625	8170.027	491.735	-5050.739	8240.565	NA	NA	NA	541.201	-5214.550	8280.726
2720	15.18994	980.760	-4526.919	8269.421	975.538	-4588.728	8289.629	949.025	-4646.024	8253.210	891.954	-4669.380	8186.969	NA	NA	NA	808.526	-4821.438	8063.967	751.011	-4847.479	8047.990	696.670	-4879.159	8040.284	647.516	-4914.056	8048.687	596.092	-4955.508	8068.853	553.759	-4986.267	8101.308	507.300	-5007.982	8159.898	486.305	-5041.358	8237.189	NA	NA	NA	543.133	-5194.238	8275.769
2721	15.19553	989.369	-4521.765	8257.375	984.277	-4583.087	8278.564	957.470	-4641.318	8244.010	898.147	-4661.824	8178.078	NA	NA	NA	815.587	-4816.699	8057.459	758.032	-4842.523	8041.133	703.520	-4873.646	8032.743	654.195	-4908.335	8040.701	602.526	-4949.589	8060.536	560.254	-4980.650	8092.615	512.634	-5004.359	8149.724	487.960	-5032.606	8228.251	501.739	-5093.917	8253.305	544.426	-5182.721	8268.985
2722	15.20112	998.959	-4516.075	8244.219	994.163	-4577.518	8265.803	965.835	-4636.701	8234.587	904.192	-4654.281	8169.041	NA	NA	NA	822.649	-4811.936	8050.722	766.619	-4835.831	8032.734	711.208	-4866.451	8024.151	662.052	-4900.858	8031.266	609.126	-4944.039	8051.843	566.597	-4975.259	8083.433	518.151	-5000.199	8139.501	491.124	-5023.797	8219.617	503.715	-5080.560	8253.205	544.795	-5170.021	8263.979
2723	15.20670	1007.843	-4510.659	8231.361	1003.408	-4572.089	8253.163	974.249	-4632.101	8224.915	909.826	-4646.797	8159.900	NA	NA	NA	829.643	-4807.217	8043.748	774.312	-4830.276	8024.865	718.419	-4860.298	8015.840	669.137	-4894.426	8022.222	615.202	-4935.832	8043.603	573.012	-4969.739	8074.109	523.773	-4995.616	8129.063	495.139	-5017.118	8209.940	506.340	-5066.745	8251.520	544.674	-5157.690	8260.573
2724	15.21229	1016.503	-4505.357	8218.295	1012.466	-4566.702	8240.279	982.466	-4627.356	8214.993	926.499	-4638.777	8147.250	NA	NA	NA	836.692	-4802.506	8036.536	781.906	-4824.940	8016.879	725.605	-4854.401	8007.378	676.134	-4888.165	8013.057	620.144	-4933.152	8035.871	579.273	-4963.935	8064.516	529.410	-4990.902	8118.505	498.889	-5010.392	8199.192	503.140	-5053.794	8252.263	544.079	-5145.037	8259.178
2725	15.21788	1025.086	-4500.109	8204.971	1021.113	-4561.293	8227.117	990.741	-4622.836	8204.841	933.462	-4631.555	8137.447	NA	NA	NA	843.681	-4797.807	8029.065	789.471	-4819.704	8008.664	732.812	-4848.590	7998.711	683.095	-4882.021	8003.644	626.898	-4927.042	8025.905	585.067	-4953.811	8056.092	535.145	-4985.825	8107.682	502.688	-5004.272	8188.024	504.209	-5039.070	8246.916	542.852	-5131.936	8260.018
2726	15.22346	1033.495	-4494.983	8191.377	1029.509	-4555.947	8213.871	998.821	-4618.101	8194.360	940.167	-4624.298	8127.131	NA	NA	NA	850.674	-4793.131	8021.355	796.880	-4814.621	8000.266	739.949	-4842.966	7989.760	689.972	-4876.022	7994.048	633.523	-4920.902	8015.704	591.348	-4948.562	8045.611	541.040	-4980.476	8096.835	506.632	-4998.436	8176.454	506.088	-5025.817	8239.646	542.268	-5119.042	8262.883
