NO_OF_FRAMES	266
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 16:32:30	6096.70480731
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
1914	10.68715	181.443	-4472.582	8383.882	197.978	-4526.849	8384.930	225.156	-4582.214	8348.287	264.760	-4659.270	8287.056	285.577	-4719.042	8247.800	316.521	-4776.200	8207.023	338.722	-4813.380	8182.023	368.830	-4860.903	8165.884	398.897	-4917.417	8161.356	429.170	-4958.634	8147.714	457.961	-5005.749	8152.940	470.505	-5049.319	8199.867	461.163	-5090.662	8286.920	NA	NA	NA	450.225	-5340.279	8266.375
1915	10.69274	179.098	-4466.656	8384.140	194.294	-4517.978	8384.813	220.686	-4573.226	8348.044	259.946	-4646.720	8283.212	279.951	-4706.879	8243.774	310.810	-4765.500	8204.856	332.625	-4803.248	8180.156	362.679	-4850.292	8163.170	391.594	-4906.194	8157.959	423.570	-4950.604	8150.304	453.423	-4996.583	8152.328	469.738	-5044.604	8193.639	459.400	-5082.594	8284.845	NA	NA	NA	NA	NA	NA
1916	10.69832	175.940	-4454.122	8383.894	NA	NA	NA	216.115	-4564.464	8347.484	255.144	-4634.314	8279.200	279.541	-4695.894	8241.466	302.567	-4754.905	8204.254	326.500	-4792.889	8177.821	356.572	-4839.709	8160.563	385.207	-4895.145	8154.390	417.028	-4941.220	8151.341	448.046	-4987.300	8152.164	468.409	-5038.262	8187.769	480.482	-5076.769	8274.636	NA	NA	NA	NA	NA	NA
1917	10.70391	173.308	-4444.892	8382.886	202.631	-4498.695	8380.852	211.382	-4555.854	8346.385	251.007	-4622.294	8274.887	283.848	-4683.807	8234.457	296.576	-4744.065	8201.186	320.281	-4782.723	8175.677	350.052	-4829.131	8157.932	379.561	-4884.151	8150.919	409.929	-4930.882	8150.894	441.870	-4978.013	8152.158	466.439	-5030.501	8182.376	481.313	-5070.141	8268.659	NA	NA	NA	NA	NA	NA
1918	10.70950	170.662	-4435.997	8381.010	198.964	-4490.053	8379.027	204.945	-4548.253	8349.308	245.957	-4610.620	8270.148	278.864	-4671.323	8229.134	290.628	-4733.073	8197.452	313.959	-4772.551	8173.267	341.837	-4818.387	8154.211	374.487	-4873.224	8147.418	403.089	-4920.285	8149.628	435.196	-4968.579	8152.030	463.541	-5021.896	8177.480	459.445	-5066.255	8263.484	NA	NA	NA	NA	NA	NA
1919	10.71508	168.774	-4433.080	8378.290	NA	NA	NA	200.207	-4540.110	8347.439	240.940	-4599.175	8265.329	274.244	-4659.095	8223.590	284.860	-4722.192	8193.352	307.822	-4762.495	8170.460	335.945	-4808.091	8151.759	369.370	-4862.588	8144.124	396.413	-4909.577	8147.755	428.224	-4958.964	8151.798	459.557	-5012.948	8173.050	462.663	-5063.804	8255.050	NA	NA	NA	NA	NA	NA
1920	10.72067	166.031	-4424.311	8375.248	NA	NA	NA	196.057	-4531.870	8344.844	235.967	-4587.914	8260.308	269.093	-4646.945	8217.752	292.397	-4712.423	8186.237	302.025	-4752.315	8167.271	330.066	-4797.998	8149.115	364.118	-4852.170	8140.701	389.821	-4899.089	8145.134	421.454	-4949.188	8151.186	454.681	-5003.781	8168.903	465.814	-5062.069	8244.803	NA	NA	NA	NA	NA	NA
1921	10.72626	163.241	-4415.976	8371.703	186.916	-4463.662	8371.276	192.073	-4523.524	8341.989	230.870	-4576.977	8255.254	262.512	-4634.871	8211.654	285.637	-4701.234	8181.445	308.856	-4743.091	8163.462	325.664	-4788.341	8147.330	358.383	-4841.930	8137.323	383.369	-4888.873	8142.286	414.902	-4939.408	8149.863	448.845	-4994.842	8165.055	467.344	-5055.352	8234.141	NA	NA	NA	429.072	-5295.867	8325.411
1922	10.73184	160.350	-4407.423	8367.513	183.060	-4454.219	8367.684	188.020	-4515.158	8338.705	225.852	-4565.868	8250.061	254.199	-4622.992	8205.246	276.098	-4689.761	8176.294	301.553	-4732.407	8159.450	329.894	-4778.956	8141.565	352.294	-4831.906	8134.056	377.135	-4878.736	8138.974	408.143	-4929.618	8147.891	442.648	-4986.147	8161.635	468.259	-5051.728	8225.148	NA	NA	NA	424.831	-5274.371	8331.686
1923	10.73743	157.543	-4398.674	8362.598	179.038	-4444.513	8363.405	184.066	-4506.788	8335.038	216.709	-4554.646	8246.908	247.742	-4611.121	8198.647	268.796	-4678.347	8171.034	291.530	-4721.436	8155.008	320.180	-4768.766	8138.060	346.384	-4822.053	8130.610	371.131	-4868.980	8135.177	401.222	-4919.864	8145.104	436.273	-4976.896	8158.538	469.515	-5044.251	8216.920	NA	NA	NA	422.288	-5253.814	8335.954
