NO_OF_FRAMES	245
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 17:13:11	89948.16379923
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
2384	13.31285	368.201	-4309.833	8090.015	377.634	-4366.131	8095.093	383.935	-4429.898	8096.548	372.632	-4492.337	8107.092	356.298	-4551.657	8122.784	351.609	-4613.607	8136.060	362.302	-4682.216	8140.101	380.695	-4739.518	8133.557	412.396	-4804.644	8135.727	457.410	-4865.457	8153.980	492.654	-4912.220	8179.887	540.161	-4969.842	8213.734	597.949	-5037.676	8215.541
2385	13.31844	365.901	-4305.802	8074.910	374.610	-4362.328	8081.642	377.732	-4426.308	8086.268	372.154	-4487.891	8094.967	356.000	-4547.007	8111.264	350.249	-4608.480	8126.274	359.549	-4677.185	8131.523	377.771	-4734.717	8125.355	409.981	-4800.322	8127.527	455.656	-4860.679	8146.332	491.638	-4907.193	8173.213	539.331	-4961.336	8209.907	599.564	-5032.809	8217.834
2386	13.32402	363.604	-4302.300	8059.647	372.539	-4358.232	8067.418	377.008	-4422.167	8073.146	372.134	-4483.402	8082.442	357.413	-4538.175	8100.691	344.553	-4604.659	8119.654	360.769	-4672.012	8122.500	377.637	-4730.145	8116.667	407.775	-4796.092	8119.140	453.924	-4855.748	8138.040	490.819	-4900.259	8165.228	538.380	-4952.530	8206.008	601.613	-5026.954	8220.681
2387	13.32961	361.260	-4298.663	8044.155	370.814	-4354.135	8052.847	376.811	-4417.900	8059.584	372.313	-4478.648	8067.921	357.459	-4534.908	8087.702	354.610	-4599.056	8105.139	363.800	-4668.948	8112.792	379.225	-4725.359	8107.760	405.555	-4792.064	8110.680	452.067	-4850.907	8129.275	489.930	-4894.122	8157.522	537.325	-4943.389	8201.740	602.761	-5021.603	8225.616
2388	13.33520	358.944	-4294.725	8028.180	368.823	-4350.033	8038.008	376.053	-4413.468	8045.634	371.888	-4474.134	8054.786	357.374	-4533.174	8074.131	345.236	-4595.038	8098.120	NA	NA	NA	378.250	-4720.793	8098.597	403.274	-4787.912	8101.952	450.095	-4846.203	8120.368	488.741	-4888.629	8150.304	536.255	-4934.150	8196.815	604.379	-5013.233	8228.778
2389	13.34078	356.644	-4290.505	8012.124	366.506	-4345.964	8022.729	374.320	-4409.317	8031.046	371.053	-4469.849	8041.500	357.500	-4525.559	8062.908	345.262	-4589.483	8087.269	360.361	-4657.521	8093.359	374.869	-4715.889	8089.471	400.778	-4783.510	8092.839	448.183	-4841.586	8111.320	487.451	-4882.566	8142.516	535.529	-4924.813	8191.136	602.521	-5003.385	8231.644
2390	13.34637	354.444	-4286.321	7996.037	364.285	-4341.931	8007.016	372.432	-4404.975	8016.328	370.068	-4465.214	8027.821	357.766	-4520.009	8050.586	344.602	-4584.837	8075.127	357.164	-4651.929	8083.000	370.724	-4711.185	8080.066	398.217	-4779.101	8083.481	446.089	-4836.829	8102.174	486.024	-4876.287	8134.467	534.850	-4915.295	8184.896	599.328	-4991.865	8233.637
2391	13.35196	352.333	-4282.465	7979.953	362.092	-4337.928	7990.990	370.831	-4400.773	8001.340	369.274	-4460.700	8013.693	358.076	-4515.186	8037.448	344.809	-4579.962	8062.659	355.289	-4646.881	8072.342	368.121	-4706.291	8070.384	395.618	-4774.853	8073.961	443.934	-4832.133	8092.807	484.577	-4869.979	8126.158	534.128	-4905.627	8178.231	598.195	-4980.004	8234.403
2392	13.35754	350.015	-4278.479	7964.412	359.961	-4334.010	7974.962	369.372	-4396.616	7986.040	368.620	-4456.354	7999.198	358.481	-4510.883	8023.649	345.457	-4575.112	8050.035	355.420	-4641.861	8061.096	367.090	-4701.466	8060.239	393.271	-4770.709	8064.192	441.651	-4827.427	8083.208	483.096	-4863.649	8117.496	533.989	-4896.926	8169.603	594.472	-4967.492	8236.227
2393	13.36313	348.297	-4274.580	7947.523	357.859	-4330.135	7958.854	368.053	-4392.524	7970.423	368.035	-4451.968	7984.390	358.852	-4506.807	8009.354	346.360	-4570.180	8037.239	356.182	-4636.669	8049.514	366.641	-4696.657	8049.796	390.911	-4766.527	8054.304	439.280	-4822.824	8073.436	481.650	-4857.254	8108.567	533.087	-4888.084	8162.300	592.266	-4952.666	8234.891
