NO_OF_FRAMES	200
NO_OF_CAMERAS	23
NO_OF_MARKERS	11
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:24:32	9219.12088556
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	
7159	39.98883	259.030	-4709.584	7838.881	283.752	-4806.425	7896.767	267.725	-4888.315	7912.509	266.285	-4965.421	7932.106	289.764	-5023.789	7971.685	319.461	-5074.421	8034.284	362.793	-5161.924	8152.525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7160	39.99441	255.178	-4706.047	7826.138	281.611	-4802.020	7884.181	270.152	-4883.992	7897.330	265.362	-4961.880	7918.332	288.485	-5020.501	7957.127	317.929	-5071.779	8019.433	359.929	-5160.165	8137.528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7161	40.00000	251.333	-4702.822	7813.402	279.495	-4798.938	7871.170	268.953	-4880.257	7884.623	264.305	-4958.420	7904.020	287.465	-5017.525	7942.180	316.800	-5069.108	8004.274	356.914	-5158.373	8122.342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7162	40.00559	247.572	-4699.894	7800.627	277.479	-4795.318	7858.497	267.895	-4876.829	7871.622	263.259	-4955.379	7889.538	286.695	-5015.071	7926.757	315.877	-5066.184	7988.956	353.831	-5156.537	8106.734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7163	40.01117	243.850	-4697.262	7787.814	275.409	-4792.057	7845.736	266.696	-4873.580	7858.481	262.148	-4952.458	7874.741	285.964	-5012.437	7911.112	315.201	-5063.533	7973.328	350.751	-5154.669	8091.105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7164	40.01676	240.175	-4694.835	7775.014	273.335	-4789.271	7832.866	265.375	-4870.621	7845.135	261.000	-4949.622	7859.619	285.423	-5009.764	7895.117	314.642	-5060.640	7957.543	347.762	-5152.754	8075.101	NA	NA	NA	NA	NA	NA	466.791	-5348.822	8246.451	NA	NA	NA
7165	40.02235	236.570	-4692.645	7762.119	271.226	-4786.451	7819.909	263.988	-4867.674	7831.513	260.107	-4947.108	7843.945	284.940	-5007.302	7878.827	314.132	-5057.335	7941.650	344.941	-5150.748	8058.867	NA	NA	NA	NA	NA	NA	464.062	-5341.753	8239.382	NA	NA	NA
7166	40.02793	232.959	-4690.619	7749.001	268.944	-4783.902	7806.860	262.424	-4864.847	7817.825	259.141	-4944.712	7828.038	284.625	-5005.031	7862.125	313.734	-5054.609	7925.330	342.228	-5148.606	8042.308	378.355	-5207.921	8090.325	NA	NA	NA	459.472	-5333.069	8232.586	NA	NA	NA
7167	40.03352	229.438	-4688.806	7735.765	266.636	-4781.571	7793.602	260.897	-4862.363	7803.892	258.374	-4942.299	7811.469	284.431	-5002.624	7845.047	313.317	-5051.072	7909.005	340.631	-5150.809	8023.941	375.335	-5204.111	8075.320	NA	NA	NA	456.145	-5324.692	8224.342	NA	NA	NA
7168	40.03911	226.007	-4687.177	7722.420	264.189	-4779.414	7780.126	259.261	-4859.925	7789.840	257.740	-4939.896	7794.710	284.367	-5000.289	7827.724	312.831	-5048.021	7892.281	338.387	-5148.490	8006.978	372.296	-5200.208	8060.126	NA	NA	NA	452.045	-5315.188	8215.686	NA	NA	NA
7169	40.04469	215.970	-4692.204	7715.020	261.681	-4777.063	7766.612	257.531	-4857.545	7775.675	257.109	-4937.611	7777.604	284.287	-4997.925	7809.975	312.377	-5044.800	7875.318	336.261	-5145.772	7989.663	369.346	-5196.412	8044.704	NA	NA	NA	448.745	-5305.639	8205.796	NA	NA	NA
7170	40.05028	212.620	-4690.707	7701.057	259.660	-4773.552	7755.969	255.779	-4855.274	7761.280	258.332	-4934.832	7758.284	284.274	-4995.494	7791.898	311.992	-5041.620	7857.867	334.312	-5143.430	7972.096	366.167	-5192.583	8028.774	NA	NA	NA	445.056	-5294.984	8195.245	NA	NA	NA
7171	40.05587	209.352	-4689.306	7686.843	257.726	-4769.505	7746.520	253.967	-4853.006	7746.762	257.643	-4932.477	7741.044	284.462	-4993.229	7773.586	311.800	-5038.606	7840.029	332.410	-5140.239	7954.464	362.815	-5188.709	8012.656	NA	NA	NA	441.612	-5284.342	8183.824	NA	NA	NA
7172	40.06145	206.045	-4687.859	7672.277	255.481	-4765.550	7736.586	252.230	-4850.806	7732.078	257.033	-4930.061	7723.573	284.578	-4990.850	7754.881	311.804	-5035.915	7821.892	330.525	-5137.477	7936.501	359.366	-5184.873	7996.161	NA	NA	NA	433.884	-5273.183	8174.498	NA	NA	NA
7173	40.06704	202.652	-4686.338	7657.257	252.525	-4762.311	7724.492	250.418	-4848.603	7717.502	256.040	-4927.521	7706.438	284.856	-4988.833	7735.979	311.903	-5033.345	7803.194	328.668	-5134.307	7918.361	355.799	-5181.163	7979.318	NA	NA	NA	429.078	-5261.885	8162.078	NA	NA	NA
7174	40.07263	199.060	-4684.829	7641.929	248.457	-4760.415	7708.559	248.723	-4846.255	7702.654	255.400	-4924.871	7689.118	285.154	-4986.580	7716.870	312.392	-5031.012	7784.092	326.611	-5130.766	7900.215	352.178	-5177.603	7962.078	NA	NA	NA	424.140	-5250.404	8149.896	NA	NA	NA
7175	40.07821	195.371	-4683.172	7626.084	245.110	-4758.355	7692.716	240.839	-4847.847	7692.000	242.796	-4923.816	7679.188	278.405	-4983.066	7703.520	313.074	-5028.764	7764.673	324.561	-5128.168	7881.505	348.431	-5174.240	7944.540	NA	NA	NA	418.417	-5238.287	8137.376	NA	NA	NA
7176	40.08380	191.796	-4680.616	7609.762	241.761	-4756.281	7676.578	240.383	-4845.044	7676.275	242.964	-4920.805	7661.717	279.209	-4980.738	7683.729	314.049	-5026.670	7744.926	322.121	-5124.643	7862.900	344.436	-5171.022	7926.846	NA	NA	NA	412.156	-5225.489	8124.979	553.474	-5217.901	8134.078
7177	40.08939	187.982	-4678.550	7592.788	238.521	-4754.063	7660.096	239.577	-4842.322	7658.630	243.096	-4917.796	7644.424	288.106	-4976.232	7674.694	308.308	-5023.321	7730.502	319.664	-5121.448	7843.874	340.695	-5171.433	7908.421	NA	NA	NA	405.614	-5211.876	8112.313	544.144	-5191.545	8132.729
