NO_OF_FRAMES	232
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 16:26:46	87164.15977751
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
5593	31.24022	396.902	-4362.513	7711.007	413.717	-4416.470	7731.541	429.428	-4470.458	7755.914	448.423	-4523.267	7781.779	470.060	-4573.458	7814.403	492.040	-4627.338	7852.137	503.965	-4680.327	7894.287	505.247	-4725.076	7936.483	508.602	-4770.859	7997.521	515.047	-4807.585	8064.906	510.739	-4838.882	8121.113	496.125	-4880.523	8188.323	444.566	-4933.602	8268.700
5594	31.24581	396.694	-4356.738	7695.205	413.011	-4410.751	7716.714	428.903	-4463.917	7741.577	447.621	-4516.991	7768.299	469.075	-4566.847	7801.402	491.814	-4619.890	7839.884	504.968	-4672.351	7882.425	506.793	-4717.125	7924.608	509.782	-4762.755	7984.653	515.356	-4797.476	8054.085	511.933	-4825.873	8111.871	498.215	-4864.666	8181.027	452.693	-4918.053	8268.517
5595	31.25140	396.652	-4351.177	7679.180	412.300	-4404.872	7701.649	428.553	-4457.642	7727.313	447.034	-4510.787	7754.459	468.121	-4560.321	7788.196	491.370	-4612.338	7827.420	505.918	-4664.230	7870.391	508.513	-4709.038	7912.468	510.876	-4754.614	7972.541	515.643	-4787.426	8042.805	512.940	-4813.058	8102.067	500.365	-4848.552	8173.150	460.991	-4900.121	8266.824
5596	31.25698	396.501	-4345.804	7663.084	411.919	-4399.138	7686.354	428.339	-4451.510	7712.690	446.605	-4504.395	7740.320	467.247	-4553.762	7774.617	490.985	-4605.084	7814.645	506.924	-4656.154	7857.999	510.506	-4700.856	7900.110	510.523	-4745.920	7962.315	516.019	-4777.477	8031.295	513.753	-4800.396	8091.651	502.520	-4832.335	8164.655	469.427	-4880.305	8263.344
5597	31.26257	396.190	-4340.569	7646.837	411.859	-4393.359	7670.788	428.319	-4445.506	7698.018	446.458	-4498.021	7725.880	466.616	-4547.191	7760.814	490.634	-4597.790	7801.481	508.012	-4648.081	7845.241	512.738	-4692.438	7887.502	512.431	-4737.324	7949.776	516.552	-4767.515	8019.504	514.550	-4787.978	8080.699	504.595	-4815.899	8155.533	477.908	-4860.113	8258.157
5598	31.26816	395.758	-4335.564	7630.638	412.072	-4387.463	7655.288	429.018	-4440.120	7682.903	446.425	-4491.512	7711.311	466.182	-4540.410	7746.767	490.435	-4590.613	7788.684	509.182	-4639.833	7832.920	515.137	-4683.845	7874.720	514.644	-4728.509	7937.181	517.280	-4757.575	8007.426	515.055	-4776.153	8069.694	506.577	-4799.177	8145.751	485.799	-4839.793	8251.663
5599	31.27374	395.200	-4330.596	7614.373	412.547	-4381.362	7639.313	429.556	-4432.019	7668.096	446.214	-4484.730	7696.448	465.812	-4533.300	7732.432	490.333	-4583.279	7775.041	510.337	-4631.550	7819.845	517.355	-4675.168	7862.597	516.803	-4719.600	7924.393	517.924	-4747.799	7995.979	515.516	-4763.851	8057.805	508.466	-4782.386	8135.238	493.309	-4819.285	8243.747
5600	31.27933	394.557	-4325.569	7597.909	412.867	-4374.561	7622.781	430.045	-4426.187	7651.993	445.750	-4478.338	7679.961	465.092	-4525.262	7718.038	490.005	-4575.824	7761.013	511.124	-4623.408	7806.119	519.072	-4666.152	7849.422	518.722	-4711.060	7911.514	518.801	-4738.391	7983.127	516.013	-4751.360	8045.409	510.280	-4765.597	8124.170	500.137	-4798.641	8234.486
5601	31.28492	393.813	-4320.298	7581.167	413.160	-4369.081	7605.730	430.145	-4423.518	7633.415	445.200	-4471.961	7664.532	464.492	-4519.805	7702.218	489.632	-4568.560	7746.363	511.713	-4615.468	7791.793	520.560	-4658.000	7835.304	520.538	-4701.849	7898.169	518.949	-4728.262	7970.653	516.396	-4739.269	8032.731	512.173	-4749.003	8112.330	506.296	-4777.759	8224.170
5602	31.29050	393.071	-4314.887	7564.064	413.389	-4363.677	7588.351	430.474	-4414.364	7619.463	444.771	-4465.619	7649.218	463.816	-4513.018	7687.445	489.287	-4562.051	7731.309	512.159	-4608.150	7777.093	521.666	-4648.892	7822.129	522.279	-4692.473	7885.286	520.021	-4718.753	7957.666	516.636	-4727.616	8020.513	514.342	-4732.647	8099.929	511.721	-4756.486	8213.130
5603	31.29609	392.684	-4309.499	7546.145	413.439	-4359.262	7570.835	430.285	-4408.346	7602.940	444.579	-4459.954	7634.087	463.248	-4506.530	7672.844	488.866	-4555.790	7715.790	512.388	-4601.092	7762.007	522.706	-4640.565	7807.873	524.018	-4682.367	7871.687	521.066	-4708.675	7944.509	517.104	-4716.212	8007.500	516.600	-4716.382	8086.976	516.683	-4734.790	8201.018
5604	31.30168	392.358	-4304.034	7528.167	413.044	-4354.315	7553.414	430.416	-4402.964	7586.482	444.408	-4453.370	7618.664	462.717	-4500.762	7656.921	488.214	-4549.441	7700.011	512.225	-4593.698	7746.922	523.503	-4632.186	7793.348	525.580	-4672.942	7857.797	521.923	-4698.764	7930.996	517.618	-4704.875	7994.109	518.798	-4700.385	8073.342	521.357	-4713.033	8188.000
5605	31.30726	392.132	-4298.644	7510.157	412.458	-4348.791	7536.074	429.989	-4398.076	7568.981	444.407	-4447.348	7601.865	462.285	-4494.793	7640.402	487.411	-4542.809	7684.146	511.866	-4586.006	7731.802	524.327	-4623.748	7778.656	527.283	-4663.544	7843.626	524.555	-4689.043	7915.864	516.929	-4692.819	7981.074	520.773	-4684.544	8059.020	526.184	-4691.275	8174.073
5606	31.31285	392.243	-4293.692	7491.566	411.867	-4342.970	7518.807	430.116	-4391.870	7552.076	444.704	-4441.308	7584.740	462.098	-4488.718	7623.354	486.698	-4536.077	7668.139	511.621	-4578.167	7716.680	525.421	-4615.169	7763.760	529.268	-4654.047	7829.064	526.048	-4678.660	7901.615	517.890	-4681.267	7966.830	522.462	-4669.046	8044.295	531.233	-4669.644	8159.141
5607	31.31844	392.260	-4288.752	7472.822	411.453	-4337.100	7501.489	430.644	-4384.676	7535.644	445.208	-4435.272	7567.204	462.151	-4482.618	7606.021	486.105	-4529.323	7651.900	511.535	-4570.063	7701.269	526.622	-4606.357	7748.544	531.521	-4644.496	7814.249	526.263	-4667.741	7888.278	519.081	-4669.480	7952.119	523.895	-4653.883	8029.096	536.199	-4648.017	8143.477
5608	31.32402	392.024	-4283.762	7454.122	411.233	-4331.081	7483.791	430.664	-4377.974	7517.835	445.617	-4429.480	7548.893	462.086	-4476.281	7588.542	485.461	-4522.491	7635.477	511.379	-4561.999	7685.571	527.620	-4597.466	7733.082	533.706	-4634.883	7799.147	528.396	-4657.164	7873.294	520.525	-4657.342	7936.947	525.200	-4639.053	8013.507	540.995	-4626.542	8126.971
5609	31.32961	391.636	-4278.645	7435.427	411.097	-4325.268	7465.538	431.080	-4372.202	7499.603	445.939	-4423.382	7530.628	461.934	-4469.771	7570.974	484.826	-4515.660	7618.715	511.278	-4554.033	7669.474	528.336	-4588.557	7717.397	535.602	-4625.198	7783.705	530.481	-4646.512	7858.083	522.117	-4645.012	7921.442	524.789	-4624.146	7998.615	545.217	-4605.179	8109.776
5610	31.33520	391.076	-4273.325	7416.738	411.016	-4319.605	7446.712	431.396	-4366.524	7480.958	446.169	-4417.261	7512.457	461.748	-4463.272	7553.407	484.318	-4508.945	7601.604	511.117	-4546.469	7652.790	528.791	-4579.785	7701.291	537.356	-4615.469	7768.036	532.511	-4636.014	7842.661	523.701	-4632.767	7905.844	526.327	-4609.441	7982.311	548.660	-4584.216	8092.000
5611	31.34078	390.408	-4267.886	7397.905	410.990	-4314.595	7427.388	431.685	-4360.912	7461.939	446.388	-4411.403	7494.235	461.484	-4457.102	7535.704	483.903	-4502.458	7584.067	510.884	-4539.136	7635.713	529.150	-4571.172	7684.837	538.914	-4605.699	7752.071	534.443	-4625.454	7826.972	525.276	-4620.720	7890.013	527.889	-4594.733	7965.566	551.381	-4563.628	8073.628
5612	31.34637	389.849	-4262.482	7378.764	410.965	-4309.725	7407.708	431.911	-4355.247	7442.643	446.522	-4404.913	7476.409	461.288	-4450.825	7517.688	483.493	-4495.857	7566.298	510.620	-4531.786	7618.280	529.394	-4562.695	7667.997	540.214	-4595.822	7735.741	536.371	-4614.883	7810.872	526.906	-4608.867	7873.970	529.502	-4580.069	7948.438	553.566	-4543.785	8054.771
5613	31.35196	389.313	-4257.138	7359.385	410.798	-4304.728	7387.876	432.183	-4349.590	7423.334	446.757	-4398.987	7457.514	461.159	-4444.505	7499.334	483.124	-4489.101	7548.240	510.258	-4524.405	7600.791	529.585	-4554.169	7650.871	541.442	-4585.830	7719.134	540.018	-4604.853	7793.228	530.249	-4597.296	7856.520	531.248	-4565.512	7930.932	555.230	-4524.579	8035.997
5614	31.35754	388.893	-4251.978	7339.606	410.546	-4299.535	7367.854	432.461	-4343.901	7403.685	447.074	-4392.963	7438.337	461.230	-4438.164	7480.659	482.796	-4482.279	7530.064	509.930	-4516.954	7583.036	529.849	-4545.683	7633.493	542.655	-4575.817	7702.263	542.262	-4593.741	7776.546	532.352	-4585.278	7839.692	532.915	-4551.025	7913.087	556.864	-4506.240	8016.217
