NO_OF_FRAMES	280
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 16:57:18	2596.12659418
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
1774	9.90503	NA	NA	NA	272.010	-4537.176	8559.368	292.430	-4605.602	8536.676	300.368	-4618.724	8469.800	296.622	-4638.741	8409.479	307.542	-4679.278	8343.306	383.035	-4736.674	8278.646	NA	NA	NA	387.781	-4838.971	8221.759	404.698	-4888.259	8203.133	426.139	-4935.714	8186.563	433.043	-4996.791	8209.398	421.057	-5054.876	8286.323	426.320	-5164.216	8344.205	431.541	-5209.504	8407.223	407.158	-5255.375	8458.995
1775	9.91061	NA	NA	NA	272.248	-4528.931	8558.143	289.053	-4597.997	8538.235	297.323	-4609.878	8471.308	299.350	-4628.393	8408.647	304.020	-4667.585	8343.599	378.584	-4724.648	8278.603	NA	NA	NA	384.175	-4826.862	8222.045	399.702	-4877.276	8205.843	421.661	-4925.462	8189.786	441.912	-4988.729	8201.285	418.710	-5048.383	8279.973	426.687	-5156.307	8341.262	426.612	-5200.910	8404.496	406.423	-5250.689	8452.490
1776	9.91620	NA	NA	NA	276.489	-4521.887	8558.438	279.752	-4589.790	8540.937	294.447	-4601.296	8472.519	296.545	-4617.671	8409.342	300.552	-4655.920	8343.514	374.398	-4713.330	8278.324	433.081	-4770.625	8240.443	379.818	-4814.819	8222.313	394.357	-4865.960	8208.083	416.494	-4915.235	8193.006	439.789	-4979.138	8199.093	417.572	-5042.263	8272.454	426.684	-5147.515	8338.494	422.309	-5192.315	8400.768	406.546	-5242.185	8448.021
1777	9.92179	NA	NA	NA	275.033	-4513.930	8556.338	276.214	-4581.748	8540.444	292.187	-4592.410	8473.537	294.066	-4606.842	8409.620	297.465	-4644.238	8343.255	370.494	-4701.811	8277.839	429.084	-4759.091	8240.229	374.335	-4803.036	8222.376	389.568	-4854.497	8209.701	411.285	-4904.929	8195.838	429.184	-4968.573	8201.876	418.143	-5036.804	8264.354	426.150	-5137.972	8335.737	418.483	-5184.048	8396.243	411.652	-5236.781	8439.568
1778	9.92737	NA	NA	NA	272.734	-4505.650	8553.297	272.487	-4574.075	8541.908	290.027	-4583.652	8474.210	285.650	-4595.602	8411.463	294.124	-4632.567	8342.670	366.680	-4690.439	8277.378	425.052	-4747.611	8239.816	368.328	-4790.984	8222.297	384.755	-4843.175	8210.956	405.696	-4894.550	8198.266	432.545	-4958.610	8196.448	420.379	-5031.743	8255.862	425.578	-5128.153	8333.193	414.813	-5176.374	8390.852	409.386	-5228.706	8434.898
1779	9.93296	NA	NA	NA	271.581	-4497.285	8549.602	268.094	-4566.284	8541.679	287.648	-4575.236	8474.560	282.972	-4584.927	8411.463	290.759	-4620.985	8342.047	NA	NA	NA	421.237	-4736.185	8239.316	363.003	-4778.900	8221.979	380.492	-4831.841	8211.358	400.264	-4883.959	8200.056	427.811	-4947.953	8195.817	423.041	-5026.360	8247.230	424.317	-5118.151	8330.870	411.842	-5169.075	8384.786	407.054	-5219.879	8431.026
1780	9.93855	NA	NA	NA	271.281	-4489.147	8545.507	263.371	-4558.169	8540.705	285.127	-4566.795	8474.726	287.084	-4574.766	8409.379	287.546	-4609.481	8341.256	NA	NA	NA	417.248	-4724.620	8238.495	358.712	-4767.086	8221.132	376.212	-4820.415	8211.205	395.052	-4873.258	8201.183	422.693	-4937.229	8195.483	426.304	-5020.041	8238.722	424.853	-5108.488	8325.722	409.342	-5162.090	8378.592	404.434	-5211.078	8427.664
1781	9.94413	NA	NA	NA	270.837	-4481.064	8538.859	264.288	-4550.244	8537.407	281.984	-4558.414	8474.428	284.996	-4564.172	8409.273	284.612	-4597.978	8340.215	NA	NA	NA	413.352	-4713.332	8237.556	354.654	-4755.592	8220.080	372.135	-4808.979	8210.376	390.338	-4862.353	8201.562	417.627	-4926.563	8195.257	429.147	-5012.241	8230.638	421.293	-5098.234	8321.355	407.313	-5154.615	8372.614	395.755	-5200.477	8427.195
1782	9.94972	NA	NA	NA	270.503	-4473.219	8533.768	263.168	-4541.920	8534.326	278.696	-4550.170	8473.783	282.624	-4553.567	8408.803	281.903	-4586.488	8339.245	311.377	-4641.839	8275.311	409.645	-4702.175	8236.320	351.415	-4744.196	8218.636	368.307	-4797.539	8208.919	386.147	-4851.260	8201.177	412.847	-4916.071	8194.969	430.370	-5002.726	8223.480	418.931	-5089.251	8313.894	405.549	-5145.268	8367.028	391.010	-5190.406	8424.124
1783	9.95531	NA	NA	NA	270.143	-4465.213	8528.187	262.439	-4533.417	8530.618	275.228	-4542.120	8472.862	280.210	-4543.077	8408.188	279.411	-4575.220	8338.128	308.427	-4630.258	8273.978	405.713	-4690.937	8234.680	349.245	-4732.929	8216.805	365.005	-4786.061	8206.809	382.270	-4839.960	8200.160	407.976	-4905.547	8194.398	429.859	-4992.661	8217.023	418.258	-5081.239	8304.852	403.035	-5135.260	8360.416	387.975	-5180.076	8418.338
