NO_OF_FRAMES	224
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 12:34:19	11814.01908307
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
13373	74.70391	NA	NA	NA	1195.529	-4715.968	8081.175	1134.820	-4748.637	8072.971	1112.991	-4798.921	8047.212	1088.728	-4855.722	8051.071	1028.170	-4869.846	8055.514	962.033	-4856.142	8056.724	909.134	-4853.765	8064.378	843.103	-4869.419	8079.478	778.340	-4898.582	8095.722	731.436	-4919.554	8131.595	685.072	-4938.280	8152.822	NA	NA	NA	NA	NA	NA	534.713	-4934.257	8232.820	NA	NA	NA
13374	74.70950	NA	NA	NA	1202.516	-4713.149	8070.413	1140.961	-4744.000	8061.663	1119.426	-4794.083	8035.820	1096.646	-4851.791	8039.022	1036.536	-4867.172	8044.634	970.267	-4853.504	8046.322	917.437	-4850.923	8054.524	850.443	-4866.626	8068.577	786.547	-4894.843	8086.231	736.928	-4916.368	8118.902	692.642	-4933.339	8143.288	NA	NA	NA	NA	NA	NA	544.249	-4924.977	8227.741	430.493	-4884.145	8328.736
13375	74.71508	NA	NA	NA	1209.542	-4710.400	8059.450	1147.139	-4739.380	8049.986	1125.831	-4789.325	8024.161	1104.513	-4847.828	8026.816	1044.753	-4864.377	8033.342	978.535	-4850.774	8035.686	925.649	-4848.157	8044.227	858.748	-4863.523	8058.707	794.763	-4891.024	8076.478	744.789	-4912.211	8108.854	700.308	-4928.624	8133.454	NA	NA	NA	NA	NA	NA	554.425	-4915.442	8222.707	439.636	-4865.160	8316.065
13376	74.72067	1251.962	-4694.579	8010.471	1216.670	-4707.650	8048.314	1153.374	-4734.729	8038.043	1132.326	-4784.452	8012.593	1112.341	-4843.815	8014.622	1052.935	-4861.494	8021.828	988.262	-4847.692	8027.153	933.731	-4846.171	8033.413	866.990	-4860.448	8048.417	806.876	-4884.847	8072.300	748.991	-4909.993	8093.500	707.635	-4923.787	8123.035	NA	NA	NA	NA	NA	NA	NA	NA	NA	449.445	-4844.935	8310.935
13377	74.72626	1259.293	-4692.029	7999.028	1223.552	-4704.996	8036.439	1159.666	-4730.083	8025.785	1138.660	-4779.592	8000.698	1120.150	-4839.755	8002.456	1061.411	-4858.363	8010.639	996.421	-4844.950	8015.820	942.071	-4842.672	8022.667	875.233	-4857.432	8037.777	814.959	-4881.065	8061.913	756.941	-4905.560	8083.174	705.036	-4915.863	8117.345	NA	NA	NA	NA	NA	NA	579.370	-4883.547	8242.538	462.378	-4825.943	8303.200
13378	74.73184	1266.680	-4689.629	7987.206	1230.430	-4702.432	8024.114	1166.042	-4725.386	8013.284	1144.915	-4774.773	7988.671	1127.905	-4835.640	7990.237	1069.675	-4855.274	7998.919	1004.563	-4842.183	8004.212	950.251	-4839.966	8011.362	884.855	-4853.999	8028.857	823.044	-4877.227	8051.331	764.743	-4901.007	8072.461	712.556	-4910.803	8106.099	NA	NA	NA	587.633	-4891.291	8195.980	592.574	-4869.753	8238.639	476.497	-4801.302	8305.687
13379	74.73743	1274.087	-4687.305	7975.047	1237.521	-4699.792	8011.863	1172.481	-4720.680	8000.541	1151.174	-4769.889	7976.596	1135.620	-4831.472	7978.052	1077.837	-4852.184	7986.859	1013.015	-4839.209	7992.844	958.292	-4837.320	7999.525	893.282	-4850.937	8017.970	831.077	-4873.425	8040.360	775.622	-4894.509	8065.947	720.182	-4905.690	8094.745	NA	NA	NA	600.059	-4882.052	8190.479	610.628	-4856.393	8233.832	492.206	-4785.328	8297.666
13380	74.74302	1281.467	-4685.082	7962.343	1244.650	-4697.155	7999.257	1179.018	-4715.962	7987.609	1157.393	-4764.981	7964.354	1143.165	-4827.261	7965.715	1084.369	-4849.973	7971.634	1021.041	-4836.417	7980.400	966.415	-4834.610	7987.510	901.570	-4847.980	8006.540	839.059	-4869.612	8028.984	783.190	-4889.932	8054.338	727.749	-4900.461	8083.030	NA	NA	NA	612.622	-4871.696	8183.167	630.136	-4843.533	8228.282	508.650	-4770.374	8290.079
13381	74.74860	1288.859	-4682.957	7949.258	1251.604	-4694.579	7986.014	1185.630	-4711.247	7974.432	1163.566	-4760.048	7951.945	1151.563	-4822.540	7955.234	1092.426	-4847.105	7959.084	1028.439	-4833.786	7966.577	974.452	-4831.902	7975.018	908.172	-4845.451	7992.270	847.009	-4865.825	8017.132	790.814	-4885.270	8042.423	735.429	-4895.113	8071.179	NA	NA	NA	625.940	-4862.742	8177.415	668.779	-4836.283	8215.199	526.072	-4756.424	8282.712
13382	74.75419	1296.255	-4680.880	7935.747	1258.600	-4691.971	7972.478	1192.342	-4706.542	7961.163	1169.679	-4755.073	7939.362	NA	NA	NA	1102.162	-4843.465	7949.652	1036.400	-4831.176	7953.501	983.547	-4828.687	7964.024	916.427	-4842.454	7980.153	854.920	-4862.028	8004.889	795.711	-4882.307	8025.981	743.284	-4889.638	8059.277	700.089	-4876.057	8124.343	638.144	-4854.261	8170.490	694.343	-4816.143	8208.764	539.958	-4743.884	8279.617
