NO_OF_FRAMES	229
NO_OF_CAMERAS	23
NO_OF_MARKERS	17
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:51:05	6347.40025363
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	
1992	11.12291	480.193	-4631.172	7579.965	475.324	-4670.783	7597.845	480.866	-4713.733	7634.644	493.017	-4740.976	7671.967	497.992	-4762.506	7717.874	499.903	-4793.770	7771.779	489.803	-4830.794	7821.727	482.494	-4867.161	7865.241	475.388	-4900.359	7910.154	468.279	-4932.774	7959.272	457.683	-4971.443	8021.204	443.088	-5004.455	8066.471	417.377	-5045.495	8119.114	396.137	-5089.540	8174.957	394.406	-5136.897	8231.577	402.064	-5186.209	8294.505	NA	NA	NA
1993	11.12849	477.915	-4627.450	7565.600	473.599	-4668.595	7582.382	479.380	-4711.635	7618.697	491.069	-4737.887	7656.620	495.413	-4758.685	7703.096	498.625	-4789.845	7757.022	490.197	-4827.624	7806.648	483.654	-4864.672	7850.125	476.427	-4897.119	7895.305	468.105	-4928.601	7944.767	456.539	-4966.060	8007.218	441.899	-4998.694	8052.743	416.294	-5040.425	8104.960	393.622	-5084.298	8160.321	389.863	-5129.353	8218.456	395.747	-5174.842	8285.512	NA	NA	NA
1994	11.13408	477.734	-4630.781	7543.365	471.803	-4666.294	7566.863	478.155	-4709.560	7602.674	489.572	-4734.922	7641.074	497.247	-4756.540	7685.678	496.894	-4785.813	7742.151	490.054	-4824.370	7791.713	484.490	-4861.489	7835.029	477.371	-4893.632	7880.158	468.194	-4924.433	7929.998	455.393	-4960.500	7993.029	440.608	-4992.726	8038.777	415.142	-5035.233	8090.522	391.208	-5079.147	8145.172	385.312	-5123.452	8205.457	388.811	-5162.097	8272.412	388.800	-5247.140	8327.366
1995	11.13966	475.329	-4627.157	7528.100	470.648	-4664.209	7550.797	477.374	-4707.365	7586.333	488.260	-4731.717	7625.375	495.453	-4752.699	7669.981	494.750	-4781.852	7726.974	489.750	-4820.988	7776.295	485.384	-4858.005	7819.575	478.365	-4890.674	7864.736	468.595	-4920.308	7914.763	454.554	-4955.329	7978.397	439.410	-4986.972	8024.249	413.961	-5029.990	8075.661	388.901	-5073.765	8129.693	380.504	-5115.774	8191.384	381.841	-5153.288	8257.843	380.527	-5229.874	8323.383
1996	11.14525	472.849	-4623.710	7512.335	472.745	-4662.760	7532.661	477.049	-4704.735	7569.659	487.366	-4728.527	7609.261	493.512	-4748.963	7654.212	492.574	-4778.206	7711.248	489.187	-4817.777	7760.479	486.225	-4854.598	7803.923	479.399	-4887.320	7849.068	469.204	-4916.505	7899.265	453.879	-4950.208	7963.305	438.252	-4981.218	8009.362	412.800	-5024.632	8060.583	386.719	-5068.514	8113.965	375.916	-5108.146	8176.757	375.481	-5142.289	8241.326	372.119	-5211.505	8317.814
1997	11.15084	470.413	-4619.846	7496.237	471.820	-4660.194	7515.990	477.056	-4702.358	7552.900	486.795	-4725.664	7592.580	491.683	-4745.360	7637.758	490.331	-4774.735	7695.058	488.617	-4814.049	7744.203	487.037	-4851.317	7787.957	480.582	-4883.914	7833.098	469.955	-4912.577	7883.531	453.502	-4945.403	7947.733	437.332	-4975.816	7993.957	411.483	-5019.239	8045.164	384.588	-5062.924	8098.098	370.480	-5101.410	8161.486	370.269	-5129.797	8229.091	364.312	-5182.624	8301.684
1998	11.15642	466.892	-4611.653	7480.608	471.078	-4657.679	7498.995	477.255	-4699.633	7535.752	486.227	-4722.935	7575.744	489.833	-4742.191	7620.981	488.099	-4771.376	7678.356	488.004	-4811.087	7727.773	487.858	-4847.677	7771.591	481.797	-4880.324	7817.029	470.766	-4908.875	7867.416	453.429	-4940.808	7931.800	436.479	-4970.651	7978.165	410.107	-5013.493	8029.516	382.488	-5057.291	8082.104	366.296	-5093.859	8145.936	363.953	-5119.503	8215.970	359.583	-5179.155	8298.851
1999	11.16201	464.551	-4608.904	7463.607	467.445	-4654.689	7483.594	477.582	-4696.649	7518.357	485.828	-4719.860	7558.617	488.007	-4739.494	7603.896	485.979	-4768.570	7661.209	487.148	-4807.424	7710.791	488.243	-4843.898	7754.996	482.812	-4876.629	7800.680	471.750	-4905.002	7851.057	453.534	-4936.477	7915.451	435.809	-4965.570	7961.910	408.868	-5008.193	8013.298	380.356	-5051.290	8065.807	362.238	-5086.371	8130.244	357.560	-5107.677	8201.514	350.136	-5180.794	8294.460
2000	11.16760	462.269	-4606.399	7446.431	466.230	-4651.615	7466.214	477.926	-4694.064	7500.620	485.345	-4716.718	7540.906	486.368	-4736.965	7586.233	483.886	-4765.638	7643.698	486.034	-4804.084	7693.875	488.368	-4840.030	7738.247	483.731	-4872.686	7784.003	472.759	-4901.271	7834.320	453.641	-4932.257	7898.689	435.346	-4960.905	7945.212	407.601	-5002.722	7996.889	378.234	-5045.308	8049.392	358.403	-5078.559	8114.123	351.506	-5096.054	8186.282	NA	NA	NA
2001	11.17318	460.112	-4603.823	7429.070	465.680	-4649.083	7448.245	478.196	-4691.417	7482.590	484.857	-4714.476	7522.900	484.899	-4734.662	7568.046	481.924	-4763.086	7625.732	484.902	-4801.016	7676.380	488.197	-4836.037	7721.186	484.397	-4868.751	7767.072	473.552	-4897.188	7817.492	453.983	-4928.364	7881.547	434.934	-4956.367	7928.148	406.437	-4997.372	7980.059	376.185	-5039.232	8032.679	355.285	-5069.786	8097.964	344.694	-5085.529	8170.276	339.808	-5113.824	8266.932
2002	11.17877	459.466	-4606.356	7410.522	464.576	-4646.356	7430.332	478.217	-4688.747	7464.291	484.286	-4712.026	7504.441	483.560	-4732.536	7549.566	480.184	-4760.523	7607.292	483.413	-4797.097	7658.767	487.787	-4832.230	7703.999	484.786	-4864.705	7749.889	474.323	-4893.297	7800.277	454.396	-4924.361	7864.182	434.727	-4951.960	7910.738	405.391	-4992.238	7962.756	374.152	-5033.039	8015.701	351.641	-5061.673	8081.321	339.198	-5074.582	8153.869	331.210	-5093.615	8252.844
2003	11.18436	456.184	-4603.469	7393.929	463.282	-4643.662	7412.298	477.872	-4686.192	7445.605	483.763	-4709.664	7485.764	482.506	-4730.682	7530.625	478.626	-4758.265	7588.609	482.084	-4793.880	7640.735	487.052	-4828.075	7686.261	485.089	-4860.557	7732.305	475.095	-4889.207	7782.700	454.879	-4920.293	7846.521	434.620	-4947.619	7893.034	404.304	-4986.978	7945.148	372.071	-5026.538	7998.505	348.082	-5053.484	8064.373	333.874	-5063.793	8136.978	320.232	-5074.342	8237.513
2004	11.18994	454.476	-4600.421	7376.164	461.735	-4640.830	7394.147	477.143	-4683.942	7427.579	483.260	-4707.958	7466.618	481.631	-4728.948	7511.342	477.227	-4755.979	7569.510	480.745	-4790.564	7622.371	486.455	-4824.230	7668.271	485.340	-4856.394	7714.413	475.809	-4885.005	7764.858	455.434	-4916.269	7828.532	434.649	-4943.361	7875.026	403.345	-4981.849	7927.148	370.191	-5020.240	7980.847	344.691	-5045.245	8047.123	328.698	-5053.239	8119.525	312.027	-5057.259	8219.030
2005	11.19553	453.735	-4597.956	7357.853	459.976	-4637.670	7375.648	475.940	-4681.602	7408.314	482.554	-4706.112	7446.940	480.840	-4727.493	7491.663	476.185	-4754.024	7550.038	479.659	-4786.970	7603.528	486.000	-4820.108	7649.788	485.525	-4852.083	7696.130	476.458	-4880.971	7746.738	456.033	-4912.034	7810.458	434.748	-4939.035	7856.816	402.505	-4976.943	7908.726	368.301	-5013.749	7962.908	341.505	-5036.958	8029.529	323.592	-5043.146	8101.630	303.085	-5040.325	8200.252
