NO_OF_FRAMES	321
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 12:20:35	11529.31991203
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
13323	74.42458	NA	NA	NA	NA	NA	NA	736.764	-4696.927	8544.445	NA	NA	NA	705.667	-4741.910	8506.669	672.879	-4733.879	8466.501	644.525	-4756.355	8415.101	NA	NA	NA	600.673	-4841.759	8345.461	568.276	-4879.611	8317.476	526.439	-4913.046	8274.948	496.861	-4955.076	8234.899	482.050	-5016.731	8227.473	489.108	-5072.359	8267.980	NA	NA	NA	469.290	-5174.451	8297.298	NA	NA	NA	NA	NA	NA
13324	74.43017	NA	NA	NA	NA	NA	NA	743.179	-4689.326	8544.327	NA	NA	NA	711.673	-4736.683	8508.379	677.685	-4726.509	8468.962	648.481	-4746.121	8417.580	NA	NA	NA	610.383	-4831.548	8345.809	575.737	-4872.200	8320.681	534.368	-4908.986	8280.788	504.813	-4950.222	8240.388	486.290	-5009.716	8224.973	486.817	-5068.506	8263.050	NA	NA	NA	475.837	-5172.744	8299.659	NA	NA	NA	NA	NA	NA
13325	74.43575	NA	NA	NA	NA	NA	NA	749.558	-4681.009	8544.138	NA	NA	NA	717.777	-4731.571	8509.647	682.701	-4719.271	8471.125	652.403	-4736.063	8419.875	NA	NA	NA	615.465	-4821.360	8347.315	582.989	-4864.157	8323.500	542.665	-4904.576	8286.332	511.829	-4945.847	8246.588	489.251	-5002.786	8226.141	485.479	-5063.962	8258.258	511.927	-5109.909	8292.607	482.246	-5171.013	8300.377	NA	NA	NA	NA	NA	NA
13326	74.44134	NA	NA	NA	NA	NA	NA	755.603	-4672.941	8542.308	NA	NA	NA	723.936	-4726.585	8510.336	688.041	-4712.447	8473.001	656.433	-4726.248	8422.004	NA	NA	NA	620.381	-4811.205	8348.642	590.271	-4855.967	8325.869	551.172	-4899.773	8291.376	519.068	-4941.709	8253.045	493.356	-4995.960	8228.190	484.792	-5058.943	8253.335	508.499	-5104.735	8290.004	488.799	-5169.116	8300.853	NA	NA	NA	NA	NA	NA
13327	74.44693	NA	NA	NA	NA	NA	NA	761.863	-4664.834	8540.688	NA	NA	NA	730.196	-4721.200	8510.597	693.644	-4705.542	8474.466	660.562	-4716.722	8423.766	NA	NA	NA	625.027	-4801.171	8349.667	597.310	-4847.512	8327.896	559.853	-4894.723	8295.930	525.012	-4937.501	8259.475	498.346	-4989.422	8231.352	484.560	-5053.505	8248.409	503.960	-5099.777	8286.883	495.107	-5166.649	8301.058	NA	NA	NA	499.822	-5278.166	8310.710
13328	74.45251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	736.558	-4716.055	8510.153	699.481	-4698.738	8475.394	664.784	-4707.361	8425.293	NA	NA	NA	629.019	-4791.325	8350.704	603.869	-4839.033	8329.611	568.568	-4889.156	8299.910	532.927	-4933.333	8265.447	504.229	-4983.318	8235.517	484.660	-5047.585	8243.780	498.550	-5094.510	8283.657	500.721	-5163.069	8300.943	NA	NA	NA	494.104	-5276.921	8316.774
13329	74.45810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	743.051	-4708.879	8510.490	705.371	-4691.909	8475.732	669.078	-4698.304	8426.613	NA	NA	NA	633.213	-4781.677	8351.339	610.052	-4830.704	8331.000	577.050	-4883.157	8303.344	541.333	-4929.178	8271.044	509.329	-4977.735	8240.908	485.411	-5040.605	8240.155	493.245	-5089.224	8278.462	504.298	-5158.057	8300.046	453.287	-5207.955	8289.790	480.453	-5270.772	8325.319
13330	74.46369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	749.211	-4700.294	8509.802	711.634	-4685.739	8475.317	673.306	-4689.264	8427.578	NA	NA	NA	636.917	-4772.388	8352.107	615.924	-4822.345	8332.163	585.189	-4876.719	8306.244	549.854	-4924.591	8276.004	516.433	-4972.511	8245.900	486.694	-5032.817	8237.265	489.701	-5088.264	8271.188	NA	NA	NA	458.676	-5205.674	8295.356	474.356	-5265.089	8324.492
13331	74.46927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	754.040	-4684.498	8509.711	717.883	-4678.972	8474.576	677.752	-4680.328	8428.151	NA	NA	NA	640.993	-4763.309	8352.474	625.061	-4813.888	8332.049	593.081	-4870.253	8308.533	558.269	-4919.591	8280.328	524.131	-4967.618	8250.914	490.418	-5024.507	8234.529	486.288	-5082.883	8264.217	NA	NA	NA	465.652	-5203.935	8299.671	468.842	-5260.348	8321.107
13332	74.47486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	760.146	-4675.362	8507.398	724.205	-4672.789	8473.222	682.359	-4671.622	8428.307	NA	NA	NA	644.625	-4754.431	8353.007	630.542	-4805.657	8332.645	600.706	-4863.429	8310.377	566.478	-4914.141	8283.820	531.891	-4962.667	8255.783	492.941	-5016.410	8235.838	484.469	-5077.268	8257.774	504.756	-5138.801	8293.139	473.096	-5201.865	8302.527	463.915	-5256.740	8317.035
