NO_OF_FRAMES	250
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-20, 17:40:13	10159.61654128
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
12739	71.16201	322.587	-4484.770	8240.780	323.493	-4559.076	8232.281	343.186	-4628.646	8216.225	375.239	-4678.057	8186.085	410.062	-4732.835	8161.632	429.961	-4801.389	8151.476	450.639	-4845.402	8148.636	480.992	-4922.165	8160.348	516.358	-4990.747	8170.900	NA	NA	NA	NA	NA	NA	399.505	-5279.466	8319.788	NA	NA	NA
12740	71.16760	323.200	-4476.516	8234.597	323.876	-4550.824	8225.936	351.212	-4620.108	8203.030	373.135	-4670.382	8179.508	408.345	-4725.225	8154.967	428.951	-4793.430	8144.766	449.719	-4837.190	8141.866	479.266	-4914.093	8154.236	512.452	-4983.065	8167.471	NA	NA	NA	NA	NA	NA	399.018	-5274.409	8320.762	NA	NA	NA
12741	71.17318	323.779	-4468.387	8228.059	324.016	-4542.603	8219.525	340.316	-4612.638	8201.816	371.077	-4662.800	8172.502	406.591	-4717.341	8148.131	427.700	-4785.586	8138.109	448.793	-4829.093	8135.024	477.849	-4906.088	8147.716	510.053	-4975.367	8161.747	544.219	-5038.967	8178.903	NA	NA	NA	396.489	-5269.108	8321.275	NA	NA	NA
12742	71.17877	324.152	-4460.391	8221.135	324.093	-4534.398	8212.748	346.731	-4603.965	8188.411	369.027	-4654.952	8165.250	404.771	-4709.732	8140.930	426.337	-4777.637	8131.190	447.741	-4821.098	8127.982	476.579	-4898.036	8140.938	506.811	-4967.528	8157.203	540.948	-5031.199	8175.703	NA	NA	NA	394.221	-5264.376	8322.101	NA	NA	NA
12743	71.18436	324.421	-4452.347	8213.880	324.686	-4526.222	8205.241	344.233	-4595.917	8180.626	366.884	-4647.422	8157.727	402.861	-4702.036	8133.548	424.910	-4770.051	8123.961	446.547	-4813.166	8120.723	475.087	-4890.127	8134.181	504.184	-4959.616	8151.912	537.341	-5023.149	8172.464	517.376	-5107.009	8230.641	390.169	-5258.684	8324.345	NA	NA	NA
12744	71.18994	324.584	-4444.809	8206.178	324.988	-4517.962	8197.577	341.881	-4587.785	8172.445	364.571	-4639.813	8150.080	400.451	-4694.501	8126.202	423.091	-4762.238	8116.816	445.111	-4805.428	8113.379	474.025	-4882.238	8126.889	501.849	-4951.607	8146.313	533.784	-5015.320	8168.853	521.036	-5101.183	8227.494	386.499	-5253.000	8325.587	NA	NA	NA
12745	71.19553	324.663	-4437.000	8198.211	325.377	-4509.854	8189.375	339.690	-4579.688	8164.063	362.456	-4632.284	8142.016	398.520	-4687.047	8118.451	421.450	-4754.752	8109.140	443.863	-4797.675	8105.654	473.100	-4874.307	8119.283	499.717	-4943.567	8140.311	527.974	-5007.418	8167.002	524.284	-5094.887	8223.855	382.496	-5246.804	8327.011	NA	NA	NA
12746	71.20112	324.668	-4429.205	8189.868	325.658	-4501.736	8180.964	338.114	-4571.479	8155.111	360.522	-4624.746	8133.819	396.698	-4679.650	8110.564	419.878	-4747.253	8101.391	442.696	-4790.130	8097.663	472.316	-4866.411	8111.508	497.718	-4935.523	8134.016	524.483	-4999.313	8162.402	527.365	-5082.364	8219.719	NA	NA	NA	NA	NA	NA
12747	71.20670	324.482	-4421.626	8181.075	326.331	-4493.713	8171.862	336.970	-4563.370	8145.760	358.849	-4617.126	8125.307	395.054	-4672.271	8102.432	418.728	-4739.791	8093.143	441.669	-4782.406	8089.349	471.655	-4858.552	8103.597	496.007	-4927.427	8127.362	521.077	-4991.299	8157.398	540.781	-5077.117	8213.224	NA	NA	NA	NA	NA	NA
12748	71.21229	324.261	-4414.011	8171.899	326.896	-4485.901	8162.317	335.627	-4555.370	8136.274	357.213	-4609.811	8116.500	393.720	-4664.987	8093.925	417.830	-4732.360	8084.524	440.940	-4774.909	8080.795	471.109	-4850.723	8095.439	494.510	-4919.400	8120.155	517.921	-4983.224	8151.713	530.490	-5071.770	8208.931	NA	NA	NA	NA	NA	NA
12749	71.21788	323.825	-4406.562	8162.159	327.548	-4477.935	8152.389	334.667	-4547.302	8126.357	355.781	-4602.426	8107.342	392.242	-4657.766	8085.106	416.672	-4725.028	8075.885	440.039	-4767.364	8072.233	470.609	-4842.892	8087.151	493.076	-4911.444	8112.790	514.812	-4975.070	8145.638	539.363	-5059.546	8201.591	NA	NA	NA	NA	NA	NA
12750	71.22346	323.198	-4399.360	8151.775	328.294	-4469.946	8142.016	333.577	-4539.365	8116.366	353.944	-4595.096	8098.128	390.673	-4650.494	8076.040	415.667	-4717.591	8066.995	439.155	-4759.667	8063.561	469.946	-4835.144	8078.734	491.741	-4903.525	8105.011	511.788	-4966.979	8139.129	545.999	-5053.209	8196.182	NA	NA	NA	NA	NA	NA
12751	71.22905	322.537	-4392.269	8140.922	328.317	-4463.062	8131.899	332.535	-4531.465	8106.106	352.214	-4587.840	8088.451	389.366	-4643.149	8066.549	414.518	-4710.077	8058.037	438.296	-4752.123	8054.745	469.392	-4827.313	8070.166	490.395	-4895.652	8096.961	509.009	-4959.107	8132.121	530.451	-5047.890	8191.497	NA	NA	NA	NA	NA	NA
12752	71.23464	321.654	-4385.228	8129.448	328.865	-4455.283	8120.894	331.406	-4523.636	8095.578	350.551	-4580.490	8078.527	387.824	-4635.797	8056.911	413.555	-4702.581	8048.745	437.304	-4744.646	8045.771	468.830	-4819.694	8061.290	489.250	-4887.900	8088.495	506.227	-4951.134	8124.697	528.842	-5039.398	8184.887	NA	NA	NA	NA	NA	NA
12753	71.24022	320.733	-4378.138	8117.482	329.280	-4447.594	8109.609	330.165	-4515.817	8084.813	348.454	-4573.277	8068.444	386.392	-4628.396	8047.032	412.141	-4695.175	8039.542	435.992	-4737.086	8036.866	468.110	-4811.908	8052.427	488.064	-4880.091	8079.835	503.925	-4943.426	8116.593	526.907	-5031.038	8178.058	NA	NA	NA	NA	NA	NA
12754	71.24581	319.810	-4370.871	8105.096	329.222	-4440.022	8098.396	328.885	-4507.916	8073.598	346.418	-4565.885	8058.036	384.608	-4621.088	8037.176	410.950	-4687.778	8029.904	434.931	-4729.435	8027.564	467.345	-4804.290	8043.372	487.098	-4872.429	8070.772	501.781	-4935.553	8108.144	524.505	-5022.518	8170.900	NA	NA	NA	NA	NA	NA
12755	71.25140	318.870	-4363.682	8092.263	329.269	-4432.453	8086.835	328.004	-4499.948	8061.788	344.243	-4558.688	8047.309	382.800	-4613.755	8027.226	409.412	-4680.323	8020.400	433.828	-4721.963	8017.955	466.574	-4796.750	8034.008	486.168	-4864.799	8061.448	499.675	-4927.857	8099.334	521.999	-5014.164	8163.404	NA	NA	NA	NA	NA	NA
12756	71.25698	317.880	-4356.420	8078.754	327.306	-4425.007	8076.377	326.897	-4492.061	8049.856	342.210	-4551.238	8036.270	380.928	-4606.611	8017.253	408.243	-4672.932	8010.499	433.645	-4714.876	8008.891	465.671	-4789.292	8024.505	485.209	-4857.312	8052.022	497.850	-4920.405	8090.351	518.754	-5005.802	8156.035	447.801	-5090.899	8273.146	NA	NA	NA
12757	71.26257	317.307	-4349.331	8065.180	327.276	-4417.543	8063.979	325.987	-4484.293	8037.455	339.837	-4544.294	8025.045	379.314	-4599.564	8006.984	409.366	-4665.595	7999.067	432.195	-4708.202	8001.429	464.917	-4781.968	8014.749	484.325	-4849.936	8042.485	496.552	-4912.870	8080.947	515.346	-4997.634	8148.059	461.029	-5087.321	8273.714	NA	NA	NA
12758	71.26816	314.796	-4342.908	8054.275	327.356	-4409.971	8051.012	325.032	-4476.629	8024.859	337.926	-4536.938	8013.252	377.713	-4592.565	7996.526	411.297	-4658.319	7987.058	432.126	-4700.382	7988.769	464.120	-4774.626	8004.776	483.763	-4842.619	8032.352	495.269	-4905.282	8071.443	512.419	-4989.821	8139.436	473.826	-5084.642	8271.350	NA	NA	NA
12759	71.27374	313.932	-4335.436	8039.861	327.213	-4402.550	8037.879	324.873	-4468.810	8011.709	336.478	-4529.525	8001.028	379.368	-4585.333	7984.551	412.551	-4651.113	7975.423	430.863	-4693.748	7980.868	463.516	-4767.344	7994.293	483.078	-4835.234	8022.253	493.790	-4897.718	8061.696	509.821	-4981.944	8130.257	487.755	-5081.688	8266.601	391.871	-5040.660	8292.534
12760	71.27933	313.353	-4328.083	8025.354	327.097	-4395.116	8024.219	324.847	-4461.047	7998.294	334.900	-4522.322	7988.747	378.325	-4578.413	7973.325	411.641	-4643.986	7965.115	430.587	-4685.981	7967.978	462.963	-4760.138	7983.663	482.450	-4827.755	8011.847	492.444	-4890.304	8051.574	507.425	-4974.037	8120.529	500.375	-5076.008	8260.666	409.626	-5038.378	8286.208
12761	71.28492	312.748	-4320.724	8010.536	326.936	-4387.633	8009.964	324.771	-4453.447	7984.792	333.498	-4515.108	7976.103	377.006	-4571.419	7961.846	410.583	-4636.813	7954.456	429.994	-4678.762	7957.130	462.474	-4752.834	7972.739	481.759	-4820.356	8001.239	491.167	-4882.877	8041.106	505.168	-4966.485	8110.434	512.048	-5067.741	8253.706	426.325	-5039.616	8284.295
12762	71.29050	311.998	-4313.300	7994.928	326.800	-4380.124	7995.210	324.614	-4446.079	7971.193	332.048	-4507.836	7963.395	375.739	-4564.595	7950.031	409.573	-4629.721	7943.495	429.143	-4671.547	7946.157	462.056	-4745.487	7961.670	480.970	-4812.985	7990.406	490.006	-4875.542	8030.270	503.124	-4958.811	8100.023	521.383	-5061.676	8244.558	442.149	-5043.533	8289.201
12763	71.29609	311.373	-4305.997	7979.444	326.980	-4372.600	7979.759	324.642	-4438.615	7957.375	330.559	-4500.653	7950.586	374.348	-4557.701	7937.946	408.738	-4622.579	7932.043	428.109	-4664.830	7937.289	461.443	-4738.065	7950.593	480.086	-4805.596	7979.436	488.891	-4868.256	8019.158	501.394	-4951.306	8089.208	530.347	-5050.881	8235.316	451.310	-5038.677	8290.096
12764	71.30168	310.619	-4298.677	7963.219	327.001	-4365.268	7963.865	324.779	-4431.252	7943.292	329.160	-4493.522	7937.552	372.773	-4550.800	7925.666	407.388	-4615.479	7920.792	427.824	-4656.856	7923.330	460.742	-4730.689	7939.313	479.383	-4798.217	7968.103	487.811	-4861.112	8007.587	499.420	-4940.843	8077.996	537.626	-5039.866	8225.071	NA	NA	NA
12765	71.30726	306.543	-4293.730	7950.509	327.165	-4357.918	7947.480	324.877	-4424.018	7929.088	327.758	-4486.446	7924.316	371.142	-4544.086	7913.036	406.695	-4608.233	7908.546	417.079	-4649.791	7915.817	452.797	-4723.646	7932.631	478.512	-4790.865	7956.632	486.850	-4853.965	7995.743	498.226	-4933.337	8066.586	543.388	-5028.516	8213.973	NA	NA	NA
12766	71.31285	309.351	-4284.317	7929.965	327.344	-4350.687	7930.778	325.266	-4416.652	7914.357	328.305	-4479.159	7910.474	367.260	-4537.874	7903.928	395.513	-4601.025	7903.045	419.386	-4641.972	7906.579	452.149	-4716.106	7920.811	477.810	-4783.466	7944.734	486.051	-4846.762	7983.488	497.259	-4925.583	8054.845	547.919	-5017.269	8202.590	NA	NA	NA
12767	71.31844	308.954	-4277.434	7912.865	333.628	-4342.417	7910.468	323.460	-4409.786	7900.491	327.012	-4472.221	7896.999	365.522	-4531.245	7891.235	394.783	-4593.707	7890.278	418.879	-4634.526	7894.214	451.463	-4708.604	7908.760	470.566	-4778.214	7936.881	485.359	-4839.602	7971.007	496.455	-4917.874	8042.863	550.823	-5006.298	8190.848	NA	NA	NA
12768	71.32402	308.471	-4270.714	7895.542	334.805	-4335.184	7892.661	323.551	-4402.599	7885.099	326.042	-4464.836	7883.042	355.990	-4523.828	7885.444	393.917	-4586.373	7877.429	418.271	-4627.078	7881.661	450.653	-4701.190	7896.209	469.743	-4770.776	7924.411	484.716	-4832.317	7958.332	495.852	-4910.060	8030.618	553.487	-4993.400	8180.200	NA	NA	NA
12769	71.32961	308.167	-4264.187	7877.642	335.789	-4328.223	7874.764	319.492	-4396.353	7871.875	325.007	-4457.805	7868.851	354.482	-4517.140	7872.481	393.042	-4579.146	7864.344	417.467	-4619.715	7868.776	449.903	-4693.777	7883.400	468.857	-4763.357	7911.604	484.160	-4825.088	7945.335	495.742	-4902.231	8018.074	554.883	-4983.298	8168.322	NA	NA	NA
12770	71.33520	304.739	-4261.627	7861.216	336.600	-4321.225	7856.643	320.232	-4389.271	7855.292	315.609	-4450.309	7858.708	352.678	-4510.404	7859.066	392.010	-4571.967	7851.101	416.483	-4612.426	7855.499	448.954	-4686.430	7870.198	468.051	-4755.946	7898.426	478.262	-4821.600	7935.950	495.807	-4894.377	8005.436	556.903	-4973.212	8155.865	NA	NA	NA
