NO_OF_FRAMES	256
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 11:34:50	5372.94525032
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
3206	17.90503	NA	NA	NA	824.909	-4506.060	8434.899	873.496	-4570.054	8454.258	825.925	-4597.843	8422.557	804.220	-4589.068	8359.571	NA	NA	NA	768.100	-4701.670	8265.802	742.483	-4764.938	8243.715	710.013	-4807.453	8232.540	669.338	-4849.986	8227.061	631.506	-4890.314	8229.581	588.372	-4944.893	8240.680	528.139	-5021.611	8258.480	477.611	-5114.681	8295.855	474.760	-5190.030	8312.535	512.744	-5259.193	8321.949
3207	17.91061	NA	NA	NA	827.876	-4498.237	8424.845	881.384	-4559.902	8443.756	833.629	-4592.850	8416.735	810.995	-4584.383	8353.695	NA	NA	NA	770.630	-4693.944	8260.449	747.495	-4758.297	8239.196	716.482	-4801.877	8228.281	676.425	-4844.909	8221.951	637.989	-4884.772	8223.467	594.148	-4938.771	8234.943	534.641	-5015.510	8254.759	476.484	-5104.611	8295.123	476.783	-5179.829	8309.038	512.084	-5247.109	8318.708
3208	17.91620	NA	NA	NA	834.007	-4491.779	8415.448	889.462	-4550.585	8432.546	841.021	-4587.921	8410.799	817.934	-4579.903	8347.604	NA	NA	NA	773.931	-4686.135	8254.315	754.646	-4751.342	8233.036	722.831	-4796.175	8223.850	683.438	-4839.700	8216.727	644.746	-4879.201	8217.315	599.958	-4932.679	8228.732	540.834	-5009.083	8250.706	477.285	-5093.925	8292.528	484.524	-5170.685	8302.519	510.140	-5235.310	8314.868
3209	17.92179	NA	NA	NA	837.518	-4483.912	8403.744	895.831	-4540.796	8419.951	851.016	-4580.871	8398.609	824.918	-4575.443	8340.865	NA	NA	NA	760.324	-4679.990	8254.925	759.180	-4744.374	8227.705	729.141	-4790.415	8219.104	690.427	-4834.524	8211.444	651.717	-4873.919	8211.005	605.778	-4926.442	8222.140	546.699	-5002.419	8246.154	478.356	-5083.599	8289.273	492.995	-5161.179	8295.850	505.618	-5223.082	8312.611
3210	17.92737	NA	NA	NA	839.935	-4475.505	8391.298	884.867	-4525.857	8407.114	863.891	-4573.917	8389.670	844.807	-4570.998	8337.524	NA	NA	NA	762.353	-4672.269	8248.567	748.065	-4739.338	8228.790	735.358	-4784.498	8213.937	697.483	-4829.339	8206.038	658.934	-4868.763	8204.672	612.028	-4920.399	8215.209	552.292	-4995.355	8241.173	480.391	-5073.589	8285.391	501.609	-5151.064	8288.786	500.174	-5211.373	8309.963
3211	17.93296	NA	NA	NA	842.785	-4467.428	8379.676	862.341	-4514.125	8393.232	879.919	-4569.276	8393.485	849.639	-4566.471	8328.386	798.570	-4592.596	8273.052	764.860	-4664.436	8241.754	752.001	-4732.021	8222.597	744.106	-4778.070	8206.782	704.501	-4824.052	8200.440	666.307	-4863.810	8198.218	618.449	-4914.309	8208.082	557.655	-4987.939	8235.752	484.009	-5063.103	8280.334	NA	NA	NA	493.430	-5199.449	8308.140
3212	17.93855	NA	NA	NA	845.765	-4459.223	8366.396	NA	NA	NA	878.680	-4557.667	8376.964	854.605	-4561.764	8318.451	803.870	-4585.350	8265.475	767.699	-4656.501	8234.384	755.770	-4724.634	8215.989	734.822	-4773.586	8207.723	711.556	-4818.786	8194.583	673.798	-4858.795	8191.684	625.137	-4908.261	8200.837	562.876	-4980.408	8229.720	488.586	-5054.051	8275.719	NA	NA	NA	486.213	-5187.099	8307.921
3213	17.94413	NA	NA	NA	848.588	-4451.952	8355.573	NA	NA	NA	885.795	-4548.142	8368.488	852.440	-4559.675	8315.201	808.364	-4574.727	8257.977	770.515	-4648.694	8226.763	759.826	-4717.064	8208.863	740.212	-4766.885	8201.293	718.403	-4813.273	8188.611	681.321	-4853.692	8185.123	631.965	-4902.394	8193.463	568.106	-4973.186	8223.228	491.217	-5044.834	8270.711	NA	NA	NA	478.844	-5174.693	8308.626
3214	17.94972	NA	NA	NA	851.362	-4444.078	8341.319	908.314	-4487.999	8359.948	892.741	-4537.429	8359.290	855.386	-4556.302	8308.638	813.951	-4567.936	8250.227	774.430	-4640.761	8218.338	764.107	-4709.451	8201.315	745.814	-4760.039	8194.336	725.121	-4807.604	8182.418	688.703	-4848.643	8178.275	638.571	-4896.667	8185.821	573.459	-4965.661	8216.052	495.890	-5036.433	8265.491	453.718	-5100.080	8308.023	471.053	-5162.161	8309.638
3215	17.95531	NA	NA	NA	NA	NA	NA	910.421	-4480.262	8346.467	899.147	-4523.587	8350.559	861.774	-4552.190	8300.083	819.691	-4561.558	8242.347	779.012	-4632.824	8209.347	768.094	-4701.808	8193.441	751.434	-4752.961	8187.090	729.015	-4802.137	8177.723	695.923	-4843.330	8171.363	645.338	-4890.903	8178.136	578.858	-4958.479	8208.404	502.040	-5028.516	8260.269	453.390	-5084.996	8302.579	462.798	-5149.760	8311.462
