NO_OF_FRAMES	240
NO_OF_CAMERAS	23
NO_OF_MARKERS	18
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-25, 13:04:03	7654.40460165
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	17 X	17 Y	17 Z	18 X	18 Y	18 Z	
2055	11.47486	687.093	-4476.790	7523.234	676.302	-4497.984	7533.191	686.899	-4539.113	7545.239	657.829	-4576.574	7566.662	611.997	-4567.259	7574.723	563.632	-4573.712	7591.369	550.461	-4624.826	7614.599	579.772	-4673.120	7645.993	602.393	-4710.504	7681.392	616.195	-4742.942	7724.360	619.074	-4775.331	7785.799	612.746	-4797.896	7842.972	595.298	-4808.362	7910.165	569.524	-4801.958	7974.839	541.043	-4785.485	8030.537	515.967	-4762.279	8096.792	487.978	-4743.591	8162.940	479.185	-4700.518	8249.356
2056	11.48045	688.410	-4471.540	7507.231	677.549	-4492.665	7517.245	688.613	-4533.794	7529.044	660.288	-4571.874	7550.253	614.460	-4562.675	7558.171	565.893	-4568.237	7574.660	552.151	-4619.368	7597.252	582.151	-4667.563	7627.973	605.664	-4704.579	7663.118	619.945	-4736.688	7706.132	623.297	-4768.577	7767.811	617.450	-4789.987	7825.536	600.856	-4798.928	7893.175	576.031	-4790.815	7957.930	548.799	-4772.357	8013.710	524.616	-4747.162	8079.297	498.054	-4726.716	8145.727	492.164	-4683.563	8232.845
2057	11.48603	689.855	-4466.234	7491.027	678.881	-4487.322	7501.138	690.247	-4528.429	7512.580	662.774	-4567.177	7533.636	616.913	-4558.183	7541.419	568.172	-4562.766	7557.652	553.883	-4613.837	7579.737	584.548	-4661.977	7609.732	608.910	-4698.715	7644.642	623.677	-4730.397	7687.636	627.530	-4761.826	7749.527	622.036	-4782.171	7807.688	606.870	-4788.343	7877.213	582.697	-4779.460	7940.843	556.372	-4759.182	7996.229	533.248	-4731.951	8061.532	508.342	-4709.887	8128.045	504.768	-4666.673	8215.540
2058	11.49162	691.307	-4460.913	7474.572	680.265	-4481.990	7484.739	691.887	-4523.038	7495.893	665.281	-4562.442	7516.867	619.344	-4553.779	7524.416	570.407	-4557.314	7540.361	555.606	-4608.222	7562.027	586.909	-4656.342	7591.196	612.135	-4692.638	7625.963	627.441	-4724.023	7668.988	631.735	-4754.991	7731.000	626.742	-4773.812	7790.132	611.923	-4779.114	7859.341	589.144	-4768.367	7923.212	564.593	-4746.296	7979.123	537.298	-4716.481	8045.403	518.735	-4693.352	8109.833	516.990	-4649.788	8197.419
2059	11.49721	692.744	-4455.574	7457.730	681.758	-4476.625	7468.133	693.523	-4517.665	7478.882	667.837	-4557.721	7499.845	621.810	-4549.362	7507.289	572.641	-4551.845	7522.751	557.294	-4602.779	7544.000	589.212	-4650.683	7572.514	615.353	-4686.495	7607.003	631.218	-4717.509	7650.146	636.008	-4748.179	7712.227	631.100	-4766.141	7771.592	616.899	-4769.890	7841.373	595.444	-4757.188	7905.385	572.460	-4733.223	7960.879	546.288	-4701.684	8026.580	529.067	-4676.870	8091.076	528.831	-4632.880	8178.658
2060	11.50279	694.245	-4450.181	7440.783	683.321	-4471.258	7451.264	695.196	-4512.321	7461.717	670.427	-4552.975	7482.697	624.297	-4545.075	7489.920	574.960	-4546.447	7504.940	558.941	-4597.190	7525.823	591.558	-4644.974	7553.679	618.535	-4680.442	7587.874	634.981	-4711.002	7631.005	640.184	-4741.320	7693.186	635.433	-4758.588	7752.762	621.738	-4760.975	7822.922	601.757	-4746.372	7887.269	580.403	-4720.283	7942.106	555.477	-4686.892	8007.290	539.628	-4660.640	8071.574	540.617	-4615.861	8159.122
2061	11.50838	695.753	-4444.792	7423.612	684.962	-4465.891	7434.127	696.915	-4507.027	7444.320	673.068	-4548.197	7465.249	626.878	-4540.708	7472.337	577.268	-4541.225	7486.798	560.525	-4591.606	7507.407	593.772	-4639.150	7534.655	621.742	-4674.125	7568.551	638.778	-4704.313	7611.729	644.446	-4734.346	7673.986	639.714	-4750.946	7733.757	628.981	-4748.896	7803.169	608.648	-4735.352	7868.269	588.435	-4707.487	7922.925	564.872	-4672.389	7987.662	545.521	-4643.742	8053.632	552.146	-4598.755	8138.822
2062	11.51397	697.346	-4439.392	7406.305	686.608	-4460.573	7416.694	698.683	-4501.723	7426.720	675.656	-4543.415	7447.544	629.478	-4536.341	7454.447	579.672	-4536.011	7468.329	562.130	-4585.948	7488.781	595.946	-4633.319	7515.467	624.935	-4667.771	7549.012	642.614	-4697.650	7592.177	648.673	-4727.311	7654.454	644.002	-4743.311	7714.453	634.021	-4739.681	7783.959	618.497	-4725.139	7847.583	596.583	-4694.738	7903.456	574.648	-4658.086	7968.005	556.208	-4627.817	8033.152	563.690	-4581.586	8117.759
2063	11.51955	698.959	-4432.991	7389.153	687.484	-4455.117	7399.708	700.474	-4496.331	7408.871	678.292	-4538.657	7429.425	632.108	-4531.962	7436.271	582.152	-4530.812	7449.747	563.731	-4580.287	7469.901	598.034	-4627.508	7496.104	628.069	-4661.346	7529.349	646.457	-4690.885	7572.434	652.921	-4720.253	7634.716	648.240	-4735.668	7694.721	639.029	-4730.498	7764.448	625.325	-4707.443	7830.878	604.753	-4682.225	7883.464	584.001	-4644.001	7947.392	566.798	-4612.043	8012.144	567.034	-4563.325	8098.868
2064	11.52514	700.520	-4427.695	7371.343	689.133	-4449.761	7381.895	702.315	-4491.027	7390.811	681.028	-4533.843	7411.186	634.793	-4527.587	7417.912	584.164	-4528.138	7429.883	565.343	-4574.637	7450.816	600.020	-4621.621	7476.582	631.055	-4655.025	7509.461	650.285	-4684.077	7552.377	657.218	-4713.074	7614.729	652.626	-4728.006	7674.942	643.971	-4721.514	7744.589	632.076	-4696.106	7810.955	612.828	-4669.665	7862.959	593.402	-4629.992	7926.309	577.379	-4596.498	7990.563	578.746	-4545.999	8076.105
2065	11.53073	702.150	-4422.335	7353.298	690.757	-4444.458	7363.813	704.147	-4485.732	7372.330	683.719	-4529.039	7392.666	637.518	-4523.182	7399.298	586.765	-4522.832	7410.877	567.023	-4568.989	7431.395	601.948	-4615.716	7456.842	634.076	-4648.447	7489.393	654.009	-4677.148	7532.101	661.515	-4705.886	7594.563	656.888	-4720.417	7654.842	648.979	-4712.358	7724.607	638.918	-4684.646	7790.990	620.599	-4657.321	7841.979	602.639	-4616.176	7904.574	588.054	-4581.122	7968.518	590.279	-4528.765	8052.607
2066	11.53631	703.895	-4417.183	7335.028	692.444	-4439.168	7345.586	706.005	-4480.540	7353.618	686.498	-4524.169	7373.785	640.316	-4518.803	7380.619	589.041	-4518.882	7390.913	568.686	-4563.170	7411.863	603.844	-4609.814	7436.951	636.847	-4642.019	7469.084	657.805	-4670.096	7511.828	665.850	-4698.674	7574.121	661.302	-4713.002	7634.411	654.013	-4703.294	7704.438	645.782	-4673.504	7770.647	628.237	-4645.219	7820.497	612.020	-4602.517	7882.469	598.713	-4565.976	7945.904	601.477	-4511.511	8028.430
2067	11.54190	705.588	-4411.753	7316.587	694.128	-4433.866	7327.171	707.798	-4475.248	7334.590	689.302	-4519.373	7354.708	643.170	-4514.388	7361.759	592.128	-4512.368	7372.212	570.415	-4557.392	7391.947	605.702	-4603.860	7416.708	639.668	-4635.321	7448.653	661.362	-4662.904	7491.292	670.195	-4691.343	7553.495	665.778	-4705.652	7613.643	659.111	-4694.460	7683.765	652.356	-4662.458	7749.563	635.673	-4633.193	7798.676	621.192	-4589.062	7859.761	609.298	-4550.945	7922.752	612.659	-4494.352	8003.692
2068	11.54749	707.405	-4406.466	7297.641	695.991	-4428.542	7308.378	711.055	-4470.284	7314.757	692.176	-4514.518	7335.396	646.100	-4509.958	7342.698	595.445	-4507.976	7352.708	572.087	-4551.517	7371.801	607.488	-4597.951	7396.149	642.295	-4628.547	7427.966	664.924	-4655.697	7470.608	674.598	-4683.895	7532.636	670.210	-4697.794	7592.864	664.271	-4685.564	7663.033	658.826	-4651.345	7728.397	643.170	-4621.397	7776.466	630.081	-4575.714	7836.143	619.918	-4536.225	7899.031	622.209	-4477.438	7977.828
2069	11.55307	709.275	-4401.185	7278.433	697.866	-4423.222	7289.326	712.885	-4465.114	7295.092	695.091	-4509.630	7315.829	649.096	-4505.560	7323.426	598.677	-4502.396	7333.279	573.864	-4545.645	7351.512	609.153	-4592.119	7375.357	644.880	-4621.745	7407.106	668.410	-4648.049	7449.646	679.018	-4676.241	7511.507	674.710	-4690.189	7571.753	669.559	-4676.872	7641.992	665.052	-4648.346	7703.710	650.269	-4610.040	7753.809	639.360	-4562.764	7813.019	630.552	-4521.524	7874.681	633.763	-4460.763	7952.078
2070	11.55866	711.075	-4395.557	7259.166	699.805	-4417.870	7269.986	714.893	-4459.807	7275.343	697.775	-4506.640	7294.453	652.157	-4501.234	7303.899	602.229	-4495.270	7313.873	575.638	-4539.536	7331.053	610.728	-4586.308	7354.380	647.260	-4615.005	7386.007	671.853	-4640.291	7428.672	683.487	-4668.366	7490.219	679.369	-4682.231	7550.580	674.731	-4668.459	7620.671	670.606	-4640.445	7681.600	657.727	-4598.647	7730.596	648.354	-4549.879	7788.951	641.126	-4507.120	7849.818	645.232	-4444.443	7925.722
2071	11.56425	713.509	-4391.905	7238.159	702.886	-4412.777	7249.419	715.447	-4454.314	7255.843	700.787	-4501.778	7274.350	655.247	-4496.905	7283.998	605.313	-4490.096	7293.429	577.411	-4533.396	7310.324	612.171	-4580.514	7333.248	649.587	-4608.142	7364.683	675.244	-4632.453	7407.299	688.017	-4660.313	7468.693	683.871	-4673.576	7529.377	679.894	-4664.427	7597.154	672.429	-4638.347	7662.627	665.779	-4588.071	7707.021	655.728	-4537.288	7763.858	651.535	-4492.978	7824.357	656.783	-4428.344	7898.877
2072	11.56983	715.443	-4386.644	7217.917	704.972	-4407.442	7229.362	717.523	-4448.944	7235.683	703.884	-4496.818	7253.874	658.374	-4492.645	7263.792	607.017	-4484.465	7270.658	579.233	-4527.065	7289.514	613.532	-4574.636	7312.034	651.799	-4601.272	7343.174	678.649	-4624.438	7385.637	692.506	-4652.135	7446.930	688.803	-4665.777	7507.409	685.159	-4656.795	7575.182	678.430	-4628.898	7639.843	673.865	-4577.163	7683.047	664.694	-4524.809	7738.854	661.792	-4479.113	7798.377	668.224	-4412.639	7871.279
2073	11.57542	717.550	-4381.485	7197.420	707.108	-4402.145	7209.031	719.640	-4443.620	7215.290	707.278	-4490.078	7234.825	661.537	-4488.404	7243.273	610.208	-4479.125	7249.519	580.976	-4520.759	7268.308	614.827	-4568.631	7290.711	653.939	-4594.414	7321.562	682.041	-4616.534	7363.754	697.066	-4643.756	7424.957	693.884	-4657.863	7485.415	690.488	-4649.097	7553.122	684.344	-4619.639	7616.502	681.134	-4566.335	7658.899	673.696	-4512.460	7713.423	672.194	-4465.624	7772.282	679.781	-4397.197	7843.216
