NO_OF_FRAMES	268
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 15:52:29	90095.91675248
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
3965	22.14525	723.162	-4660.754	8100.464	713.196	-4718.640	8132.931	682.991	-4769.419	8157.430	640.998	-4798.284	8148.219	594.699	-4840.381	8150.685	569.988	-4880.227	8166.757	545.331	-4928.593	8189.488	508.097	-4979.895	8195.772	469.642	-5029.527	8202.605	468.996	-5057.088	8259.830	500.866	-5052.543	8307.288	504.434	-5107.996	8329.781	NA	NA	NA	496.658	-5272.056	8347.894	484.796	-5352.152	8363.249
3966	22.15084	727.275	-4652.588	8096.300	717.286	-4710.854	8128.370	687.842	-4761.944	8152.483	645.853	-4789.899	8141.721	597.989	-4829.924	8142.010	572.858	-4870.089	8157.460	549.975	-4918.583	8181.859	514.908	-4970.439	8193.586	475.228	-5019.552	8201.320	468.981	-5054.437	8254.073	499.793	-5050.991	8304.324	506.325	-5103.868	8330.681	NA	NA	NA	496.383	-5270.337	8351.811	485.226	-5346.829	8359.686
3967	22.15642	731.341	-4644.369	8092.138	720.961	-4702.974	8123.348	692.479	-4754.598	8147.198	650.619	-4781.781	8135.080	601.269	-4819.770	8133.345	575.691	-4860.066	8147.857	554.212	-4908.433	8173.749	521.370	-4960.544	8190.417	481.594	-5009.312	8200.613	469.201	-5050.334	8248.878	498.831	-5049.911	8301.479	499.827	-5101.333	8335.536	473.964	-5169.015	8343.396	495.203	-5268.181	8355.905	484.453	-5345.310	8357.059
3968	22.16201	735.307	-4636.106	8087.927	724.347	-4695.116	8117.950	696.965	-4747.424	8141.469	655.313	-4774.000	8128.322	604.640	-4809.976	8124.639	578.404	-4850.029	8138.103	558.135	-4898.698	8165.080	527.489	-4950.646	8186.457	488.634	-4999.194	8200.288	470.276	-5044.543	8243.475	496.794	-5046.365	8300.213	501.836	-5096.816	8335.650	475.065	-5163.931	8342.841	495.139	-5266.274	8361.573	485.279	-5346.029	8352.566
3969	22.16760	738.963	-4627.789	8083.564	727.396	-4687.379	8112.254	701.313	-4740.420	8135.309	659.935	-4766.571	8121.419	608.090	-4800.594	8115.982	581.093	-4840.519	8128.485	561.609	-4888.941	8156.218	533.179	-4940.618	8181.612	496.401	-4989.298	8199.813	472.120	-5037.173	8238.519	494.825	-5045.671	8295.460	503.298	-5092.003	8335.141	475.386	-5157.417	8343.235	501.830	-5265.671	8359.663	492.426	-5348.128	8343.874
3970	22.17318	742.583	-4619.469	8079.189	730.113	-4679.684	8106.083	702.996	-4735.613	8130.778	664.479	-4759.506	8114.334	611.740	-4791.575	8107.456	583.665	-4831.177	8118.921	564.738	-4879.686	8147.217	538.480	-4930.588	8176.209	504.375	-4979.374	8198.825	475.158	-5028.602	8234.134	492.685	-5044.510	8290.373	504.281	-5087.076	8333.649	479.647	-5153.760	8340.949	499.331	-5261.563	8360.362	491.092	-5349.647	8341.132
3971	22.17877	745.915	-4611.198	8074.562	732.683	-4672.271	8099.681	707.202	-4728.873	8123.711	668.970	-4752.791	8107.045	615.464	-4783.040	8098.938	586.195	-4822.139	8109.495	567.403	-4870.483	8138.450	543.455	-4920.804	8170.384	512.379	-4969.745	8196.921	479.660	-5019.091	8230.229	489.579	-5053.946	8283.778	504.581	-5081.742	8331.113	NA	NA	NA	493.718	-5255.633	8360.525	NA	NA	NA
3972	22.18436	748.897	-4602.875	8069.009	734.960	-4664.620	8092.852	711.213	-4722.229	8116.271	673.307	-4746.388	8099.634	619.308	-4775.008	8090.433	588.705	-4813.421	8100.303	569.905	-4861.403	8129.967	548.001	-4911.403	8164.404	519.999	-4960.210	8193.995	485.553	-5008.969	8226.964	488.186	-5044.193	8275.448	510.197	-5076.465	8325.541	NA	NA	NA	491.148	-5249.667	8359.755	NA	NA	NA
3973	22.18994	751.789	-4594.800	8064.080	737.103	-4657.141	8085.640	715.070	-4715.662	8108.458	677.551	-4740.229	8091.990	620.967	-4768.504	8083.341	591.127	-4804.867	8091.386	572.220	-4852.389	8121.849	552.472	-4902.192	8158.091	526.938	-4950.568	8190.378	492.700	-4999.126	8224.069	487.082	-5039.186	8268.698	503.269	-5070.206	8322.566	NA	NA	NA	489.886	-5243.664	8358.102	NA	NA	NA
3974	22.19553	754.253	-4586.915	8058.899	739.098	-4649.933	8078.056	718.893	-4709.179	8100.314	681.789	-4734.210	8084.207	624.812	-4761.288	8075.044	593.653	-4796.684	8082.629	574.549	-4843.660	8113.838	556.699	-4893.116	8151.682	533.270	-4941.026	8185.991	500.330	-4989.497	8221.000	486.806	-5031.873	8261.679	501.988	-5061.983	8315.407	NA	NA	NA	489.007	-5237.278	8356.011	NA	NA	NA
