NO_OF_FRAMES	241
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 12:30:27	77973.51874190
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
5597	31.26257	102.801	-4697.938	8319.524	153.075	-4781.552	8303.785	184.040	-4805.902	8281.403	227.869	-4844.585	8256.899	263.353	-4907.468	8249.621	NA	NA	NA	NA	NA	NA	403.536	-5038.136	8197.521	439.291	-5100.541	8195.824	440.997	-5164.694	8235.168	NA	NA	NA	459.406	-5367.562	8350.958	NA	NA	NA
5598	31.26816	98.341	-4691.529	8315.204	147.069	-4776.255	8299.757	178.231	-4800.330	8277.726	223.230	-4837.463	8252.174	258.994	-4899.957	8243.097	NA	NA	NA	NA	NA	NA	397.086	-5035.660	8199.215	435.391	-5097.062	8195.334	440.917	-5163.147	8230.026	NA	NA	NA	466.624	-5368.717	8356.614	NA	NA	NA
5599	31.27374	94.097	-4685.285	8310.573	141.003	-4770.989	8295.349	172.586	-4795.066	8273.496	218.629	-4830.629	8247.591	253.572	-4903.537	8240.171	NA	NA	NA	327.563	-4985.963	8222.179	390.399	-5033.425	8200.456	430.921	-5093.611	8195.140	440.312	-5160.878	8225.255	433.662	-5232.148	8302.532	488.384	-5373.374	8354.965	NA	NA	NA
5600	31.27933	90.104	-4679.224	8305.590	135.122	-4765.661	8290.394	166.962	-4789.944	8269.415	214.096	-4824.347	8243.054	249.611	-4896.768	8233.135	NA	NA	NA	321.127	-4980.852	8218.013	383.355	-5033.056	8201.434	426.005	-5090.388	8195.277	439.340	-5158.283	8221.036	432.723	-5233.267	8293.759	494.586	-5371.940	8360.312	NA	NA	NA
5601	31.28492	86.272	-4673.379	8300.255	129.320	-4760.387	8284.810	161.401	-4785.095	8264.824	209.504	-4818.543	8238.393	245.902	-4890.104	8225.829	NA	NA	NA	314.947	-4975.750	8213.170	376.232	-5030.437	8201.106	420.510	-5087.009	8195.597	437.682	-5155.088	8217.311	433.901	-5236.263	8282.291	496.754	-5368.016	8366.775	463.824	-5461.367	8301.112
5602	31.29050	82.586	-4668.011	8294.492	123.699	-4755.198	8278.644	155.824	-4780.410	8259.853	204.982	-4812.986	8233.658	242.450	-4883.605	8218.604	NA	NA	NA	308.976	-4970.589	8207.885	368.694	-5027.657	8200.186	414.662	-5083.866	8195.899	434.523	-5150.814	8215.504	433.393	-5236.631	8273.861	495.639	-5362.728	8373.250	462.972	-5456.583	8303.511
5603	31.29609	78.936	-4662.496	8288.348	118.151	-4749.343	8272.896	150.285	-4773.583	8254.998	200.431	-4808.055	8228.904	239.221	-4877.459	8211.613	NA	NA	NA	303.248	-4965.482	8202.010	361.230	-5024.799	8198.095	409.850	-5081.760	8196.521	431.970	-5147.129	8211.918	432.339	-5236.035	8266.005	491.511	-5357.112	8378.104	462.588	-5448.031	8305.095
5604	31.30168	75.485	-4656.942	8281.702	112.947	-4744.890	8264.742	145.025	-4771.423	8248.316	195.838	-4803.480	8224.210	235.608	-4871.386	8204.988	NA	NA	NA	297.786	-4960.553	8195.602	353.712	-5021.827	8195.299	403.258	-5078.507	8196.588	NA	NA	NA	431.024	-5233.481	8259.621	474.936	-5350.219	8383.339	456.656	-5439.101	8311.765
5605	31.30726	72.381	-4651.533	8274.746	107.590	-4739.466	8257.297	139.496	-4765.280	8242.779	191.262	-4799.035	8219.206	232.828	-4865.628	8198.266	265.337	-4918.386	8187.313	292.506	-4955.659	8188.755	346.562	-5018.687	8191.450	396.715	-5075.162	8195.680	NA	NA	NA	429.683	-5230.021	8254.480	467.004	-5345.792	8382.159	454.583	-5429.519	8314.996
5606	31.31285	69.545	-4646.209	8267.202	102.589	-4734.579	8248.531	134.431	-4761.052	8235.803	187.279	-4794.543	8213.629	230.002	-4860.002	8191.689	261.926	-4912.738	8179.724	287.583	-4950.729	8181.721	339.897	-5015.214	8186.354	390.120	-5071.526	8193.563	NA	NA	NA	428.334	-5226.547	8249.597	459.009	-5341.152	8380.576	458.503	-5420.227	8318.647
5607	31.31844	66.941	-4640.953	8259.157	97.457	-4730.243	8239.395	129.731	-4758.329	8227.629	183.563	-4789.899	8207.410	226.941	-4854.441	8185.263	258.225	-4907.250	8172.543	282.837	-4945.694	8174.684	333.544	-5011.581	8180.683	383.385	-5067.784	8190.228	419.214	-5130.627	8200.697	427.042	-5223.253	8244.879	451.364	-5337.216	8378.289	461.559	-5413.490	8324.624
5608	31.32402	64.383	-4635.800	8250.497	92.548	-4725.543	8230.105	124.744	-4754.063	8219.773	179.620	-4785.086	8200.906	224.080	-4849.149	8178.488	NA	NA	NA	277.780	-4940.769	8168.262	327.695	-5007.751	8174.025	376.545	-5064.089	8185.990	413.767	-5126.038	8199.284	425.700	-5219.728	8240.437	444.270	-5333.939	8374.109	460.035	-5405.826	8331.392
5609	31.32961	61.799	-4630.703	8241.282	87.650	-4720.869	8220.756	119.762	-4749.869	8211.571	175.457	-4780.334	8193.871	220.829	-4844.139	8171.815	250.959	-4900.630	8159.127	272.858	-4935.561	8160.371	322.000	-5003.841	8166.792	369.797	-5060.574	8181.077	410.633	-5128.170	8194.963	424.274	-5215.688	8235.865	438.010	-5331.850	8368.392	458.107	-5399.021	8338.609
5610	31.33520	59.164	-4625.619	8231.454	83.143	-4715.732	8211.068	114.639	-4744.582	8203.466	171.120	-4775.786	8186.439	217.363	-4838.955	8165.057	247.428	-4895.214	8152.056	269.013	-4930.611	8152.696	316.565	-4999.872	8159.251	363.051	-5057.079	8175.708	404.699	-5123.758	8192.253	422.281	-5211.050	8231.713	432.350	-5330.858	8361.314	456.758	-5394.847	8342.097
5611	31.34078	56.504	-4620.530	8221.088	78.434	-4711.437	8201.698	109.684	-4741.677	8194.008	166.658	-4771.334	8178.679	213.820	-4834.033	8158.102	243.961	-4890.071	8144.847	265.209	-4925.605	8144.816	311.255	-4995.808	8151.597	356.297	-5053.630	8169.914	398.643	-5119.568	8188.639	420.086	-5206.069	8227.647	427.359	-5330.502	8353.322	456.325	-5395.786	8345.849
5612	31.34637	53.678	-4615.348	8210.204	74.265	-4706.390	8191.331	104.373	-4736.792	8185.139	161.843	-4767.248	8170.734	210.526	-4829.123	8150.626	241.225	-4884.993	8136.927	261.653	-4926.013	8136.052	305.998	-4991.786	8143.950	349.640	-5050.190	8163.596	391.815	-5114.060	8185.236	417.619	-5200.878	8223.392	422.284	-5330.268	8345.842	455.169	-5394.265	8349.186
5613	31.35196	50.810	-4610.205	8199.048	70.036	-4701.407	8181.050	99.156	-4732.844	8175.498	157.028	-4763.350	8162.447	206.941	-4824.504	8142.997	238.103	-4879.912	8129.090	258.014	-4921.618	8128.150	300.859	-4987.613	8136.266	343.029	-5046.764	8156.886	385.654	-5110.209	8180.154	414.730	-5195.923	8219.092	416.650	-5327.688	8339.227	453.822	-5394.835	8352.712
5614	31.35754	47.810	-4605.041	8187.645	66.049	-4702.014	8171.521	93.994	-4729.271	8165.359	152.005	-4759.661	8153.869	202.737	-4819.884	8135.010	235.044	-4874.895	8120.987	255.035	-4916.867	8119.694	297.425	-4990.201	8126.679	337.771	-5049.937	8148.567	379.340	-5106.535	8174.695	411.713	-5190.543	8214.435	413.541	-5327.043	8329.840	452.158	-5398.140	8356.021
5615	31.36313	44.724	-4599.882	8175.966	62.194	-4697.089	8160.539	89.047	-4726.427	8154.507	146.970	-4755.883	8144.928	198.841	-4815.296	8126.551	232.357	-4869.837	8112.427	251.711	-4911.497	8111.347	292.608	-4985.726	8118.691	331.478	-5046.569	8141.229	371.544	-5095.945	8170.444	408.161	-5184.954	8209.494	412.002	-5327.438	8318.798	449.208	-5404.060	8358.765
5616	31.36872	41.504	-4594.690	8164.142	58.232	-4691.841	8149.546	83.886	-4722.788	8144.038	141.795	-4752.315	8135.500	194.815	-4810.964	8117.780	229.100	-4864.454	8104.000	248.485	-4906.221	8103.003	288.129	-4981.732	8110.379	325.434	-5042.922	8133.336	365.188	-5091.960	8163.900	404.347	-5179.572	8204.271	408.516	-5324.024	8310.633	443.173	-5412.481	8361.370
5617	31.37430	38.241	-4589.542	8152.073	53.701	-4686.776	8138.134	78.971	-4725.710	8133.489	136.641	-4748.831	8125.430	190.559	-4806.555	8108.691	226.245	-4859.826	8095.142	245.408	-4900.991	8094.401	283.687	-4976.845	8102.051	319.327	-5039.647	8125.631	358.951	-5088.073	8156.781	400.189	-5174.328	8198.547	406.375	-5321.486	8301.150	436.671	-5417.555	8365.285
5618	31.37989	34.951	-4584.433	8139.750	50.033	-4681.740	8126.491	73.942	-4722.345	8122.524	131.326	-4745.383	8114.965	186.176	-4802.490	8099.278	222.877	-4854.964	8086.347	242.401	-4895.688	8085.630	279.548	-4972.531	8093.467	313.595	-5036.219	8117.208	352.736	-5084.271	8149.181	395.939	-5169.098	8192.322	404.608	-5318.325	8291.944	428.241	-5420.664	8362.459
5619	31.38547	31.632	-4579.345	8127.124	46.322	-4676.603	8114.647	68.976	-4718.162	8111.209	126.020	-4742.024	8104.144	181.737	-4798.075	8089.461	219.611	-4850.258	8077.230	239.582	-4890.960	8076.634	275.501	-4967.813	8084.737	307.728	-5031.818	8108.943	346.500	-5080.525	8141.352	391.383	-5164.339	8185.556	404.941	-5315.568	8279.863	412.070	-5421.023	8358.585
5620	31.39106	28.325	-4574.267	8114.167	42.669	-4671.433	8102.625	54.103	-4707.957	8108.783	120.665	-4738.694	8092.924	177.018	-4793.813	8079.177	216.208	-4845.513	8067.889	236.561	-4886.492	8067.636	271.625	-4963.369	8075.754	302.256	-5028.292	8100.089	340.415	-5076.802	8132.957	386.553	-5159.224	8178.263	403.779	-5312.112	8271.117	398.216	-5417.578	8352.480
5621	31.39665	25.024	-4569.160	8100.981	39.313	-4666.346	8090.287	58.667	-4709.653	8088.055	115.226	-4735.200	8081.314	170.999	-4793.459	8068.261	213.078	-4841.583	8058.017	233.509	-4881.493	8058.293	267.793	-4958.563	8066.445	296.867	-5023.915	8091.057	334.335	-5073.088	8124.310	381.321	-5154.688	8170.848	402.713	-5307.752	8262.295	385.331	-5410.932	8346.274
5622	31.40223	21.692	-4564.001	8087.584	35.884	-4660.944	8077.629	54.768	-4705.035	8074.960	109.707	-4732.277	8069.440	166.073	-4789.675	8057.348	209.454	-4836.576	8048.023	230.482	-4876.201	8048.577	264.076	-4953.773	8057.039	291.845	-5020.526	8081.360	328.356	-5069.422	8115.260	375.994	-5150.057	8162.739	401.559	-5303.123	8253.422	377.155	-5405.100	8334.641
