NO_OF_FRAMES	286
NO_OF_CAMERAS	23
NO_OF_MARKERS	15
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-21, 15:59:59	90545.32145995
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	
4331	24.18994	NA	NA	NA	321.514	-4489.392	8552.592	NA	NA	NA	352.433	-4591.017	8495.266	360.313	-4616.749	8435.974	381.043	-4666.180	8378.652	401.499	-4738.278	8338.732	416.064	-4807.688	8327.299	424.195	-4862.588	8329.683	436.312	-4919.020	8334.313	443.773	-4974.456	8335.066	444.130	-5045.116	8326.990	491.056	-5112.193	8344.847	612.059	-5133.742	8359.264	727.491	-5221.111	8407.915
4332	24.19553	NA	NA	NA	317.742	-4482.890	8548.253	NA	NA	NA	350.463	-4582.477	8494.790	357.659	-4607.623	8434.974	379.389	-4657.437	8378.135	400.478	-4729.249	8338.074	414.369	-4798.900	8326.872	422.392	-4853.695	8329.848	435.323	-4909.912	8336.033	444.329	-4965.193	8339.938	443.944	-5035.375	8331.037	486.278	-5108.559	8340.203	606.738	-5123.832	8353.955	737.355	-5199.840	8390.525
4333	24.20112	NA	NA	NA	314.012	-4476.031	8543.302	NA	NA	NA	349.161	-4573.756	8493.917	354.799	-4598.547	8433.787	377.146	-4648.711	8377.494	398.782	-4720.523	8337.619	413.039	-4790.121	8326.374	421.076	-4844.764	8329.791	433.958	-4900.866	8337.420	444.973	-4955.831	8343.323	444.697	-5025.734	8334.832	481.961	-5103.714	8335.907	600.435	-5114.945	8348.890	741.790	-5163.640	8377.184
4334	24.20670	NA	NA	NA	310.254	-4468.537	8537.950	NA	NA	NA	348.077	-4565.056	8492.905	351.512	-4589.598	8432.564	373.970	-4640.399	8376.798	397.027	-4711.767	8337.048	411.844	-4781.252	8325.758	419.935	-4836.009	8329.709	432.768	-4891.767	8338.213	444.763	-4946.485	8345.704	446.013	-5016.225	8338.089	478.159	-5098.019	8332.693	593.126	-5107.685	8343.038	743.009	-5138.575	8355.543
4335	24.21229	274.649	-4441.108	8518.321	306.538	-4471.382	8529.291	NA	NA	NA	347.400	-4556.703	8491.712	348.082	-4580.679	8431.117	370.707	-4632.206	8375.625	395.144	-4703.171	8336.451	410.490	-4772.446	8325.146	418.432	-4827.099	8329.728	431.091	-4882.906	8338.793	443.886	-4937.376	8347.164	446.718	-5006.773	8340.945	475.276	-5096.682	8329.911	585.899	-5102.176	8336.406	739.526	-5112.431	8334.022
4336	24.21788	270.845	-4433.908	8512.103	302.142	-4464.410	8523.706	NA	NA	NA	347.274	-4548.286	8490.268	344.809	-4571.668	8429.439	366.646	-4624.032	8374.402	393.038	-4694.733	8335.829	409.229	-4763.616	8324.569	416.939	-4818.467	8329.577	429.733	-4873.941	8338.699	442.791	-4928.290	8347.511	447.572	-4997.811	8343.349	471.913	-5089.477	8329.076	578.760	-5097.730	8329.053	733.082	-5092.876	8311.890
4337	24.22346	267.045	-4426.616	8505.693	297.555	-4457.518	8517.848	NA	NA	NA	347.601	-4540.013	8488.554	341.329	-4563.062	8427.974	362.643	-4615.681	8372.754	391.235	-4686.067	8334.853	407.601	-4754.954	8324.191	415.743	-4809.649	8329.080	428.541	-4864.892	8338.041	441.468	-4919.429	8347.160	448.220	-4988.715	8345.562	469.389	-5081.479	8327.705	571.836	-5094.211	8321.761	722.268	-5068.908	8292.899
4338	24.22905	262.613	-4419.084	8498.379	292.982	-4450.633	8511.615	NA	NA	NA	348.474	-4531.601	8486.436	338.768	-4554.424	8426.300	358.910	-4607.313	8370.698	389.439	-4677.226	8333.637	406.675	-4746.048	8323.387	414.788	-4800.667	8328.236	427.180	-4856.279	8336.958	440.587	-4910.603	8346.035	449.254	-4979.824	8347.124	465.538	-5067.872	8326.521	565.682	-5094.733	8313.882	708.512	-5047.571	8275.549
4339	24.23464	258.449	-4411.794	8491.949	288.508	-4443.808	8504.884	367.084	-4482.292	8520.984	349.120	-4523.203	8484.308	336.606	-4546.024	8424.653	354.920	-4598.822	8368.516	387.452	-4668.543	8332.281	405.492	-4737.092	8322.614	413.803	-4791.734	8327.170	426.219	-4847.413	8335.077	439.633	-4901.808	8344.611	450.216	-4970.782	8347.824	463.825	-5059.355	8326.431	559.279	-5092.793	8306.664	692.646	-5032.378	8256.132
4340	24.24022	254.091	-4404.489	8485.478	284.196	-4436.918	8497.709	364.111	-4471.780	8512.370	350.045	-4514.641	8481.759	334.988	-4537.848	8422.854	351.414	-4590.156	8365.948	384.965	-4659.822	8330.804	404.562	-4728.096	8321.426	413.190	-4782.719	8325.537	425.383	-4838.442	8332.740	438.983	-4892.875	8342.697	450.725	-4961.599	8347.842	462.966	-5055.094	8328.296	552.736	-5090.146	8299.990	673.837	-5017.033	8238.095
