NO_OF_FRAMES	263
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-19, 17:15:31	93275.30118114
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
27802	155.31285	472.588	-4714.486	7610.938	508.772	-4958.629	7570.785	490.766	-5137.576	7653.474
27803	155.31844	471.377	-4707.615	7604.442	511.248	-4951.063	7567.085	489.843	-5133.897	7645.623
27804	155.32402	470.275	-4700.753	7597.867	513.560	-4943.843	7562.637	488.952	-5129.374	7637.775
27805	155.32961	469.210	-4693.977	7591.182	517.524	-4937.838	7558.721	488.222	-5124.708	7630.217
27806	155.33520	467.876	-4687.725	7584.853	519.840	-4930.480	7553.062	487.622	-5119.206	7622.473
27807	155.34078	467.025	-4681.147	7577.997	520.295	-4922.388	7546.072	487.304	-5113.425	7614.745
27808	155.34637	466.172	-4674.608	7570.759	524.428	-4916.009	7540.252	487.143	-5107.573	7606.908
27809	155.35196	465.507	-4668.130	7563.545	526.298	-4909.112	7533.017	487.274	-5101.289	7598.947
27810	155.35754	464.865	-4661.649	7555.897	528.350	-4902.044	7525.748	488.168	-5092.547	7592.637
27811	155.36313	464.394	-4655.434	7548.223	530.216	-4895.109	7518.023	488.751	-5086.319	7584.311
27812	155.36872	463.897	-4649.252	7540.286	532.003	-4887.726	7510.012	489.419	-5080.044	7575.767
27813	155.37430	463.417	-4642.973	7531.978	533.716	-4880.946	7501.934	490.388	-5073.767	7567.025
27814	155.37989	462.977	-4636.609	7523.483	535.242	-4874.078	7493.478	491.480	-5067.403	7557.894
27815	155.38547	462.664	-4630.461	7514.783	536.722	-4867.059	7484.882	492.633	-5061.114	7548.505
27816	155.39106	462.294	-4624.280	7505.732	538.269	-4860.280	7475.990	493.731	-5054.884	7538.818
27817	155.39665	462.005	-4618.047	7496.377	539.647	-4853.382	7466.820	494.828	-5048.628	7528.762
27818	155.40223	461.723	-4611.800	7486.636	540.980	-4846.290	7457.213	495.864	-5042.327	7518.134
27819	155.40782	461.439	-4605.534	7476.433	542.160	-4839.650	7447.531	496.870	-5036.000	7507.273
27820	155.41341	461.183	-4599.338	7465.953	543.739	-4832.791	7437.389	497.732	-5029.679	7496.175
27821	155.41899	461.217	-4593.063	7455.416	544.857	-4826.019	7427.003	498.648	-5023.133	7484.594
27822	155.42458	461.004	-4586.906	7444.250	546.345	-4818.845	7416.231	499.445	-5016.483	7472.981
27823	155.43017	461.140	-4580.591	7432.682	548.241	-4812.352	7405.995	500.184	-5009.766	7460.979
27824	155.43575	460.894	-4574.437	7420.679	549.066	-4804.953	7393.859	500.857	-5002.912	7448.669
27825	155.44134	461.007	-4568.238	7408.194	549.006	-4797.173	7380.826	501.490	-4996.029	7436.201
