NO_OF_FRAMES	276
NO_OF_CAMERAS	23
NO_OF_MARKERS	16
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-28, 11:37:41	4548.82147447
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	15 X	15 Y	15 Z	16 X	16 Y	16 Z	
3377	18.86034	NA	NA	NA	625.211	-4540.050	8584.841	657.795	-4628.339	8555.698	NA	NA	NA	656.613	-4604.732	8496.608	NA	NA	NA	668.466	-4661.552	8351.788	659.329	-4718.015	8310.024	647.064	-4766.135	8289.718	626.174	-4819.067	8275.379	610.015	-4871.710	8267.700	582.458	-4936.793	8260.384	533.680	-5018.851	8240.884	473.326	-5122.798	8244.986	NA	NA	NA	460.684	-5256.360	8252.666
3378	18.86592	NA	NA	NA	625.642	-4530.877	8577.430	664.039	-4621.140	8555.667	NA	NA	NA	660.424	-4597.894	8497.045	NA	NA	NA	672.188	-4652.313	8351.922	664.428	-4709.202	8310.488	653.393	-4757.679	8290.252	633.146	-4810.476	8274.943	617.324	-4863.048	8267.051	589.930	-4928.766	8261.185	542.604	-5012.234	8243.092	475.410	-5113.000	8240.432	NA	NA	NA	470.518	-5254.294	8255.736
3379	18.87151	NA	NA	NA	626.010	-4521.849	8570.501	670.681	-4613.559	8555.497	NA	NA	NA	664.820	-4591.542	8497.234	NA	NA	NA	NA	NA	NA	669.415	-4700.438	8310.567	659.725	-4748.958	8290.226	640.102	-4801.946	8274.363	623.958	-4854.570	8266.144	597.146	-4920.439	8260.587	551.621	-5005.409	8245.180	478.408	-5103.560	8236.333	NA	NA	NA	475.139	-5251.583	8260.365
3380	18.87709	NA	NA	NA	626.331	-4512.932	8563.327	678.946	-4605.382	8554.978	NA	NA	NA	669.758	-4585.333	8497.217	NA	NA	NA	NA	NA	NA	674.132	-4691.656	8310.372	665.481	-4740.423	8290.095	646.442	-4793.509	8273.864	630.073	-4845.924	8264.685	604.087	-4912.158	8259.568	560.676	-4998.480	8247.118	483.329	-5093.962	8232.745	NA	NA	NA	476.232	-5235.374	8253.196
3381	18.88268	NA	NA	NA	626.547	-4504.022	8555.880	NA	NA	NA	NA	NA	NA	675.139	-4579.467	8496.889	NA	NA	NA	NA	NA	NA	678.655	-4682.919	8309.789	671.199	-4731.791	8289.527	653.181	-4785.131	8273.096	636.286	-4837.433	8263.032	611.184	-4903.879	8258.259	569.502	-4991.342	8248.631	489.273	-5084.590	8229.982	NA	NA	NA	NA	NA	NA
3382	18.88827	NA	NA	NA	626.717	-4495.057	8548.267	709.595	-4587.601	8563.580	NA	NA	NA	680.815	-4573.809	8496.028	NA	NA	NA	NA	NA	NA	683.060	-4674.083	8308.845	677.498	-4723.189	8288.649	660.139	-4776.755	8272.016	643.087	-4828.973	8261.421	618.420	-4895.530	8256.334	577.918	-4983.732	8249.439	495.994	-5075.817	8228.019	NA	NA	NA	NA	NA	NA
3383	18.89385	NA	NA	NA	626.823	-4485.966	8540.428	708.043	-4576.464	8554.789	NA	NA	NA	686.951	-4568.411	8495.016	681.119	-4557.398	8417.129	NA	NA	NA	687.455	-4665.148	8307.418	684.028	-4714.637	8287.459	667.675	-4768.364	8270.461	651.741	-4820.563	8259.071	625.859	-4886.914	8254.194	585.846	-4975.786	8249.780	503.354	-5067.294	8226.389	NA	NA	NA	NA	NA	NA
3384	18.89944	NA	NA	NA	627.176	-4477.075	8532.610	709.026	-4564.962	8546.641	NA	NA	NA	693.175	-4562.851	8493.702	684.826	-4549.920	8416.652	NA	NA	NA	691.784	-4656.148	8305.512	689.864	-4706.028	8286.107	675.024	-4759.922	8268.862	659.876	-4812.227	8256.991	633.530	-4878.407	8251.835	593.638	-4967.727	8249.384	510.997	-5058.879	8225.205	NA	NA	NA	NA	NA	NA
3385	18.90503	NA	NA	NA	627.778	-4468.093	8524.808	710.427	-4552.882	8538.484	NA	NA	NA	699.318	-4557.347	8492.055	688.608	-4542.767	8415.669	NA	NA	NA	695.623	-4647.145	8303.289	695.297	-4697.164	8284.183	681.934	-4751.488	8267.182	667.585	-4803.718	8254.580	641.246	-4869.929	8249.186	601.217	-4959.163	8248.667	526.362	-5051.315	8221.406	477.010	-5108.641	8238.254	493.904	-5168.760	8274.984
3386	18.91061	NA	NA	NA	628.283	-4459.196	8516.896	710.142	-4540.417	8528.687	NA	NA	NA	705.340	-4551.337	8490.491	692.914	-4535.582	8414.490	NA	NA	NA	698.888	-4638.149	8300.788	700.020	-4688.100	8281.806	688.581	-4742.905	8265.369	674.498	-4795.354	8252.248	648.940	-4861.506	8246.215	608.737	-4950.754	8247.202	533.549	-5043.099	8221.753	479.166	-5098.778	8232.295	491.587	-5156.713	8271.447
