NO_OF_FRAMES	273
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 16:58:40	28214.28872066
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
1441	8.04469	438.762	-4512.220	8447.710	NA	NA	NA	464.589	-4633.138	8455.814	457.006	-4654.501	8409.393	465.376	-4686.769	8365.350	461.549	-4740.033	8330.962	460.878	-4804.043	8310.963	461.279	-4869.164	8310.813	459.152	-4918.008	8308.279	448.598	-4978.607	8294.560	455.292	-5052.155	8303.805	457.649	-5167.829	8323.088	478.313	-5242.482	8327.972	NA	NA	NA
1442	8.05028	444.038	-4504.184	8450.294	NA	NA	NA	463.149	-4623.843	8453.622	456.723	-4644.463	8408.999	465.202	-4676.170	8364.589	461.526	-4728.934	8329.504	459.483	-4792.543	8308.702	459.594	-4857.530	8308.919	458.400	-4906.454	8307.888	449.796	-4968.025	8296.408	446.421	-5045.276	8299.090	455.697	-5157.893	8326.695	473.236	-5233.512	8326.745	NA	NA	NA
1443	8.05587	442.353	-4495.243	8448.105	NA	NA	NA	462.379	-4614.315	8450.035	456.183	-4634.672	8408.540	464.952	-4665.633	8363.532	461.209	-4717.936	8327.974	458.407	-4781.277	8306.380	457.501	-4846.081	8306.806	457.073	-4894.946	8306.826	450.318	-4957.187	8297.281	444.731	-5036.592	8295.964	NA	NA	NA	453.099	-5148.167	8332.387	456.958	-5220.072	8331.436
1444	8.06145	440.500	-4485.997	8445.248	NA	NA	NA	459.792	-4604.732	8447.382	455.460	-4625.124	8408.096	464.144	-4654.894	8362.293	461.092	-4706.793	8326.056	457.651	-4769.860	8303.822	455.247	-4834.503	8304.354	455.250	-4883.505	8305.202	450.394	-4946.404	8297.506	445.041	-5026.696	8293.409	NA	NA	NA	449.714	-5138.787	8340.465	NA	NA	NA
1445	8.06704	438.573	-4477.181	8441.788	447.998	-4537.218	8472.070	456.382	-4595.279	8443.576	455.190	-4615.869	8407.482	463.271	-4644.361	8360.659	460.818	-4695.798	8323.991	457.311	-4758.535	8301.043	453.362	-4823.159	8301.392	453.471	-4872.176	8302.881	450.400	-4935.313	8297.063	447.542	-5015.869	8289.240	NA	NA	NA	448.786	-5129.616	8339.718	NA	NA	NA
1446	8.07263	436.769	-4468.405	8438.032	451.752	-4519.492	8473.375	450.743	-4585.829	8439.796	454.744	-4608.119	8408.503	462.528	-4633.868	8358.760	460.619	-4685.013	8321.606	457.265	-4747.381	8298.008	451.598	-4811.968	8298.060	451.262	-4860.901	8300.113	450.052	-4924.285	8296.232	448.803	-5004.773	8287.932	NA	NA	NA	445.710	-5120.957	8344.561	NA	NA	NA
1447	8.07821	434.948	-4459.782	8433.752	455.242	-4503.439	8474.654	444.402	-4576.585	8436.385	454.040	-4601.171	8409.964	461.271	-4623.557	8356.869	460.375	-4674.210	8319.063	456.974	-4736.356	8294.940	449.759	-4800.666	8294.307	448.880	-4849.679	8296.898	449.673	-4913.345	8294.751	450.432	-4993.995	8286.802	NA	NA	NA	443.746	-5112.644	8348.252	NA	NA	NA
1448	8.08380	433.133	-4450.922	8428.913	NA	NA	NA	438.189	-4567.445	8433.253	452.995	-4594.320	8410.669	460.034	-4613.295	8354.864	459.730	-4663.521	8316.561	456.659	-4725.506	8291.693	448.170	-4789.609	8290.152	446.406	-4838.614	8293.390	448.994	-4902.388	8292.735	451.967	-4982.772	8285.779	NA	NA	NA	442.808	-5104.571	8350.527	NA	NA	NA
1449	8.08939	431.392	-4442.330	8423.682	NA	NA	NA	432.935	-4558.305	8430.308	451.529	-4586.863	8409.425	459.118	-4603.194	8352.571	458.881	-4653.005	8313.844	456.325	-4714.691	8288.217	446.797	-4778.569	8285.808	444.491	-4827.502	8289.207	447.924	-4891.341	8290.253	453.090	-4971.808	8284.658	NA	NA	NA	442.812	-5096.631	8351.124	NA	NA	NA
1450	8.09497	429.714	-4433.910	8417.925	NA	NA	NA	429.471	-4549.063	8427.458	449.559	-4578.096	8405.036	457.910	-4593.095	8350.342	457.959	-4642.394	8310.920	456.466	-4703.762	8284.308	446.070	-4767.544	8280.968	442.662	-4816.481	8284.610	446.773	-4880.226	8287.153	453.747	-4960.793	8283.460	NA	NA	NA	443.673	-5088.714	8349.779	NA	NA	NA
