NO_OF_FRAMES	251
NO_OF_CAMERAS	23
NO_OF_MARKERS	5
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-19, 17:34:26	94410.57039366
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	
803	4.48045	-104.987	-4698.193	7320.105	38.457	-4705.132	7366.148	160.195	-4745.870	7390.566	295.627	-4846.040	7456.445	364.620	-4911.600	7538.509
804	4.48603	-113.301	-4694.052	7301.657	31.747	-4700.693	7353.968	154.131	-4737.518	7379.630	289.110	-4838.801	7445.152	357.128	-4909.601	7525.192
805	4.49162	-118.832	-4690.332	7289.098	25.011	-4696.533	7341.319	147.962	-4729.190	7368.574	282.458	-4831.628	7433.494	349.730	-4903.791	7512.873
806	4.49721	-124.293	-4686.530	7276.246	18.382	-4692.610	7328.206	141.723	-4720.894	7357.284	275.935	-4824.483	7421.495	342.270	-4894.735	7501.747
807	4.50279	-129.697	-4682.493	7263.191	13.760	-4688.119	7319.794	135.399	-4712.777	7345.679	268.943	-4817.198	7409.494	335.093	-4892.206	7487.157
808	4.50838	-134.979	-4678.394	7249.837	7.341	-4684.633	7305.864	128.902	-4704.832	7333.744	262.502	-4809.864	7396.902	328.047	-4886.433	7473.695
809	4.51397	-140.259	-4674.077	7236.332	1.922	-4682.937	7295.865	122.391	-4697.067	7321.486	255.601	-4802.684	7384.209	320.862	-4880.525	7460.025
810	4.51955	-145.324	-4669.722	7222.675	-4.182	-4679.724	7281.361	115.688	-4689.528	7308.805	248.821	-4795.209	7371.124	314.042	-4874.449	7446.008
811	4.52514	-150.433	-4665.098	7208.676	-9.933	-4676.454	7266.548	109.065	-4681.972	7309.413	242.269	-4787.935	7358.087	306.924	-4868.604	7431.409
812	4.53073	-155.402	-4660.342	7194.548	-16.031	-4673.324	7251.643	103.339	-4674.697	7295.826	235.788	-4780.402	7344.733	300.076	-4862.857	7416.667
813	4.53631	-160.298	-4655.561	7180.059	-22.326	-4670.354	7236.642	96.642	-4667.777	7282.205	228.231	-4772.610	7332.757	293.147	-4856.688	7401.589
814	4.54190	-165.113	-4650.516	7165.419	-28.564	-4667.460	7221.358	89.776	-4661.132	7268.370	222.796	-4765.206	7317.063	286.096	-4850.647	7386.207
815	4.54749	-169.886	-4645.583	7150.656	-34.725	-4664.530	7205.998	83.364	-4654.662	7253.768	216.307	-4757.464	7302.907	279.213	-4844.280	7370.311
816	4.55307	-174.656	-4640.545	7135.835	-41.142	-4661.700	7190.614	76.282	-4648.606	7239.110	208.999	-4749.320	7289.962	272.315	-4838.552	7354.269
817	4.55866	-179.309	-4635.129	7120.614	-47.238	-4659.720	7174.889	69.564	-4642.688	7223.807	204.161	-4741.815	7273.829	265.398	-4832.243	7337.809
818	4.56425	-183.930	-4629.868	7105.421	-53.724	-4657.035	7159.080	62.725	-4637.011	7208.473	197.651	-4732.572	7256.744	258.407	-4826.361	7321.109
819	4.56983	-188.442	-4624.382	7090.112	-60.181	-4654.175	7142.854	55.248	-4631.659	7193.031	191.795	-4724.323	7241.352	251.885	-4820.105	7303.945
820	4.57542	-192.926	-4618.716	7074.609	-66.864	-4651.572	7126.582	48.257	-4626.416	7176.904	185.966	-4716.581	7225.943	245.029	-4813.684	7286.624
821	4.58101	-197.373	-4613.095	7058.842	-73.322	-4648.986	7109.946	40.983	-4621.357	7160.771	179.995	-4708.300	7210.122	238.626	-4806.986	7268.883
822	4.58659	-201.968	-4607.275	7042.958	-79.843	-4646.233	7093.132	33.793	-4616.454	7144.414	174.173	-4700.306	7193.988	232.250	-4800.312	7250.964
823	4.59218	-206.608	-4601.589	7026.946	-86.423	-4643.731	7075.939	27.010	-4611.573	7127.260	166.794	-4692.366	7174.302	225.942	-4793.334	7232.579
824	4.59777	-211.873	-4596.418	7011.787	-92.876	-4641.308	7058.460	19.653	-4606.829	7110.276	160.961	-4684.427	7157.745	220.045	-4786.025	7214.238
825	4.60335	-216.433	-4590.340	6994.996	-99.505	-4638.833	7040.884	12.138	-4602.290	7092.834	155.014	-4676.390	7140.722	214.197	-4778.704	7195.514
826	4.60894	-220.903	-4584.397	6977.920	-106.219	-4636.477	7022.998	4.662	-4597.679	7075.276	149.037	-4668.637	7123.452	208.516	-4771.065	7176.876
827	4.61453	-225.331	-4578.492	6960.749	-112.871	-4633.942	7004.869	-2.481	-4593.139	7057.035	142.875	-4660.592	7105.801	202.868	-4763.387	7157.961
828	4.62011	-229.785	-4572.593	6943.350	-119.833	-4631.532	6986.420	-9.551	-4588.653	7038.461	136.677	-4652.924	7088.030	197.514	-4755.009	7138.940
829	4.62570	-234.281	-4566.418	6925.743	-126.591	-4629.034	6967.909	-17.327	-4584.384	7019.922	130.430	-4644.978	7069.937	192.062	-4747.038	7119.683
830	4.63128	-238.655	-4560.435	6908.109	-133.524	-4626.553	6948.957	-24.911	-4580.231	7000.871	124.110	-4636.978	7051.561	186.603	-4738.646	7100.259
831	4.63687	-243.120	-4554.087	6890.169	-140.704	-4624.050	6929.959	-30.588	-4579.463	6980.605	117.755	-4629.369	7032.857	181.481	-4729.900	7080.969
832	4.64246	-247.419	-4547.910	6872.186	-147.827	-4621.778	6910.702	-38.100	-4575.531	6960.929	111.299	-4621.408	7013.818	175.873	-4721.649	7061.675
833	4.64804	-251.655	-4541.795	6854.012	-155.113	-4619.389	6891.186	-45.594	-4571.394	6941.185	104.743	-4613.549	6994.410	170.485	-4712.724	7041.953
834	4.65363	-256.098	-4535.762	6835.712	-162.311	-4617.077	6871.294	-53.382	-4567.562	6921.130	99.747	-4605.194	6977.533	165.117	-4703.691	7022.212
835	4.65922	-260.586	-4529.432	6817.329	-169.516	-4614.508	6850.932	-61.079	-4563.980	6900.570	93.251	-4597.252	6957.869	159.500	-4695.350	7002.312
836	4.66480	-265.019	-4523.461	6798.830	-176.908	-4611.931	6830.433	-68.375	-4560.189	6879.317	86.762	-4589.009	6937.640	153.842	-4686.283	6982.232
837	4.67039	-269.372	-4517.294	6780.072	-183.924	-4609.223	6809.556	-75.921	-4556.489	6857.789	79.887	-4581.074	6917.077	147.738	-4676.070	6960.825
838	4.67598	-273.538	-4511.015	6761.047	-191.322	-4606.669	6788.750	-83.075	-4552.905	6835.693	72.855	-4573.023	6896.367	141.739	-4667.300	6940.493
839	4.68156	-277.611	-4504.897	6741.813	-198.456	-4603.897	6767.435	-90.675	-4549.564	6813.688	65.948	-4564.913	6875.314	135.757	-4658.273	6919.830
840	4.68715	-281.626	-4498.799	6722.361	-206.028	-4601.276	6746.046	-98.069	-4546.313	6791.478	60.951	-4560.876	6854.867	129.724	-4649.436	6898.627
841	4.69274	-285.775	-4492.929	6702.760	-213.316	-4598.492	6724.171	-107.369	-4540.054	6768.251	53.597	-4552.781	6833.127	123.162	-4640.423	6877.184
842	4.69832	-290.084	-4486.720	6682.813	-220.837	-4595.394	6702.229	-114.753	-4536.975	6745.292	42.794	-4539.818	6812.293	116.920	-4631.497	6855.480
843	4.70391	-294.397	-4480.740	6662.792	-228.174	-4592.559	6679.669	-122.060	-4533.554	6722.252	35.031	-4531.536	6790.190	110.535	-4622.052	6833.620
844	4.70950	-298.835	-4474.604	6642.435	-235.350	-4589.661	6656.809	-129.434	-4530.426	6698.934	27.631	-4523.540	6767.517	103.916	-4613.151	6811.490
845	4.71508	-303.174	-4468.501	6621.833	-242.968	-4586.647	6633.901	-136.950	-4527.327	6675.494	19.487	-4511.362	6745.890	97.332	-4603.879	6789.102
846	4.72067	-307.383	-4462.342	6601.048	-250.222	-4583.052	6610.281	-144.427	-4524.280	6652.004	13.249	-4507.983	6719.518	90.853	-4594.237	6766.509
847	4.72626	-311.587	-4456.121	6580.182	-257.818	-4580.005	6586.555	-152.048	-4521.396	6628.404	3.581	-4495.499	6698.997	84.270	-4584.880	6743.823
848	4.73184	-315.732	-4450.003	6559.085	-265.145	-4576.227	6562.367	-159.639	-4518.319	6604.419	-4.381	-4487.664	6674.831	77.421	-4575.327	6720.570
849	4.73743	-319.961	-4443.688	6537.699	-272.880	-4572.786	6538.119	-167.183	-4515.890	6580.075	-12.686	-4479.703	6650.454	70.744	-4565.442	6697.038
850	4.74302	-324.053	-4437.401	6516.262	-280.432	-4568.847	6513.518	-174.942	-4512.949	6555.726	-20.927	-4471.888	6625.664	63.940	-4555.417	6673.625
851	4.74860	-328.177	-4430.979	6494.556	-288.149	-4564.818	6488.619	-182.573	-4510.012	6531.112	-29.414	-4464.330	6600.520	56.969	-4545.572	6649.764
852	4.75419	-332.231	-4424.688	6472.707	-296.159	-4560.528	6463.742	-190.330	-4507.191	6506.448	-35.857	-4461.668	6572.748	49.931	-4535.503	6625.506
853	4.75978	-336.201	-4418.645	6450.582	-303.693	-4556.006	6438.271	-198.087	-4504.431	6481.448	-45.994	-4450.102	6547.863	42.758	-4525.551	6601.002
854	4.76536	-340.256	-4412.220	6428.320	-311.296	-4551.290	6412.371	-205.733	-4501.641	6456.422	-54.606	-4442.851	6521.999	35.564	-4515.264	6576.263
855	4.77095	-344.449	-4406.035	6405.638	-319.050	-4546.234	6386.532	-213.481	-4498.804	6431.167	-63.486	-4435.888	6495.825	28.379	-4504.770	6551.153
856	4.77654	-348.709	-4399.575	6382.736	-328.138	-4538.981	6359.728	-221.231	-4496.103	6405.609	-72.326	-4429.084	6469.236	21.051	-4494.613	6525.710
857	4.78212	-353.022	-4393.089	6359.566	-335.438	-4533.888	6333.298	-228.969	-4493.489	6380.021	-81.194	-4422.346	6442.531	13.501	-4484.441	6499.979
858	4.78771	-357.461	-4386.515	6336.146	-342.778	-4528.669	6306.582	-236.757	-4490.601	6354.378	-90.213	-4415.630	6415.546	5.706	-4474.240	6473.990
859	4.79330	-362.020	-4379.948	6312.440	-350.036	-4523.110	6280.108	-244.592	-4488.109	6328.292	-99.284	-4409.306	6388.097	-2.152	-4463.718	6448.046
860	4.79888	-366.684	-4373.008	6288.493	-357.879	-4516.448	6253.976	-252.303	-4485.491	6302.028	-108.254	-4402.847	6360.581	-10.107	-4453.508	6421.641
861	4.80447	-371.259	-4366.295	6264.209	-364.987	-4510.207	6226.922	-259.994	-4482.878	6275.500	-117.399	-4396.809	6332.765	-18.184	-4443.024	6394.746
862	4.81006	-375.891	-4358.463	6238.364	-371.757	-4504.056	6199.829	-267.787	-4480.176	6248.689	-126.692	-4390.992	6304.637	-26.328	-4432.608	6367.476
863	4.81564	-380.616	-4351.226	6213.257	-378.822	-4497.831	6172.639	-275.490	-4477.700	6221.624	-136.010	-4385.271	6276.359	-34.438	-4422.263	6340.110
