NO_OF_FRAMES	219
NO_OF_CAMERAS	23
NO_OF_MARKERS	3
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-22, 12:41:35	9377.67537482
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	
25945	144.93855	428.470	-4894.390	6596.295	430.412	-5110.197	6741.082	272.311	-5047.305	6967.492
25946	144.94413	427.776	-4891.707	6568.538	431.052	-5106.830	6713.588	270.750	-5044.735	6936.061
25947	144.94972	427.029	-4888.927	6540.644	431.755	-5103.406	6685.739	269.197	-5042.074	6904.530
25948	144.95531	426.242	-4886.185	6512.746	432.437	-5099.951	6657.688	267.785	-5039.254	6872.902
25949	144.96089	425.450	-4883.389	6484.643	433.191	-5096.513	6629.306	266.349	-5036.527	6841.119
25950	144.96648	424.659	-4880.576	6456.539	433.927	-5093.066	6600.674	265.043	-5033.742	6809.138
25951	144.97207	423.839	-4877.702	6428.136	434.618	-5089.636	6571.600	263.659	-5031.126	6776.813
25952	144.97765	423.081	-4874.862	6399.657	435.379	-5086.134	6542.323	262.239	-5028.350	6744.625
25953	144.98324	422.253	-4871.981	6371.131	435.462	-5083.001	6512.413	261.016	-5025.896	6711.872
25954	144.98883	421.473	-4869.067	6342.425	437.199	-5079.829	6482.957	259.950	-5023.287	6679.271
25955	144.99441	420.696	-4866.175	6313.554	438.336	-5075.412	6453.130	258.940	-5020.518	6646.477
25956	145.00000	419.881	-4863.223	6284.599	438.635	-5072.258	6422.388	258.146	-5017.952	6613.403
25957	145.00559	419.076	-4860.272	6255.548	439.410	-5068.768	6391.700	257.608	-5015.240	6580.062
25958	145.01117	418.200	-4857.268	6226.302	440.229	-5065.011	6360.782	256.948	-5012.970	6546.720
25959	145.01676	417.338	-4854.207	6196.901	440.987	-5061.535	6329.608	256.358	-5010.873	6512.999
25960	145.02235	416.439	-4851.131	6167.372	441.700	-5057.880	6298.217	255.729	-5009.141	6479.029
25961	145.02793	415.487	-4847.997	6137.777	442.369	-5054.267	6266.464	255.204	-5007.474	6445.061
25962	145.03352	414.549	-4844.858	6107.939	443.040	-5050.626	6234.499	254.604	-5006.191	6410.858
25963	145.03911	413.527	-4841.692	6078.075	443.648	-5046.883	6202.346	253.744	-5005.974	6374.945
25964	145.04469	412.543	-4838.434	6047.862	444.217	-5043.207	6169.904	253.121	-5005.159	6340.141
25965	145.05028	411.467	-4835.062	6017.482	444.713	-5039.522	6137.209	252.468	-5003.759	6305.700
25966	145.05587	410.344	-4831.701	5987.173	445.129	-5035.824	6104.295	251.797	-5002.952	6270.861
25967	145.06145	409.206	-4828.285	5956.567	445.518	-5032.147	6071.218	251.107	-5002.146	6235.992
25968	145.06704	408.015	-4824.770	5925.715	445.836	-5028.394	6037.939	250.423	-5001.190	6201.184
25969	145.07263	406.824	-4821.194	5894.854	446.068	-5024.476	6004.470	249.775	-5000.656	6165.960
25970	145.07821	405.578	-4817.470	5863.675	446.265	-5020.781	5970.714	248.932	-5000.416	6130.522
25971	145.08380	404.359	-4813.769	5832.300	446.334	-5017.015	5936.800	248.087	-5000.082	6095.141
25972	145.08939	403.136	-4810.003	5800.924	446.331	-5012.978	5902.866	247.169	-5000.102	6059.324
25973	145.09497	401.919	-4806.131	5769.202	446.294	-5009.193	5868.562	246.095	-5000.227	6023.183
25974	145.10056	400.724	-4802.192	5737.406	446.208	-5005.170	5834.127	245.042	-5000.341	5987.186
25975	145.10615	399.575	-4798.225	5705.160	445.974	-5001.113	5799.616	243.848	-5000.658	5950.615
25976	145.11173	398.505	-4794.239	5672.919	445.710	-4997.337	5764.765	242.560	-5001.052	5914.031
25977	145.11732	397.473	-4790.188	5640.149	445.344	-4993.223	5729.873	241.167	-5001.708	5876.992
25978	145.12291	396.557	-4786.134	5607.363	444.863	-4989.195	5694.744	239.644	-5002.359	5839.690
25979	145.12849	395.621	-4781.995	5574.317	444.316	-4985.001	5659.611	238.005	-5003.015	5802.148
25980	145.13408	394.882	-4777.756	5541.074	443.634	-4980.936	5624.128	236.205	-5003.741	5764.396
25981	145.13966	394.188	-4773.486	5507.599	442.875	-4976.852	5588.548	234.332	-5004.775	5726.093
25982	145.14525	393.631	-4769.131	5474.030	442.119	-4972.456	5552.802	232.295	-5005.928	5687.583
25983	145.15084	393.164	-4764.649	5440.253	441.201	-4968.333	5516.797	230.139	-5006.901	5648.943
25984	145.15642	392.784	-4760.197	5406.463	440.289	-4963.821	5480.894	227.865	-5008.262	5609.826
25985	145.16201	392.548	-4755.566	5372.465	439.302	-4959.436	5444.508	225.509	-5009.702	5570.553
25986	145.16760	392.393	-4750.947	5338.355	438.249	-4954.809	5408.264	222.973	-5011.089	5531.130
25987	145.17318	392.302	-4746.244	5304.286	437.120	-4950.056	5371.935	220.461	-5012.715	5491.192
25988	145.17877	392.280	-4741.471	5270.234	436.026	-4945.323	5335.039	217.879	-5014.329	5451.090
25989	145.18436	392.341	-4736.777	5235.938	434.649	-4940.394	5298.269	215.454	-5015.954	5410.692
25990	145.18994	392.464	-4731.991	5201.736	433.599	-4934.466	5262.259	213.080	-5017.629	5369.704
25991	145.19553	392.686	-4727.147	5167.644	432.370	-4929.441	5225.275	210.970	-5019.152	5328.628
25992	145.20112	392.960	-4722.359	5133.341	430.978	-4924.242	5188.369	208.961	-5020.530	5287.404
25993	145.20670	393.380	-4717.647	5098.883	429.535	-4918.949	5151.555	207.326	-5021.864	5245.697
25994	145.21229	393.845	-4712.822	5064.588	427.937	-4913.718	5114.663	205.782	-5023.315	5203.490
25995	145.21788	394.392	-4708.112	5030.175	426.473	-4908.326	5077.515	204.517	-5024.450	5161.237
25996	145.22346	395.052	-4703.455	4995.554	424.664	-4903.583	5039.957	203.481	-5025.453	5118.723
25997	145.22905	395.705	-4698.920	4960.979	422.915	-4898.265	5002.777	202.624	-5026.531	5075.783
