NO_OF_FRAMES	257
NO_OF_CAMERAS	23
NO_OF_MARKERS	13
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-26, 14:49:28	81325.30273216
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	
2702	15.08939	283.542	-4439.389	8120.432	295.821	-4495.042	8128.685	283.661	-4553.853	8127.932	223.627	-4608.439	8133.715	273.043	-4672.062	8137.414	350.598	-4740.430	8153.018	373.166	-4800.826	8172.999	395.763	-4851.007	8197.718	433.351	-4916.269	8219.592	NA	NA	NA	486.328	-5046.681	8219.215	491.850	-5125.927	8227.571	502.705	-5203.939	8190.514
2703	15.09497	283.314	-4431.898	8111.366	294.297	-4487.555	8120.324	282.984	-4546.847	8119.326	NA	NA	NA	271.274	-4665.513	8132.130	348.244	-4733.881	8147.909	370.837	-4794.330	8167.630	393.778	-4844.131	8193.140	430.432	-4908.696	8217.419	NA	NA	NA	487.256	-5037.950	8217.469	493.142	-5117.284	8225.797	505.988	-5206.537	8198.657
2704	15.10056	282.904	-4425.095	8102.392	292.659	-4479.763	8111.819	NA	NA	NA	NA	NA	NA	269.347	-4658.939	8126.617	345.685	-4727.464	8142.422	368.506	-4787.851	8162.006	391.620	-4837.462	8188.128	427.630	-4901.041	8214.769	NA	NA	NA	NA	NA	NA	494.741	-5108.326	8224.175	508.339	-5205.146	8204.570
2705	15.10615	282.173	-4419.564	8093.670	293.600	-4476.066	8101.768	NA	NA	NA	NA	NA	NA	267.551	-4652.579	8120.924	342.974	-4721.294	8136.461	366.225	-4781.429	8156.072	389.392	-4830.731	8182.479	424.973	-4893.424	8211.637	NA	NA	NA	489.229	-5020.418	8213.649	496.944	-5099.174	8222.301	NA	NA	NA
2706	15.11173	281.702	-4413.148	8084.251	283.389	-4469.918	8093.637	NA	NA	NA	NA	NA	NA	265.626	-4646.043	8114.851	338.966	-4714.996	8129.389	364.016	-4774.946	8149.827	386.782	-4824.089	8176.183	422.384	-4885.890	8207.928	NA	NA	NA	490.140	-5011.571	8211.623	499.540	-5089.856	8220.442	514.299	-5195.775	8214.171
2707	15.11732	281.106	-4406.700	8074.729	283.347	-4463.676	8084.131	NA	NA	NA	NA	NA	NA	264.334	-4639.702	8108.513	336.255	-4708.547	8123.263	361.707	-4768.523	8143.349	383.572	-4819.576	8168.668	419.985	-4878.290	8203.738	NA	NA	NA	486.470	-5002.617	8212.199	502.476	-5080.354	8218.360	528.197	-5188.948	8219.129
2708	15.12291	280.557	-4400.399	8064.929	283.212	-4457.155	8074.442	NA	NA	NA	NA	NA	NA	262.683	-4633.379	8101.836	333.465	-4702.085	8116.961	359.344	-4762.243	8136.648	381.540	-4812.864	8162.209	417.589	-4870.784	8199.003	NA	NA	NA	486.512	-4993.867	8210.501	505.648	-5070.654	8216.164	521.131	-5180.938	8223.989
2709	15.12849	279.982	-4393.944	8054.823	283.088	-4450.904	8064.476	NA	NA	NA	NA	NA	NA	NA	NA	NA	330.483	-4695.865	8110.345	356.782	-4755.826	8129.789	379.391	-4806.228	8155.409	415.186	-4863.353	8193.620	NA	NA	NA	486.452	-4985.101	8208.444	509.201	-5061.009	8213.879	522.558	-5172.115	8228.299
2710	15.13408	279.663	-4386.731	8044.301	282.679	-4444.649	8054.304	NA	NA	NA	NA	NA	NA	NA	NA	NA	327.349	-4689.667	8103.578	353.997	-4749.356	8122.711	377.353	-4799.565	8148.433	412.903	-4856.063	8187.716	456.307	-4919.959	8204.401	486.050	-4976.237	8206.167	512.208	-5050.984	8212.529	524.978	-5162.238	8232.033
2711	15.13966	279.138	-4380.398	8033.481	282.385	-4438.293	8044.142	NA	NA	NA	NA	NA	NA	302.348	-4611.813	8094.688	324.173	-4683.382	8096.813	351.100	-4743.206	8115.563	376.338	-4790.478	8142.565	410.560	-4848.801	8181.251	453.538	-4912.020	8200.730	485.988	-4966.777	8202.341	514.612	-5041.212	8212.396	528.146	-5152.004	8235.166
2712	15.14525	278.751	-4374.157	8022.385	289.412	-4429.510	8032.930	NA	NA	NA	NA	NA	NA	300.014	-4605.974	8086.008	320.876	-4677.134	8089.770	347.976	-4736.806	8108.313	375.060	-4783.714	8135.786	408.206	-4841.608	8174.242	451.009	-4904.187	8196.629	489.619	-4958.171	8197.292	NA	NA	NA	532.046	-5141.489	8237.765
2713	15.15084	278.365	-4367.873	8010.923	282.457	-4424.298	8024.098	NA	NA	NA	NA	NA	NA	297.623	-4606.337	8068.110	319.421	-4669.643	8084.201	346.659	-4729.739	8102.407	372.345	-4777.482	8127.648	405.972	-4834.563	8166.854	448.641	-4896.028	8190.794	483.036	-4949.127	8198.494	515.285	-5021.251	8213.379	536.092	-5130.222	8240.000
2714	15.15642	277.521	-4361.934	8000.507	281.582	-4418.173	8012.821	NA	NA	NA	NA	NA	NA	295.300	-4599.915	8059.338	315.969	-4663.076	8076.647	344.050	-4722.602	8095.549	369.654	-4771.087	8119.319	403.753	-4827.483	8158.916	447.416	-4886.547	8186.588	481.601	-4940.086	8196.009	517.273	-5011.090	8212.441	540.459	-5118.409	8241.852
2715	15.16201	277.225	-4355.922	7988.652	280.994	-4411.926	8001.464	NA	NA	NA	NA	NA	NA	293.918	-4590.006	8051.771	312.287	-4656.649	8068.699	340.608	-4716.156	8087.552	367.129	-4764.405	8110.872	401.751	-4820.535	8150.416	444.777	-4878.555	8180.893	479.933	-4930.825	8193.237	519.085	-5000.137	8210.902	544.660	-5105.890	8243.271
2716	15.16760	276.995	-4350.178	7976.688	280.554	-4405.899	7989.829	NA	NA	NA	NA	NA	NA	291.858	-4583.471	8042.363	309.071	-4649.966	8060.616	337.402	-4709.737	8079.600	364.627	-4757.784	8102.298	399.978	-4813.625	8141.408	441.923	-4870.842	8174.587	478.109	-4921.479	8190.125	520.512	-4988.883	8209.462	544.721	-5092.580	8246.017
2717	15.17318	276.767	-4344.468	7964.429	279.660	-4401.429	7977.963	NA	NA	NA	NA	NA	NA	289.840	-4577.970	8032.005	306.247	-4643.363	8052.435	334.644	-4703.000	8071.786	362.280	-4751.164	8093.517	398.378	-4806.849	8132.013	439.273	-4862.805	8167.875	476.193	-4912.031	8186.638	521.602	-4977.098	8207.777	548.854	-5079.956	8247.062
2718	15.17877	276.488	-4338.816	7952.028	279.439	-4395.656	7965.729	NA	NA	NA	NA	NA	NA	287.866	-4573.989	8020.598	303.942	-4636.600	8044.042	331.366	-4696.779	8063.229	360.117	-4744.706	8084.515	396.962	-4800.151	8122.374	437.036	-4854.722	8160.780	474.271	-4902.408	8182.609	522.074	-4964.879	8205.903	553.393	-5065.754	8246.717
2719	15.18436	276.305	-4333.287	7939.505	279.189	-4390.088	7953.127	NA	NA	NA	NA	NA	NA	286.664	-4567.807	8009.968	299.438	-4631.142	8033.128	326.366	-4690.900	8053.145	358.137	-4738.036	8075.470	395.617	-4793.335	8112.401	435.107	-4846.514	8153.157	472.206	-4892.680	8178.080	522.126	-4952.570	8203.803	558.267	-5051.017	8245.981
2720	15.18994	275.933	-4327.714	7926.785	278.994	-4384.619	7940.357	NA	NA	NA	281.533	-4503.123	7981.108	285.694	-4561.554	7999.077	297.201	-4624.604	8023.653	323.331	-4684.534	8044.225	355.330	-4731.457	8065.717	394.172	-4786.532	8102.326	433.514	-4838.081	8144.997	470.155	-4882.875	8172.929	524.651	-4939.823	8199.582	561.715	-5035.851	8246.860
2721	15.19553	275.527	-4322.019	7913.672	279.499	-4378.282	7928.165	NA	NA	NA	282.340	-4497.407	7964.124	284.687	-4555.408	7987.980	295.079	-4618.188	8013.837	320.288	-4678.342	8035.066	351.912	-4725.432	8055.550	392.528	-4779.698	8092.087	431.764	-4829.963	8136.189	468.094	-4872.918	8167.067	523.831	-4927.207	8197.079	566.664	-5018.184	8245.211
2722	15.20112	275.060	-4316.219	7900.378	278.928	-4371.230	7915.458	NA	NA	NA	281.616	-4491.500	7951.673	283.533	-4549.085	7976.681	292.979	-4611.672	8003.729	317.216	-4671.806	8025.702	349.734	-4718.740	8046.474	390.540	-4772.880	8081.629	429.850	-4822.134	8126.718	466.138	-4862.809	8160.427	522.388	-4914.375	8194.164	571.336	-5001.373	8244.049
