NO_OF_FRAMES	283
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-27, 15:09:21	21656.14557424
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
5571	31.11732	416.354	-4670.097	8127.088	448.219	-4706.589	8155.061	492.870	-4745.240	8195.616	496.748	-4801.343	8193.560	497.744	-4853.467	8177.051	493.559	-4915.896	8160.429	500.993	-4979.441	8134.556	499.296	-5039.013	8153.992	497.591	-5065.686	8192.841	489.853	-5039.368	8262.495	533.162	-5093.037	8265.906	NA	NA	NA	539.076	-5211.187	8235.703	523.508	-5269.336	8195.389
5572	31.12291	413.474	-4660.757	8124.260	445.296	-4697.874	8151.639	491.608	-4735.619	8191.206	496.434	-4791.157	8188.214	496.515	-4842.719	8170.150	493.060	-4905.749	8156.294	499.215	-4970.736	8133.935	497.843	-5031.937	8149.325	497.232	-5057.894	8186.747	NA	NA	NA	532.667	-5089.022	8269.450	NA	NA	NA	NA	NA	NA	517.146	-5263.033	8187.159
5573	31.12849	410.651	-4651.481	8121.425	442.589	-4689.336	8147.794	490.810	-4726.211	8185.920	496.022	-4781.254	8182.654	495.382	-4832.014	8162.825	491.860	-4895.542	8151.445	497.530	-4961.716	8132.909	496.386	-5024.159	8144.993	496.519	-5054.015	8179.554	479.116	-5041.803	8255.300	519.152	-5083.880	8274.859	NA	NA	NA	NA	NA	NA	511.097	-5256.410	8179.501
5574	31.13408	407.794	-4642.241	8118.424	440.080	-4680.921	8143.377	489.864	-4716.935	8180.215	495.362	-4771.520	8177.103	493.652	-4821.679	8155.712	490.419	-4885.216	8145.866	495.865	-4952.249	8131.199	495.108	-5015.680	8141.084	495.688	-5049.153	8172.625	486.988	-5050.545	8244.322	517.923	-5079.169	8276.642	NA	NA	NA	NA	NA	NA	505.332	-5248.892	8172.265
5575	31.13966	404.971	-4633.090	8115.250	437.633	-4672.606	8138.422	488.747	-4707.959	8174.114	494.850	-4761.920	8171.283	491.926	-4811.448	8148.493	488.850	-4874.757	8139.734	494.169	-4942.586	8128.624	494.304	-5006.646	8137.779	494.845	-5043.384	8165.982	491.126	-5054.438	8232.581	515.719	-5073.783	8277.754	NA	NA	NA	NA	NA	NA	499.566	-5240.603	8165.814
5576	31.14525	402.292	-4624.038	8111.792	435.360	-4664.292	8133.132	487.791	-4699.025	8167.395	494.519	-4752.495	8165.082	490.147	-4801.316	8141.194	487.042	-4864.648	8132.943	492.356	-4932.812	8125.405	497.000	-4996.933	8130.812	494.012	-5036.767	8159.835	NA	NA	NA	513.002	-5067.762	8276.823	NA	NA	NA	NA	NA	NA	493.865	-5231.201	8160.051
5577	31.15084	399.732	-4615.093	8107.998	433.439	-4656.188	8127.571	486.940	-4690.192	8160.099	493.956	-4743.341	8158.668	488.467	-4791.484	8133.833	484.904	-4854.679	8125.569	491.132	-4922.934	8121.261	495.960	-4987.288	8128.067	493.207	-5029.234	8154.051	NA	NA	NA	506.268	-5061.516	8277.154	513.138	-5098.579	8225.947	NA	NA	NA	487.800	-5219.411	8155.362
5578	31.15642	397.395	-4606.297	8103.852	431.480	-4648.050	8121.505	486.038	-4681.671	8152.358	493.321	-4734.422	8152.075	486.642	-4782.020	8126.532	482.512	-4844.828	8118.087	488.675	-4913.154	8117.135	491.866	-4977.807	8129.512	492.621	-5020.931	8148.642	NA	NA	NA	501.607	-5055.445	8272.104	516.646	-5093.370	8228.349	NA	NA	NA	481.188	-5204.799	8151.768
5579	31.16201	395.338	-4597.646	8099.249	429.513	-4640.121	8115.066	484.878	-4673.275	8144.341	492.838	-4725.568	8145.207	484.689	-4772.710	8119.237	479.953	-4835.138	8110.641	486.554	-4903.555	8112.098	491.179	-4967.836	8126.102	492.100	-5011.958	8143.739	NA	NA	NA	497.538	-5050.565	8267.195	511.192	-5096.614	8241.189	NA	NA	NA	474.329	-5184.912	8148.390
5580	31.16760	393.507	-4589.155	8094.173	427.610	-4632.117	8108.312	483.577	-4665.140	8136.003	492.490	-4716.923	8137.995	482.815	-4763.662	8111.762	477.249	-4825.672	8103.144	484.402	-4894.013	8106.502	490.408	-4957.912	8122.238	491.685	-5002.373	8139.260	NA	NA	NA	498.806	-5047.723	8258.567	519.774	-5084.611	8236.718	NA	NA	NA	461.479	-5160.335	8150.048
