NO_OF_FRAMES	221
NO_OF_CAMERAS	23
NO_OF_MARKERS	14
FREQUENCY	179
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-05-29, 14:51:42	20056.59390366
DATA_INCLUDED	3D
MARKER_NAMES	01	02	03	04	05	06	07	08	09	10	11	12	13	14
Frame	Time	01 X	01 Y	01 Z	02 X	02 Y	02 Z	03 X	03 Y	03 Z	04 X	04 Y	04 Z	05 X	05 Y	05 Z	06 X	06 Y	06 Z	07 X	07 Y	07 Z	08 X	08 Y	08 Z	09 X	09 Y	09 Z	10 X	10 Y	10 Z	11 X	11 Y	11 Z	12 X	12 Y	12 Z	13 X	13 Y	13 Z	14 X	14 Y	14 Z	
17947	100.25698	669.398	-4245.857	7789.864	657.096	-4327.148	7812.703	666.643	-4383.379	7834.708	680.487	-4422.476	7861.282	684.697	-4472.020	7882.217	666.382	-4528.109	7893.721	648.329	-4581.574	7910.879	625.215	-4627.147	7934.010	597.554	-4676.268	7969.982	581.456	-4720.781	8002.149	533.836	-4794.583	8044.727	473.969	-4835.198	8071.979	407.728	-4875.855	8087.082	351.629	-4903.499	8145.960
17948	100.26257	670.964	-4241.215	7775.146	659.022	-4322.627	7797.319	667.032	-4378.611	7818.736	681.218	-4416.009	7847.608	685.657	-4465.609	7870.223	671.988	-4520.278	7882.984	653.510	-4574.464	7898.501	629.249	-4620.071	7920.393	599.917	-4668.297	7956.084	583.040	-4711.411	7989.276	536.402	-4784.127	8035.044	475.886	-4841.752	8053.292	411.950	-4869.359	8075.643	363.547	-4894.930	8140.252
17949	100.26816	672.647	-4236.915	7760.269	660.978	-4318.152	7781.797	667.548	-4374.041	7802.561	681.819	-4409.478	7833.386	689.856	-4456.859	7858.862	677.202	-4512.531	7871.708	658.981	-4567.304	7886.124	633.464	-4613.141	7906.563	602.423	-4660.293	7941.888	584.571	-4702.182	7976.293	538.926	-4773.340	8024.975	479.668	-4831.826	8043.849	416.674	-4863.264	8064.448	379.023	-4883.255	8136.117
17950	100.27374	674.393	-4232.914	7745.310	662.671	-4313.769	7766.383	668.214	-4369.411	7786.120	682.386	-4403.433	7818.973	691.969	-4448.992	7846.241	682.055	-4505.216	7860.100	664.606	-4560.365	7873.730	638.013	-4606.262	7892.586	605.129	-4652.421	7927.461	586.124	-4692.651	7962.258	541.316	-4762.687	8014.304	483.703	-4822.081	8033.958	421.866	-4856.429	8053.504	389.573	-4875.005	8126.563
17951	100.27933	676.133	-4229.168	7730.068	664.140	-4309.095	7751.008	668.039	-4365.220	7770.706	683.102	-4397.366	7803.849	693.895	-4441.643	7832.966	691.504	-4499.010	7847.033	670.306	-4553.025	7861.484	642.760	-4599.182	7878.484	608.041	-4644.271	7912.602	587.630	-4683.253	7948.052	543.573	-4751.637	8002.784	487.998	-4812.496	8023.841	427.421	-4849.284	8042.925	399.197	-4866.936	8115.787
17952	100.28492	677.776	-4225.182	7714.783	665.528	-4304.349	7735.492	668.758	-4360.447	7754.195	684.009	-4391.872	7788.302	695.635	-4434.343	7819.302	696.846	-4490.007	7835.095	675.807	-4545.869	7848.904	647.862	-4592.114	7864.702	611.276	-4636.821	7897.618	584.379	-4673.107	7934.276	545.489	-4740.225	7990.659	492.350	-4802.028	8013.585	433.400	-4842.314	8032.581	403.682	-4863.166	8100.396
17953	100.29050	679.341	-4221.259	7699.093	666.908	-4298.925	7719.816	669.528	-4355.741	7737.305	684.952	-4386.024	7772.015	697.422	-4427.252	7805.113	700.233	-4482.545	7822.303	681.111	-4538.317	7836.229	653.088	-4585.208	7850.752	614.773	-4629.343	7882.448	586.263	-4663.990	7919.147	547.215	-4728.688	7977.952	496.817	-4789.139	8005.853	439.768	-4835.307	8022.520	415.048	-4851.639	8092.784
17954	100.29609	680.874	-4217.159	7683.233	668.567	-4293.963	7704.052	670.227	-4350.729	7720.483	685.916	-4381.640	7755.750	699.093	-4419.925	7790.392	703.364	-4474.596	7809.058	686.238	-4531.120	7823.240	658.421	-4578.174	7836.847	618.542	-4621.852	7867.138	588.382	-4654.971	7903.725	548.776	-4717.016	7964.665	501.407	-4778.984	7995.268	446.581	-4827.969	8012.620	421.610	-4844.603	8080.987
17955	100.30168	682.329	-4212.921	7667.029	670.321	-4288.282	7688.153	670.888	-4345.781	7703.322	686.850	-4375.918	7738.577	700.921	-4413.127	7774.912	706.213	-4467.034	7795.699	691.209	-4523.570	7810.229	663.774	-4571.112	7822.922	622.659	-4614.337	7851.857	590.643	-4646.186	7887.938	550.170	-4705.309	7950.648	505.990	-4768.647	7984.198	453.875	-4819.820	8002.889	427.374	-4837.874	8068.908
17956	100.30726	683.806	-4208.612	7650.578	672.242	-4282.471	7671.967	671.388	-4340.492	7686.222	687.602	-4370.769	7721.413	702.723	-4406.291	7758.940	709.006	-4459.214	7782.131	697.360	-4514.719	7797.673	669.041	-4564.111	7808.884	626.878	-4606.868	7836.510	593.208	-4637.812	7872.158	551.489	-4693.940	7936.130	510.291	-4757.773	7972.763	461.504	-4811.478	7993.397	432.452	-4831.910	8056.666
