,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,0.1833333333,0.2072427842,0.0462028172,-0.0842154715,0.0542369542,-0.030171173,0.0145455497,-0.0520494723,0.07067136,-0.0155385921,-0.066634928,0.0102997778,0.0397260374,-0.0783478921,-0.1478027468,0.0067494814
13,0.2,0.3349878293,0.0486951688,-0.1654299908,0.1891407266,-0.0259030932,-0.0709176381,0.0782434212,0.0578467704,-0.0971248455,0.0620570936,0.0159359166,-0.0430630664,0.053160716,-0.1444543563,-0.07238778
14,0.2166666667,0.4614542481,0.0510298473,-0.2457282922,0.3221656669,-0.0216815998,-0.1552052633,0.2070545676,0.0450046123,-0.1775495302,0.1890175546,0.0217262014,-0.124788509,0.1829243598,-0.1411282751,-0.1507057313
15,0.2333333333,0.5870425837,0.0528165001,-0.3252486279,0.4530835669,-0.017491973,-0.2381996032,0.3348616978,0.0321317043,-0.2568479446,0.3144703226,0.0277231636,-0.2055317515,0.3106656403,-0.1375422898,-0.2285128347
16,0.25,0.7118973336,0.0540001015,-0.404103201,0.5817018217,-0.0132173024,-0.3198246949,0.4619903322,0.019178754,-0.3351363471,0.4385582697,0.0338041986,-0.2853673238,0.4363400559,-0.1335314018,-0.3061384248
17,0.2666666667,0.835876224,0.0545616363,-0.4823107616,0.707742567,-0.0087354731,-0.3999977425,0.5886130029,0.0061671654,-0.4125527205,0.5612693014,0.0397574746,-0.3642963361,0.5598597015,-0.1289399699,-0.3838580221
18,0.2833333333,0.9586523616,0.0545038478,-0.5598132829,0.8309104372,-0.0039421043,-0.4786451524,0.7147947943,-0.0067931438,-0.4892530158,0.6824969756,0.0452896885,-0.4422579513,0.6811299103,-0.1236127287,-0.4618680028
19,0.3,1.0799247198,0.0538394254,-0.6365433511,0.9510525827,0.0012326486,-0.5557541959,0.8406061568,-0.0195061231,-0.5654356025,0.8021866549,0.0500465183,-0.5191924288,0.8001391945,-0.1173855129,-0.5402855021
20,0.3166666667,1.1995944426,0.0525772221,-0.7124829955,1.0682937314,0.0068140402,-0.6314127433,0.9661972817,-0.0317087049,-0.6413496331,0.9204578693,0.0536482262,-0.5951015883,0.917019534,-0.1100843449,-0.619146437
21,0.3333333333,1.3178322184,0.0507118093,-0.7876818177,1.1830849667,0.0127795544,-0.705816107,1.0917995097,-0.0431030384,-0.7172712139,1.0376506159,0.0557374599,-0.6700790993,1.0320549532,-0.1015397609,-0.6983981547
22,0.35,1.4350554397,0.0482224208,-0.8622436965,1.2961840464,0.019061362,-0.7792522858,1.2176869928,-0.0533951181,-0.7934624835,1.1542980968,0.0560308031,-0.7443121118,1.1456784935,-0.0916165148,-0.7779060932
23,0.3666666667,1.551848439,0.0450842585,-0.9362982427,1.4085839898,0.025553241,-0.8520742086,1.3441186285,-0.0623305709,-0.8701271147,1.271017674,0.0543618711,-0.8180499032,1.2584743128,-0.080253341,-0.8574812839
24,0.3833333333,1.6688448824,0.0412949267,-1.0099646817,1.5213867887,0.0321222815,-0.9246563324,1.4712652896,-0.0697195131,-0.9473686065,1.3883399054,0.0507027089,-0.8915423627,1.3711564043,-0.0675058813,-0.9369131625
25,0.4,1.7866158565,0.0369087247,-1.0833243116,1.6356520358,0.0386226691,-0.9973451789,1.5991642587,-0.0754444383,-1.0251709166,1.5065832987,0.0451587912,-0.9649877415,1.4845139964,-0.0535827685,-1.0159990111
26,0.4166666667,1.9056055245,0.032055007,-1.1564170878,1.7522621358,0.0449060229,-1.0704185069,1.7277349852,-0.0794510276,-1.1034181451,1.6258633924,0.0379471745,-1.0385251983,1.5993360368,-0.0388593467,-1.0945715288
27,0.4333333333,2.0261071584,0.0269226048,-1.229254743,1.8718104945,0.0508276645,-1.1440501689,1.8568231044,-0.0817310665,-1.1819363155,1.7461956105,0.0293703383,-1.1122576741,1.7163193264,-0.0238564775,-1.172517249
28,0.45,2.1482651447,0.0217190148,-1.3018362144,1.9945214274,0.0562526006,-1.2182759975,1.9862324313,-0.0823084709,-1.260526615,1.8676033568,0.0197891836,-1.1862719051,1.8359799766,-0.0091856413,-1.2497773764
29,0.4666666667,2.2721064077,0.0166275051,-1.3741622928,2.1202303305,0.06106154,-1.2929716634,2.1157496332,-0.0812323995,-1.3389798841,1.9901829742,0.0095935052,-1.2606400242,1.9585964621,0.0045272035,-1.3263323513
30,0.4833333333,2.3975738087,0.0117787201,-1.4462428032,2.2484205691,0.065153133,-1.3678532265,2.2451680622,-0.07857483,-1.4170782159,2.1140930143,-0.0008289494,-1.3353970598,2.0841801958,0.0167225727,-1.4021745882
31,0.5,2.5245235499,0.0072419474,-1.5180881085,2.3782913183,0.068440762,-1.442504394,2.3743055608,-0.0744278254,-1.4945951229,2.2394678096,-0.0111213713,-1.4105030138,2.2124595899,0.026974922,-1.4772769479
32,0.5166666667,2.6527021531,0.0030320819,-1.5896930653,2.5088587157,0.0708476244,-1.5164343351,2.5030230264,-0.0688981681,-1.5713065881,2.3663229045,-0.0209812726,-1.4858202014,2.3428860222,0.0350315508,-1.5515675619
33,0.5333333333,2.7817347585,-0.0008754513,-1.6610251972,2.6390948083,0.0723060574,-1.5891614015,2.6312341531,-0.0621013454,-1.6470082477,2.4945144069,-0.0301752249,-1.5611278636,2.4746664688,0.0408164772,-1.6249154642
34,0.55,2.9111300739,-0.0045269335,-1.7320201463,2.7680804183,0.072763783,-1.6603081355,2.7588814651,-0.0541577145,-1.7215233774,2.6237574284,-0.0385433321,-1.6361694753,2.6068191044,0.0444014607,-1.6971318147
35,0.5666666667,3.0403212062,-0.0079740621,-1.8025898348,2.8951450419,0.0721941295,-1.729688744,2.8859007442,-0.0451919109,-1.7947077538,2.7537040507,-0.0459930965,-1.7107205322,2.7382719462,0.0459558179,-1.768001934
36,0.5833333333,3.1687647017,-0.011263829,-1.8726460265,3.0199657333,0.07060438,-1.7973591423,3.0122242424,-0.0353351703,-1.8664682663,2.8840767167,-0.0524832629,-1.7846586708,2.8680188443,0.0456919356,-1.8373520553
37,0.6,3.2960626484,-0.0144336781,-1.9421286961,3.1425908299,0.0680379728,-1.8636032669,3.137822768,-0.0247289765,-1.9367889791,3.0147955806,-0.0580013171,-1.8580056969,2.9952865708,0.0438183197,-1.9051232439
38,0.6166666667,3.4220482469,-0.0175060441,-2.0110300864,3.2633918437,0.0645688473,-1.9288677217,3.2627487605,-0.0135278172,-2.0057457418,3.1460230648,-0.0625406535,-1.9309249072,3.119647782,0.0405052908,-1.9714199161
39,0.6333333333,3.5468147558,-0.0204799717,-2.0794106924,3.3829927339,0.0602880876,-1.9936841239,3.3871601418,-0.0018998032,-2.0735010734,3.2781085094,-0.0660817458,-2.0036838015,3.241063458,0.0358668945,-2.0365224567
