,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
48,0.7833333333,3.3510136961,-0.0116808142,-2.3213718267,3.2155159451,0.0984665415,-2.2900466802,3.1140057991,0.0200959871,-2.2538246072,3.0665267168,-0.1198788203,-2.2622656774,3.0971493138,0.0143133974,-2.2825743028
49,0.8,3.4825117298,-0.0154315682,-2.4018223867,3.3436165173,0.0890692333,-2.3681445762,3.2394133437,0.0360223388,-2.3327015305,3.2033066247,-0.1172423953,-2.3459441363,3.2143642082,-0.0002667854,-2.3604728312
50,0.8166666667,3.6139925467,-0.0191397342,-2.4819966911,3.471688069,0.0782009013,-2.4459125867,3.3669364365,0.0515134366,-2.4117602158,3.3395711976,-0.1119966187,-2.4292264584,3.3314600677,-0.0162957043,-2.438287463
51,0.8333333333,3.7450994864,-0.0224153466,-2.5616208012,3.5998739766,0.0660029695,-2.523389856,3.4966925302,0.0662563267,-2.491150374,3.4748173441,-0.1042347917,-2.5118390714,3.4492667546,-0.0336336624,-2.5159662659
52,0.85,3.8754485078,-0.0248784168,-2.640342459,3.7282938506,0.0526290426,-2.6005416389,3.6286717169,0.0799007341,-2.5709332681,3.6087021423,-0.0941560097,-2.5935035206,3.5685959974,-0.0518691172,-2.5932613515
53,0.8666666667,4.0046561064,-0.0262179291,-2.7177866735,3.8570017822,0.0382659793,-2.6772855535,3.7626794482,0.0920663967,-2.6510678211,3.7410123891,-0.0820536655,-2.6739525756,3.6901052708,-0.0703394918,-2.669782977
54,0.8833333333,4.132399583,-0.0262366627,-2.7936430353,3.9859697033,0.0231581917,-2.7535253294,3.8982939351,0.1023507882,-2.7314053967,3.8716164785,-0.0682906181,-2.7529429452,3.8141947647,-0.088200061,-2.7451097085
55,0.9,4.2584781081,-0.0248801017,-2.8677495695,4.1150907882,0.0076254439,-2.8291807422,4.0348624125,0.1103443149,-2.8116949691,4.0004161133,-0.0532662591,-2.8302688145,3.9409401435,-0.1045268978,-2.8189076858
56,0.9166666667,4.3828423672,-0.0222469496,-2.9401368323,4.2441889523,-0.0079353609,-2.9042031604,4.1715398372,0.1156578775,-2.8916008424,4.1273132395,-0.0373836507,-2.905778686,4.0700522822,-0.1184307822,-2.8910140289
57,0.9333333333,4.5055879116,-0.018572078,-3.0110227587,4.3730385415,-0.0230720795,-2.9785804934,4.3073657,0.1179618377,-2.9707410386,4.252212835,-0.0210222943,-2.9793978918,4.2008786952,-0.1291628498,-2.9614689494
58,0.95,4.6269219199,-0.0141773211,-3.0807691539,4.501404645,-0.0373232957,-3.0523414726,4.441371889,0.1170312617,-3.0487510078,4.375071496,-0.0045190593,-3.0511547364,4.3324680355,-0.1362004922,-3.0305027388
59,0.9666666667,4.7471053677,-0.0094055105,-3.1498128415,4.6290883654,-0.0502741251,-3.1255569567,4.5727043606,0.1127888003,-3.1253587177,4.4959676979,0.0118394736,-3.1212008769,4.4636924311,-0.139302787,-3.0984915585
60,0.9833333333,4.8663830194,-0.0045626615,-3.2185896188,4.755946422,-0.0615973713,-3.1983293258,4.7007345683,0.1053319982,-3.2004430562,4.6151481456,0.0278079999,-3.1898172767,4.5934001106,-0.1385225921,-3.1658997974
61,1,4.9849330188,0.0001185482,-3.2874721776,4.8818784082,-0.0710639321,-3.2707698206,4.8251417208,0.0949325753,-3.2740524732,4.7330205984,0.0431554913,-3.257402887,4.7205656282,-0.1341668174,-3.2332205864
62,1.0166666667,5.1028547501,0.0044930932,-3.3567300876,5.0068010201,-0.0785271373,-3.3429725645,4.9459553047,0.0820045988,-3.3463772295,4.8501010826,0.0576305519,-3.3244466496,4.8444057752,-0.1267091198,-3.3009143816
63,1.0333333333,5.2201881073,0.008498379,-3.4265094775,5.1306270529,-0.0838992078,-3.414994729,5.0635513667,0.0670505264,-3.4176865221,4.9669484709,0.0709373034,-3.3914868024,4.9644449029,-0.1166756229,-3.3693478238
64,1.05,5.3369488828,0.0121360808,-3.496830763,5.2532526199,-0.087135667,-3.4868462642,5.1785956133,0.0506022054,-3.4882535934,5.0841065942,0.0827329633,-3.4590609315,5.0805376573,-0.1045350842,-3.4387471711
65,1.0666666667,5.4531636197,0.0154506635,-3.5676023403,5.3745511484,-0.0882328101,-3.5584873031,5.2919327953,0.033173577,-3.5582904808,5.2020468558,0.0926452951,-3.5276459644,5.1928648708,-0.0906227873,-3.5091832838
66,1.0833333333,5.5688885183,0.0185102005,-3.6386452395,5.4943777138,-0.0872347444,-3.6298321097,5.4044445982,0.0152329593,-3.6279040313,5.3211056397,0.1003037378,-3.5975912885,5.301912808,-0.0751141059,-3.5805944053
67,1.1,5.6842082741,0.0213888027,-3.7097217259,5.6125881428,-0.0842430409,-3.7007592618,5.5169186324,-0.0028075161,-3.6970790782,5.4414303786,0.1053800668,-3.6690576576,5.408443102,-0.0580478223,-3.6528375122
68,1.1166666667,5.7992239559,0.0241483316,-3.7805614326,5.7290701522,-0.0794215795,-3.7711250566,5.6299635279,-0.0205921528,-3.7656928354,5.5629543157,0.1076339181,-3.741976595,5.5134543939,-0.0393887034,-3.7257462718
69,1.1333333333,5.9140405663,0.026819675,-3.8508843262,5.8437783188,-0.072990457,-3.8407769797,5.7439792979,-0.0378164308,-3.8335568238,5.6854132159,0.106954336,-3.8160413923,5.6181237388,-0.0191145715,-3.7991691721
70,1.15,6.0287580273,0.0293876653,-3.9204249815,5.9567653535,-0.0652058591,-3.9095689106,5.8591739269,-0.0542172675,-3.9004730344,5.8084021726,0.1033854508,-3.8907368008,5.7237158692,0.0026876862,-3.8729730242
71,1.1666666667,6.1434649976,0.0317858045,-3.9889603065,6.0682037353,-0.0563283951,-3.9773815373,5.9756084462,-0.069558853,-3.9662897613,5.9314496792,0.0971277814,-3.9654059229,5.8314645357,0.025733129,-3.9470198188
72,1.1833333333,6.258234792,0.0339039563,-4.0563363953,6.1783914766,-0.0465902242,-4.0441455972,6.093247186,-0.0836158603,-4.0309462293,6.0540817496,0.0885158174,-4.0393405391,5.9424410393,0.0494765778,-4.0211365644
73,1.2,6.3731241327,0.0356062645,-4.1224865365,6.2877367336,-0.0361748229,-4.1098599748,6.2119922955,-0.0961576303,-4.094497369,6.1758668687,0.0779791102,-4.1118747015,6.0574286045,0.0731004215,-4.0950911292
74,1.2166666667,6.4881750824,0.0367542811,-4.1874350489,6.3967218965,-0.0252161476,-4.1745976213,6.3316945091,-0.1069382259,-4.1571133716,6.2964463272,0.0659941417,-4.1824645076,6.1768257448,0.0955661825,-4.1685797781
75,1.2333333333,6.6034167396,0.0372311318,-4.251287532,6.5058548505,-0.0138125635,-4.2384960119,6.4521483811,-0.1156976188,-4.2190543551,6.4155534026,0.053033301,-4.2507442606,6.3005978536,0.1157226307,-4.2412329369
76,1.25,6.7188628188,0.0369623108,-4.314210151,6.6156157593,-0.0020465686,-4.301732251,6.5730868759,-0.1221773039,-4.2806252297,6.533022181,0.0395188005,-4.3165543514,6.4282838521,0.1324478333,-4.3126445577
77,1.2666666667,6.8345053743,0.0359291025,-4.3763998584,6.7264062478,0.0099957971,-4.3644878622,6.6941845173,-0.1261495322,-4.3421200716,6.6487895957,0.0257899301,-4.3799385243,6.559056124,0.1447985074,-4.3824216246
78,1.2833333333,6.9503069363,0.0341739395,-4.4380500173,6.8385109971,0.0222083498,-4.4269141685,6.8150736355,-0.1274544157,-4.4037707132,6.7628983149,0.0120890302,-4.4411124392,6.6918211128,0.1521401318,-4.4502398278
79,1.3,7.0661968872,0.0317997083,-4.4993175844,6.9520831516,0.0344513601,-4.4891090617,6.9353773042,-0.1260344732,-4.4657150954,6.8755068734,-0.0014339318,-4.5004119179,6.8253356121,0.1542343814,-4.5158859107
80,1.3166666667,7.1820832616,0.0289631679,-4.5602949979,7.0671567718,0.0465412481,-4.5511081017,7.0547532243,-0.121954149,-4.5279911713,6.986903694,-0.0147029121,-4.5582331994,6.9583238159,0.1512684581,-4.5792738315
81,1.3333333333,7.2978826309,0.0258585578,-4.620990264,7.1836760191,0.0582444742,-4.6128862429,7.1729310364,-0.1153958791,-4.5905484477,7.0975087103,-0.0276882295,-4.6149775141,7.089603466,0.1438207109,-4.6404408113
82,1.35,7.4135517777,0.0226884875,-4.6813230663,7.3015248519,0.0692774485,-4.6743656349,7.2897311597,-0.1066338377,-4.653264213,7.2078463384,-0.0403718853,-4.6710084117,7.2182234294,0.1327680614,-4.6995412997
83,1.3666666667,7.5291024131,0.0196272618,-4.7411414074,7.4205467174,0.0793134284,-4.7354263144,7.405070384,-0.0959950834,-4.7159580429,7.3184941363,-0.0527090536,-4.7266235445,7.3435842984,0.1191541554,-4.7568481677
84,1.3833333333,7.6445957872,0.0167881364,-4.800254015,7.5405500071,0.0879971157,-4.7959189184,7.5189640166,-0.083820056,-4.7784074551,7.4300288502,-0.0645943378,-4.7820390327,7.4655041059,0.1040464198,-4.8127545969
85,1.4,7.7601239299,0.0142031121,-4.8584709167,7.6612997767,0.094967692,-4.8556805147,7.6315249348,-0.0704312428,-4.8403693479,7.5429820795,-0.0758423642,-4.8373872503,7.5842084969,0.088408718,-4.867761047
86,1.4166666667,7.875783461,0.0118168507,-4.9156451979,7.7825058636,0.0998890257,-4.9145534194,7.7429545416,-0.0561141336,-4.9016053799,7.6577983596,-0.0861868799,-4.8927310762,7.7002407598,0.0730071249,-4.9224288829
87,1.4333333333,7.9916479983,0.0094941921,-4.9717054725,7.9038224921,0.1024832547,-4.9724046237,7.8535259738,-0.0411107557,-4.9619044209,7.7747848633,-0.0952976332,-4.9480923811,7.8143036676,0.0583560764,-4.9772910433
88,1.45,8.1077484086,0.0070424764,-5.0266691497,8.0248659751,0.102563113,-5.0291430146,7.963566292,-0.025623855,-5.0210987481,7.8940521698,-0.1028122145,-5.0034832855,7.9270755718,0.0447034366,-5.0327364336
89,1.4666666667,8.2240689335,0.0042484231,-5.0806352576,8.1452470005,0.1000581246,-5.0847315247,8.073442433,-0.0098286849,-5.0790754839,8.0154597278,-0.1083773378,-5.058924931,8.0390632075,0.032047373,-5.0889095561
90,1.4833333333,8.3405573854,0.0009243338,-5.1337616877,8.2646093814,0.0950296186,-5.1391906642,8.1835464685,0.006111436,-5.1357819341,8.1385915651,-0.1116920017,-5.1144434624,8.1505347113,0.0201775603,-5.145664456
91,1.5,8.45713808,-0.0030461236,-5.1862318728,8.3826636374,0.0876712708,-5.1925900421,8.2942694065,0.0220295562,-5.1912207205,8.2627841638,-0.1125459227,-5.1700441982,8.2615371896,0.008736315,-5.2025871733
92,1.5166666667,8.5737175196,-0.0076742492,-5.2382164012,8.499205991,0.0782950406,-5.2450276487,8.4059593782,0.0377417277,-5.2454355246,8.3872045773,-0.1108478969,-5.2256783023,8.3719763546,-0.0027034936,-5.2590766075
93,1.5333333333,8.6901809303,-0.0128537368,-5.2898370869,8.6141237969,0.0673041702,-5.296602817,8.5188740481,0.0530367779,-5.2984922227,8.5109522408,-0.1066391359,-5.2812213671,8.4817237513,-0.0145498876,-5.3144593732
94,1.55,8.8063840069,-0.0183708157,-5.3411416231,8.7273941034,0.0551555663,-5.3473924468,8.6331419492,0.0676704137,-5.3504584224,8.6331539559,-0.1000885909,-5.3364735111,8.5907109814,-0.0271039625,-5.3681079442
95,1.5666666667,8.9221473973,-0.023931903,-5.3920944456,8.8390774374,0.0423158976,-5.3974369977,8.7487409763,0.0813654742,-5.4013834249,8.7530381703,-0.0914714716,-5.3911767931,8.6989754367,-0.0404878973,-5.4195340802
96,1.5833333333,9.0372623008,-0.0292012642,-5.4425850414,8.9493061462,0.0292185359,-5.4467381644,8.8654960686,0.0938195223,-5.4512831229,8.8699933699,-0.0811361343,-5.4450419638,8.8066466668,-0.0546025835,-5.4684427103
97,1.6,9.1515129869,-0.0338421599,-5.492452147,9.0582719702,0.0162289409,-5.495270307,8.9830953168,0.1047191833,-5.5001374052,8.9836188523,-0.0694656664,-5.497781432,8.9138947331,-0.0691227558,-5.5147488378
98,1.6166666667,9.2647178225,-0.0375563725,-5.5415217346,9.1662217863,0.0036236732,-5.5430087989,9.1011212769,0.1137593416,-5.5479065969,9.093767258,-0.0568396125,-5.5491479426,9.0208784554,-0.0835304323,-5.5585711048
99,1.6333333333,9.3767866267,-0.0401177202,-5.5896551804,9.27346703,-0.008415344,-5.589973499,9.2190954732,0.1206651517,-5.5945655879,9.2005719543,-0.0436011112,-5.5989741375,9.1277244032,-0.097179673,-5.6002165388
100,1.65,9.4877853594,-0.0413956219,-5.6367996313,9.3804057314,-0.0197932486,-5.6362751026,9.3365387667,0.1252143962,-5.640145476,9.3044531732,-0.030034489,-5.6472026622,9.234545504,-0.1093776952,-5.6401646779
101,1.6666666667,9.5979919283,-0.0413662309,-5.6830293054,9.4875502843,-0.0304846234,-5.6821442939,9.4530472659,0.1272570365,-5.6847706492,9.4061013619,-0.0163565798,-5.6938984984,9.3414871788,-0.1194654356,-5.6790498229
102,1.6833333333,9.7079278591,-0.0401111464,-5.7285687898,9.5955468099,-0.0405067733,-5.7279280223,9.5683727753,0.1267288327,-5.7286826207,9.5064433207,-0.0027231371,-5.7392458105,9.4487814005,-0.1268866983,-5.7176334801
103,1.7,9.8183546059,-0.0378047936,-5.7737934203,9.7051660906,-0.0498834731,-5.7740517909,9.6824946109,0.1236555949,-5.7722440757,9.606601927,0.0107508955,-5.7835385787,9.556791312,-0.1312412411,-5.7567609743
104,1.7166666667,9.9302246529,-0.034691397,-5.8192032069,9.817249967,-0.0586037087,-5.8209574348,9.795673797,0.1181452998,-5.8159179128,9.7078557236,0.0239633233,-5.8271666145,9.6660329425,-0.1323184319,-5.7973039209
105,1.7333333333,10.044584081,-0.0310550991,-5.8653695982,9.9326099,-0.0665875374,-5.86902711,9.9084737844,0.1103698134,-5.8602220242,9.8115909288,0.036798915,-5.8705871752,9.7771646536,-0.1301072826,-5.8400949745
106,1.75,10.1624341838,-0.0271896679,-5.9128595444,10.0518886861,-0.073673497,-5.9185028675,10.0217209757,0.1005432918,-5.9056680674,9.9192293176,0.0491149236,-5.9142751241,9.8909384109,-0.124779769,-5.8858604286
107,1.7666666667,10.2845667074,-0.0233712277,-5.9621444552,10.1754111992,-0.0796357129,-5.9694117457,10.1363852299,0.0889055976,-5.9526930812,10.0321186257,0.0607405688,-5.9586567527,10.0081117312,-0.1166496793,-5.9351544457
108,1.7833333333,10.4113940557,-0.0198335276,-6.0135055787,10.3030624829,-0.0842265238,-6.0215104222,10.2533885318,0.0757151078,-6.001590214,10.151380735,0.0714867887,-6.0040395329,10.129326702,-0.1061172178,-5.9883000706
109,1.8,10.5428049333,-0.0167470809,-6.0669536876,10.4342290571,-0.0872298728,-6.0742692634,10.3733830011,0.0612483185,-6.0524475566,10.277726515,0.0811626206,-6.0505515066,10.2549692762,-0.0936150517,-6.0453446456
110,1.8166666667,10.6780808421,-0.0142055368,-6.122184091,10.5678196015,-0.0885097575,-6.1269149,10.4965519498,0.0458001325,-6.1051063865,10.411261597,0.0895981531,-6.0981017427,10.3850258417,-0.0795715196,-6.1060338141
111,1.8333333333,10.8159073918,-0.0122212902,-6.1785879645,10.70236045,-0.0880450001,-6.1785388202,10.6224728812,0.0296821935,-6.1591457558,10.5513123688,0.0966738101,-6.1463669877,10.5189559086,-0.0644007168,-6.1698004794
112,1.85,10.9544893136,-0.0107324377,-6.2353285399,10.8361383993,-0.0859485708,-6.2282551659,10.7500627285,0.0132209908,-6.2138963467,10.6963068372,0.1023522151,-6.194807159,10.6556001955,-0.0485168325,-6.2357633801
113,1.8666666667,11.0917061207,-0.0096241183,-6.2914484373,10.9673205092,-0.0824724035,-6.2753518698,10.8776056089,-0.0032421381,-6.2684809543,10.8437521526,0.1067047523,-6.2427108644,10.7931278315,-0.0323563032,-6.3027303057
114,1.8833333333,11.2251922246,-0.0087632131,-6.3459387175,11.0939633314,-0.0779962694,-6.3193552477,11.0028291117,-0.0193477501,-6.3218642413,10.9903244209,0.1099194972,-6.2892559009,10.9289992114,-0.0163877423,-6.3691981988
115,1.9,11.3522999712,-0.0079581564,-6.3977330408,11.2139327995,-0.0729756299,-6.3599650727,11.1229929308,-0.0347313316,-6.3728849892,11.131985572,0.1122606126,-6.3335475385,11.0599519249,-0.0011491459,-6.4333607169
