,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,0.2333333333,0.0200364507,0.0805431416,0.0197129922,0.0320997026,-0.0028270813,-0.0136906587,0.1172882556,-0.0300507183,-0.049457787,-0.0924292598,0.0370036093,0.02131114,-0.1339538477,-0.0887947609,0.0639616193
16,0.25,0.1655117641,0.07782598,-0.0685571081,0.1726946617,0.0027053747,-0.1013645233,0.2345158174,-0.0390300716,-0.1228069376,0.0541199759,0.0404026276,-0.0696730614,-0.0089439017,-0.0859818414,-0.0226816741
17,0.2666666667,0.3069990012,0.0750978097,-0.1548975667,0.3092574739,0.0082852935,-0.1872272217,0.3499741749,-0.0478656799,-0.195421912,0.1964407142,0.0433588259,-0.1584749364,0.1124878225,-0.0826546887,-0.1081857275
18,0.2833333333,0.4427295531,0.0721958747,-0.2385068882,0.4398991255,0.0139358705,-0.2706019647,0.4635859624,-0.0565096585,-0.2676325874,0.3324896464,0.045454405,-0.2441219453,0.2287452974,-0.0779571088,-0.1924591837
19,0.3,0.5717196525,0.0690038234,-0.3189797204,0.5637336556,0.0197203762,-0.351171942,0.5756962574,-0.0647253361,-0.3398782439,0.4611993576,0.0461814913,-0.3261090415,0.3393259817,-0.0713568861,-0.2756284811
20,0.3166666667,0.6938844656,0.0654309277,-0.3962765533,0.6808655204,0.0256682813,-0.428945161,0.6868182365,-0.0722920172,-0.4125716962,0.5825110739,0.0451619886,-0.4043755117,0.4446508692,-0.0625074331,-0.3579348098
21,0.3333333333,0.8098641251,0.0614212802,-0.4706446397,0.7922026808,0.0317610448,-0.5041813075,0.7974328966,-0.0789982661,-0.4859887144,0.6971516566,0.0421924732,-0.4792176037,0.5458866556,-0.0513317841,-0.4396239813
22,0.35,0.9207980926,0.0569576453,-0.5425241521,0.8991829715,0.0379252974,-0.577307146,0.9078984775,-0.0846326992,-0.5602259876,0.8063537037,0.0372621006,-0.5511835252,0.6446705914,-0.0380670428,-0.5208548055
23,0.3666666667,1.0280997411,0.0520551647,-0.6124581819,1.0034780232,0.0440320752,-0.6488298254,1.0184522917,-0.0889810362,-0.6352218266,0.9116058692,0.0305396016,-0.6209743893,0.7427791086,-0.0232364461,-0.6016358165
24,0.3833333333,1.1332354109,0.0467501216,-0.6810071796,1.1067094989,0.0499049772,-0.7192494016,1.1292290636,-0.0918329752,-0.7108006577,1.0144446105,0.0223335064,-0.689348272,0.8418040627,-0.0075611383,-0.6818000762
25,0.4,1.237535703,0.041096448,-0.7486784405,1.2102314423,0.0553399397,-0.7889912,1.2402809602,-0.0929959188,-0.7867209508,1.116297901,0.0130370091,-0.7570346924,0.9429332896,0.008141492,-0.7610395604
26,0.4166666667,1.3420825846,0.0351699198,-0.8158887265,1.3150226355,0.0601296944,-0.8583778007,1.3516169986,-0.0923131619,-0.8627253032,1.2184013323,0.0030722723,-0.824676486,1.0468825829,0.0230524705,-0.8390000332
27,0.4333333333,1.4476760778,0.0290680109,-0.8829606505,1.4216715034,0.0640833478,-0.9276285409,1.4632439579,-0.0896878396,-0.9385798662,1.3217698467,-0.0071530785,-0.8927975857,1.1539404863,0.0364471294,-0.9153919968
28,0.45,1.5548559756,0.0229003303,-0.9501394377,1.5304126776,0.0670387716,-0.9968650964,1.5751899472,-0.0851070299,-1.014087639,1.4271951002,-0.01727246,-0.961784373,1.2640661684,0.0477811062,-0.9900638633
29,0.4666666667,1.6639491488,0.0167748799,-1.0176157345,1.6411951958,0.0688692387,-1.0661212264,1.6875158329,-0.0786534802,-1.0890806475,1.5352577511,-0.0269725118,-1.0318772921,1.376998931,0.0567386268,-1.0630164097
30,0.4833333333,1.7751016017,0.0107868943,-1.0855379712,1.7537609505,0.0694855416,-1.1353604631,1.8003093962,-0.070497988,-1.1634074267,1.6463386298,-0.0359958923,-1.1031729009,1.4923392261,0.0632297833,-1.1343673943
31,0.5,1.8882757084,0.0050133714,-1.154005427,1.8677074281,0.068836085,-1.2044964855,1.9136529352,-0.0608751512,-1.2369258606,1.7606146378,-0.0441392477,-1.1756361155,1.6095780538,0.0673432564,-1.2042892427
32,0.5166666667,2.0032424749,-0.0004878963,-1.2230519813,1.9825309958,0.0669071204,-1.2734094821,2.0275761396,-0.050051713,-1.3095008782,1.8780531687,-0.0512485117,-1.2491248935,1.7280985224,0.069274105,-1.2729496999
33,0.5333333333,2.119599193,-0.0056765308,-1.2926341337,2.097655514,0.0637234255,-1.3419555955,2.1420094211,-0.0382977921,-1.38099971,1.998414777,-0.057211419,-1.323422486,1.8471877221,0.069248102,-1.3404790647
34,0.55,2.2368141976,-0.0105238566,-1.3626289558,2.2124538072,0.0593496218,-1.4099736513,2.2567532997,-0.0258672883,-1.4512852562,2.1212599424,-0.0619482663,-1.3982670879,1.9660782468,0.0674557223,-1.4069734357
35,0.5666666667,2.3543042412,-0.0150020818,-1.4328471862,2.3262986785,0.053890478,-1.4773025062,2.3714983214,-0.0129907342,-1.5202238207,2.2459810633,-0.0654018796,-1.4733788208,2.0840372257,0.0640063533,-1.4725321972
36,0.5833333333,2.4715421204,-0.0190704831,-1.5030605003,2.4386729206,0.0474854799,-1.5438149745,2.4859115402,0.0001183823,-1.5877166534,2.3718792795,-0.0675258693,-1.5484850832,2.2005012646,0.058914497,-1.5373119093
37,0.6,2.5881514764,-0.0226619999,-1.5730296902,2.5493011432,0.0402951111,-1.6094550552,2.5997414485,0.0132485328,-1.6537393704,2.4982552863,-0.0682728364,-1.623334288,2.3151998355,0.0521203851,-1.6015650977
38,0.6166666667,2.7039529013,-0.0256731307,-1.6425282566,2.658243758,0.0324817233,-1.674265223,2.7128785568,0.0261752956,-1.7183693068,2.6244801241,-0.0675879532,-1.6976963307,2.4282109309,0.0435349992,-1.6656461271
39,0.6333333333,2.8189769511,-0.0279622807,-1.7113697515,2.7659381175,0.0241907745,-1.7384015897,2.8253638061,0.0386516571,-1.7817959745,2.7500483352,-0.0654114042,-1.7713611961,2.5399568214,0.033100226,-1.7299885425
40,0.65,2.9334531068,-0.0293632705,-1.7794321709,2.8731828152,0.0155401286,-1.8021258125,2.9373639016,0.0504016041,-1.8443073595,2.8745977989,-0.061690858,-1.8441309414,2.6511524268,0.0208615209,-1.7950503169
41,0.6666666667,3.0477444988,-0.0297128879,-1.8466562207,2.9810380728,0.006626205,-1.8657579688,3.0491158265,0.0611168788,-1.9062411421,2.9978647292,-0.056406826,-1.9157916521,2.7626796665,0.0070403723,-1.8612168231
