Trial:     847,,Trajectory,,Snake ID: 28,,Mass: 26 g,,SVL: 62 cm,,Tail: 22 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,0.08,1.54,9.60,0.07,1.28,9.57,0.04,1.00,9.61
3,0.033,0.09,1.60,9.56,0.07,1.36,9.52,0.04,1.08,9.59
5,0.067,0.10,1.67,9.50,0.08,1.44,9.46,0.03,1.16,9.56
7,0.100,0.12,1.73,9.43,0.08,1.52,9.40,0.03,1.25,9.53
9,0.133,0.13,1.80,9.36,0.09,1.60,9.33,0.03,1.35,9.48
11,0.167,0.14,1.87,9.27,0.10,1.69,9.25,0.03,1.45,9.41
13,0.200,0.15,1.94,9.17,0.10,1.77,9.17,0.03,1.55,9.32
15,0.234,0.16,2.03,9.06,0.10,1.86,9.08,0.03,1.66,9.21
17,0.267,0.17,2.11,8.94,0.10,1.96,8.98,0.03,1.77,9.10
19,0.300,0.18,2.21,8.81,0.10,2.06,8.86,0.02,1.87,8.97
21,0.334,0.19,2.30,8.68,0.10,2.16,8.75,0.02,1.99,8.84
23,0.367,0.21,2.39,8.54,0.09,2.27,8.62,0.03,2.10,8.70
25,0.400,0.23,2.49,8.40,0.09,2.38,8.49,0.04,2.23,8.56
27,0.434,0.25,2.59,8.26,0.10,2.51,8.35,0.05,2.34,8.40
29,0.467,0.27,2.69,8.11,0.11,2.64,8.20,0.07,2.46,8.23
31,0.501,0.29,2.80,7.95,0.14,2.76,8.04,0.10,2.57,8.06
33,0.534,0.31,2.91,7.80,0.18,2.88,7.86,0.14,2.70,7.87
35,0.567,0.33,3.03,7.63,0.22,2.98,7.69,0.18,2.83,7.69
37,0.601,0.36,3.16,7.47,0.26,3.10,7.53,0.22,2.98,7.49
39,0.634,0.38,3.29,7.31,0.30,3.21,7.36,0.25,3.15,7.31
41,0.667,0.41,3.43,7.14,0.35,3.34,7.18,0.27,3.31,7.13
43,0.701,0.44,3.58,6.97,0.40,3.46,7.00,0.30,3.48,6.95
45,0.734,0.48,3.74,6.79,0.46,3.60,6.80,0.32,3.64,6.76
47,0.767,0.52,3.90,6.60,0.53,3.74,6.62,0.35,3.81,6.57
49,0.801,0.57,4.05,6.44,0.59,3.89,6.43,0.38,3.99,6.39
51,0.834,0.62,4.23,6.25,0.67,4.05,6.24,0.44,4.17,6.19
53,0.868,0.68,4.39,6.07,0.74,4.23,6.05,0.52,4.34,6.01
55,0.901,0.74,4.55,5.88,0.80,4.44,5.82,0.60,4.51,5.79
57,0.934,0.80,4.73,5.67,0.85,4.62,5.65,0.68,4.67,5.61
59,0.968,0.87,4.93,5.48,0.90,4.82,5.44,0.76,4.85,5.41
61,1.001,0.95,5.09,5.30,0.95,5.00,5.27,0.85,5.00,5.25
63,1.034,—,—,—,—,—,—,0.93,5.17,5.08
65,1.068,1.12,5.48,4.91,—,—,—,—,—,—
67,1.101,1.21,5.67,4.73,1.11,5.58,4.74,1.11,5.50,4.74
69,1.134,1.30,5.88,4.53,1.16,5.80,4.57,1.21,5.67,4.54
71,1.168,1.38,6.08,4.34,1.23,6.02,4.37,1.32,5.85,4.36
73,1.201,1.48,6.30,4.14,1.30,6.26,4.18,1.43,6.05,4.17
75,1.235,1.57,6.51,3.97,1.40,6.49,4.01,1.54,6.28,3.98
77,1.268,1.66,6.71,3.81,1.51,6.70,3.84,1.63,6.54,3.76
79,1.301,1.76,6.94,3.63,1.62,6.90,3.68,1.70,6.77,3.61
81,1.335,1.86,7.14,3.48,1.73,7.07,3.53,1.79,7.00,3.44
83,1.368,1.97,7.37,3.32,1.85,7.25,3.39,1.86,7.23,3.28
85,1.401,2.05,7.55,3.19,1.98,7.45,3.22,1.93,7.47,3.11
87,1.435,2.16,7.77,3.04,2.10,7.63,3.08,2.01,7.75,2.90
89,1.468,2.27,7.99,2.89,2.24,7.84,2.91,2.07,7.90,2.86
91,1.502,2.38,8.19,2.77,2.36,8.02,2.77,2.17,8.12,2.74
93,1.535,2.49,8.40,2.65,2.50,8.24,2.60,2.28,8.35,2.62
95,1.568,2.61,8.60,2.54,2.64,8.44,2.48,2.41,8.58,2.46
97,1.602,2.73,8.82,2.40,2.77,8.66,2.35,2.55,8.79,2.31
99,1.635,2.87,9.04,2.26,2.90,8.88,2.22,2.68,8.95,2.24
101,1.668,3.01,9.31,2.08,3.01,9.12,2.10,2.86,9.27,1.99
103,1.702,3.12,9.46,1.99,3.13,9.36,1.98,2.95,9.35,2.00
105,1.735,3.25,9.64,1.90,3.24,9.58,1.84,3.10,9.52,1.88
107,1.768,3.40,9.90,1.74,3.35,9.81,1.72,—,—,—
109,1.802,3.53,10.05,1.69,3.45,9.98,1.66,—,—,—
