Trial:     778,,Trajectory,,Snake ID: 31,,Mass: 11 g,,SVL: 47 cm,,Tail: 16 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,-0.06,0.76,9.58,—,—,—,—,—,—
3,0.033,-0.06,0.78,9.58,—,—,—,—,—,—
5,0.067,-0.07,0.80,9.58,—,—,—,—,—,—
7,0.100,-0.09,0.82,9.57,—,—,—,—,—,—
9,0.133,-0.10,0.85,9.55,—,—,—,—,—,—
11,0.167,-0.10,0.87,9.58,-0.02,0.75,9.62,—,—,—
13,0.200,-0.09,0.93,9.52,-0.03,0.80,9.57,—,—,—
15,0.234,-0.08,0.97,9.46,-0.05,0.84,9.53,—,—,—
17,0.267,-0.07,1.00,9.44,-0.07,0.86,9.50,—,—,—
19,0.300,-0.07,1.04,9.39,-0.09,0.90,9.45,—,—,—
21,0.334,-0.08,1.07,9.34,-0.11,0.94,9.39,—,—,—
23,0.367,—,—,—,-0.12,0.97,9.35,—,—,—
25,0.400,-0.09,1.13,9.22,-0.12,1.01,9.28,—,—,—
27,0.434,-0.10,1.16,9.15,—,—,—,—,—,—
29,0.467,-0.11,1.20,9.07,-0.13,1.09,9.15,—,—,—
31,0.501,-0.11,1.23,8.99,-0.14,1.14,9.07,—,—,—
33,0.534,-0.12,1.27,8.91,-0.14,1.19,8.98,-0.21,1.21,9.12
35,0.567,-0.12,1.32,8.81,-0.14,1.24,8.88,-0.23,1.26,9.01
37,0.601,-0.13,1.37,8.71,-0.14,1.30,8.78,—,—,—
39,0.634,-0.13,1.43,8.61,-0.14,1.36,8.67,—,—,—
41,0.667,-0.12,1.49,8.51,-0.14,1.41,8.57,-0.27,1.45,8.62
43,0.701,-0.12,1.56,8.40,-0.13,1.47,8.45,-0.27,1.52,8.48
45,0.734,-0.12,1.63,8.30,-0.12,1.53,8.35,-0.26,1.61,8.34
47,0.767,-0.11,1.71,8.17,-0.11,1.61,8.21,-0.24,1.70,8.18
49,0.801,-0.10,1.80,8.02,-0.09,1.70,8.06,-0.21,1.80,8.03
51,0.834,-0.08,1.90,7.88,-0.07,1.80,7.93,-0.17,1.89,7.88
53,0.868,-0.06,1.99,7.75,-0.05,1.91,7.79,-0.13,1.98,7.74
55,0.901,-0.03,2.10,7.60,-0.04,2.02,7.64,—,—,—
57,0.934,0.00,2.21,7.45,-0.04,2.12,7.51,-0.06,2.13,7.47
59,0.968,0.03,2.33,7.29,-0.03,2.25,7.36,-0.03,2.21,7.32
61,1.001,0.06,2.47,7.13,-0.02,2.38,7.20,0.03,2.31,7.17
63,1.034,0.09,2.60,6.97,0.00,2.52,7.03,0.09,2.43,7.03
65,1.068,0.12,2.74,6.80,0.03,2.68,6.84,0.14,2.57,6.88
67,1.101,0.15,2.88,6.67,0.07,2.81,6.68,0.17,2.72,6.74
69,1.134,0.18,3.04,6.49,0.12,2.96,6.52,0.19,2.88,6.59
71,1.168,0.21,3.19,6.34,0.18,3.12,6.35,0.21,3.05,6.42
73,1.201,0.25,3.36,6.16,0.24,3.27,6.19,0.23,3.20,6.27
75,1.235,0.30,3.54,5.97,0.31,3.44,5.99,0.24,3.35,6.10
77,1.268,0.35,3.73,5.79,0.38,3.61,5.82,0.25,3.57,5.88
79,1.301,0.40,3.92,5.60,0.45,3.81,5.64,0.28,3.81,5.63
81,1.335,0.45,4.12,5.45,0.51,3.99,5.51,0.34,4.04,5.44
83,1.368,0.50,4.30,5.31,0.56,4.20,5.37,0.41,4.25,5.26
85,1.401,0.56,4.52,5.15,0.59,4.41,5.22,0.48,4.45,5.12
87,1.435,0.60,4.73,5.01,0.60,4.60,5.10,0.56,4.67,4.96
89,1.468,0.64,4.93,4.90,0.61,4.82,4.95,0.64,4.89,4.78
91,1.502,0.68,5.16,4.78,0.62,5.04,4.80,—,—,—
93,1.535,0.70,5.41,4.64,0.63,5.27,4.66,0.72,5.22,4.65
95,1.568,0.72,5.65,4.50,0.64,5.52,4.49,0.77,5.43,4.58
97,1.602,0.73,5.85,4.41,0.67,5.76,4.38,0.80,5.69,4.45
99,1.635,0.73,6.07,4.32,0.69,5.99,4.27,—,—,—
101,1.668,0.73,6.31,4.19,0.71,6.24,4.16,—,—,—
103,1.702,0.72,6.51,4.10,0.73,6.48,4.04,—,—,—
105,1.735,0.71,6.73,4.01,0.75,6.70,3.94,0.76,6.56,4.00
107,1.768,0.70,6.91,3.95,0.77,6.87,3.93,0.71,6.72,3.95
109,1.802,0.70,7.22,3.78,0.78,7.14,3.79,0.67,7.02,3.76
111,1.835,0.68,7.45,3.68,0.77,7.32,3.76,0.63,7.29,3.66
113,1.869,0.65,7.66,3.60,0.75,7.57,3.68,0.61,7.54,3.59
115,1.902,0.62,7.89,3.53,0.70,7.78,3.62,0.59,7.76,3.52
117,1.935,0.57,8.06,3.49,0.65,7.99,3.54,0.57,8.03,3.41
119,1.969,0.52,8.33,3.37,0.59,8.20,3.45,—,—,—
121,2.002,0.46,8.50,3.33,0.53,8.44,3.33,—,—,—
123,2.035,0.39,8.70,3.25,0.47,8.65,3.22,—,—,—
125,2.069,0.31,8.91,3.18,0.38,8.80,3.18,—,—,—
127,2.102,0.22,9.15,3.06,0.29,9.04,3.05,—,—,—
129,2.135,0.14,9.36,2.98,0.20,9.28,2.93,—,—,—
131,2.169,0.04,9.63,2.82,0.10,9.48,2.87,—,—,—
133,2.202,-0.05,9.84,2.71,0.02,9.69,2.76,—,—,—
135,2.236,-0.15,9.99,2.68,-0.07,9.94,2.65,—,—,—
137,2.269,—,—,—,-0.16,10.12,2.59,—,—,—
139,2.302,—,—,—,-0.24,10.24,2.57,—,—,—
