,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.2833333333,0.1891978999,0.0139866069,-0.0409360892,0.0549364476,0.0542660411,-0.0042525542,0.0635881119,-0.0433923054,-0.0071161484,-0.0398544907,-0.0238646474,-0.0112696426,-0.3465380374,0.0119952164,0.0862127798
19,0.3,0.2993650832,0.0108893952,-0.1330105756,0.1781363401,0.0571763203,-0.1034954202,0.1722800763,-0.0273615989,-0.1022181352,0.0742705036,-0.0329467451,-0.1026956659,-0.2259740137,-0.0046253479,-0.0233042152
20,0.3166666667,0.4071587499,0.0076026392,-0.2234570858,0.2981339958,0.0593099991,-0.2004945224,0.278842092,-0.0114450013,-0.1956441144,0.1865287915,-0.0416217366,-0.1927870905,-0.1074793893,-0.0200891615,-0.1301309413
21,0.3333333333,0.5120786277,0.0034002655,-0.3120954853,0.4138836344,0.0597297848,-0.2945531838,0.3831857366,0.0040833706,-0.2872643357,0.2967439546,-0.0492583186,-0.2816765695,0.0087381356,-0.032509939,-0.2330350755
22,0.35,0.6141031423,-0.0018102435,-0.3990857149,0.5249034143,0.0579106298,-0.3854587638,0.4859510192,0.0191245989,-0.3773026868,0.4051945376,-0.0554490314,-0.3697678068,0.1228503692,-0.041362151,-0.3313228958
23,0.3666666667,0.7136369709,-0.0079360521,-0.4848251499,0.6313330997,0.0536898602,-0.4734182814,0.5881954035,0.0335510892,-0.4662239726,0.5124306641,-0.0599365148,-0.4575959339,0.235330378,-0.0466728171,-0.424814732
24,0.3833333333,0.8114121472,-0.0146820002,-0.5698378204,0.7338089768,0.0472717545,-0.5589554144,0.691149866,0.047184107,-0.554614284,0.6191578825,-0.0626030382,-0.5456956955,0.3468308912,-0.0490236464,-0.5137807752
25,0.4,0.9083884948,-0.021604914,-0.6546769719,0.8333504456,0.0391305882,-0.6427979858,0.7959847314,0.0597943321,-0.6430749435,0.7261197977,-0.0634228249,-0.6345024161,0.4580584571,-0.0493992767,-0.5988585982
26,0.4166666667,1.0056287919,-0.028215894,-0.7398412784,0.9312400433,0.0298528758,-0.7257636497,0.9036190472,0.0711294886,-0.7321272077,0.8339710448,-0.0624051101,-0.7242868143,0.5696512742,-0.0489386146,-0.6809500834
27,0.4333333333,1.1041517596,-0.0340782113,-0.8257107962,1.0288684159,0.0199874407,-0.8086492721,1.0145934479,0.0809546032,-0.822130522,0.9431661892,-0.0595580812,-0.8151237969,0.6820913497,-0.048689714,-0.7611008172
