,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,0.5166666667,0.2123291832,-0.0085063049,-0.0562130348,0.0454229577,-0.0746946661,-0.0117274704,0.0149442157,0.0287761342,0.0124548533,-0.1403084005,0.0621971866,0.0354361414,-0.0524467289,-0.0240510045,-0.016114014
33,0.5333333333,0.3419924539,-0.0077952923,-0.1610400608,0.1978577272,-0.0770124742,-0.1228559328,0.1387748419,0.0112149174,-0.0876597382,-0.000101217,0.0729317385,-0.068130676,0.0751726487,-0.0064730709,-0.1329699445
34,0.55,0.4699426107,-0.0069619024,-0.2642161917,0.3468969641,-0.0788519987,-0.23180698,0.2610973646,-0.0061981764,-0.1862192753,0.1378291497,0.0827945225,-0.1696988386,0.2011740093,0.0114732075,-0.2480139955
35,0.5666666667,0.5964386636,-0.0057034891,-0.3653710728,0.4914856588,-0.0795657393,-0.33783404,0.3825447858,-0.0233615905,-0.283074256,0.2728592024,0.0907184344,-0.2686024757,0.3259284698,0.0301212799,-0.360564671
36,0.5833333333,0.721888326,-0.0038934313,-0.4643199183,0.6311473126,-0.0786488209,-0.4405180734,0.5039002868,-0.0401877079,-0.378269188,0.4046403822,0.0959331487,-0.3644624595,0.4498802129,0.0497001915,-0.4700991138
37,0.6,0.8467766169,-0.0014506186,-0.5610156858,0.7659930678,-0.0757636891,-0.5397359877,0.6259649364,-0.0565645633,-0.4719776031,0.5330637016,0.0979414117,-0.4571831991,0.573486152,0.0702243001,-0.5762053209
38,0.6166666667,0.9716263933,0.0016398741,-0.6555212837,0.8966232474,-0.0707668833,-0.6356250565,0.7494978892,-0.0723328715,-0.5644545282,0.6583062414,0.0965500703,-0.546950056,0.6972056539,0.091459495,-0.6785692174
39,0.6333333333,1.0969717811,0.0053147093,-0.7479975289,1.0240073456,-0.0637026299,-0.7285500302,0.8751896665,-0.0872735559,-0.6560129985,0.7808597735,0.0918515495,-0.6342155997,0.8215257848,0.1129345633,-0.7770016098
40,0.65,1.2233250395,0.0094267756,-0.8386896034,1.1493511464,-0.0547724871,-0.8190612032,1.0036415816,-0.1011097837,-0.7470137719,0.901498921,0.0841706602,-0.7196540511,0.9469834046,0.1339964454,-0.871483272
41,0.6666666667,1.3511155155,0.0137494962,-0.9278944243,1.2739323362,-0.0442900953,-0.9078197955,1.1353083725,-0.1135250379,-0.8378395235,1.0211625424,0.0739940198,-0.8040709845,1.0741314422,0.1538927307,-0.9621889541
42,0.6833333333,1.4806128814,0.0180014798,-1.0159205588,1.39890888,-0.0326248908,-0.9954940865,1.270404975,-0.1241948897,-0.9288486161,1.140786312,0.0618916416,-0.8882965424,1.203435657,0.1718547979,-1.0494804792
43,0.7,1.6118745253,0.0218936637,-1.1030651888,1.5251466347,-0.0201441858,-1.0826632307,1.4088304357,-0.1328233608,-1.0203328837,1.2611757425,0.0484386833,-0.9731060245,1.3351485307,0.1871640628,-1.1338893443
44,0.7166666667,1.7447369334,0.0251850117,-1.1896077818,1.6531136569,-0.0071693138,-1.1697591964,1.5501502322,-0.1391722704,-1.1124929939,1.3829743925,0.034148519,-1.0591727374,1.4692172978,0.1992011187,-1.2160950165
45,0.7333333333,1.8788389968,0.0277261475,-1.2757991242,1.7828593576,0.006042492,-1.257048501,1.6936319726,-0.143076286,-1.2054206587,1.5067078157,0.0194277267,-1.1470222283,1.6052548982,0.2074859872,-1.2968789387
46,0.75,2.0136584411,0.029475922,-1.3618330591,1.9140703213,0.0192885234,-1.3446378217,1.8383001562,-0.1444423385,-1.2990728973,1.6328449152,0.0045594927,-1.2369677835,1.7425750516,0.2117127229,-1.3770348961
47,0.7666666667,2.148552227,0.030489586,-1.4478070522,2.046168533,0.0323925101,-1.4324806381,1.9829858237,-0.143237426,-1.3932376923,1.7618210361,-0.0102848694,-1.3290386598,1.8802658205,0.2117699848,-1.4572380024
48,0.7833333333,2.2828022497,0.0308913099,-1.5336881438,2.1784076219,0.0451751001,-1.5203707822,2.1263894066,-0.1394733307,-1.4875117146,1.8940005454,-0.0250143684,-1.422933386,2.0172660052,0.207733888,-1.5379047361
49,0.8,2.4156807236,0.0308456388,-1.6193059476,2.3099635066,0.0574360579,-1.6079440061,2.2671983808,-0.1331975524,-1.5813214186,2.0296092784,-0.0395750811,-1.5180352748,2.1524473255,0.1998275122,-1.6191051684
50,0.8166666667,2.5465475127,0.0305309171,-1.7043846852,2.4400568877,0.0689484973,-1.6947276483,2.4042647095,-0.1244958227,-1.6739995255,2.168680388,-0.0538965457,-1.6135042998,2.284742492,0.1883568251,-1.7005808207
