,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.25,0.2339227116,-0.0303875043,-0.1110884578,0.101239387,0.027459606,-0.058386598,0.0372969067,0.0578743127,-0.0430003045,-0.1130238305,-0.0636682868,0.0974916293,-0.2849476379,-0.0129437594,0.1188790041
17,0.2666666667,0.3451232367,-0.0301412499,-0.2110686195,0.2075066474,0.0188949266,-0.1541192151,0.1452796186,0.0737237495,-0.1420067926,0.039666975,-0.0588831592,-0.0377388296,-0.1793625363,-0.0373297841,0.0268727593
18,0.2833333333,0.4542704768,-0.0298214381,-0.3095136302,0.3119297042,0.0102323599,-0.2484759522,0.2521880239,0.0888699937,-0.2397854351,0.1864678558,-0.0537460733,-0.1685266753,-0.0750798614,-0.0608911223,-0.0631092761
19,0.3,0.5610818763,-0.0295730965,-0.4062451464,0.4145842261,0.0012534634,-0.34155932,0.3585321696,0.1024130822,-0.3364343071,0.3238727867,-0.0476647543,-0.292433755,0.0282115474,-0.0824304862,-0.1508102875
20,0.3166666667,0.6657238669,-0.0292375744,-0.5012914464,0.5158224698,-0.0080818787,-0.4336525201,0.4646655383,0.1136069096,-0.4321201506,0.4500185573,-0.0402899655,-0.4081944596,0.1309430939,-0.1012325564,-0.2363392322
21,0.3333333333,0.7687163844,-0.028682305,-0.5948401831,0.6162352834,-0.0177504429,-0.5251470883,0.570741193,0.1218695847,-0.5270001887,0.5647096539,-0.0314038,-0.5157279313,0.2335391917,-0.1167483786,-0.3201647463
22,0.35,0.8708160096,-0.027836991,-0.68718493,0.7165799812,-0.027666204,-0.6164908413,0.6767119306,0.1268263712,-0.6211931968,0.6692039677,-0.0209367585,-0.6159247769,0.3363482463,-0.1286098263,-0.4030908828
23,0.3666666667,0.9728486234,-0.0266960993,-0.7786514382,0.8176895558,-0.0376840101,-0.7081322143,0.7824036561,0.1283264473,-0.7147798416,0.7657939169,-0.0089692532,-0.7103075735,0.43960574,-0.1366502686,-0.4861708052
24,0.3833333333,1.0755651501,-0.0252849773,-0.8695363177,0.9203850494,-0.0476027213,-0.8004639393,0.8876388903,0.126426277,-0.8078301496,0.8573333232,0.0042839104,-0.8006781095,0.5434428853,-0.1409299548,-0.5705577268
25,0.4,1.1795744792,-0.0236182681,-0.960092108,1.025406811,-0.0571684804,-0.893779894,0.992380185,0.1213437284,-0.9004480279,0.946821774,0.0184954181,-0.8888342156,0.6479280624,-0.1417230641,-0.6573280803
26,0.4166666667,1.2853268709,-0.0216885114,-1.050542813,1.1333344461,-0.0660855658,-0.9882386979,1.0968214367,0.113395322,-0.9927946466,1.0370712308,0.033250513,-0.9763718462,0.7530747307,-0.139432027,-0.7473034368
27,0.4333333333,1.3931089584,-0.0194881799,-1.1410923929,1.2444887173,-0.0740412801,-1.0838290023,1.2013766304,0.1029352513,-1.0850673955,1.1304519716,0.0480826213,-1.0645559752,0.8588090856,-0.1344650051,-0.8409027425
28,0.45,1.5030457114,-0.0170304978,-1.2319128729,1.3588643392,-0.0807384362,-1.1803557606,1.3065848256,0.0903151338,-1.1774522426,1.228724527,0.0625138619,-1.1542562749,0.9649824805,-0.1271506213,-0.9380783798
29,0.4666666667,1.615098004,-0.014344941,-1.3231167597,1.4761225572,-0.085920116,-1.2774635656,1.4129765188,0.0758706083,-1.2700740854,1.3329425224,0.0760815042,-1.2459424179,1.0714572075,-0.117719052,-1.038358537
30,0.4833333333,1.7290404504,-0.0114581794,-1.4147222187,1.5956214467,-0.0893792101,-1.3746861263,1.5209405368,0.0599253478,-1.3629558963,1.4434040761,0.0883442137,-1.3397168193,1.1781820705,-0.1063225236,-1.1409543413
31,0.5,1.8444396945,-0.0083804123,-1.5066251712,1.7164629532,-0.0909588215,-1.4714992584,1.6306330315,0.0428002723,-1.4559976534,1.5596596239,0.098880943,-1.435360366,1.2851876522,-0.0930643754,-1.2448768896
32,0.5166666667,1.9606650437,-0.0051033941,-1.5985918197,1.8375622189,-0.0905532346,-1.5673652781,1.7419570757,0.0248225473,-1.5489873517,1.6805934708,0.1072977711,-1.5323787079,1.3925228671,-0.0780307736,-1.3490455205
33,0.5333333333,2.0769485491,-0.0016087601,-1.6902821184,1.9577591101,-0.0881141842,-1.6617760258,1.8546160318,0.0063333352,-1.6416490874,1.8045881281,0.1132495064,-1.6300581916,1.5002010922,-0.0613285548,-1.4523976431
34,0.55,2.1925086236,0.0021117856,-1.7813109668,2.0759883575,-0.0836633898,-1.7543109784,1.9682321118,-0.0123067607,-1.733721899,1.9297823976,0.1164744081,-1.7275560976,1.6082092926,-0.0431203009,-1.5540056656
35,0.5666666667,2.3067202965,0.0060263779,-1.8713308573,2.1914818213,-0.0773081129,-1.8447072395,2.0824938787,-0.0307152684,-1.8250415071,2.054401904,0.1168316539,-1.8240302711,1.7165799414,-0.0236429232,-1.653177162
36,0.5833333333,2.4192617162,0.0100370566,-1.9600994101,2.3039249807,-0.0692485028,-1.9329115094,2.1972646046,-0.0484890728,-1.9155856119,2.1770772942,0.1143259501,-1.9187783781,1.8254734662,-0.0032138055,-1.7495010833
37,0.6,2.5301798357,0.0139735625,-2.0475152059,2.4135098316,-0.0597647347,-2.0190920694,2.3126140372,-0.0652118027,-2.0054693006,2.2970535233,0.1091101957,-2.0113504959,1.9352221717,0.0177591207,-1.8428317349
38,0.6166666667,2.6398800494,0.0176100106,-2.1336315624,2.5208901375,-0.0491834587,-2.1036117409,2.4287911196,-0.0804697563,-2.0949050132,2.4142394613,0.1014681671,-2.1016086075,2.0463213745,0.0387600853,-1.93323269
39,0.6333333333,2.7490520422,0.0206979434,-2.2186440404,2.6270569652,-0.0378345316,-2.1869601476,2.5461486168,-0.0938749425,-2.1841332524,2.529093154,0.0917828457,-2.1897110311,2.1593551689,0.0591553135,-2.0208959327
