,,,head,,,quarter,,,mid,,,three quarters,,,vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,0.2666666667,0.1547068454,0.0326102157,-0.0294271586,0.0750451917,-0.0401942247,-0.0077603556,-0.0277076814,0.0491635562,-0.0113897141,-0.0866738834,0.0309823142,0.0460477724,-0.0760340992,-0.112513507,-0.0243682468
18,0.2833333333,0.2709259956,0.0352156047,-0.1143373179,0.1960350425,-0.035802339,-0.0963949589,0.0845342948,0.035040509,-0.0922527621,0.0291635412,0.0368552518,-0.0401105101,0.0306383799,-0.1074024484,-0.1023309474
19,0.3,0.3850733506,0.0377615915,-0.197967072,0.3149812839,-0.0313834584,-0.1835880351,0.1954555633,0.0209775088,-0.1721634637,0.1435945749,0.0426205318,-0.1251975677,0.135992634,-0.1021907558,-0.1795462983
20,0.3166666667,0.4970727104,0.040102651,-0.2801972647,0.4316952386,-0.0268093314,-0.2690796767,0.3056418618,0.0070161173,-0.2513268112,0.2569538823,0.0480224264,-0.2092993186,0.2403855774,-0.0965610757,-0.2565361966
21,0.3333333333,0.6072867793,0.0421701336,-0.3611294069,0.5463590816,-0.0219252896,-0.3528399355,0.4158303459,-0.0067799863,-0.330048415,0.3696074701,0.0527375479,-0.2925897855,0.3442884579,-0.0902346777,-0.3338790647
22,0.35,0.7164408179,0.0439045135,-0.441012979,0.6594090928,-0.016599696,-0.4349967177,0.5268266034,-0.0202963943,-0.4086595805,0.4818726156,0.056428247,-0.3752556732,0.4481758283,-0.0829688269,-0.4121097385
23,0.3666666667,0.8254953809,0.0452340613,-0.5201680567,0.7714187795,-0.0107478118,-0.5157589393,0.6394295196,-0.0333631159,-0.4874664469,0.5940022903,0.058781699,-0.457451757,0.5525119815,-0.0745756038,-0.4916518168
24,0.3833333333,0.9354758759,0.0460591672,-0.5989019791,0.8829944535,-0.0043494419,-0.5953516107,0.7543430352,-0.0457646953,-0.5667076724,0.7062175095,0.0595539965,-0.5392775966,0.6577531254,-0.0649388859,-0.572771785
25,0.4,1.0472804121,0.0462534211,-0.6774290624,0.9947012634,0.0025493664,-0.6739727343,0.8720674921,-0.0572636172,-0.6465149506,0.8187525875,0.0586032382,-0.6207688649,0.7643421819,-0.0540313959,-0.6555516326
26,0.4166666667,1.1615127082,0.0456775624,-0.7558153441,1.1070203326,0.0098503995,-0.7517725269,0.9928009836,-0.0676292484,-0.7268871163,0.9318755448,0.0559034342,-0.701896086,0.8726879765,-0.041926733,-0.7398801843
27,0.4333333333,1.2783802048,0.0441973502,-0.8339649869,1.2203253259,0.0174236166,-0.8288473171,1.1163925523,-0.0766625339,-0.8076925578,1.0458591751,0.0515407789,-0.7825621805,0.9831305267,-0.0288010735,-0.8254606822
28,0.45,1.3976739169,0.0417017502,-0.9116476799,1.3348650815,0.0251235524,-0.9052391765,1.242367561,-0.0842101264,-0.8886997386,1.1609092997,0.0456982408,-0.8625959044,1.0959015383,-0.0149250838,-0.9118296427
29,0.4666666667,1.518827748,0.0381223048,-0.9885552381,1.4507491192,0.0327970627,-0.9809404912,1.3700143759,-0.0901662965,-0.9696199917,1.2770909387,0.0386329426,-0.9417514367,1.2110981963,-0.0006497223,-0.9983863877
30,0.4833333333,1.641043167,0.0334533463,-1.0643734112,1.5679473686,0.0402839949,-1.0559104506,1.4985085651,-0.0944645133,-1.0501490479,1.3943015443,0.0306478591,-1.0197293574,1.3286912363,0.0136119722,-1.0844405347
31,0.5,1.7634546182,0.0277679892,-1.138854177,1.6863153414,0.0474153731,-1.1301046376,1.6270514575,-0.0970633811,-1.1300054612,1.5123093031,0.022060034,-1.0962230794,1.4485673011,0.0274079587,-1.1692809259
32,0.5166666667,1.8852975234,0.0212214445,-1.2118719276,1.8056357675,0.0540131629,-1.2035043812,1.7549903583,-0.0979336323,-1.2089644687,1.6308322489,0.0131708534,-1.1709811213,1.5705747423,0.0402777874,-1.2522532578
