Trial:     892,,Trajectory,,Snake ID: 44,,Mass: 16 g,,SVL: 54 cm,,Tail: 19 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,—,—,—,—,—,—,—,—,—
3,0.033,—,—,—,—,—,—,—,—,—
5,0.067,—,—,—,—,—,—,—,—,—
7,0.100,—,—,—,—,—,—,—,—,—
9,0.133,—,—,—,—,—,—,—,—,—
11,0.167,—,—,—,—,—,—,—,—,—
13,0.200,—,—,—,—,—,—,—,—,—
15,0.234,—,—,—,—,—,—,—,—,—
17,0.267,—,—,—,—,—,—,—,—,—
19,0.300,—,—,—,—,—,—,—,—,—
21,0.334,—,—,—,—,—,—,—,—,—
23,0.367,—,—,—,—,—,—,—,—,—
25,0.400,—,—,—,—,—,—,—,—,—
27,0.434,—,—,—,—,—,—,—,—,—
29,0.467,—,—,—,—,—,—,—,—,—
31,0.501,—,—,—,—,—,—,—,—,—
33,0.534,—,—,—,—,—,—,—,—,—
35,0.567,—,—,—,—,—,—,—,—,—
37,0.601,—,—,—,—,—,—,—,—,—
39,0.634,—,—,—,—,—,—,—,—,—
41,0.667,—,—,—,—,—,—,—,—,—
43,0.701,—,—,—,—,—,—,—,—,—
45,0.734,—,—,—,—,—,—,—,—,—
47,0.767,—,—,—,—,—,—,—,—,—
49,0.801,—,—,—,—,—,—,—,—,—
51,0.834,—,—,—,—,—,—,—,—,—
53,0.868,—,—,—,—,—,—,—,—,—
55,0.901,—,—,—,—,—,—,—,—,—
57,0.934,—,—,—,—,—,—,—,—,—
59,0.968,—,—,—,—,—,—,—,—,—
61,1.001,—,—,—,-0.34,4.88,5.06,-0.23,4.86,5.01
63,1.034,—,—,—,-0.36,5.00,4.92,-0.20,4.99,4.87
65,1.068,—,—,—,-0.37,5.13,4.79,-0.19,5.13,4.72
67,1.101,—,—,—,-0.36,5.25,4.67,-0.20,5.26,4.60
69,1.134,—,—,—,-0.33,5.37,4.54,-0.21,5.38,4.48
71,1.168,—,—,—,-0.32,5.50,4.40,-0.24,5.51,4.34
73,1.201,—,—,—,-0.31,5.62,4.26,-0.25,5.62,4.21
75,1.235,—,—,—,-0.28,5.74,4.14,-0.26,5.74,4.09
77,1.268,—,—,—,-0.24,5.87,4.00,-0.27,5.87,3.96
79,1.301,—,—,—,-0.21,6.02,3.85,-0.30,6.01,3.83
81,1.335,-0.25,6.30,3.71,-0.17,6.18,3.71,-0.33,6.16,3.70
83,1.368,-0.22,6.46,3.56,-0.12,6.36,3.56,-0.34,6.33,3.58
85,1.401,-0.20,6.60,3.43,-0.09,6.52,3.42,-0.33,6.47,3.45
87,1.435,-0.18,6.80,3.28,-0.07,6.72,3.26,-0.29,6.66,3.29
89,1.468,-0.16,6.95,3.14,-0.07,6.87,3.13,-0.25,6.81,3.16
91,1.502,-0.15,7.09,3.01,-0.07,7.02,3.01,-0.21,6.96,3.02
93,1.535,-0.11,7.26,2.87,-0.05,7.19,2.87,-0.17,7.13,2.89
95,1.568,-0.08,7.45,2.74,-0.04,7.38,2.75,-0.13,7.31,2.75
97,1.602,-0.05,7.61,2.61,-0.05,7.54,2.63,-0.09,7.46,2.62
99,1.635,-0.01,7.80,2.49,-0.05,7.70,2.50,-0.04,7.64,2.50
101,1.668,0.02,8.01,2.35,-0.05,7.90,2.34,0.03,7.83,2.35
103,1.702,0.02,8.19,2.24,-0.07,8.11,2.20,0.07,8.04,2.23
105,1.735,0.03,8.39,2.11,-0.09,8.28,2.10,0.14,8.20,2.14
107,1.768,0.03,8.59,1.99,-0.10,8.48,1.98,0.17,8.45,1.99
109,1.802,0.04,8.77,1.88,-0.08,8.69,1.85,0.17,8.65,1.83
111,1.835,0.05,8.94,1.76,-0.06,8.86,1.74,0.16,8.85,1.68
113,1.869,0.06,9.16,1.63,-0.03,9.07,1.61,0.15,9.03,1.56
115,1.902,0.06,9.35,1.51,0.00,9.24,1.51,0.14,9.21,1.43
117,1.935,0.06,9.53,1.39,0.03,9.43,1.39,0.13,9.45,1.28
119,1.969,0.07,9.72,1.28,0.07,9.61,1.29,0.12,9.62,1.18
121,2.002,0.08,9.94,1.14,0.12,9.80,1.16,0.10,9.85,1.03
123,2.035,0.10,10.14,1.05,0.17,10.00,1.06,0.08,10.03,0.94
125,2.069,0.12,10.30,0.97,0.23,10.21,0.95,0.07,10.17,0.88
127,2.102,0.15,10.60,0.80,0.27,10.41,0.86,0.05,10.41,0.75
129,2.135,0.18,10.76,0.72,0.30,10.68,0.75,0.06,10.60,0.67
131,2.169,0.21,10.96,0.62,0.31,10.89,0.64,0.10,10.79,0.59
133,2.202,0.21,11.14,0.53,0.31,11.10,0.51,0.14,10.99,0.49
135,2.236,0.23,11.35,0.42,0.30,11.28,0.43,0.18,11.22,0.38
137,2.269,0.24,11.56,0.32,0.30,11.48,0.31,—,—,—
139,2.302,—,—,—,0.29,11.65,0.23,—,—,—
141,2.336,—,—,—,0.28,11.91,0.09,—,—,—
143,2.369,—,—,—,0.27,12.11,-0.02,—,—,—
