Trial:     776,,Trajectory,,Snake ID: 35,,Mass: 27 g,,SVL: 63 cm,,Tail: 21 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,0.13,1.40,9.74,0.10,1.23,9.70,0.06,1.05,9.65
3,0.033,0.14,1.44,9.72,0.11,1.27,9.70,0.07,1.10,9.65
5,0.067,0.15,1.48,9.69,0.11,1.32,9.67,0.10,1.15,9.63
7,0.100,0.16,1.53,9.63,0.11,1.38,9.63,0.13,1.20,9.60
9,0.133,0.17,1.58,9.58,0.12,1.44,9.58,0.16,1.26,9.57
11,0.167,0.18,1.63,9.52,0.13,1.50,9.52,0.19,1.31,9.54
13,0.200,0.20,1.69,9.45,0.14,1.57,9.45,0.22,1.38,9.50
15,0.234,0.21,1.75,9.38,0.15,1.64,9.37,0.25,1.46,9.44
17,0.267,0.21,1.79,9.32,0.17,1.68,9.32,0.27,1.51,9.41
19,0.300,0.23,1.86,9.23,0.19,1.75,9.23,0.29,1.60,9.34
21,0.334,0.24,1.91,9.14,0.22,1.81,9.16,0.31,1.67,9.27
23,0.367,0.26,1.98,9.05,0.24,1.87,9.07,0.34,1.75,9.19
25,0.400,0.27,2.04,8.95,0.27,1.94,8.98,—,—,—
27,0.434,0.29,2.12,8.84,0.30,2.01,8.88,—,—,—
29,0.467,0.30,2.20,8.72,0.34,2.09,8.77,—,—,—
31,0.501,0.31,2.28,8.60,0.38,2.18,8.64,—,—,—
33,0.534,0.33,2.37,8.48,0.41,2.26,8.52,—,—,—
35,0.567,0.35,2.48,8.33,0.45,2.36,8.38,0.42,2.30,8.49
37,0.601,0.37,2.56,8.20,0.48,2.46,8.25,0.43,2.39,8.36
39,0.634,0.40,2.66,8.07,0.50,2.56,8.11,0.43,2.45,8.22
41,0.667,0.43,2.77,7.91,0.52,2.68,7.95,0.42,2.55,8.05
43,0.701,0.45,2.88,7.76,0.53,2.80,7.80,0.43,2.67,7.86
45,0.734,0.49,3.00,7.61,0.54,2.91,7.66,0.44,2.79,7.69
47,0.767,0.51,3.13,7.44,0.55,3.04,7.49,0.47,2.93,7.49
49,0.801,0.54,3.27,7.28,0.56,3.15,7.35,0.50,3.08,7.29
51,0.834,0.57,3.42,7.11,0.56,3.27,7.19,0.54,3.23,7.09
53,0.868,0.59,3.52,6.99,0.56,3.41,7.02,0.58,3.38,6.93
55,0.901,0.62,3.68,6.80,0.56,3.55,6.85,0.61,3.54,6.75
57,0.934,0.64,3.84,6.64,0.56,3.71,6.67,0.64,3.69,6.60
59,0.968,0.66,3.99,6.47,0.56,3.89,6.48,0.67,3.88,6.38
61,1.001,0.68,4.17,6.30,0.56,4.07,6.29,0.68,4.04,6.21
63,1.034,0.69,4.35,6.11,0.58,4.29,6.09,0.71,4.20,6.03
65,1.068,0.70,4.55,5.90,0.61,4.50,5.88,0.75,4.39,5.84
67,1.101,0.72,4.76,5.70,0.64,4.70,5.69,0.76,4.57,5.67
69,1.134,0.72,4.91,5.57,0.68,4.88,5.52,0.76,4.77,5.50
71,1.168,0.72,5.09,5.42,0.71,5.07,5.35,0.75,4.96,5.34
73,1.201,0.74,5.37,5.17,0.75,5.27,5.18,0.74,5.18,5.15
75,1.235,0.74,5.56,5.01,0.78,5.50,4.98,0.73,5.38,5.00
77,1.268,0.74,5.79,4.85,0.81,5.70,4.83,0.73,5.58,4.84
79,1.301,0.73,5.99,4.67,0.83,5.93,4.66,0.72,5.81,4.65
81,1.335,0.73,6.23,4.49,0.84,6.16,4.52,0.72,6.03,4.48
83,1.368,0.72,6.48,4.30,0.85,6.40,4.37,0.71,6.27,4.31
85,1.401,0.70,6.69,4.17,0.84,6.65,4.20,0.70,6.53,4.10
87,1.435,0.69,6.93,4.01,0.81,6.85,4.09,0.69,6.79,3.90
89,1.468,0.66,7.17,3.87,0.78,7.10,3.91,0.69,7.03,3.74
91,1.502,0.64,7.45,3.66,0.74,7.34,3.74,0.69,7.32,3.53
93,1.535,0.61,7.72,3.50,0.69,7.60,3.57,0.67,7.56,3.41
95,1.568,0.57,7.96,3.36,0.63,7.83,3.42,0.66,7.88,3.19
97,1.602,0.53,8.16,3.26,0.56,8.03,3.30,0.63,8.10,3.09
99,1.635,0.48,8.49,3.06,0.49,8.29,3.12,0.58,8.32,2.99
101,1.668,0.42,8.71,2.95,0.42,8.51,2.99,—,—,—
103,1.702,0.36,8.90,2.87,0.34,8.81,2.80,—,—,—
105,1.735,0.29,9.19,2.70,0.26,9.01,2.71,—,—,—
107,1.768,0.22,9.42,2.59,0.17,9.32,2.53,0.38,9.38,2.45
109,1.802,0.15,9.70,2.43,0.10,9.54,2.44,0.33,9.58,2.37
111,1.835,—,—,—,0.02,9.82,2.31,0.26,9.86,2.22
113,1.869,—,—,—,-0.04,10.08,2.18,0.18,10.06,2.13
115,1.902,—,—,—,-0.09,10.38,2.03,0.09,10.36,1.97
117,1.935,—,—,—,-0.14,10.58,1.96,0.02,10.59,1.86
119,1.969,—,—,—,-0.18,11.03,1.69,—,—,—
121,2.002,—,—,—,-0.21,11.22,1.65,—,—,—
