Trial:     779,,Trajectory,,Snake ID: 41,,Mass: 3 g,,SVL: 31 cm,,Tail: 10 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,-0.10,1.12,9.64,-0.05,1.05,9.61,-0.01,0.96,9.62
3,0.033,-0.12,1.16,9.61,-0.08,1.08,9.60,-0.04,0.98,9.61
5,0.067,-0.14,1.20,9.59,-0.10,1.11,9.59,-0.07,1.02,9.58
7,0.100,-0.15,1.23,9.55,-0.13,1.14,9.56,-0.09,1.06,9.55
9,0.133,-0.17,1.26,9.52,-0.16,1.18,9.52,-0.11,1.10,9.53
11,0.167,-0.19,1.30,9.47,-0.19,1.23,9.46,-0.13,1.14,9.49
13,0.200,-0.21,1.33,9.42,-0.21,1.27,9.41,-0.15,1.19,9.45
15,0.234,-0.24,1.37,9.36,-0.23,1.32,9.35,-0.18,1.24,9.40
17,0.267,-0.27,1.41,9.29,-0.25,1.36,9.29,-0.21,1.29,9.34
19,0.300,-0.29,1.46,9.22,-0.28,1.42,9.22,-0.23,1.34,9.27
21,0.334,-0.33,1.51,9.14,-0.31,1.47,9.15,-0.27,1.40,9.20
23,0.367,-0.36,1.56,9.06,-0.33,1.52,9.08,-0.30,1.46,9.12
25,0.400,-0.40,1.62,8.97,-0.36,1.58,9.00,-0.34,1.52,9.04
27,0.434,-0.44,1.67,8.88,-0.39,1.64,8.91,-0.38,1.58,8.95
29,0.467,-0.48,1.74,8.78,-0.43,1.71,8.82,-0.43,1.64,8.87
31,0.501,-0.52,1.81,8.69,-0.46,1.78,8.74,-0.48,1.70,8.78
33,0.534,-0.56,1.87,8.59,-0.50,1.86,8.63,—,—,—
35,0.567,-0.61,1.95,8.49,-0.54,1.92,8.53,—,—,—
37,0.601,-0.66,2.04,8.36,-0.59,2.00,8.42,—,—,—
39,0.634,-0.71,2.12,8.25,-0.64,2.08,8.30,-0.67,2.01,8.31
41,0.667,-0.76,2.21,8.13,-0.70,2.15,8.19,-0.72,2.11,8.19
43,0.701,-0.80,2.30,8.01,-0.76,2.24,8.07,-0.76,2.21,8.05
45,0.734,-0.85,2.39,7.89,-0.82,2.33,7.94,-0.80,2.31,7.93
47,0.767,-0.91,2.49,7.75,-0.88,2.42,7.81,-0.83,2.40,7.82
49,0.801,-0.96,2.59,7.62,-0.94,2.51,7.68,-0.88,2.52,7.67
51,0.834,-1.01,2.69,7.50,-1.00,2.61,7.53,-0.92,2.61,7.55
53,0.868,-1.07,2.82,7.34,-1.06,2.71,7.41,-0.97,2.72,7.43
55,0.901,-1.14,2.92,7.22,-1.13,2.83,7.27,-1.02,2.82,7.33
57,0.934,-1.20,3.04,7.07,-1.20,2.97,7.11,—,—,—
59,0.968,-1.26,3.15,6.94,-1.26,3.09,6.96,—,—,—
61,1.001,-1.34,3.29,6.79,-1.32,3.22,6.80,—,—,—
63,1.034,-1.41,3.40,6.67,-1.38,3.35,6.67,—,—,—
65,1.068,-1.48,3.53,6.51,-1.45,3.51,6.51,—,—,—
67,1.101,-1.56,3.66,6.37,-1.50,3.63,6.38,-1.50,3.52,6.43
69,1.134,-1.64,3.81,6.21,-1.57,3.78,6.22,-1.59,3.66,6.29
71,1.168,-1.72,3.96,6.06,-1.64,3.92,6.08,-1.68,3.82,6.14
73,1.201,-1.79,4.12,5.90,-1.71,4.08,5.93,—,—,—
75,1.235,-1.87,4.29,5.73,-1.78,4.22,5.80,—,—,—
77,1.268,-1.94,4.44,5.60,-1.87,4.37,5.66,—,—,—
79,1.301,-2.01,4.58,5.47,-1.95,4.51,5.53,—,—,—
81,1.335,-2.09,4.75,5.31,-2.03,4.65,5.39,-2.06,4.64,5.31
83,1.368,-2.15,4.88,5.22,-2.12,4.80,5.25,—,—,—
85,1.401,-2.23,5.07,5.04,-2.20,4.94,5.13,-2.16,4.94,5.06
87,1.435,-2.32,5.25,4.88,-2.30,5.12,4.97,-2.24,5.11,4.93
89,1.468,-2.39,5.42,4.75,-2.39,5.29,4.82,-2.32,5.29,4.79
91,1.502,—,—,—,-2.49,5.49,4.65,—,—,—
93,1.535,-2.55,5.77,4.47,-2.58,5.71,4.46,—,—,—
95,1.568,-2.63,5.93,4.34,-2.65,5.87,4.34,—,—,—
97,1.602,—,—,—,-2.72,6.07,4.20,—,—,—
99,1.635,—,—,—,-2.80,6.27,4.03,-2.77,6.15,4.09
101,1.668,—,—,—,-2.88,6.48,3.88,-2.85,6.35,3.97
103,1.702,—,—,—,-2.94,6.65,3.78,-2.95,6.54,3.84
105,1.735,—,—,—,-2.99,6.80,3.72,—,—,—
107,1.768,—,—,—,—,—,—,—,—,—
109,1.802,—,—,—,—,—,—,—,—,—
111,1.835,—,—,—,-3.25,7.48,3.25,—,—,—
113,1.869,—,—,—,-3.31,7.60,3.19,—,—,—
115,1.902,—,—,—,-3.39,7.78,3.09,—,—,—
117,1.935,—,—,—,-3.51,8.03,2.90,—,—,—
119,1.969,—,—,—,-3.55,8.08,2.93,—,—,—
121,2.002,—,—,—,-3.65,8.36,2.74,—,—,—
123,2.035,—,—,—,-3.76,8.59,2.57,—,—,—
125,2.069,—,—,—,-3.80,8.72,2.54,—,—,—
127,2.102,—,—,—,-3.92,9.00,2.34,—,—,—
129,2.135,—,—,—,-4.00,9.29,2.17,—,—,—
131,2.169,—,—,—,-4.06,9.53,2.03,—,—,—
