,,,Head,,,Quarter,,,Mid,,,Three quarter,,,Vent,
N,T,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,0.95,6.1939382887,0.0214550944,-4.0045019281,6.0895200126,0.0094579759,-3.9945824247,6.0369611386,-0.1201243845,-3.9919596909,5.9904213655,0.0403614329,-4.0140630419,5.8520031918,0.1191548569,-3.9894646424
59,0.9666666667,6.320169137,0.0183791917,-4.0716812307,6.2129448027,0.0209239361,-4.0605440165,6.1675910346,-0.1232157063,-4.0577145434,6.1128895841,0.0269582585,-4.0793696927,5.9835867883,0.1322878319,-4.0573329519
60,0.9833333333,6.4449516346,0.0148860144,-4.1375859887,6.3355540505,0.0321714208,-4.1257953572,6.2959335181,-0.1237514951,-4.1224034891,6.2326361714,0.0135900429,-4.1420673608,6.1184603716,0.1410940484,-4.124024998
61,1,6.5687137807,0.0110610625,-4.2025368014,6.4582890171,0.0429201789,-4.1908397569,6.4224702618,-0.1216426133,-4.1866701028,6.3507404959,0.000473529,-4.2030464075,6.2568869311,0.1454367483,-4.1901409464
62,1.0166666667,6.69181486,0.0070408597,-4.2667811816,6.5818783756,0.0528802074,-4.2560276977,6.5475953329,-0.1168975574,-4.2510087632,6.4681551571,-0.0122635905,-4.2631258768,6.3982898472,0.1455210213,-4.2559748029
63,1.0333333333,6.8145561736,0.002989513,-4.3304895108,6.7067681276,0.0617591678,-4.3215265277,6.6715873474,-0.1096244754,-4.3157322891,6.5856830877,-0.0245650367,-4.3229891796,6.5414941799,0.1418711756,-4.3215560675
64,1.05,6.9372013499,-0.0009360682,-4.3937622552,6.8331007037,0.0692740006,-4.3873194509,6.7946214706,-0.1000219504,-4.3809633306,6.7039854458,-0.0364138948,-4.3831467431,6.6850993907,0.1352597575,-4.3867630155
65,1.0666666667,7.0599887194,-0.0046159231,-4.4566457638,6.9607418282,0.0751684342,-4.453238068,6.9168098306,-0.0883586457,-4.4466465515,6.823602133,-0.0477927126,-4.4439247672,6.8277885383,0.1265817714,-4.4514297601
66,1.0833333333,7.1831256615,-0.0079840434,-4.5191524483,7.0893412926,0.079233679,-4.5190190199,7.0382509087,-0.0749456974,-4.5125792188,6.9449675607,-0.0586444973,-4.505477287,6.968483955,0.1166970747,-4.5154094327
67,1.1,7.3067697279,-0.0110344121,-4.5812796208,7.2184130683,0.0813268165,-4.5843682873,7.1590717,-0.0601079857,-4.5784560727,7.0684118905,-0.0688414785,-4.5678172599,7.106373759,0.1062797076,-4.5785994063
68,1.1166666667,7.4310070366,-0.0138184192,-4.643024867,7.3474227565,0.0813814905,-4.6490186588,7.27945427,-0.0441606022,-4.6439221965,7.1941480203,-0.0781681072,-4.6308600519,7.2408876605,0.0957128569,-4.6409534951
69,1.1333333333,7.5558384197,-0.0164328281,-4.7043988676,7.4758682628,0.0794088401,-4.7127698542,7.3996441382,-0.0273961468,-4.7086268895,7.3222499363,-0.0863250309,-4.6944686499,7.3716899326,0.0850575033,-4.7025002682
70,1.15,7.6811857463,-0.0189972193,-4.7654332439,7.6033434896,0.0754916489,-4.7755049932,7.5199428083,-0.0100862754,-4.7722712356,7.4526317513,-0.0929554134,-4.7584869714,7.4987042844,0.0740972991,-4.7633638171
71,1.1666666667,7.8069237439,-0.0216217388,-4.8261768544,7.7295854939,0.0697770434,-4.8371841832,7.6406888923,0.0075039538,-4.8346418999,7.5850383844,-0.0976873987,-4.8227526102,7.6221408506,0.0624345417,-4.8237666596
72,1.1833333333,7.9329245362,-0.0243690829,-4.8866759532,7.8545056614,0.0624695635,-4.8978228407,7.762229635,0.0250958639,-4.8956266464,7.7190514207,-0.1001835792,-4.8870912774,7.7424950031,0.0496053865,-4.8840013411
73,1.2,8.0590945369,-0.0272194849,-4.9469407562,7.9781966305,0.0538204933,-4.9574626285,7.8848823991,0.0423801502,-4.9552119727,7.8541044927,-0.100187958,-4.9513009731,7.8605107721,0.0351941139,-4.9443748096
74,1.2166666667,8.1853934657,-0.030051697,-5.0069086965,8.1009089086,0.0441084444,-5.0161399114,8.0088898891,0.0590098688,-5.0134645393,7.9895039547,-0.0975612508,-5.0151336884,7.9771135108,0.0189375721,-5.0051405816
75,1.2333333333,8.311834354,-0.032651098,-5.0664205158,8.2230034066,0.0336127848,-5.0738590013,8.1343802856,0.074605366,-5.0704998157,8.1244615064,-0.0922992758,-5.0782859053,8.0933146798,0.0008133482,-5.0664382582
76,1.25,8.4384631686,-0.0347456726,-5.1252258583,8.3448919315,0.0225891581,-5.1305822716,8.2613444409,0.0887677356,-5.1264485109,8.258152033,-0.0845348437,-5.1404111941,8.2100958519,-0.0188984274,-5.1282576827
77,1.2666666667,8.5653187997,-0.0360579273,-5.1830239751,8.4669759091,0.0112567587,-5.1862446886,8.389633649,0.1010944121,-5.1814330324,8.3897980147,-0.0745258322,-5.2011539698,8.3282917314,-0.0395927499,-5.1904320152
78,1.2833333333,8.6923851212,-0.0363560555,-5.2395269019,8.5895929452,-0.0002001871,-5.2407866489,8.5189711305,0.1111929372,-5.2355566935,8.5187604945,-0.0626305804,-5.2601856989,8.4484947365,-0.0603682837,-5.2526529284
79,1.3,8.8195562526,-0.0354932915,-5.2945229233,8.7129802312,-0.0116218863,-5.2941909963,8.6489695592,0.1186946265,-5.2889013681,8.6446136872,-0.0492705858,-5.3172302464,8.5709922096,-0.0801110172,-5.3145064912
80,1.3166666667,8.9466314639,-0.0334322125,-5.3479208178,8.8372582497,-0.0228604756,-5.3465125977,8.779155067,0.1232725156,-5.3415314085,8.7671974693,-0.0348836443,-5.3720848369,8.6957387367,-0.0976245789,-5.3755359048
81,1.3333333333,9.0733414983,-0.030252975,-5.3997619057,8.9624318169,-0.0337693805,-5.3978919541,8.9090017942,0.1246655372,-5.3935024914,8.886649544,-0.0198770053,-5.42464703,8.8223705872,-0.1117853277,-5.4353276274
82,1.35,9.1993945816,-0.0261428026,-5.4501983378,9.0884035687,-0.0441944189,-5.4485461551,9.0379759825,0.1227071285,-5.4448695243,9.0034091941,-0.0045938264,-5.4749449795,8.9502704454,-0.1216949638,-5.4935976243
83,1.3666666667,9.3245206843,-0.0213650948,-5.4994517596,9.2149936336,-0.0539652473,-5.4987379032,9.1655842494,0.1173539703,-5.4956875197,9.1181795696,0.0106965626,-5.523158515,9.0786690507,-0.1268054764,-5.5502413841
84,1.3833333333,9.4484946866,-0.0162121569,-5.5477709842,9.341957026,-0.0628872903,-5.5487332557,9.2914209442,0.1087081501,-5.5460073744,9.2318431617,0.0257806607,-5.5696188351,9.2067519779,-0.1269908841,-5.6053212734
85,1.4,9.5711391855,-0.0109508999,-5.5953954052,9.4689949165,-0.0707363759,-5.5987597382,9.4152097983,0.0970242387,-5.5958735753,9.3453372863,0.0404587941,-5.6147799894,9.3337553407,-0.122542414,-5.6590010051
86,1.4166666667,9.6923249455,-0.0057726953,-5.6425206747,9.5957652871,-0.0772584677,-5.6489673731,9.5368343866,0.0826959726,-5.6453262426,9.4595096627,0.0544918673,-5.659162921,9.4590465908,-0.1140860492,-5.7114639769
87,1.4333333333,9.8119804198,-0.0007594711,-5.6892681073,9.7218983691,-0.0821766856,-5.6993910463,9.6563527191,0.0662256069,-5.694405053,9.5749834832,0.0675576539,-5.7032812849,9.5821715597,-0.1024536792,-5.7628443041
88,1.45,9.9301046301,0.0041222312,-5.7356693421,9.8470130565,-0.0852103966,-5.7499226901,9.773993089,0.0481848987,-5.7431537744,9.6920619231,0.0792383706,-5.7475675654,9.7028540827,-0.0885479765,-5.8131837393
89,1.4666666667,10.0467745535,0.0089939729,-5.7816774292,9.9707303594,-0.0861124427,-5.8003110681,9.8901300573,0.029176017,-5.7916248151,9.8106958488,0.0890508996,-5.7923232926,9.8209694609,-0.0732229208,-5.8624238013
90,1.4833333333,10.1621491991,0.0140113718,-5.8272053578,10.0926920715,-0.0847234768,-5.8501993415,10.005243098,0.0097974907,-5.8398815727,9.9305261495,0.0965126122,-5.8377085853,9.936531639,-0.057184624,-5.9104382907
91,1.5,10.2764793362,0.0193003352,-5.8721839553,10.2125979888,-0.081029302,-5.8991937538,10.1198662768,-0.0093830602,-5.8879986369,10.0509916269,0.1012197517,-5.8837649212,10.0497167169,-0.0409151142,-5.9571007129
92,1.5166666667,10.3901258971,0.0249052109,-5.9166255408,10.3302647044,-0.0751985699,-5.946946552,10.2345417635,-0.0278519055,-5.9360624697,10.1714707536,0.1029117705,-5.9304471474,10.1609022241,-0.0246278013,-6.0023642846
93,1.5333333333,10.5035789091,0.03076634,-5.9606741502,10.4456944001,-0.0675817234,-5.9932353156,10.3497901387,-0.0451725872,-5.984169364,10.2914177822,0.1015066493,-5.9776442596,10.2706729951,-0.0082710174,-6.0463207063
94,1.55,10.6174612641,0.0367318731,-6.0046225908,10.5591326699,-0.0586657016,-6.0380238841,10.4661050579,-0.0610104036,-6.0324122615,10.4104691039,0.09711032,-6.0251930987,10.3797746448,0.0083996974,-6.0892172214
95,1.5666666667,10.7325014644,0.0425934987,-6.0488871503,10.6710927136,-0.0489945621,-6.0814948457,10.5839673386,-0.0751500376,-6.0808572003,10.5285182662,0.0900118992,-6.072907532,10.4890512521,0.0256719024,-6.1314384449
96,1.5833333333,10.8494668821,0.0481276899,-6.0939439082,10.7823325583,-0.0390780659,-6.1240493939,10.703857602,-0.0874933705,-6.1295224963,10.6457673475,0.0806694512,-6.120635329,10.599408551,0.0436762806,-6.1734691892
97,1.6,10.9690601625,0.0531279669,-6.1402362982,10.8937916702,-0.0293150145,-6.1662747059,10.82624116,-0.0980307501,-6.1783696333,10.7627564628,0.0696796455,-6.1683291658,10.7117893391,0.0622042713,-6.2158427485
98,1.6166666667,11.0917913296,0.0574224323,-6.1880677456,11.0065101798,-0.0199517349,-6.2088816534,10.9515134019,-0.1067932822,-6.2273005933,10.8803602588,0.0577231407,-6.2161028997,10.8271024192,0.0806213203,-6.2590672551
99,1.6333333333,11.2178482133,0.0608767225,-6.2375023945,11.1215551456,-0.011079777,-6.2526214483,11.0799177525,-0.1138049581,-6.2761538274,10.9997305175,0.0454874232,-6.2642474123,10.9460638519,0.0979179014,-6.3035254128
100,1.65,11.3470002865,0.0633886866,-6.2883035359,11.2399665772,-0.0026608985,-6.298199511,11.2114655442,-0.1190536966,-6.3247022651,11.1221692239,0.0335804418,-6.3131948784,11.0689672125,0.1128796198,-6.3493558528
101,1.6666666667,11.4785787174,0.0648880381,-6.3399354939,11.3627187194,0.0054362274,-6.3462075705,11.3458904034,-0.122489581,-6.3726613755,11.2489382798,0.0224540097,-6.3634350993,11.195448509,0.1243106499,-6.3963401239
102,1.6833333333,11.6115664952,0.0653508876,-6.3916439381,11.49067615,0.0133943085,-6.3970828016,11.4826581584,-0.1240454399,-6.4197102367,11.3810318863,0.0123555305,-6.4153965557,11.3243327657,0.1312403143,-6.4438336773
103,1.7,11.7447946277,0.0648233315,-6.4426105558,11.624519078,0.0214004134,-6.4510853262,11.6210350929,-0.1236697226,-6.4655298719,11.5189431316,0.0033209795,-6.4693129373,11.4536429413,0.1330733279,-6.4907851795
104,1.7166666667,11.8771717446,0.0634358962,-6.4921379841,11.7646160656,0.0295977127,-6.5082747361,11.7601862115,-0.1213641106,-6.5098564951,11.6624681676,-0.0047882005,-6.5251106595,11.5808243594,0.1296733005,-6.5358796661
105,1.7333333333,12.007820216,0.0613937216,-6.539779173,11.910828529,0.0380483423,-6.5684646192,11.8992308422,-0.1172207531,-6.5525189582,11.8106116131,-0.0122132079,-6.5823639292,11.7031845479,0.1213775156,-6.5778059292
106,1.75,12.1360187275,0.0589421822,-6.5853367325,12.0622491601,0.0467200664,-6.6311435005,12.0371862094,-0.111451927,-6.593423416,11.9616274321,-0.019210367,-6.640339904,11.8184411448,0.1089422732,-6.6155771599
107,1.7666666667,12.2609547367,0.0563220961,-6.6287302888,12.2169226009,0.0554998316,-6.6953766207,12.1728047129,-0.1044017325,-6.6324859032,12.1131353281,-0.0259731013,-6.6980961626,11.9251444803,0.0934279083,-6.6487644041
108,1.7833333333,12.3814023849,0.0537325834,-6.6698071996,12.3716616487,0.0642234737,-6.7597385402,12.3043768044,-0.0965322904,-6.6695451096,12.2622016025,-0.0325835547,-6.7545567045,12.0227431338,0.0760521595,-6.6775196788
109,1.8,12.4955352015,0.0512452503,-6.7081967491,12.5221505276,0.0726096003,-6.8223358909,12.4295096498,-0.0883970495,-6.7042855763,12.4053200514,-0.0389916265,-6.8085272994,12.1113104826,0.0583129011,-6.7023877031
