Trial:     850,,Trajectory,,Snake ID: 31,,Mass: 11 g,,SVL: 47 cm,,Tail: 22 cm
,,,Head,,,Midpoint,,,Vent,
ID,Time (s),X (m),Y (m),Z (m),X (m),Y (m),Z (m),X (m),Y (m),Z (m)
1,0,0.28,1.17,9.63,0.15,1.04,9.61,0.02,0.90,9.62
3,0.033,0.30,1.22,9.62,0.18,1.08,9.61,0.04,0.97,9.65
5,0.067,0.32,1.26,9.60,0.22,1.12,9.59,0.10,1.02,9.66
7,0.100,0.34,1.30,9.56,0.27,1.16,9.55,0.15,1.07,9.64
9,0.133,0.36,1.33,9.53,0.32,1.19,9.52,0.20,1.11,9.63
11,0.167,0.39,1.37,9.47,0.36,1.23,9.47,0.25,1.17,9.59
13,0.200,0.43,1.41,9.42,0.41,1.28,9.42,—,—,—
15,0.234,0.47,1.47,9.33,0.45,1.33,9.34,—,—,—
17,0.267,0.52,1.52,9.24,0.49,1.39,9.25,—,—,—
19,0.300,0.56,1.58,9.15,0.53,1.46,9.16,0.43,1.39,9.32
21,0.334,0.60,1.65,9.05,0.56,1.53,9.07,0.48,1.46,9.23
23,0.367,0.65,1.73,8.92,—,—,—,0.53,1.54,9.12
25,0.400,0.69,1.81,8.81,0.63,1.70,8.86,—,—,—
27,0.434,0.74,1.89,8.68,0.66,1.78,8.74,—,—,—
29,0.467,0.78,1.97,8.55,0.69,1.87,8.62,—,—,—
31,0.501,0.83,2.06,8.43,0.73,1.96,8.49,—,—,—
33,0.534,0.88,2.14,8.31,0.77,2.06,8.36,0.78,1.92,8.39
35,0.567,0.93,2.24,8.16,0.81,2.18,8.21,0.85,2.02,8.21
37,0.601,—,—,—,0.88,2.30,8.05,0.94,2.14,8.02
39,0.634,—,—,—,0.95,2.40,7.89,—,—,—
41,0.667,1.09,2.55,7.74,—,—,—,1.06,2.39,7.70
43,0.701,1.15,2.66,7.60,1.11,2.58,7.60,1.11,2.52,7.55
45,0.734,1.21,2.77,7.46,1.19,2.67,7.45,1.17,2.65,7.41
47,0.767,1.28,2.89,7.31,1.28,2.76,7.30,1.23,2.77,7.28
49,0.801,1.36,3.02,7.14,1.38,2.89,7.12,1.27,2.90,7.14
51,0.834,1.45,3.15,6.98,1.47,3.03,6.96,1.33,3.06,6.98
53,0.868,1.55,3.28,6.81,1.56,3.17,6.79,1.44,3.23,6.81
55,0.901,1.65,3.42,6.63,1.64,3.31,6.64,1.54,3.36,6.66
57,0.934,1.76,3.55,6.48,1.73,3.46,6.49,1.66,3.48,6.50
59,0.968,1.88,3.69,6.31,1.82,3.61,6.34,1.78,3.61,6.33
61,1.001,1.99,3.83,6.16,1.91,3.76,6.19,1.89,3.72,6.19
63,1.034,2.12,3.99,5.97,2.01,3.92,6.03,2.02,3.83,6.02
65,1.068,2.24,4.13,5.83,2.12,4.08,5.88,2.16,3.97,5.83
67,1.101,2.36,4.27,5.69,2.24,4.26,5.71,2.31,4.11,5.67
69,1.134,2.50,4.44,5.52,2.37,4.42,5.57,2.46,4.28,5.50
71,1.168,2.64,4.62,5.35,2.52,4.61,5.39,2.60,4.46,5.34
73,1.201,—,—,—,2.67,4.78,5.22,—,—,—
