Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-20-15 18.05 The Cube May2015 348_DxO.jpg,1,989,4638,,3846.422,751.2,5.120370075
05-20-15 18.05 The Cube May2015 348_DxO.jpg,2,1009,4626,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,3,1025,4614,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,4,1043,4600,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,5,1063,4590,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,6,1079,4572,1,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,7,1093,4560,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,8,1109,4548,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,9,1123,4536,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,10,1141,4522,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,11,1159,4508,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,12,1175,4496,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,13,1193,4482,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,14,1209,4470,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,15,1225,4456,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,16,1245,4442,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,17,1265,4426,2,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,18,1279,4414,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,19,1299,4398,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,20,1315,4386,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,21,1333,4372,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,22,1347,4358,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,23,1365,4342,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,24,1379,4326,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,25,1399,4310,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,26,1413,4292,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,27,1429,4276,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,28,1443,4262,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,29,1457,4246,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,30,1469,4234,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,31,1481,4222,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,32,1493,4210,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,33,1503,4194,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,34,1515,4176,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,35,1525,4162,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,36,1539,4146,3,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,37,1551,4134,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,38,1565,4116,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,39,1581,4104,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,40,1597,4088,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,41,1613,4072,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,42,1631,4056,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,43,1651,4038,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,44,1671,4022,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,45,1697,4008,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,46,1721,3994,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,47,1743,3984,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,48,1771,3974,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,49,1805,3966,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,50,1839,3960,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,51,1871,3962,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,52,1899,3964,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,53,1931,3970,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,54,1967,3978,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,55,1991,3984,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,56,2009,3996,4,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,57,2039,4006,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,58,2077,4024,,,,
05-20-15 18.05 The Cube May2015 348_DxO.jpg,59,2105,4050,,,,
