Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-25-15 18.06 The Cube May2015 929_DxO.jpg,1,3602.667,2559.667,,3991.336,751.2,5.313280085
05-25-15 18.06 The Cube May2015 929_DxO.jpg,2,3592,2575.667,,799.983,150,5.33322
05-25-15 18.06 The Cube May2015 929_DxO.jpg,3,3582.667,2589,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,4,3573.333,2602.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,5,3565.333,2614.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,6,3554.667,2629,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,7,3540,2649,1,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,8,3529.333,2667.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,9,3524,2689,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,10,3518.667,2711,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,11,3516.667,2732.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,12,3516,2755.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,13,3516,2781,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,14,3516,2805.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,15,3517.333,2831,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,16,3517.333,2853,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,17,3517.333,2875.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,18,3517.333,2898.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,19,3517.333,2921,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,20,3514.667,2948.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,21,3514.667,2971,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,22,3513.333,2996.333,2,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,23,3510.667,3016.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,24,3505.667,3036.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,25,3502.667,3062.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,26,3498.667,3085,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,27,3493.333,3106.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,28,3486.667,3126.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,29,3477.333,3150.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,30,3466.667,3174.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,31,3457.333,3195.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,32,3446.667,3219.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,33,3434.667,3241,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,34,3421.333,3258.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,35,3408,3277,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,36,3393.333,3293,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,37,3378.667,3310.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,38,3364,3325,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,39,3348,3337,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,40,3332.333,3347,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,41,3309.667,3361.667,3,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,42,3286,3376.333,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,43,3261.333,3385,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,44,3240,3393,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,45,3214,3401.667,,,,
05-25-15 18.06 The Cube May2015 929_DxO.jpg,46,3183.333,3409.667,,,,
