Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,1,3752,4882,,3855.769,751.2,5.132812833
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,2,3743,4862,,1535.004,300,5.11668
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,3,3734,4844,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,4,3725,4828,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,5,3716,4809,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,6,3707,4794,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,7,3697,4779,1,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,8,3686,4761,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,9,3675,4745,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,10,3665,4731,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,11,3649,4714,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,12,3635,4700,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,13,3622,4687,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,14,3609,4672,2,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,15,3594,4654,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,16,3580,4638,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,17,3567,4617,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,18,3557,4601,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,19,3547,4579,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,20,3538,4557,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,21,3530,4538,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,22,3524,4516,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,23,3519,4499,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,24,3515,4481,3,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,25,3512,4457,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,26,3511,4432,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,27,3513,4403,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,28,3518,4378,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,29,3523,4353,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,30,3530,4331,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,31,3538,4312,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,32,3546,4293,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,33,3554,4275,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,34,3561,4256,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,35,3571,4238,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,36,3578,4219,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,37,3585,4206,4,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,38,3594,4188,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,39,3603,4172,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,40,3611,4153,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,41,3621,4133,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,42,3630,4112,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,43,3638,4093,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,44,3646,4075,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,45,3654,4056,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,46,3658,4038,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,47,3665,4019,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,48,3671,4001,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,49,3676,3980,5,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,50,3682,3958,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,51,3688,3936,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,52,3691,3915,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,53,3695,3892,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,54,3698,3870,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,55,3701,3846,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,56,3704,3823,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,57,3705,3800,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,58,3705,3775,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,59,3707,3754,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,60,3707,3735,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,61,3707,3716,6,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,62,3705,3692,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,63,3700,3670,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,64,3696,3647,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,65,3693,3627,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,66,3688,3608,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,67,3682,3587,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,68,3675,3567,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,69,3667,3547,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,70,3658,3528,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,71,3647,3508,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,72,3635,3490,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,73,3619,3474,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,74,3601,3455,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,75,3580,3438,7,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,76,3559,3420,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,77,3541,3407,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,78,3525,3395,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,79,3504,3379,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,80,3486,3368,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,81,3464,3356,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,82,3445,3344,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,83,3423,3332,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,84,3401,3320,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,85,3384,3310,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,86,3363,3298,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,87,3347,3288,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,88,3331,3276,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,89,3316,3266,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,90,3303,3256,8,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,91,3285,3243,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,92,3268,3233,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,93,3255,3222,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,94,3237,3206,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,95,3220,3189,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,96,3205,3173,,,,
05-28-15 17.58 The Cube May2015 1785_DxO.jpg,97,3191,3156,,,,
