Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,1,4730.667,4192.667,,3990.337,751.2,5.311950213
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,2,4717.333,4171.333,,1040.222,200,5.20111
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,3,4706.667,4154,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,4,4694.667,4132.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,5,4686.667,4118,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,6,4673.333,4102,1,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,7,4665.333,4086,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,8,4662.667,4072.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,9,4656,4051.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,10,4648,4035.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,11,4628,4022,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,12,4608,4011.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,13,4588,4006,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,14,4566.667,3996.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,15,4544,3980.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,16,4532,3966,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,17,4529.333,3947.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,18,4525.333,3933.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,19,4524,3913.333,2,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,20,4526.667,3888.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,21,4529.333,3870,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,22,4534.667,3847.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,23,4538.667,3826,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,24,4543.333,3803.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,25,4545.333,3780.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,26,4547.333,3759.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,27,4546,3738.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,28,4542,3718.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,29,4534,3694.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,30,4522.667,3670.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,31,4510.667,3652.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,32,4501.333,3640.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,33,4489.333,3627.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,34,4469.333,3608.667,3,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,35,4446.667,3594,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,36,4426.667,3583.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,37,4405.333,3574,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,38,4384,3564.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,39,4361.333,3558,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,40,4338.001,3554.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,41,4313.333,3550,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,42,4289.333,3544.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,43,4266.667,3540.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,44,4248,3540.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,45,4225.333,3539.333,4,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,46,4201.333,3535.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,47,4184.667,3531.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,48,4166,3530.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,49,4144.667,3527.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,50,4120.667,3522.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,51,4096,3514,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,52,4070.667,3504.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,53,4044,3495.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,54,4014.667,3483.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,55,3992,3474,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,56,3968,3460.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,57,3948,3451.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,58,3929.333,3442,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,59,3910.667,3428.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,60,3890.667,3416.667,5,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,61,3868.667,3406.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,62,3846.667,3390,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,63,3829.333,3378,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,64,3810.667,3368.667,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,65,3796,3355.333,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,66,3777.333,3342,,,,
05-27-15 18.02 The Cube May2015 1595_DxO.jpg,67,3760,3330,,,,
