Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,1,1892,6414,,4092.94,751.2,5.448535676
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,2,1897,6397,,1101.048,200,5.50524
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,3,1902,6382,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,4,1907,6364,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,5,1911,6350,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,6,1915,6333,1,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,7,1924,6308,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,8,1929,6292,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,9,1935,6277,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,10,1939,6262,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,11,1944,6247,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,12,1951,6233,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,13,1959,6219,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,14,1967,6207,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,15,1979,6195,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,16,1991,6185,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,17,2004,6176,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,18,2019,6168,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,19,2036,6159,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,20,2053,6152,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,21,2072,6147,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,22,2088,6143,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,23,2102,6140,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,24,2116,6137,2,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,25,2133,6134,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,26,2150,6130,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,27,2169,6127,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,28,2185,6121,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,29,2205,6115,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,30,2224,6110,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,31,2246,6102,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,32,2262,6095,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,33,2276,6088,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,34,2291,6079,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,35,2307,6070,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,36,2319,6062,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,37,2333,6051,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,38,2345,6040,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,39,2357,6026,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,40,2368,6013,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,41,2376,5999,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,42,2386,5983,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,43,2393,5968,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,44,2400,5953,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,45,2405,5938,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,46,2409,5923,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,47,2412,5908,3,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,48,2414,5892,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,49,2415,5876,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,50,2416,5856,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,51,2418,5839,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,52,2416,5821,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,53,2414,5806,,,,
05-27-15 18.03 The Cube May2015 1599_DxO.jpg,54,2412,5790,,,,
