Image Name,Point,X,Y,Marker,Calibration Length pixels,Actual Length mm,Pixels/mm
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,1,475.667,2993,,4069.591,751.2,5.417453408
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,2,504.333,3009,,809.065,150,5.393766667
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,3,531,3019.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,4,551,3033,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,5,576.333,3046.333,1,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,6,605,3055.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,7,639.667,3067.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,8,674.333,3078.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,9,706.333,3091.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,10,731.667,3106.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,11,766.333,3122.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,12,797,3139.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,13,826.333,3161,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,14,855.667,3181,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,15,882.333,3203.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,16,895.667,3215.667,2,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,17,917,3233,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,18,941,3255.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,19,961,3279.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,20,980.333,3307.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,21,997.667,3337,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,22,1013,3363.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,23,1024.333,3387.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,24,1032.333,3413,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,25,1040.333,3438.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,26,1051,3467.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,27,1056.333,3487.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,28,1062.333,3517,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,29,1070.333,3543.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,30,1075.667,3571.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,31,1083,3599.667,3,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,32,1091.667,3627.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,33,1101,3657,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,34,1113,3693,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,35,1129,3725,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,36,1139.667,3755.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,37,1153,3786.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,38,1168.333,3817,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,39,1187,3847.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,40,1207.667,3875.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,41,1233,3903.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,42,1259.667,3933,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,43,1285.667,3958.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,44,1317,3979.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,45,1345.667,3994.333,4,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,46,1376.333,4007.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,47,1405.667,4025,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,48,1435,4034.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,49,1464.333,4039.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,50,1497.667,4042.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,51,1524.333,4039.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,52,1556.333,4038.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,53,1584.333,4034.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,54,1612.333,4025,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,55,1639,4013,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,56,1665.667,3998.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,57,1684.333,3986.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,58,1704.333,3973,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,59,1719,3962.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,60,1735,3953,5,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,61,1749.667,3938.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,62,1769.667,3919.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,63,1787,3901,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,64,1804.333,3878.333,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,65,1819,3861,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,66,1832.333,3843.667,,,,
05-26-15 17.29 The Cube May2015 1486_DxO.jpg,67,1843,3822.333,,,,
