,arc length (SVL),body width (SVL),tail width (VTL)
0,0.0,0.0148451336354,0.0244314500971
1,0.01,0.0148451336354,0.0233873111687
2,0.02,0.0148767173946,0.0219614950537
3,0.03,0.0118782028727,0.0228162225644
4,0.04,0.0139968402848,0.0227808625187
5,0.05,0.0150528903642,0.0222296699179
6,0.06,0.0145185332601,0.0209433927092
7,0.07,0.0152229712789,0.0221139183702
8,0.08,0.0156737624191,0.0221063017984
9,0.09,0.0158242154993,0.0217042175939
10,0.1,0.015286701421,0.0221033602076
11,0.11,0.0157598668403,0.0211504679618
12,0.12,0.0154422476059,0.0222233698957
13,0.13,0.0161537155064,0.0207371109184
14,0.14,0.0165896933964,0.0214647847942
15,0.15,0.0170740561443,0.0200594384938
16,0.16,0.0183506044799,0.0205635823592
17,0.17,0.0191063677124,0.0209595868896
18,0.18,0.0195510512541,0.0210240479797
19,0.19,0.0204043667648,0.0203741319829
20,0.2,0.0199809438053,0.0197733097536
21,0.21,0.0193506012287,0.0195021699443
22,0.22,0.0198467305225,0.0184953533825
23,0.23,0.0200186296982,0.0192319525875
24,0.24,0.0202037603894,0.01914230057
25,0.25,0.0201935397997,0.018236791689
26,0.26,0.0201431954546,0.0182306458046
27,0.27,0.0200456310426,0.0182822962036
28,0.28,0.020365885511,0.0182101277354
29,0.29,0.0207311750975,0.0173894694873
30,0.3,0.0207900247992,0.0173317684165
31,0.31,0.0204254411859,0.0173235654726
32,0.32,0.0219059969988,0.0173235654726
33,0.33,0.022560824283,0.0181046607672
34,0.34,0.022265000849,0.0163891149618
35,0.35,0.0230153117887,0.0171534935371
36,0.36,0.0232797869338,0.0164569936426
37,0.37,0.0229185022995,0.0157612253188
38,0.38,0.0233280671413,0.0155053650489
39,0.39,0.0246005071672,0.0156990250939
40,0.4,0.0249281458016,0.0154730039217
41,0.41,0.0256955398307,0.0152604043693
42,0.42,0.0258729471931,0.0152710469916
43,0.43,0.0258729471931,0.0155587399574
44,0.44,0.0258903095606,0.0149106284003
45,0.45,0.0258729471931,0.0145681021883
46,0.46,0.0258732669624,0.0145088776196
47,0.47,0.0267212405437,0.0134202033885
48,0.48,0.0259494848592,0.0126493868266
49,0.49,0.0259278191469,0.0131755176362
50,0.5,0.0259316621784,0.0127751446109
51,0.51,0.0267312326547,0.0126239076449
52,0.52,0.0275198035463,0.0127900740542
53,0.53,0.0278879177989,0.0128743496377
54,0.54,0.0285164994694,0.0113936730751
55,0.55,0.0288357660806,0.0121195040644
56,0.56,0.028865604492,0.0132709953096
57,0.57,0.0287788985428,0.0121934080763
58,0.58,0.0278197082883,0.0121330899998
59,0.59,0.0258593564694,0.0118715508531
60,0.6,0.0250356054352,0.011393968656
61,0.61,0.0238612423049,0.0115203075973
62,0.62,0.0235368899924,0.0110446318882
63,0.63,0.0236485330875,0.011326962183
64,0.64,0.0238199610701,0.0100716694392
65,0.65,0.0233346806458,0.0115170960253
66,0.66,0.0229678391569,0.0118715508531
67,0.67,0.0229699867521,0.0109260766412
68,0.68,0.021271233154,0.0110016905306
69,0.69,0.0221528201724,0.010667378947
70,0.7,0.022426661475,0.00994338331853
71,0.71,0.02229442292,0.0103813700659
72,0.72,0.0208880630232,0.00929794174544
73,0.73,0.02120962687,0.010003773228
74,0.74,0.0221000580798,0.0100583441682
75,0.75,0.0216302765019,0.0101084701439
76,0.76,0.0222259763995,0.00926652480685
77,0.77,0.0220494921005,0.00910506386768
78,0.78,0.0212073337649,0.00911167063301
79,0.79,0.0209172384852,0.00928537966676
80,0.8,0.0212030733823,0.00838074400664
81,0.81,0.020693901708,0.00873461743595
82,0.82,0.0203634198923,0.00839646585055
83,0.83,0.019934893739,0.00824498600292
84,0.84,0.019934893739,0.00674990201458
85,0.85,0.019934893739,0.00704015603675
86,0.86,0.0196280423143,0.00728405109414
87,0.87,0.0196065701363,0.00724413120232
88,0.88,0.0178641488773,0.00627758126433
89,0.89,0.0183350104834,0.0068882879859
90,0.9,0.0192329388099,0.00534844885311
91,0.91,0.0189865384806,0.00630376484367
92,0.92,0.0189762464428,0.00507396851217
93,0.93,0.0194969112881,0.00530229621411
94,0.94,0.0189669139101,0.00530911894119
95,0.95,0.0181656742215,0.00450437487787
96,0.96,0.017888638429,0.00428609307333
97,0.97,0.0165417203366,0.00413012188551
98,0.98,0.0144656365344,0.00464268983338
99,0.99,0.0125707945791,0.00287927400632
100,1.0,0.00804761733556,0.00128765048079
