,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
4,1.0,head,0.0178143300328,15.8330863659,0.0782302723994,69.529791861,0.184993884751,888.783711579,308.174041569,1196.95775315
15,2.0,body,0.0960446024322,85.3628782269,0.0887537131205,78.8828545637,0.184993884751,888.783711579,308.174041569,1196.95775315
30,3.0,body,0.184798315553,164.245732791,0.101005111795,89.7716981494,0.184993884751,888.783711579,308.174041569,1196.95775315
44,4.0,body,0.285803427347,254.01743094,0.0904202165677,80.3640156829,0.184993884751,888.783711579,308.174041569,1196.95775315
59,5.0,body,0.376223643915,334.381446623,0.0975702199298,86.7188222088,0.184993884751,888.783711579,308.174041569,1196.95775315
78,6.0,body,0.473793863845,421.100268832,0.0739522427436,65.7275487853,0.184993884751,888.783711579,308.174041569,1196.95775315
91,7.0,body,0.547746106589,486.827817617,0.0662169679737,58.8525625652,0.184993884751,888.783711579,308.174041569,1196.95775315
101,8.0,body,0.613963074562,545.680380182,0.0731102168824,64.9791699151,0.184993884751,888.783711579,308.174041569,1196.95775315
111,9.0,body,0.687073291445,610.659550097,0.0736129647369,65.4260040193,0.184993884751,888.783711579,308.174041569,1196.95775315
123,10.0,body,0.760686256182,676.085554117,0.0806854244704,71.7118910312,0.184993884751,888.783711579,308.174041569,1196.95775315
142,11.0,body,0.841371680652,747.797445148,0.075036105495,66.6908683443,0.184993884751,888.783711579,308.174041569,1196.95775315
159,12.0,body,0.916407786147,814.488313492,0.0835922138529,74.2953980873,0.184993884751,888.783711579,308.174041569,1196.95775315
178,13.0,vent,1.0,888.783711579,0.098499183787,87.5444701537,0.184993884751,888.783711579,308.174041569,1196.95775315
198,14.0,tail,1.09849918379,976.328181733,0.0820305706553,72.90743505,0.184993884751,888.783711579,308.174041569,1196.95775315
213,15.0,tail,1.18052975444,1049.23561678,0.138344162994,122.958038661,0.184993884751,888.783711579,308.174041569,1196.95775315
240,16.0,tail,1.31887391744,1172.19365544,,,0.184993884751,888.783711579,308.174041569,1196.95775315
