,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0231970102199,15.5988331057,0.088236335653,59.33453754,0.18475002829,672.450154474,216.704197146,889.154351619
20,2.0,body,0.111433345873,74.9333706457,0.0900585377648,60.5598776316,0.18475002829,672.450154474,216.704197146,889.154351619
34,3.0,body,0.201491883638,135.493248277,0.0888284551368,59.7327083784,0.18475002829,672.450154474,216.704197146,889.154351619
47,4.0,body,0.290320338774,195.225956656,0.0911234801351,61.275998293,0.18475002829,672.450154474,216.704197146,889.154351619
61,5.0,body,0.381443818909,256.501954949,0.103536184973,69.6229235786,0.18475002829,672.450154474,216.704197146,889.154351619
78,6.0,body,0.484980003882,326.124878527,0.0974944772861,65.5601763114,0.18475002829,672.450154474,216.704197146,889.154351619
93,7.0,body,0.582474481168,391.685054839,0.0912918757424,61.3892359452,0.18475002829,672.450154474,216.704197146,889.154351619
107,8.0,body,0.673766356911,453.074290784,0.11538673926,77.5918306396,0.18475002829,672.450154474,216.704197146,889.154351619
125,9.0,body,0.789153096171,530.666121423,0.115491372182,77.6621910644,0.18475002829,672.450154474,216.704197146,889.154351619
143,10.0,body,0.904644468353,608.328312488,0.0953555316469,64.1218419858,0.18475002829,672.450154474,216.704197146,889.154351619
158,11.0,vent,1.0,672.450154474,0.119706831542,80.4968773622,0.18475002829,672.450154474,216.704197146,889.154351619
175,12.0,tail,1.11970683154,752.947031836,0.168239837584,113.132904772,0.18475002829,672.450154474,216.704197146,889.154351619
200,13.0,tail,1.28794666913,866.079936608,,,0.18475002829,672.450154474,216.704197146,889.154351619
