,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
8,1.0,head,0.0217441672755,16.4847282758,0.0719863391108,54.5744164297,0.19349952963,758.121847893,297.385968945,1055.50781684
29,2.0,body,0.0937305063863,71.0591447055,0.0727641028359,55.1640561022,0.19349952963,758.121847893,297.385968945,1055.50781684
50,3.0,body,0.166494609222,126.223200808,0.0624809215351,47.3681516922,0.19349952963,758.121847893,297.385968945,1055.50781684
66,4.0,body,0.228975530757,173.5913525,0.0916818845717,69.5060397498,0.19349952963,758.121847893,297.385968945,1055.50781684
92,5.0,body,0.320657415329,243.09739225,0.083986184107,63.6717610927,0.19349952963,758.121847893,297.385968945,1055.50781684
114,6.0,body,0.404643599436,306.769153342,0.084697906278,64.2113332201,0.19349952963,758.121847893,297.385968945,1055.50781684
133,7.0,body,0.489341505714,370.980486562,0.0678699727072,51.4537091252,0.19349952963,758.121847893,297.385968945,1055.50781684
147,8.0,body,0.557211478421,422.434195688,0.0939562349966,71.2302744966,0.19349952963,758.121847893,297.385968945,1055.50781684
166,9.0,body,0.651167713418,493.664470184,0.0860498142994,65.2362442275,0.19349952963,758.121847893,297.385968945,1055.50781684
186,10.0,body,0.737217527717,558.900714412,0.0860577196205,65.2422374241,0.19349952963,758.121847893,297.385968945,1055.50781684
207,11.0,body,0.823275247338,624.142951836,0.0810051673761,61.41178718,0.19349952963,758.121847893,297.385968945,1055.50781684
226,12.0,body,0.904280414714,685.554739016,0.0957195852863,72.5671088768,0.19349952963,758.121847893,297.385968945,1055.50781684
251,13.0,vent,1.0,758.121847893,0.12247871051,92.8537863392,0.19349952963,758.121847893,297.385968945,1055.50781684
278,14.0,tail,1.12247871051,850.975634232,0.0900099151178,68.2384831777,0.19349952963,758.121847893,297.385968945,1055.50781684
298,15.0,tail,1.21248862563,919.21411741,0.142794637769,108.255734655,0.19349952963,758.121847893,297.385968945,1055.50781684
327,16.0,tail,1.3552832634,1027.46985206,,,0.19349952963,758.121847893,297.385968945,1055.50781684
