,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0219373903116,17.808358132,0.03595967841,29.1913861376,0.186504354251,811.781067805,264.625422187,1076.40648999
11,2.0,body,0.0578970687216,46.9997442696,0.0524416333451,42.5711251143,0.186504354251,811.781067805,264.625422187,1076.40648999
21,3.0,body,0.110338702067,89.5708693839,0.0686980507386,55.7677769847,0.186504354251,811.781067805,264.625422187,1076.40648999
34,4.0,body,0.179036752805,145.338646369,0.0554718976299,45.0310362912,0.186504354251,811.781067805,264.625422187,1076.40648999
45,5.0,body,0.234508650435,190.36968266,0.0627122815502,50.9086428813,0.186504354251,811.781067805,264.625422187,1076.40648999
58,6.0,body,0.297220931985,241.278325541,0.0808372757203,65.6221700027,0.186504354251,811.781067805,264.625422187,1076.40648999
74,7.0,body,0.378058207706,306.900495544,0.0743430044615,60.3502435456,0.186504354251,811.781067805,264.625422187,1076.40648999
89,8.0,body,0.452401212167,367.250739089,0.0694182892998,56.352453013,0.186504354251,811.781067805,264.625422187,1076.40648999
100,9.0,body,0.521819501467,423.603192102,0.0684467353282,55.5637638925,0.186504354251,811.781067805,264.625422187,1076.40648999
111,10.0,body,0.590266236795,479.166955995,0.0736627383591,59.7980164026,0.186504354251,811.781067805,264.625422187,1076.40648999
125,11.0,body,0.663928975154,538.964972397,0.0907840660146,73.696786049,0.186504354251,811.781067805,264.625422187,1076.40648999
143,12.0,body,0.754713041169,612.661758446,0.0703799589735,57.1331182476,0.186504354251,811.781067805,264.625422187,1076.40648999
159,13.0,body,0.825093000142,669.794876694,0.0864779708853,70.2011795469,0.186504354251,811.781067805,264.625422187,1076.40648999
177,14.0,body,0.911570971028,739.996056241,0.0884290289724,71.7850115642,0.186504354251,811.781067805,264.625422187,1076.40648999
195,15.0,vent,1.0,811.781067805,0.0942220877919,76.4877070385,0.186504354251,811.781067805,264.625422187,1076.40648999
210,16.0,tail,1.09422208779,888.268774844,0.0891280921549,72.3524978209,0.186504354251,811.781067805,264.625422187,1076.40648999
222,17.0,tail,1.18335017995,960.621272664,0.123142007378,99.9643502411,0.186504354251,811.781067805,264.625422187,1076.40648999
240,18.0,tail,1.30649218732,1060.58562291,,,0.186504354251,811.781067805,264.625422187,1076.40648999
