,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
6,1.0,head,0.0179157141645,15.8433144138,0.0746040160715,65.9741985333,0.187855821123,884.325027088,309.024278927,1193.34930601
21,2.0,body,0.092519730236,81.8175129471,0.0919836018783,81.3434012227,0.187855821123,884.325027088,309.024278927,1193.34930601
40,3.0,body,0.184503332114,163.16091417,0.105109953339,92.9513623338,0.187855821123,884.325027088,309.024278927,1193.34930601
57,4.0,body,0.289613285453,256.112276504,0.0912448543665,80.6901083093,0.187855821123,884.325027088,309.024278927,1193.34930601
74,5.0,body,0.38085813982,336.802384813,0.0955594627522,84.5056244869,0.187855821123,884.325027088,309.024278927,1193.34930601
91,6.0,body,0.476417602572,421.3080093,0.0730924519638,64.6374845629,0.187855821123,884.325027088,309.024278927,1193.34930601
105,7.0,body,0.549510054536,485.945493863,0.0627223074383,55.4669062244,0.187855821123,884.325027088,309.024278927,1193.34930601
116,8.0,body,0.612232361974,541.412400087,0.0741205264016,65.5466365179,0.187855821123,884.325027088,309.024278927,1193.34930601
128,9.0,body,0.686352888376,606.959036605,0.0718349245215,63.5254215734,0.187855821123,884.325027088,309.024278927,1193.34930601
142,10.0,body,0.758187812897,670.484458178,0.0863941537263,76.4005123343,0.187855821123,884.325027088,309.024278927,1193.34930601
160,11.0,body,0.844581966624,746.884970513,0.0715141563035,63.2417582103,0.187855821123,884.325027088,309.024278927,1193.34930601
176,12.0,body,0.916096122927,810.126728723,0.0839038770729,74.1982983653,0.187855821123,884.325027088,309.024278927,1193.34930601
195,13.0,vent,1.0,884.325027088,0.102763135545,90.8760126243,0.187855821123,884.325027088,309.024278927,1193.34930601
214,14.0,tail,1.10276313554,975.201039713,0.0759053067865,67.1249624801,0.187855821123,884.325027088,309.024278927,1193.34930601
228,15.0,tail,1.17866844233,1042.32600219,0.142404827652,125.932153071,0.187855821123,884.325027088,309.024278927,1193.34930601
249,16.0,tail,1.32107326998,1168.25815526,,,0.187855821123,884.325027088,309.024278927,1193.34930601
